Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2023-10-10,3.66,3.9875,3.6425,3.7765,130226.4,3.8294,1696910400000,2617,
2023-10-11,3.9,3.95,3.775,3.828,52868.6,3.8522,1696996800000,1249,
2023-10-12,3.75,3.8995,3.6005,3.635,87436.6,3.6981,1697083200000,1745,
2023-10-13,3.55,3.695,3.4228,3.601,97023.8,3.5279,1697169600000,1931,
2023-10-16,3.5,3.692,3.5,3.6205,84630.0,3.6028,1697428800000,2277,
2023-10-17,3.6,3.787,3.5505,3.722,97198.8,3.6694,1697515200000,2136,
2023-10-18,3.7,3.709,3.365,3.406,153378.4,3.4878,1697601600000,2647,
2023-10-19,3.35,3.4,3.15,3.1545,107460.4,3.2539,1697688000000,2524,
2023-10-20,3.213,3.3,3.0525,3.0945,118198.2,3.1933,1697774400000,2339,
2023-10-23,3.0015,3.05,2.8505,2.8825,172748.4,2.9258,1698033600000,3585,
2023-10-24,2.865,3.0,2.855,2.8795,122398.8,2.9118,1698120000000,2586,
2023-10-25,2.95,2.9678,2.535,2.701,252330.4,2.7312,1698206400000,2799,
2023-10-26,2.701,2.75,2.626,2.7385,76653.6,2.685,1698292800000,1773,
2023-10-27,2.7,2.7385,2.5115,2.5735,138044.6,2.5708,1698379200000,2309,
2023-10-30,2.65,2.7,2.42,2.488,139036.2,2.4988,1698638400000,2449,
2023-10-31,2.4505,2.5445,2.42,2.49,145263.8,2.4731,1698724800000,2490,
2023-11-01,2.446,2.4813,2.325,2.378,114243.6,2.3955,1698811200000,2561,
2023-11-02,2.45,2.75,2.4395,2.74,220373.2,2.6667,1698897600000,3312,
2023-11-03,2.983,3.25,2.9005,3.0785,161215.6,3.1116,1698984000000,2981,
2023-11-06,3.2,3.3,3.1,3.161,166158.8,3.2101,1699246800000,1800,
2023-11-07,3.15,3.2495,3.15,3.217,93716.2,3.2119,1699333200000,1539,
2023-11-08,3.24,3.3005,3.055,3.3005,111048.6,3.1573,1699419600000,2221,
2023-11-09,3.2985,3.3995,2.95,2.9655,206009.2,3.1549,1699506000000,3881,
2023-11-10,2.85,3.0795,2.755,2.9045,139134.2,2.886,1699592400000,1951,
2023-11-13,2.9,3.2015,2.789,2.98,252385.2,2.9828,1699851600000,3169,
2023-11-14,3.1,3.45,2.813,2.8935,379032.2,3.0208,1699938000000,7128,
2023-11-15,2.9275,3.122,2.9,2.958,199843.2,3.0006,1700024400000,4414,
2023-11-16,2.9,2.9575,2.6285,2.6995,210810.6,2.7751,1700110800000,4118,
2023-11-17,2.6995,2.8,2.55,2.7375,199557.8,2.6495,1700197200000,4148,
2023-11-20,2.735,2.95,2.651,2.8,133005.4,2.8227,1700456400000,2659,
2023-11-21,2.75,2.9495,2.7,2.7,123176.6,2.7765,1700542800000,1866,
2023-11-22,2.75,2.75,2.5,2.531,146887.4,2.6158,1700629200000,2597,
2023-11-24,2.6,2.679,2.55,2.653,27851.2,2.6281,1700802000000,870,
2023-11-27,2.6625,2.6635,2.501,2.501,113752.8,2.5698,1701061200000,1974,
2023-11-28,2.6,2.642,2.55,2.5555,149072.0,2.5775,1701147600000,2636,
2023-11-29,2.5865,2.9,2.5865,2.715,143715.8,2.7686,1701234000000,2320,
2023-11-30,2.75,2.846,2.7255,2.7935,94786.0,2.7778,1701320400000,1620,
2023-12-01,2.8,2.8499,2.7155,2.8175,90744.2,2.8002,1701406800000,1812,
2023-12-04,2.79,2.8995,2.761,2.793,125835.8,2.8296,1701666000000,2726,
2023-12-05,2.8105,2.832,2.715,2.75,139225.4,2.7708,1701752400000,1777,
2023-12-06,2.8,2.9685,2.7505,2.8075,154022.0,2.8818,1701838800000,2406,
2023-12-07,2.8455,2.9375,2.75,2.784,170930.6,2.8335,1701925200000,3054,
2023-12-08,2.75,2.89,2.75,2.8625,108583.4,2.8337,1702011600000,2509,
2023-12-11,2.9085,2.965,2.85,2.9045,112566.0,2.8944,1702270800000,2645,
2023-12-12,2.95,3.65,2.9,3.436,572199.6,3.3513,1702357200000,5690,
2023-12-13,3.5,3.749,3.403,3.722,446549.4,3.5721,1702443600000,4464,
2023-12-14,3.68,4.0,3.68,3.9515,313378.8,3.8646,1702530000000,4171,
2023-12-15,4.024,4.0245,3.8338,3.908,550229.6,3.9268,1702616400000,3740,
2023-12-18,3.93,3.944,3.478,3.695,260299.0,3.6628,1702875600000,3825,
2023-12-19,3.65,3.8415,3.65,3.762,162602.6,3.7205,1702962000000,2418,
2023-12-20,3.8,3.8,3.5535,3.5705,152906.4,3.6824,1703048400000,2704,
2023-12-21,3.6,3.7345,3.5505,3.6315,131118.2,3.6332,1703134800000,2033,
2023-12-22,3.676,4.312,3.64,4.2645,377673.2,4.0427,1703221200000,3923,
2023-12-26,4.25,4.676,4.25,4.489,322262.0,4.4568,1703566800000,3931,
2023-12-27,4.3625,4.512,4.025,4.075,244223.6,4.1456,1703653200000,3385,
2023-12-28,4.35,4.35,4.05,4.1385,137018.4,4.1263,1703739600000,2156,
2023-12-29,4.2,4.273,3.775,3.7885,282521.6,3.9836,1703826000000,3651,
2024-01-02,3.85,3.885,3.5815,3.65,161981.0,3.711,1704171600000,2882,
2024-01-03,3.9,5.3,3.9,5.05,2016161.2,4.7696,1704258000000,18474,
2024-01-04,5.05,5.05,4.6,5.0,605845.2,4.8514,1704344400000,9610,
2024-01-05,5.0,6.0,4.8005,5.6,605293.8,5.4835,1704430800000,8663,
2024-01-08,5.9,6.4,5.5,5.85,666060.8,5.8488,1704690000000,9671,
2024-01-09,6.15,6.25,4.85,5.0,874868.0,5.553,1704776400000,13687,
2024-01-10,5.2,5.95,5.1,5.5,583052.4,5.6425,1704862800000,7614,
2024-01-11,5.6,5.9,5.15,5.8,518564.6,5.6256,1704949200000,8090,
2024-01-12,5.8,5.85,5.45,5.65,462885.2,5.6114,1705035600000,5960,
2024-01-16,5.5,5.525,5.0,5.05,372101.2,5.206,1705381200000,5672,
2024-01-17,5.1,5.1,4.6545,4.7005,449804.8,4.8237,1705467600000,5809,
2024-01-18,4.75,4.7665,4.057,4.6505,391626.4,4.4632,1705554000000,4084,
2024-01-19,4.85,4.85,4.3505,4.6265,233516.6,4.5463,1705640400000,4171,
2024-01-22,4.8625,4.898,4.354,4.674,238626.0,4.5839,1705899600000,3979,
2024-01-23,4.8,4.8995,4.6005,4.7175,128987.4,4.7146,1705986000000,2797,
2024-01-24,4.824,4.848,4.2725,4.4135,170363.6,4.4815,1706072400000,3031,
2024-01-25,4.5845,4.5845,4.2088,4.4595,196275.0,4.3574,1706158800000,3063,
2024-01-26,4.5,4.75,4.1755,4.2755,174711.6,4.3256,1706245200000,3733,
2024-01-29,4.2,4.346,3.95,4.327,167798.4,4.1488,1706504400000,3119,
2024-01-30,4.4265,4.4265,4.051,4.0885,153780.8,4.1802,1706590800000,2803,
2024-01-31,4.15,4.5,4.05,4.26,168024.4,4.2955,1706677200000,3368,
2024-02-01,4.416,4.473,4.05,4.1345,165646.0,4.1785,1706763600000,3516,
2024-02-02,4.1,4.4,4.07,4.35,102870.6,4.2855,1706850000000,2546,
2024-02-05,4.3,4.35,4.1,4.1715,117468.0,4.1957,1707109200000,2537,
2024-02-06,4.25,4.646,4.15,4.482,167131.2,4.4707,1707195600000,3671,
2024-02-07,4.4,4.64,4.104,4.2075,127357.6,4.2335,1707282000000,3251,
2024-02-08,4.1,4.5,4.1,4.3955,122841.0,4.3949,1707368400000,2699,
2024-02-09,4.341,5.4,4.3025,5.35,439651.2,5.1292,1707454800000,7497,
2024-02-12,5.25,5.75,4.9995,5.1,324696.0,5.2648,1707714000000,5006,
2024-02-13,5.0,5.2,4.675,4.707,261511.2,4.893,1707800400000,5938,
2024-02-14,4.75,4.9495,4.6,4.9235,153571.4,4.7815,1707886800000,4013,
2024-02-15,4.905,5.7,4.9,5.35,254703.0,5.2535,1707973200000,5710,
2024-02-16,5.4,5.6,5.15,5.3,158494.8,5.3332,1708059600000,3314,
2024-02-20,5.2,5.25,4.7565,4.7575,286254.4,4.9247,1708405200000,4618,
2024-02-21,4.75,4.805,4.5,4.7005,201157.4,4.5776,1708491600000,4325,
2024-02-22,4.725,4.85,4.7,4.7575,91175.4,4.7534,1708578000000,1906,
2024-02-23,4.7,5.15,4.6075,4.7665,167325.8,4.8604,1708664400000,2881,
2024-02-26,4.85,5.25,4.7675,5.05,208442.0,5.0312,1708923600000,4120,
2024-02-27,5.05,5.15,4.75,4.8265,156102.4,4.9137,1709010000000,3797,
2024-02-28,4.655,5.1,4.655,4.7085,140583.6,4.8712,1709096400000,2797,
2024-02-29,4.825,5.1,4.741,5.05,256881.2,4.9862,1709182800000,2937,
2024-03-01,5.1,5.3,4.7605,5.15,174769.2,5.1091,1709269200000,3665,
2024-03-04,5.2,5.4,4.9,5.15,308776.2,5.1756,1709528400000,5610,
2024-03-05,5.25,5.25,4.8095,5.05,289101.8,5.015,1709614800000,6880,
2024-03-06,5.1,5.6,4.975,5.45,397267.2,5.3751,1709701200000,5977,
2024-03-07,5.5,6.1,5.4,5.95,413628.0,5.8165,1709787600000,6794,
2024-03-08,6.05,7.25,6.007,6.6,747454.0,6.7411,1709874000000,11481,
2024-03-11,6.85,7.05,6.2,6.5,271009.4,6.5658,1710129600000,5262,
2024-03-12,6.25,6.3,4.7465,5.5,800343.4,5.3966,1710216000000,10269,
2024-03-13,5.35,5.593,5.1,5.15,338777.8,5.2765,1710302400000,5710,
2024-03-14,5.25,5.25,4.8505,4.873,263017.0,4.987,1710388800000,4909,
2024-03-15,4.8,5.5,4.7555,4.964,556443.2,5.022,1710475200000,4889,
2024-03-18,5.0,5.3,4.9,5.05,348511.8,5.0628,1710734400000,4894,
2024-03-19,5.16,5.54,4.65,5.2,552522.0,5.1983,1710820800000,4746,
2024-03-20,5.0,5.09,4.4401,4.81,746990.0,4.6533,1710907200000,8428,
2024-03-21,4.76,4.96,4.2999,4.36,633187.0,4.5273,1710993600000,5740,
2024-03-22,4.26,4.3,3.88,4.09,713789.0,4.0491,1711080000000,5735,
2024-03-25,4.0,4.15,3.89,3.9,366266.0,3.9549,1711339200000,4074,
2024-03-26,3.89,3.9,3.48,3.48,561369.0,3.6197,1711425600000,4906,
2024-03-27,3.41,3.7068,3.3099,3.54,600153.0,3.5271,1711512000000,5015,
2024-03-28,3.53,4.005,3.5,3.93,669265.0,3.8495,1711598400000,4918,
2024-04-01,3.86,4.18,3.7899,4.14,373473.0,4.0274,1711944000000,3476,
2024-04-02,3.97,4.09,3.8327,4.04,279210.0,4.0103,1712030400000,3353,
2024-04-03,3.99,4.1447,3.9,4.11,290317.0,4.0439,1712116800000,2879,
2024-04-04,4.16,4.45,4.12,4.17,356108.0,4.2686,1712203200000,4557,
2024-04-05,4.12,4.25,3.94,3.99,234238.0,4.0182,1712289600000,2575,
2024-04-08,3.99,4.16,3.99,4.04,172213.0,4.0515,1712548800000,2383,
2024-04-09,4.07,4.3,4.07,4.19,144644.0,4.1989,1712635200000,2598,
2024-04-10,4.02,4.0803,3.835,3.9,301375.0,3.9398,1712721600000,3381,
2024-04-11,3.91,4.04,3.72,3.89,187637.0,3.8408,1712808000000,2264,
2024-04-12,3.83,3.83,3.53,3.58,210378.0,3.6308,1712894400000,2712,
2024-04-15,3.57,3.64,3.405,3.44,256721.0,3.493,1713153600000,3260,
2024-04-16,3.41,3.44,3.18,3.18,250454.0,3.2867,1713240000000,3159,
2024-04-17,3.21,3.25,2.94,2.98,412791.0,3.0439,1713326400000,3388,
2024-04-18,2.98,3.11,2.8,3.1,374114.0,3.0013,1713412800000,3889,
2024-04-19,3.08,3.2153,3.07,3.11,244945.0,3.1177,1713499200000,2915,
2024-04-22,3.13,3.2,2.91,2.99,256643.0,2.9997,1713758400000,2276,
2024-04-23,3.0,3.21,2.98,3.09,252910.0,3.1041,1713844800000,2553,
2024-04-24,3.18,3.18,3.0,3.13,199166.0,3.1085,1713931200000,1883,
2024-04-25,3.06,3.09,2.91,2.94,217677.0,2.9636,1714017600000,2215,
2024-04-26,2.96,3.13,2.96,3.09,187834.0,3.0654,1714104000000,2023,
2024-04-29,3.12,3.32,3.12,3.24,194466.0,3.2343,1714363200000,1706,
2024-04-30,3.19,3.27,3.11,3.12,256022.0,3.1681,1714449600000,1836,
2024-05-01,3.12,3.24,3.025,3.07,197750.0,3.1094,1714536000000,2595,
2024-05-02,3.13,3.22,3.0017,3.1,333492.0,3.112,1714622400000,2005,
2024-05-03,3.2,3.62,3.2,3.42,481407.0,3.4658,1714708800000,3335,
