Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2024-07-01,4.61,4.9,4.46,4.85,548076.0,4.7375,1719806400000,4516,
2024-07-02,4.75,4.785,4.53,4.54,698249.0,4.5989,1719892800000,6691,
2024-07-03,4.48,4.61,4.45,4.58,318283.0,4.5531,1719979200000,3777,
2024-07-05,4.53,4.54,4.24,4.25,758235.0,4.3137,1720152000000,6631,
2024-07-08,4.31,4.38,4.06,4.26,906182.0,4.1945,1720411200000,8267,
2024-07-09,4.25,4.25,4.0051,4.11,861861.0,4.0886,1720497600000,6838,
2024-07-10,4.15,4.38,4.14,4.37,508544.0,4.2951,1720584000000,4749,
2024-07-11,4.35,4.7,4.35,4.66,683364.0,4.61,1720670400000,6220,
2024-07-12,4.74,4.85,4.675,4.69,581558.0,4.7481,1720756800000,5857,
2024-07-15,4.74,5.03,4.69,4.9,638066.0,4.8912,1721016000000,5455,
2024-07-16,4.9,5.245,4.8892,5.2,1141677.0,5.1584,1721102400000,10493,
2024-07-17,5.03,5.11,4.8201,5.08,1208194.0,5.0293,1721188800000,8491,
2024-07-18,5.22,5.2299,4.89,5.0,749358.0,5.0111,1721275200000,7006,
2024-07-19,5.11,5.18,4.88,4.96,659696.0,5.0257,1721361600000,6199,
2024-07-22,4.87,5.1,4.8,5.1,452951.0,5.0469,1721620800000,4251,
2024-07-23,5.1,5.1,4.85,4.88,740704.0,4.9563,1721707200000,6794,
2024-07-24,4.83,4.93,4.7,4.76,534347.0,4.7724,1721793600000,5678,
2024-07-25,4.82,4.9,4.65,4.79,487215.0,4.8111,1721880000000,5183,
2024-07-26,4.9,4.9,4.62,4.77,525121.0,4.7409,1721966400000,6425,
2024-07-29,4.74,4.75,4.495,4.5,817913.0,4.5841,1722225600000,6373,
2024-07-30,4.54,4.6,4.41,4.55,572479.0,4.5174,1722312000000,4854,
2024-07-31,4.56,4.65,4.48,4.53,693007.0,4.5333,1722398400000,6152,
2024-08-01,4.44,4.53,4.3,4.43,1100210.0,4.3998,1722484800000,6473,
2024-08-02,4.25,4.44,4.172,4.32,1018619.0,4.3178,1722571200000,5651,
2024-08-05,4.04,4.36,3.99,4.24,1139280.0,4.2027,1722830400000,8311,
2024-08-06,4.52,5.005,4.39,4.91,1522540.0,4.8462,1722916800000,14530,
2024-08-07,4.99,5.01,4.62,4.66,1127393.0,4.7485,1723003200000,10802,
2024-08-08,4.79,4.9,4.58,4.73,891414.0,4.7816,1723089600000,7172,
2024-08-09,4.77,4.9,4.47,4.645,981509.0,4.6192,1723176000000,7075,
2024-08-12,4.57,4.72,4.51,4.56,650059.0,4.5602,1723435200000,4404,
2024-08-13,4.7,4.8,4.55,4.79,774105.0,4.6787,1723521600000,5242,
2024-08-14,4.76,4.94,4.67,4.78,846102.0,4.7262,1723608000000,6606,
2024-08-15,4.84,4.87,4.74,4.84,858996.0,4.8077,1723694400000,7092,
2024-08-16,4.84,4.9,4.7876,4.82,522670.0,4.8401,1723780800000,5778,
2024-08-19,4.83,4.98,4.79,4.91,754348.0,4.9021,1724040000000,6729,
2024-08-20,4.86,4.91,4.8,4.89,696122.0,4.868,1724126400000,5582,
2024-08-21,4.92,4.97,4.88,4.89,654643.0,4.9164,1724212800000,7003,
2024-08-22,5.03,5.22,4.38,4.87,1831263.0,4.7707,1724299200000,11454,
2024-08-23,4.83,4.94,4.76,4.89,976124.0,4.8706,1724385600000,8415,
2024-08-26,4.94,4.9759,4.78,4.86,1028737.0,4.8484,1724644800000,8614,
2024-08-27,4.81,4.92,4.77,4.92,464409.0,4.8518,1724731200000,5533,
2024-08-28,4.91,4.99,4.83,4.89,412491.0,4.8947,1724817600000,5130,
2024-08-29,4.91,4.9691,4.8428,4.88,591256.0,4.9067,1724904000000,6313,
2024-08-30,4.93,5.03,4.85,4.99,857216.0,4.9539,1724990400000,5472,
2024-09-03,4.98,4.98,4.71,4.75,881394.0,4.7772,1725336000000,7228,
2024-09-04,4.71,4.75,4.595,4.63,738638.0,4.652,1725422400000,6059,
2024-09-05,4.65,4.7,4.54,4.62,695703.0,4.5924,1725508800000,7366,
2024-09-06,4.62,4.73,4.48,4.53,827950.0,4.5534,1725595200000,7586,
2024-09-09,4.63,4.695,4.48,4.6,676535.0,4.6025,1725854400000,7524,
2024-09-10,4.61,4.61,4.34,4.51,981965.0,4.4314,1725940800000,6532,
2024-09-11,4.52,4.558,4.37,4.5,801880.0,4.5006,1726027200000,6286,
2024-09-12,4.54,4.63,4.45,4.63,569103.0,4.5514,1726113600000,6251,
2024-09-13,4.65,4.91,4.65,4.91,346064.0,4.8442,1726200000000,3694,
2024-09-16,4.91,4.93,4.77,4.82,228739.0,4.8233,1726459200000,3514,
2024-09-17,4.84,4.8799,4.595,4.66,849551.0,4.6817,1726545600000,7346,
2024-09-18,5.02,5.53,4.78,5.0,4777361.0,5.1258,1726632000000,29864,
2024-09-19,5.2,5.225,4.93,5.12,1084697.0,5.1204,1726718400000,10795,
2024-09-20,5.18,5.1952,4.95,4.96,1651007.0,5.0123,1726804800000,10780,
2024-09-23,5.0,5.11,4.66,4.77,1134799.0,4.8195,1727064000000,9215,
2024-09-24,4.81,4.925,4.72,4.91,593335.0,4.8671,1727150400000,5293,
2024-09-25,4.9,4.955,4.81,4.9,652622.0,4.8936,1727236800000,5544,
2024-09-26,4.93,4.99,4.86,4.91,567022.0,4.9123,1727323200000,6885,
2024-09-27,4.94,5.23,4.86,5.19,1102768.0,5.1183,1727409600000,10194,
2024-09-30,5.27,5.28,4.87,5.0,1033907.0,5.0133,1727668800000,8610,
2024-10-01,4.99,5.015,4.84,4.98,466205.0,4.9412,1727755200000,4301,
2024-10-02,5.09,5.09,4.604,4.68,1682447.0,4.7298,1727841600000,10739,
2024-10-03,4.67,5.005,4.63,4.98,879213.0,4.8594,1727928000000,7426,
2024-10-04,5.05,5.09,4.93,5.01,575372.0,5.0004,1728014400000,5336,
2024-10-07,5.04,5.3,4.94,5.0,799821.0,5.1025,1728273600000,6880,
2024-10-08,5.01,5.17,4.95,5.02,852327.0,5.0342,1728360000000,6908,
2024-10-09,5.04,5.81,4.98,5.64,2412169.0,5.4765,1728446400000,16961,
2024-10-10,5.61,5.62,5.07,5.27,1974978.0,5.2658,1728532800000,13687,
2024-10-11,5.34,5.54,5.24,5.38,892035.0,5.4305,1728619200000,7629,
2024-10-14,5.405,5.48,5.2,5.23,701259.0,5.2956,1728878400000,5890,
2024-10-15,5.25,5.315,5.09,5.26,519552.0,5.2279,1728964800000,4891,
2024-10-16,5.32,5.64,5.32,5.47,842213.0,5.4679,1729051200000,6747,
2024-10-17,5.48,5.506,5.25,5.44,529919.0,5.3961,1729137600000,5249,
2024-10-18,5.44,5.55,5.31,5.52,873687.0,5.4673,1729224000000,7380,
2024-10-21,5.65,5.71,5.475,5.54,906627.0,5.5795,1729483200000,8868,
2024-10-22,5.54,5.605,5.37,5.44,852722.0,5.4964,1729569600000,7713,
2024-10-23,5.42,5.54,5.16,5.23,920523.0,5.2798,1729656000000,7188,
2024-10-24,5.33,5.33,5.12,5.16,692197.0,5.1783,1729742400000,7685,
2024-10-25,5.19,5.24,5.03,5.1,1006728.0,5.112,1729828800000,7228,
2024-10-28,5.16,5.29,5.13,5.21,671489.0,5.2122,1730088000000,7368,
2024-10-29,5.14,5.31,5.1,5.16,910358.0,5.1869,1730174400000,7241,
2024-10-30,5.11,5.29,5.035,5.29,1060086.0,5.1781,1730260800000,10021,
2024-10-31,5.34,5.34,4.99,5.03,1008544.0,5.0807,1730347200000,8146,
2024-11-01,5.03,5.09,4.75,4.77,842288.0,4.8466,1730433600000,9154,
2024-11-04,4.8,5.0,4.765,4.92,782699.0,4.9164,1730696400000,7335,
2024-11-05,4.94,5.11,4.94,5.06,682792.0,5.0352,1730782800000,7088,
2024-11-06,5.3,5.35,5.1,5.32,1212223.0,5.2653,1730869200000,10781,
2024-11-07,5.33,5.395,5.2,5.35,869625.0,5.3138,1730955600000,8061,
2024-11-08,5.37,5.585,5.2876,5.4,754136.0,5.4364,1731042000000,7753,
2024-11-11,5.55,5.575,5.37,5.49,1402625.0,5.4926,1731301200000,10973,
2024-11-12,4.89,5.25,4.8,5.21,2071620.0,5.085,1731387600000,15601,
2024-11-13,5.3,6.68,5.23021,6.25,4265918.0,6.1313,1731474000000,30247,
2024-11-14,6.2,6.47,5.873,6.04,2265847.0,6.1197,1731560400000,18358,
2024-11-15,6.01,6.075,5.71,5.95,1778093.0,5.921,1731646800000,13196,
2024-11-18,5.95,6.355,5.88,6.3,1967591.0,6.2094,1731906000000,13074,
2024-11-19,6.22,6.57,6.12,6.5,2842628.0,6.4322,1731992400000,19714,
2024-11-20,6.53,6.56,5.85,6.48,2262250.0,6.2464,1732078800000,16990,
2024-11-21,6.52,6.8,6.36,6.64,2226050.0,6.6696,1732165200000,18305,
2024-11-22,6.8,7.23,6.75,7.11,3301991.0,7.0217,1732251600000,23318,
2024-11-25,7.16,7.38,6.93,7.36,2003174.0,7.2341,1732510800000,16253,
2024-11-26,7.26,7.34,7.03,7.15,1807242.0,7.1655,1732597200000,14407,
2024-11-27,7.14,7.25,7.04,7.17,1115874.0,7.1655,1732683600000,11142,
2024-11-29,7.13,7.27,7.025,7.04,577061.0,7.1189,1732856400000,6551,
2024-12-02,7.1,7.15,6.81,6.945,1441131.0,6.9592,1733115600000,14712,
2024-12-03,6.91,7.06,6.71,7.04,1097637.0,6.941,1733202000000,10601,
2024-12-04,7.03,7.21,7.0,7.14,1060247.0,7.1266,1733288400000,10666,
2024-12-05,7.08,7.25,6.565,6.6,1402039.0,6.8539,1733374800000,14108,
2024-12-06,6.69,6.98,6.63,6.9,1914297.0,6.79,1733461200000,18143,
2024-12-09,7.0,7.28,6.94,7.02,1667496.0,7.0893,1733720400000,18731,
2024-12-10,7.02,7.02,6.62,6.74,1425969.0,6.7572,1733806800000,13186,
2024-12-11,6.87,6.99,6.75,6.86,1308112.0,6.873,1733893200000,11624,
2024-12-12,6.84,6.88,6.64,6.79,804958.0,6.7655,1733979600000,8098,
2024-12-13,6.76,6.86,6.55,6.61,1182108.0,6.6545,1734066000000,10881,
2024-12-16,6.55,6.995,6.55,6.95,1679296.0,6.8622,1734325200000,12199,
2024-12-17,6.904,7.21,6.8837,6.94,1842680.0,6.9902,1734411600000,13961,
2024-12-18,7.0,7.15,6.23,6.355,1799497.0,6.5569,1734498000000,14218,
2024-12-19,6.52,6.6,6.195,6.38,2934588.0,6.379,1734584400000,20892,
2024-12-20,6.27,6.63,6.1,6.53,4891166.0,6.506,1734670800000,18049,
2024-12-23,6.52,6.73,6.37,6.59,1639409.0,6.5361,1734930000000,15169,
2024-12-24,6.71,6.855,6.55,6.83,754639.0,6.7469,1735016400000,7899,
2024-12-26,6.78,7.135,6.72,7.1,1365598.0,6.9817,1735189200000,14865,
2024-12-27,7.18,7.2,6.75,6.8,7141571.0,6.8807,1735275600000,50738,
2024-12-30,6.68,6.79,6.49,6.66,3463984.0,6.6616,1735534800000,29358,
2024-12-31,6.75,6.92,6.63,6.66,1899077.0,6.7138,1735621200000,10794,
2025-01-02,6.58,6.69,6.14,6.3,2845645.0,6.3249,1735794000000,21160,
2025-01-03,6.27,6.72,6.2,6.65,1624797.0,6.6095,1735880400000,14387,
2025-01-06,6.73,6.732,6.26,6.27,2271204.0,6.3238,1736139600000,15178,
2025-01-07,6.26,6.3258,5.95,6.19,2346154.0,6.1386,1736226000000,19095,
2025-01-08,6.04,6.1,5.71,5.96,3016707.0,5.9492,1736312400000,20114,
