Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2023-10-10,30.32,30.9915,30.22,30.44,33310,30.47,1696910400000,937,
2023-10-11,30.72,30.72,30.22,30.27,24890,30.3669,1696996800000,767,
2023-10-12,30.44,30.73,29.36,29.72,24561,29.7449,1697083200000,1129,
2023-10-13,29.83,30.0,28.34,28.59,58034,28.5832,1697169600000,1498,
2023-10-16,29.04,29.35,28.26,29.22,52248,29.1635,1697428800000,1816,
2023-10-17,29.5,30.52,28.84,29.87,38098,29.9122,1697515200000,1010,
2023-10-18,29.46,30.035,28.775,28.85,33349,28.9491,1697601600000,1109,
2023-10-19,28.88,29.61,28.45,28.59,37887,28.71,1697688000000,889,
2023-10-20,28.56,28.56,28.091,28.25,34182,28.3039,1697774400000,876,
2023-10-23,28.07,28.2,27.23,27.33,31815,27.6011,1698033600000,1071,
2023-10-24,27.85,27.96,27.44,27.89,26631,27.7723,1698120000000,625,
2023-10-25,27.51,27.7,27.0,27.45,41304,27.4577,1698206400000,949,
2023-10-26,27.65,27.87,27.22,27.53,51960,27.5198,1698292800000,802,
2023-10-27,27.46,27.78,27.25,27.62,41263,27.5136,1698379200000,779,
2023-10-30,27.77,27.87,27.36,27.65,33759,27.6131,1698638400000,821,
2023-10-31,27.95,27.96,27.57,27.6,31213,27.7151,1698724800000,538,
2023-11-01,27.26,28.8063,27.26,28.37,50446,28.2343,1698811200000,1253,
2023-11-02,28.11,28.11,25.43,25.49,97973,25.7324,1698897600000,1619,
2023-11-03,26.29,26.505,25.31,26.19,81879,26.1407,1698984000000,1593,
2023-11-06,26.33,26.55,25.9,26.17,63418,26.171,1699246800000,1262,
2023-11-07,26.28,26.67,26.165,26.4,48122,26.3858,1699333200000,1168,
2023-11-08,26.54,26.69,25.9137,25.99,43697,26.0472,1699419600000,984,
2023-11-09,26.08,26.4,25.47,25.74,114230,25.7456,1699506000000,1173,
2023-11-10,26.13,26.13,25.58,25.9,45439,25.8739,1699592400000,913,
2023-11-13,25.8,26.2112,25.52,25.97,43934,25.955,1699851600000,1116,
2023-11-14,26.96,27.79,26.81,27.6,58565,27.4643,1699938000000,1288,
2023-11-15,27.7,27.84,26.98,26.98,59226,27.1846,1700024400000,1524,
2023-11-16,27.22,27.22,25.98,26.12,70287,26.3107,1700110800000,1803,
2023-11-17,26.5,26.66,25.905,26.49,67303,26.352,1700197200000,1402,
2023-11-20,26.49,26.75,26.28,26.53,61557,26.5662,1700456400000,1343,
2023-11-21,25.98,26.64,25.88,26.2,146710,26.2327,1700542800000,1222,
2023-11-22,26.6,26.6,26.25,26.36,60648,26.3525,1700629200000,993,
2023-11-24,26.44,26.95,26.23,26.82,13306,26.741,1700802000000,463,
2023-11-27,26.78,26.78,26.1,26.1,33638,26.2514,1701061200000,917,
2023-11-28,26.18,26.295,25.12,25.19,48356,25.4783,1701147600000,1274,
2023-11-29,25.57,26.1499,25.57,26.02,58205,25.9118,1701234000000,1220,
2023-11-30,26.08,26.33,25.77,26.08,41631,26.0995,1701320400000,1394,
2023-12-01,26.01,27.01,26.01,26.95,47744,26.8215,1701406800000,1573,
2023-12-04,26.97,27.58,26.97,27.58,37376,27.3815,1701666000000,1231,
2023-12-05,27.6,28.3,27.1341,28.21,97518,27.8659,1701752400000,1835,
2023-12-06,28.31,28.49,27.86,28.2,76222,28.1645,1701838800000,1616,
2023-12-07,28.21,28.5151,27.48,27.62,31718,27.7587,1701925200000,1356,
2023-12-08,27.72,28.185,27.14,27.92,31716,27.917,1702011600000,1109,
2023-12-11,27.89,27.95,27.16,27.36,54225,27.3814,1702270800000,1444,
2023-12-12,27.52,27.635,27.0,27.61,47269,27.4503,1702357200000,1274,
2023-12-13,27.77,29.06,27.09,29.0,85500,28.3494,1702443600000,1799,
2023-12-14,29.48,31.26,29.48,31.09,113757,30.9127,1702530000000,2199,
2023-12-15,31.33,32.13,31.01,31.21,209351,31.3,1702616400000,3049,
2023-12-18,31.36,31.36,29.95,30.06,61478,30.1524,1702875600000,2837,
2023-12-19,30.5,30.92,30.04,30.42,79788,30.4301,1702962000000,1387,
2023-12-20,30.54,31.42,30.34,30.39,48211,30.9389,1703048400000,1437,
2023-12-21,30.56,31.03,30.2,30.48,55524,30.5744,1703134800000,1495,
2023-12-22,30.81,31.2961,30.403,30.72,33718,30.6595,1703221200000,1017,
2023-12-26,30.54,31.23,30.54,31.03,36241,30.977,1703566800000,1051,
2023-12-27,31.19,31.19,30.78,30.97,20738,30.9568,1703653200000,785,
2023-12-28,30.75,31.1199,30.6,30.8,44072,30.8237,1703739600000,915,
2023-12-29,30.9,30.9,30.21,30.21,32878,30.4029,1703826000000,824,
2024-01-02,30.03,30.16,29.38,29.55,47521,29.6585,1704171600000,1340,
2024-01-03,29.43,29.43,28.48,28.54,31506,28.741,1704258000000,859,
