Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2023-10-10,141.04,142.73,140.355,141.4,3343103.0,141.5934,1696910400000,61380,
2023-10-11,142.82,142.94,140.81,142.18,5137123.0,141.9679,1696996800000,81352,
2023-10-12,143.0,148.4,142.77,145.0,8109885.0,146.0748,1697083200000,118557,
2023-10-13,147.05,147.105,140.72,141.14,6601398.0,142.0609,1697169600000,93952,
2023-10-16,141.76,142.655,139.7352,141.0,6097400.0,141.2005,1697428800000,83090,
2023-10-17,139.13,142.79,136.81,142.72,5915937.0,141.1182,1697515200000,91502,
2023-10-18,139.9,142.48,138.1,141.45,5357936.0,140.9172,1697601600000,87230,
2023-10-19,142.84,143.05,133.7735,134.43,9400323.0,135.7764,1697688000000,138729,
2023-10-20,134.52,136.15,133.36,134.12,6149460.0,134.6398,1697774400000,96261,
2023-10-23,133.2,135.805,131.9,134.23,3820145.0,134.3305,1698033600000,71977,
2023-10-24,135.33,135.55,133.5139,134.9,5238786.0,134.6498,1698120000000,90442,
2023-10-25,133.07,133.26,129.75,130.11,7118080.0,130.8689,1698206400000,112653,
2023-10-26,131.11,134.41,130.51,130.84,5462708.0,131.7322,1698292800000,88204,
2023-10-27,131.27,133.11,130.56,131.3,4397310.0,131.3656,1698379200000,78800,
2023-10-30,131.96,132.96,129.82,131.03,4604623.0,131.1984,1698638400000,73133,
2023-10-31,131.8,132.55,129.21,132.35,4108171.0,131.6987,1698724800000,60688,
2023-11-01,133.03,135.83,132.775,135.29,5127781.0,134.6761,1698811200000,61488,
2023-11-02,137.81,139.78,136.67,138.51,6088377.0,138.6769,1698897600000,90354,
2023-11-03,139.49,141.77,139.075,139.75,5560310.0,140.2096,1698984000000,72228,
2023-11-06,140.4,140.79,139.21,140.36,4823202.0,140.2262,1699246800000,72218,
2023-11-07,140.0,141.92,139.69,141.74,4886905.0,141.3824,1699333200000,65793,
2023-11-08,142.37,144.525,141.61,144.23,4305862.0,143.8125,1699419600000,61810,
2023-11-09,144.9,147.21,142.8901,143.17,4979876.0,144.5328,1699506000000,65900,
2023-11-10,145.19,150.99,144.67,150.68,6700875.0,149.431,1699592400000,93249,
2023-11-13,149.0,150.25,147.55,149.74,4125187.0,149.47,1699851600000,71432,
2023-11-14,153.03,154.91,152.14,154.08,6504983.0,153.7284,1699938000000,89444,
2023-11-15,154.97,156.77,154.06,155.37,4383341.0,155.43,1700024400000,72387,
