Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2023-10-12,7.9,7.98,7.81,7.86,4935734.0,7.8937,1697083200000,13226,
2023-10-13,7.9,7.91,7.63,7.66,7347444.0,7.701,1697169600000,22567,
2023-10-16,7.75,7.96,7.75,7.94,8088728.0,7.9129,1697428800000,21235,
2023-10-17,7.83,7.89,7.69,7.81,5016910.0,7.8127,1697515200000,15395,
2023-10-18,7.78,7.82,7.72,7.75,4248979.0,7.7606,1697601600000,13308,
2023-10-19,7.84,7.89,7.71,7.72,7411898.0,7.7734,1697688000000,16737,
2023-10-20,7.82,7.935,7.71,7.71,6972276.0,7.7674,1697774400000,18630,
2023-10-23,7.6,7.77,7.54,7.63,4768831.0,7.6656,1698033600000,12221,
2023-10-24,7.64,7.73,7.57,7.72,4068107.0,7.6948,1698120000000,13210,
2023-10-25,7.6,7.61,7.41,7.46,6326232.0,7.486,1698206400000,18902,
2023-10-26,7.42,7.575,7.38,7.4,4864449.0,7.4535,1698292800000,13234,
2023-10-27,7.52,7.56,7.42,7.48,5024170.0,7.4661,1698379200000,15119,
2023-10-30,7.45,7.515,7.33,7.36,4471066.0,7.3964,1698638400000,13294,
2023-10-31,7.43,7.45,7.34,7.45,4853458.0,7.4081,1698724800000,17005,
2023-11-01,7.5,7.64,7.435,7.62,5582931.0,7.5589,1698811200000,14322,
2023-11-02,7.72,7.9,7.68,7.84,5861081.0,7.8268,1698897600000,19096,
2023-11-03,7.93,8.06,7.91,8.03,5297324.0,8.0143,1698984000000,11769,
2023-11-06,8.03,8.07,7.955,8.01,3144683.0,8.0098,1699246800000,10545,
2023-11-07,7.92,7.96,7.87,7.91,3123348.0,7.9095,1699333200000,12718,
2023-11-08,7.91,7.98,7.885,7.91,2877426.0,7.9196,1699419600000,10612,
2023-11-09,7.94,8.045,7.83,7.85,5415672.0,7.8904,1699506000000,12108,
2023-11-10,7.93,8.23,7.91,8.18,6541904.0,8.141,1699592400000,18687,
2023-11-13,8.2,8.28,8.155,8.17,4590435.0,8.1972,1699851600000,18249,
2023-11-14,8.35,8.505,8.35,8.5,4652420.0,8.4639,1699938000000,14640,
2023-11-15,8.54,8.5985,8.485,8.53,3566186.0,8.5334,1700024400000,13553,
2023-11-16,8.46,8.56,8.46,8.51,5226847.0,8.5092,1700110800000,13692,
2023-11-17,8.5,8.58,8.49,8.52,7470449.0,8.5247,1700197200000,21410,
2023-11-20,8.51,8.69,8.5,8.66,4147001.0,8.6298,1700456400000,13058,
2023-11-21,8.68,8.725,8.56,8.58,5557362.0,8.5991,1700542800000,17638,
2023-11-22,8.62,8.65,8.52,8.58,3807471.0,8.586,1700629200000,10476,
2023-11-24,8.58,8.605,8.545,8.58,1425559.0,8.5743,1700802000000,5504,
2023-11-27,8.56,8.56,8.5,8.5,2322191.0,8.518,1701061200000,11209,
2023-11-28,8.5,8.52,8.41,8.48,3686435.0,8.4629,1701147600000,12728,
2023-11-29,8.63,8.75,8.61,8.65,4303478.0,8.6667,1701234000000,13708,
2023-11-30,8.69,8.7,8.56,8.6,6670246.0,8.6122,1701320400000,18282,
2023-12-01,8.6,8.74,8.59,8.74,3594602.0,8.6898,1701406800000,10530,
2023-12-04,8.71,8.72,8.56,8.63,4671552.0,8.6225,1701666000000,15078,
2023-12-05,8.6,8.63,8.54,8.59,4212735.0,8.5758,1701752400000,15054,
2023-12-06,8.64,8.71,8.57,8.59,5671967.0,8.6256,1701838800000,14732,
2023-12-07,8.53,8.695,8.51,8.67,4748989.0,8.6517,1701925200000,12495,
2023-12-08,8.67,8.81,8.67,8.77,3737644.0,8.7573,1702011600000,11385,
2023-12-11,8.76,8.95,8.7552,8.94,5291089.0,8.8979,1702270800000,15076,
2023-12-12,8.82,8.9,8.745,8.89,3164111.0,8.8409,1702357200000,11440,
2023-12-13,8.88,9.05,8.82,9.0,5064400.0,8.9715,1702443600000,12997,
2023-12-14,9.08,9.155,9.01,9.1,9200557.0,9.095,1702530000000,25036,
2023-12-15,8.92,9.18,8.92,9.06,5866130.0,9.0826,1702616400000,18271,
2023-12-18,9.05,9.115,8.99,9.08,4726524.0,9.0685,1702875600000,12404,
2023-12-19,9.09,9.19,9.085,9.17,3635210.0,9.1548,1702962000000,12065,
2023-12-20,9.08,9.12,8.86,8.88,5086196.0,8.9518,1703048400000,14285,
2023-12-21,9.02,9.1,8.98,9.08,4485658.0,9.0471,1703134800000,11718,
2023-12-22,9.11,9.2,9.095,9.16,2807024.0,9.1574,1703221200000,8568,
2023-12-26,9.19,9.44,9.19,9.39,5067616.0,9.382,1703566800000,12430,
2023-12-27,9.41,9.48,9.36,9.43,3649564.0,9.4157,1703653200000,10948,
2023-12-28,9.54,9.55,9.43,9.45,5045778.0,9.4632,1703739600000,11154,
2023-12-29,9.41,9.47,9.35,9.41,2886697.0,9.4084,1703826000000,9675,
2024-01-02,9.23,9.24,9.01,9.08,6495856.0,9.0942,1704171600000,17703,
2024-01-03,8.8,8.8,8.58,8.6,7122737.0,8.634,1704258000000,20676,
2024-01-04,8.66,8.745,8.59,8.59,6012578.0,8.6402,1704344400000,14429,
2024-01-05,8.55,8.66,8.5,8.57,4537860.0,8.579,1704430800000,12596,
2024-01-08,8.57,8.81,8.57,8.8,5940370.0,8.7684,1704690000000,15593,
2024-01-09,8.7,8.8,8.63,8.76,4918824.0,8.7436,1704776400000,12485,
2024-01-10,8.78,8.82,8.65,8.77,4944185.0,8.7646,1704862800000,15792,
2024-01-11,8.72,8.82,8.61,8.77,6616862.0,8.7436,1704949200000,17290,
2024-01-12,8.78,8.88,8.75,8.75,3549088.0,8.7891,1705035600000,10223,
2024-01-16,8.68,8.77,8.6,8.72,4890895.0,8.7029,1705381200000,12608,
2024-01-17,8.62,8.65,8.505,8.63,5709554.0,8.5863,1705467600000,16927,
2024-01-18,8.88,9.06,8.87,9.05,8272388.0,9.0111,1705554000000,23378,
2024-01-19,9.11,9.3,9.1025,9.27,7966952.0,9.2295,1705640400000,19324,
2024-01-22,9.39,9.47,9.335,9.39,4359178.0,9.3859,1705899600000,13628,
2024-01-23,9.39,9.4951,9.365,9.47,5563715.0,9.4363,1705986000000,17617,
2024-01-24,9.51,9.62,9.45,9.52,7511743.0,9.5215,1706072400000,19246,
2024-01-25,9.67,9.775,9.62,9.63,7152884.0,9.6748,1706158800000,19855,
2024-01-26,9.57,9.61,9.42,9.44,5485787.0,9.4728,1706245200000,18044,
2024-01-29,9.45,9.5,9.37,9.48,4052259.0,9.4364,1706504400000,12459,
2024-01-30,9.52,9.545,9.37,9.38,4100493.0,9.4151,1706590800000,14239,
2024-01-31,9.36,9.43,9.2,9.29,6739973.0,9.2919,1706677200000,22573,
