Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2023-10-10,7.84,8.12,7.72,7.75,26459.0,7.916,1696910400000,456,
2023-10-11,7.83,7.9001,7.67,7.69,6455.0,7.7652,1696996800000,145,
2023-10-12,7.63,7.8168,7.63,7.77,7006.0,7.7541,1697083200000,232,
2023-10-13,7.77,7.8,7.51,7.57,8983.0,7.6204,1697169600000,163,
2023-10-16,7.68,7.855,7.585,7.71,17778.0,7.7237,1697428800000,541,
2023-10-17,8.05,8.07,7.8,7.98,31936.0,7.9715,1697515200000,455,
2023-10-18,7.865,8.11,7.865,8.0,9212.0,8.0142,1697601600000,236,
2023-10-19,7.95,8.09,7.6351,7.81,7204.0,7.8873,1697688000000,235,
2023-10-20,7.78,7.88,7.74,7.78,12164.0,7.7892,1697774400000,244,
2023-10-23,7.7147,7.7147,7.1,7.36,48357.0,7.3214,1698033600000,470,
2023-10-24,7.39,7.57,7.1,7.18,27117.0,7.2296,1698120000000,327,
2023-10-25,7.1001,7.2651,7.1001,7.15,25095.0,7.1687,1698206400000,344,
2023-10-26,7.0,7.25,6.95,7.05,50886.0,7.0525,1698292800000,304,
2023-10-27,7.06,7.49,7.05,7.31,14495.0,7.1995,1698379200000,193,
2023-10-30,7.36,7.36,7.22,7.25,5895.0,7.2858,1698638400000,143,
2023-10-31,7.25,7.29,7.12,7.165,7667.0,7.1983,1698724800000,196,
2023-11-01,7.3755,7.3755,6.85,6.9,7781.0,6.9786,1698811200000,180,
2023-11-02,6.9,7.27,6.84,7.26,22043.0,7.0776,1698897600000,340,
2023-11-03,7.075,7.72,7.075,7.41,25292.0,7.4024,1698984000000,372,
2023-11-06,7.51,7.6793,7.2401,7.45,15597.0,7.4725,1699246800000,204,
2023-11-07,7.25,7.55,7.24,7.36,9312.0,7.3704,1699333200000,148,
2023-11-08,7.45,7.45,6.86,6.93,20841.0,7.0932,1699419600000,331,
2023-11-09,6.86,7.29,6.86,7.28,5839.0,7.2125,1699506000000,227,
2023-11-10,7.15,7.26,7.05,7.14,6996.0,7.1256,1699592400000,116,
2023-11-13,7.11,7.26,6.85,7.23,5201.0,7.1085,1699851600000,267,
2023-11-14,7.325,7.49,7.245,7.37,13702.0,7.3766,1699938000000,170,
2023-11-15,7.49,7.765,7.16,7.2,40822.0,7.4391,1700024400000,448,
2023-11-16,7.28,7.49,7.2,7.43,12258.0,7.3909,1700110800000,266,
2023-11-17,7.38,7.635,7.08,7.5,19830.0,7.4213,1700197200000,170,
2023-11-20,7.49,7.705,7.3,7.7,16314.0,7.5074,1700456400000,202,
2023-11-21,7.53,7.68,7.4001,7.56,9062.0,7.4873,1700542800000,339,
2023-11-22,7.68,7.82,7.6,7.65,4321.0,7.6988,1700629200000,114,
2023-11-24,7.58,7.9625,7.57,7.58,21007.0,7.7255,1700802000000,122,
2023-11-27,7.9471,8.11,7.57,7.67,48340.0,7.6707,1701061200000,439,
2023-11-28,7.63,7.935,7.27,7.76,17786.0,7.5953,1701147600000,195,
2023-11-29,7.76,7.89,7.47,7.7,12454.0,7.6738,1701234000000,184,
2023-11-30,7.71,7.86,7.56,7.74,22166.0,7.778,1701320400000,247,
2023-12-01,7.82,8.0206,7.57,7.73,26976.0,7.776,1701406800000,240,
2023-12-04,7.6,7.7,7.485,7.5,13149.0,7.5708,1701666000000,314,
2023-12-05,7.5,7.8174,7.3,7.3,15894.0,7.4298,1701752400000,327,
2023-12-06,7.01,7.1743,6.6006,6.72,51687.0,6.8883,1701838800000,475,
2023-12-07,6.8908,6.99,6.56,6.76,58563.0,6.6754,1701925200000,586,
2023-12-08,6.75,6.85,6.535,6.55,42964.0,6.6525,1702011600000,516,
2023-12-11,6.61,6.61,6.35,6.51,28343.0,6.5133,1702270800000,388,
2023-12-12,6.38,6.38,5.9,5.98,128761.0,6.1135,1702357200000,849,
2023-12-13,6.05,6.21,5.95,5.99,613033.0,4.7136,1702443600000,2480,
2023-12-14,4.14,4.4,4.05,4.1,2020837.0,4.1587,1702530000000,14920,
2023-12-15,4.19,4.2,3.9,3.93,383220.0,4.0228,1702616400000,3440,
2023-12-18,3.9,3.99,3.88,3.95,313676.0,3.9426,1702875600000,1879,
2023-12-19,3.96,3.965,3.5927,3.69,440229.0,3.7776,1702962000000,2588,
2023-12-20,3.95,4.18,3.71,4.01,603961.0,3.9735,1703048400000,2956,
2023-12-21,4.1,4.25,4.07,4.23,225375.0,4.1818,1703134800000,1587,
2023-12-22,4.23,4.3,4.03,4.12,247957.0,4.153,1703221200000,1736,
2023-12-26,4.09,4.15,3.98,4.15,171126.0,4.0757,1703566800000,1304,
2023-12-27,4.16,4.26,4.15,4.2,203810.0,4.18,1703653200000,955,
2023-12-28,4.2,4.27,4.15,4.27,104178.0,4.216,1703739600000,738,
2023-12-29,4.21,4.27,4.11,4.2,121202.0,4.2058,1703826000000,979,
2024-01-02,4.25,4.36,4.18,4.33,161334.0,4.2856,1704171600000,1017,
2024-01-03,4.31,4.33,4.18,4.23,111109.0,4.2671,1704258000000,837,
2024-01-04,4.21,4.21,4.02,4.13,121732.0,4.1096,1704344400000,797,
2024-01-05,4.15,4.21,4.09,4.21,65678.0,4.1622,1704430800000,530,
2024-01-08,4.21,4.25,4.11,4.15,68289.0,4.1691,1704690000000,435,
2024-01-09,4.16,4.17,4.1,4.11,63393.0,4.14,1704776400000,433,
2024-01-10,4.11,4.1276,3.93,3.96,106858.0,4.0017,1704862800000,770,
2024-01-11,4.0,4.0,3.86,3.99,182885.0,3.9531,1704949200000,1139,
2024-01-12,4.04,4.08,3.93,4.03,41991.0,4.012,1705035600000,394,
2024-01-16,4.02,4.12,3.96,4.1,164022.0,4.0411,1705381200000,833,
2024-01-17,4.05,4.12,4.05,4.11,66014.0,4.0858,1705467600000,519,
2024-01-18,4.09,4.23,4.065,4.23,71599.0,4.1524,1705554000000,631,
2024-01-19,4.2129,4.22,4.12,4.21,111236.0,4.1649,1705640400000,644,
2024-01-22,4.16,4.3399,4.12,4.29,84908.0,4.235,1705899600000,531,
2024-01-23,4.25,4.65,4.25,4.47,219804.0,4.457,1705986000000,1324,
2024-01-24,4.52,4.52,4.2,4.33,62133.0,4.3829,1706072400000,580,
2024-01-25,4.35,4.5,4.32,4.36,46348.0,4.3954,1706158800000,510,
2024-01-26,4.33,4.55,4.302,4.4,65824.0,4.4215,1706245200000,700,
2024-01-29,4.4096,4.4096,4.195,4.23,37333.0,4.2705,1706504400000,578,
2024-01-30,4.23,4.3,4.02,4.02,60232.0,4.1465,1706590800000,373,
2024-01-31,4.05,4.17,4.05,4.08,18671.0,4.0878,1706677200000,194,
2024-02-01,4.1,4.14,3.98,4.02,37975.0,4.0287,1706763600000,251,
2024-02-02,4.04,4.05,3.9,4.04,47409.0,3.988,1706850000000,347,
2024-02-05,4.01,4.07,3.9002,3.98,54208.0,3.9558,1707109200000,435,
2024-02-06,3.95,4.07,3.95,4.0,26471.0,4.0164,1707195600000,254,
2024-02-07,3.98,4.0599,3.97,4.0,24331.0,4.0064,1707282000000,268,
2024-02-08,3.96,4.09,3.96,4.06,45258.0,4.0348,1707368400000,318,
2024-02-09,4.0,4.09,3.37,3.44,642258.0,3.6032,1707454800000,2900,
2024-02-12,3.8,4.48,3.78,4.32,448314.0,4.1827,1707714000000,3068,
2024-02-13,4.19,4.3,4.14,4.24,106213.0,4.2103,1707800400000,635,
2024-02-14,4.19,4.5927,4.19,4.57,104902.0,4.3716,1707886800000,834,
2024-02-15,4.52,4.85,4.52,4.75,93970.0,4.7131,1707973200000,754,
2024-02-16,4.88,4.88,4.53,4.61,89706.0,4.633,1708059600000,771,
2024-02-20,4.58,4.6698,4.3801,4.44,63181.0,4.5294,1708405200000,641,
2024-02-21,4.45,4.68,4.35,4.66,57237.0,4.5642,1708491600000,494,
2024-02-22,4.66,4.84,4.66,4.79,47950.0,4.7455,1708578000000,635,
2024-02-23,4.77,4.77,4.67,4.76,27710.0,4.7141,1708664400000,380,
2024-02-26,4.74,5.05,4.74,4.99,51772.0,4.9018,1708923600000,498,
2024-02-27,5.05,5.08,4.83,4.83,94576.0,4.9914,1709010000000,575,
2024-02-28,4.83,4.8682,4.7901,4.8,14748.0,4.8159,1709096400000,170,
2024-02-29,4.85,4.885,4.8,4.81,33874.0,4.8465,1709182800000,302,
2024-03-01,4.86,4.99,4.8,4.83,47835.0,4.9074,1709269200000,294,
2024-03-04,4.89,5.0287,4.85,4.87,54138.0,4.9452,1709528400000,626,
2024-03-05,4.85,4.92,4.81,4.82,6604.0,4.8479,1709614800000,165,
2024-03-06,4.83,4.9073,4.8,4.82,18974.0,4.8405,1709701200000,270,
2024-03-07,4.87,4.9097,4.69,4.76,86011.0,4.7724,1709787600000,615,
2024-03-08,4.75,5.0,4.68,4.87,83822.0,4.8382,1709874000000,451,
2024-03-11,4.92,4.92,4.65,4.7,53655.0,4.7483,1710129600000,448,
2024-03-12,4.69,4.81,4.69,4.74,46889.0,4.7278,1710216000000,372,
2024-03-13,4.7627,4.79,4.72,4.72,22487.0,4.747,1710302400000,244,
2024-03-14,4.71,4.8,4.7,4.73,79272.0,4.7336,1710388800000,379,
2024-03-15,4.7034,4.78,4.7,4.73,58226.0,4.7296,1710475200000,461,
2024-03-18,4.79,4.85,4.73,4.74,40886.0,4.7705,1710734400000,614,
2024-03-19,4.75,4.8,4.65,4.73,61786.0,4.713,1710820800000,333,
2024-03-20,4.75,4.97,4.75,4.95,20016.0,4.8792,1710907200000,295,
2024-03-21,5.0,5.29,4.96,5.255,58571.0,5.1495,1710993600000,485,
2024-03-22,5.29,5.29,5.0967,5.14,16511.0,5.1555,1711080000000,228,
2024-03-25,5.18,5.4,5.14,5.31,54274.0,5.2662,1711339200000,571,
2024-03-26,5.39,5.4088,5.26,5.29,27740.0,5.3176,1711425600000,296,
2024-03-27,5.31,5.34,5.2306,5.33,19442.0,5.311,1711512000000,227,
2024-03-28,5.27,5.4494,5.2215,5.41,27962.0,5.3511,1711598400000,257,
2024-04-01,5.49,5.59,5.4084,5.43,47560.0,5.5245,1711944000000,441,
2024-04-02,5.3501,5.52,5.3301,5.49,27066.0,5.4534,1712030400000,514,
2024-04-03,5.48,5.51,5.36,5.37,17981.0,5.4453,1712116800000,186,
2024-04-04,5.32,5.415,5.14,5.2,19080.0,5.3399,1712203200000,213,
2024-04-05,5.15,5.3,5.15,5.22,24993.0,5.1995,1712289600000,309,
2024-04-08,5.27,5.4,4.83,4.91,153300.0,5.0204,1712548800000,759,
2024-04-09,4.99,5.0999,4.92,5.0,63085.0,5.0256,1712635200000,401,
2024-04-10,4.94,4.97,4.81,4.97,23777.0,4.8887,1712721600000,402,
2024-04-11,4.93,5.0335,4.91,4.96,15456.0,4.9811,1712808000000,206,
2024-04-12,4.97,5.005,4.75,4.75,36005.0,4.9199,1712894400000,542,
2024-04-15,4.77,4.89,4.75,4.8,21250.0,4.8224,1713153600000,221,
2024-04-16,4.82,4.9,4.75,4.84,35194.0,4.8334,1713240000000,507,
2024-04-17,4.83,4.88,4.75,4.75,16932.0,4.8466,1713326400000,162,
2024-04-18,4.7501,4.88,4.7501,4.88,14575.0,4.8447,1713412800000,239,
2024-04-19,4.85,4.88,4.7,4.75,56758.0,4.8063,1713499200000,520,
2024-04-22,4.78,4.78,4.6,4.65,40365.0,4.6787,1713758400000,378,
2024-04-23,4.61,4.85,4.6,4.76,33634.0,4.732,1713844800000,378,
2024-04-24,4.8999,4.8999,4.7301,4.87,15576.0,4.846,1713931200000,340,
2024-04-25,4.8493,4.89,4.76,4.83,14811.0,4.816,1714017600000,195,
2024-04-26,4.7848,4.965,4.7848,4.92,29188.0,4.8846,1714104000000,337,
2024-04-29,4.89,4.98,4.84,4.87,10277.0,4.8899,1714363200000,167,
2024-04-30,4.85,4.87,4.73,4.82,42292.0,4.8109,1714449600000,227,
2024-05-01,4.76,4.94,4.76,4.88,28920.0,4.8335,1714536000000,518,
2024-05-02,4.88,4.88,4.7,4.75,29129.0,4.7957,1714622400000,375,
2024-05-03,4.77,4.8931,4.77,4.86,11126.0,4.8592,1714708800000,184,
2024-05-06,4.85,5.045,4.85,4.99,18498.0,4.9793,1714968000000,297,
2024-05-07,5.06,5.095,4.75,4.75,20278.0,4.8779,1715054400000,225,
2024-05-08,4.78,4.9739,4.72,4.96,27607.0,4.9312,1715140800000,485,
2024-05-09,5.01,5.3,4.91,5.24,98401.0,5.1676,1715227200000,1813,
2024-05-10,5.24,5.32,5.16,5.17,31160.0,5.2047,1715313600000,228,
2024-05-13,5.16,5.46,5.16,5.32,66349.0,5.3188,1715572800000,582,
2024-05-14,5.42,5.45,5.34,5.34,14051.0,5.3942,1715659200000,232,
2024-05-15,5.4,5.4,5.1401,5.35,37584.0,5.258,1715745600000,387,
2024-05-16,5.39,5.4,5.27,5.27,15804.0,5.3538,1715832000000,260,
2024-05-17,5.27,5.37,5.27,5.31,7408.0,5.336,1715918400000,177,
2024-05-20,5.4,5.4,5.25,5.28,11392.0,5.3234,1716177600000,230,
2024-05-21,5.259,5.3781,5.16,5.16,29775.0,5.23,1716264000000,233,
2024-05-22,5.28,5.41,5.14,5.35,15518.0,5.3219,1716350400000,385,
2024-05-23,5.4,5.57,5.33,5.35,59824.0,5.4471,1716436800000,595,
