Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2023-10-10,2.42,2.51,2.41,2.48,94389.0,2.4833,1696910400000,1044,
2023-10-11,2.51,2.5434,2.45,2.49,155956.0,2.4934,1696996800000,1339,
2023-10-12,2.49,2.495,2.42,2.44,150042.0,2.4522,1697083200000,1373,
2023-10-13,2.43,2.43,2.3,2.33,105302.0,2.3472,1697169600000,928,
2023-10-16,2.32,2.38,2.3,2.35,200871.0,2.3567,1697428800000,1297,
2023-10-17,2.35,2.3791,2.32,2.34,156627.0,2.3417,1697515200000,1362,
2023-10-18,2.33,2.33,2.255,2.28,200792.0,2.2735,1697601600000,1428,
2023-10-19,2.29,2.325,2.26,2.28,146446.0,2.2905,1697688000000,1338,
2023-10-20,2.3,2.31,2.21,2.24,167556.0,2.2319,1697774400000,1468,
2023-10-23,2.25,2.29,2.23,2.25,118086.0,2.251,1698033600000,809,
2023-10-24,2.28,2.28,2.155,2.21,257148.0,2.1931,1698120000000,1835,
2023-10-25,2.21,2.21,2.125,2.14,248356.0,2.144,1698206400000,2097,
2023-10-26,2.12,2.16,2.0799,2.08,393136.0,2.1188,1698292800000,3019,
2023-10-27,2.09,2.12,2.06,2.07,192528.0,2.0883,1698379200000,1041,
2023-10-30,2.09,2.095,2.01,2.03,128190.0,2.0365,1698638400000,840,
2023-10-31,2.0,2.095,1.9808,1.99,362649.0,2.0073,1698724800000,2062,
2023-11-01,1.98,2.01,1.895,1.93,361577.0,1.9639,1698811200000,2845,
2023-11-02,1.89,2.1,1.89,2.05,327578.0,2.0254,1698897600000,1320,
2023-11-03,2.01,2.281,2.01,2.25,258786.0,2.2148,1698984000000,1605,
2023-11-06,2.23,2.31,2.23,2.3,98514.0,2.2767,1699246800000,972,
2023-11-07,2.27,2.275,2.15,2.17,88799.0,2.1844,1699333200000,801,
2023-11-08,2.2,2.2,2.1,2.1,275356.0,2.1044,1699419600000,465,
2023-11-09,2.09,2.145,2.05,2.07,303275.0,2.1012,1699506000000,716,
2023-11-10,2.08,2.09,1.95,1.98,109504.0,1.9999,1699592400000,936,
2023-11-13,1.98,2.02,1.97,2.01,83715.0,1.9927,1699851600000,720,
2023-11-14,2.07,2.15,2.07,2.1,106958.0,2.1108,1699938000000,956,
2023-11-15,2.14,2.2,2.105,2.13,137937.0,2.1461,1700024400000,927,
2023-11-16,2.14,2.15,2.02,2.03,140571.0,2.061,1700110800000,879,
2023-11-17,2.02,2.05,1.98,2.04,79079.0,2.0125,1700197200000,845,
2023-11-20,2.03,2.05,2.02,2.05,79744.0,2.0404,1700456400000,527,
