Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2023-10-10,29.0,29.5,28.5,29.25,14770.6,29.2281,1696910400000,1499,
2023-10-11,29.5,29.75,28.75,28.75,15444.88,29.0481,1696996800000,1030,
2023-10-12,28.75,28.75,27.25,27.25,25987.6,27.6591,1697083200000,1813,
2023-10-13,27.75,27.9975,26.75,27.0,19844.48,27.2049,1697169600000,1838,
2023-10-16,27.75,29.5,27.5,27.5,73737.0,28.2317,1697428800000,7220,
2023-10-17,27.5,28.75,27.5,28.5,17286.68,28.3894,1697515200000,2001,
2023-10-18,28.0,28.25,27.0,27.0,20396.8,27.3299,1697601600000,2015,
2023-10-19,27.25,27.75,26.75,26.75,17512.96,27.0901,1697688000000,1331,
2023-10-20,27.0,28.0,26.5,26.5,32384.44,26.8941,1697774400000,2218,
2023-10-23,27.25,27.25,25.75,26.0,106990.76,26.6604,1698033600000,6516,
2023-10-24,28.25,28.25,25.9775,26.0,119034.32,26.9308,1698120000000,6542,
2023-10-25,26.25,26.5,25.25,25.5,58048.28,25.6529,1698206400000,3824,
2023-10-26,25.25,26.0,24.75,24.8,38816.16,25.2551,1698292800000,2829,
2023-10-27,25.0,25.4675,23.5,23.5,40605.32,24.3114,1698379200000,2706,
2023-10-30,24.18,24.9625,24.0,24.5825,32444.04,24.4893,1698638400000,2657,
2023-10-31,24.5,25.5,24.5,25.25,28175.56,25.1505,1698724800000,2197,
2023-11-01,25.5,25.5,23.415,23.5,31649.36,23.9818,1698811200000,2808,
2023-11-02,24.1625,24.675,22.865,23.505,47835.2,23.679,1698897600000,3698,
2023-11-03,23.5,24.25,23.25,24.25,34129.48,23.8809,1698984000000,2238,
2023-11-06,24.5,24.7425,22.75,22.7875,26880.8,23.6245,1699246800000,2657,
2023-11-07,23.135,23.6975,22.435,22.565,41035.84,22.7528,1699333200000,3342,
2023-11-08,22.7575,22.7575,16.0275,16.0325,173788.96,18.3787,1699419600000,11538,
2023-11-09,18.2525,19.54,16.1253,17.175,138371.92,17.9408,1699506000000,7832,
2023-11-10,17.7175,21.6925,17.0,19.8975,199827.44,20.103,1699592400000,10140,
2023-11-13,20.75,20.75,17.875,18.0,96655.64,18.5701,1699851600000,5723,
2023-11-14,19.5,25.25,19.0175,24.63,174877.72,22.7535,1699938000000,7252,
2023-11-15,25.0,30.0,25.0,29.25,141835.76,28.1194,1700024400000,7975,
2023-11-16,28.75,31.25,27.52,30.0,136653.8,29.4346,1700110800000,10671,
2023-11-17,29.75,32.0,25.75,31.75,118013.16,29.3773,1700197200000,8162,
2023-11-20,33.5,42.0,33.375,34.25,273132.12,37.4854,1700456400000,18829,
2023-11-21,34.0,42.75,31.25,40.75,244692.6,38.2242,1700542800000,15176,
2023-11-22,41.5,43.25,37.75,39.0,125314.36,40.5322,1700629200000,8500,
2023-11-24,39.5,49.25,38.0,47.0,184102.72,45.9329,1700802000000,11453,
2023-11-27,46.0,50.0,44.0,45.0,202980.8,46.483,1701061200000,12965,
2023-11-28,45.25,46.25,42.75,44.0,139498.28,44.4883,1701147600000,8576,
2023-11-29,44.75,45.75,40.5,41.5,134399.96,42.7894,1701234000000,9030,
2023-11-30,42.25,42.25,35.5,37.5,157254.48,38.0957,1701320400000,9470,
2023-12-01,38.5,47.75,38.25,47.0,195912.56,44.6304,1701406800000,11850,
2023-12-04,51.0,53.5,45.0,49.75,346019.04,49.7126,1701666000000,22236,
2023-12-05,49.25,52.5,46.5,47.25,215336.28,49.6431,1701752400000,13527,
2023-12-06,47.75,54.25,47.5,49.5,196196.84,50.8359,1701838800000,12883,
