Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2023-10-10,6.95,7.21,6.95,7.11,270920.0,7.1255,1696910400000,4649,
2023-10-11,7.09,7.28,7.04,7.15,395334.0,7.1619,1696996800000,4422,
2023-10-12,7.16,7.18,6.99,7.06,212762.0,7.0711,1697083200000,3281,
2023-10-13,7.02,7.08,6.905,6.92,239927.0,6.9664,1697169600000,4357,
2023-10-16,6.97,7.1092,6.9502,7.09,328067.0,7.0442,1697428800000,4263,
2023-10-17,7.1,7.225,7.08,7.14,290669.0,7.1514,1697515200000,4430,
2023-10-18,7.2,7.2129,6.78,6.79,266608.0,6.8826,1697601600000,3574,
2023-10-19,6.76,6.78,6.655,6.69,311123.0,6.7075,1697688000000,3541,
2023-10-20,6.71,6.71,6.47,6.49,631337.0,6.5231,1697774400000,6943,
2023-10-23,6.4,6.48,6.325,6.36,323177.0,6.3963,1698033600000,3990,
2023-10-24,6.44,6.49,6.3334,6.49,243184.0,6.4423,1698120000000,3047,
2023-10-25,6.41,6.445,6.28,6.36,282959.0,6.3725,1698206400000,3632,
2023-10-26,6.35,6.4791,6.3,6.42,220654.0,6.4143,1698292800000,3376,
2023-10-27,6.42,6.43,6.215,6.28,289605.0,6.2975,1698379200000,3529,
2023-10-30,6.32,6.42,6.3,6.41,164757.0,6.3877,1698638400000,2596,
2023-10-31,6.42,6.63,6.375,6.58,250214.0,6.5541,1698724800000,2875,
2023-11-01,6.56,6.56,6.31,6.35,471710.0,6.3828,1698811200000,5288,
2023-11-02,6.43,6.68,6.43,6.68,268203.0,6.6266,1698897600000,3765,
2023-11-03,6.78,6.98,6.765,6.8,309216.0,6.8592,1698984000000,4116,
2023-11-06,6.84,6.84,6.72,6.77,248966.0,6.772,1699246800000,3588,
2023-11-07,6.73,6.8175,6.69,6.76,208142.0,6.7644,1699333200000,3370,
2023-11-08,6.79,6.88,6.73,6.79,230025.0,6.7925,1699419600000,2963,
2023-11-09,6.82,6.88,6.65,6.65,311117.0,6.7331,1699506000000,4126,
2023-11-10,6.17,6.4665,5.97,6.39,518685.0,6.2921,1699592400000,4835,
2023-11-13,6.45,6.47,6.345,6.375,200504.0,6.385,1699851600000,2958,
2023-11-14,6.59,6.75,6.5,6.74,300112.0,6.6855,1699938000000,3819,
2023-11-15,6.73,6.855,6.685,6.72,303045.0,6.7491,1700024400000,4009,
2023-11-16,6.73,6.77,6.61,6.63,214502.0,6.67,1700110800000,3476,
2023-11-17,6.68,6.715,6.525,6.7,226632.0,6.6623,1700197200000,2990,
2023-11-20,6.69,6.77,6.67,6.72,288473.0,6.7186,1700456400000,3660,
2023-11-21,6.71,6.73,6.59,6.67,182939.0,6.6719,1700542800000,2872,
2023-11-22,6.69,6.76,6.69,6.71,166058.0,6.7177,1700629200000,2602,
2023-11-24,6.71,6.94,6.71,6.93,122237.0,6.873,1700802000000,1894,
2023-11-27,6.94,7.0,6.88,6.95,259546.0,6.9476,1701061200000,3674,
2023-11-28,6.93,7.06,6.83,7.05,265494.0,7.009,1701147600000,3575,
2023-11-29,7.13,7.18,7.025,7.03,181726.0,7.0782,1701234000000,2390,
2023-11-30,7.07,7.095,7.0,7.07,266603.0,7.0592,1701320400000,2023,
2023-12-01,7.04,7.22,7.02,7.21,218194.0,7.167,1701406800000,4385,
2023-12-04,7.21,7.325,7.19,7.29,201943.0,7.2759,1701666000000,4000,
2023-12-05,7.26,7.31,7.15,7.18,211441.0,7.2053,1701752400000,3847,
2023-12-06,7.24,7.37,7.2,7.22,172632.0,7.2823,1701838800000,3457,
2023-12-07,7.23,7.24,6.98,7.02,213945.0,7.0805,1701925200000,3279,
2023-12-08,7.0,7.17,7.0,7.15,173333.0,7.131,1702011600000,3548,
