Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2023-10-10,2.51,2.51,2.5,2.5,410,2.5201,1696910400000,8,
2023-10-16,3.3,3.3,3.3,3.3,490,3.2996,1697428800000,4,
2023-10-20,3.3,3.3,3.3,3.3,237,3.2997,1697774400000,3,
2023-10-23,3.25,3.25,3.25,3.25,240,3.2552,1698033600000,3,
2023-10-26,2.51,2.51,2.51,2.51,250,2.5315,1698292800000,6,
2023-10-27,2.5,5.0,2.5,5.0,1169,3.0793,1698379200000,15,
2023-11-06,4.2,4.2,4.2,4.2,175,4.1353,1699246800000,5,
2023-11-09,2.58,2.58,2.51,2.51,806,2.6246,1699506000000,7,
2023-11-10,4.0,4.0,3.0,3.0,1190,3.5127,1699592400000,16,
2023-11-13,2.56,2.56,2.5,2.5,457,2.5386,1699851600000,5,
2023-11-14,2.57,2.57,2.57,2.57,141,2.57,1699938000000,2,
2023-11-15,2.56,2.56,2.56,2.56,417,2.6382,1700024400000,13,
2023-11-16,2.27,2.27,2.27,2.27,136,2.2924,1700110800000,3,
2023-11-17,2.56,2.56,2.56,2.56,417,2.693,1700197200000,3,
2023-11-20,2.75,2.75,2.75,2.75,212,2.7721,1700456400000,4,
2023-11-24,3.54,3.54,3.54,3.54,152,3.54,1700802000000,2,
2023-11-28,2.25,4.0,2.25,4.0,2249,3.3829,1701147600000,24,
2023-12-01,2.32,2.32,2.31,2.31,449,2.6785,1701406800000,5,
2023-12-04,4.55,4.55,4.55,4.55,318,4.6654,1701666000000,11,
2023-12-05,4.5,4.5,3.52,3.52,1333,3.545,1701752400000,38,
2023-12-06,3.0,3.0,2.75,2.75,894,2.9984,1701838800000,23,
2023-12-07,2.5,2.5,2.02,2.02,860,2.2939,1701925200000,10,
2023-12-08,3.89,3.99,3.89,3.99,528,3.9299,1702011600000,6,
2023-12-11,3.1,3.1,1.91,2.3,3739,2.355,1702270800000,48,
2024-01-31,5.05,5.05,5.05,5.05,101,5.0495,1706677200000,2,
2024-02-01,5.5,5.5,5.5,5.5,101,5.5005,1706763600000,2,
2024-02-13,6.0,6.0,6.0,6.0,255,6.0,1707800400000,5,
2024-02-14,6.0,6.0,6.0,6.0,263,5.9192,1707886800000,8,
2024-02-15,6.0,6.15,6.0,6.15,256,6.0586,1707973200000,2,
2024-02-16,6.0,6.0,6.0,6.0,510,6.0108,1708059600000,2,
2024-02-22,6.0,6.02,6.0,6.02,1000,6.01,1708578000000,2,
2024-03-14,6.6,6.6,6.25,6.25,2000,6.336,1710388800000,5,
2024-03-20,6.25,6.25,6.25,6.25,521,6.25,1710907200000,1,
2024-04-05,8.5,8.5,8.0,8.0,1737,8.0432,1712289600000,11,
2024-04-30,8.0,8.0,8.0,8.0,125,8.0,1714449600000,1,
2024-05-07,16.0,36.85,16.0,16.0,709,31.3056,1715054400000,14,
2024-05-08,20.0,23.0,18.01,20.0,773,22.403,1715140800000,14,
2024-05-09,19.82,21.5,19.82,20.0,1971,20.491,1715227200000,24,
2024-05-10,20.0,20.0,20.0,20.0,318,20.0154,1715313600000,7,
2024-05-13,20.0,20.0,19.0,19.0,1091,19.5165,1715572800000,13,
2024-05-20,13.0,17.53,13.0,17.53,521,14.5298,1716177600000,10,
2024-05-21,18.8,18.8,17.58,17.58,363,17.1948,1716264000000,8,
2024-05-28,15.0,15.0,15.0,15.0,386,14.9948,1716868800000,4,
2024-05-30,13.95,13.95,13.95,13.95,267,14.1014,1717041600000,3,
2024-06-04,13.0,13.0,13.0,13.0,1001,12.9995,1717473600000,5,
2024-06-10,13.9,13.9,13.675,13.675,778,13.8398,1717992000000,4,
2024-06-13,13.01,13.01,13.01,13.01,250,13.01,1718251200000,3,
2024-06-14,17.5,17.5,16.0,16.0,1153,16.9376,1718337600000,10,
2024-06-17,17.28,17.4,17.28,17.4,640,17.36,1718596800000,9,
