Date,open,high,low,close,vwap,quarterly P/E diluted,quarterly P/E basic,TTM P/E,TTM eps,TTM earnings
2023-10-10,178.1,179.72,177.95,178.39,178.6901,30.771319096148066,30.63837571673092,29.130837720343315,6.134052913803197,96995000000.0
2023-10-11,178.2,179.85,177.6,179.8,178.9503,30.81612682320635,30.682989857981575,29.173256656674052,6.134052913803197,96995000000.0
2023-10-12,180.07,182.34,179.04,180.71,180.9482,31.160175085657347,31.02555170580894,29.498963009076757,6.134052913803197,96995000000.0
2023-10-13,181.42,181.93,178.14,178.85,179.4154,30.89621934378594,30.762736349509932,29.24907928268261,6.134052913803197,96995000000.0
2023-10-16,176.75,179.075,176.51,178.72,178.1478,30.67793235370491,30.545392439251174,29.042429614378058,6.134052913803197,96995000000.0
2023-10-17,176.645,178.42,174.8,177.15,176.8623,30.456562895082985,30.32497937784566,28.832861810176812,6.134052913803197,96995000000.0
2023-10-18,175.58,177.575,175.11,175.84,176.3501,30.36835952152705,30.237157075199292,28.749360737199854,6.134052913803197,96995000000.0
2023-10-19,176.04,177.84,175.19,175.46,176.2142,30.344956869308678,30.213855531018034,28.727205727794217,6.134052913803197,96995000000.0
2023-10-20,175.31,175.42,172.64,172.88,173.7456,29.91985173857815,29.790587010297962,28.32476381301304,6.134052913803197,96995000000.0
2023-10-23,170.91,174.01,169.93,173.0,172.3829,29.685188058092656,29.55693716294106,28.102610528855095,6.134052913803197,96995000000.0
2023-10-24,173.05,173.67,171.45,173.44,172.7333,29.74552867131796,29.617017082596057,28.159734261715553,6.134052913803197,96995000000.0
2023-10-25,171.88,173.06,170.65,171.1,171.4932,29.53197731726346,29.404388348680083,27.957567763084693,6.134052913803197,96995000000.0
2023-10-26,170.37,171.3775,165.67,166.89,167.5944,28.86058467216414,28.735896365943546,27.321968420401053,6.134052913803197,96995000000.0
2023-10-27,166.91,168.96,166.83,168.22,167.9071,28.91443315890944,28.789512207484975,27.372946135199754,6.134052913803197,96995000000.0
2023-10-30,169.02,171.17,168.87,170.29,170.0774,29.288169554123108,29.16163392445766,27.726757885847725,6.134052913803197,96995000000.0
2023-10-31,169.35,170.9,167.9,170.77,169.9252,29.261959961278095,29.135537566662308,27.70194557950822,6.134052913803197,96995000000.0
2023-11-01,171.0,174.23,170.12,173.97,172.6187,29.72579398445831,29.597367656818477,28.141051671002625,6.134052913803197,96995000000.0
2023-11-02,175.52,177.78,175.46,177.57,176.6797,30.425118271866832,30.29367060692956,28.80309356354348,6.134052913803197,96995000000.0
2023-11-03,174.24,176.82,173.35,176.65,175.5751,30.234900688052143,30.104274832811683,28.623016864577554,6.134052913803197,96995000000.0
2023-11-06,176.38,179.43,176.21,179.23,178.5589,30.74872580717786,30.61588003905188,29.109448925390996,6.134052913803197,96995000000.0
2023-11-07,179.18,182.44,178.97,181.82,181.2627,31.214333541306193,31.07947617707462,29.55023416770864,6.134052913803197,96995000000.0
2023-11-08,182.35,183.45,181.59,182.89,182.6566,31.454370016119967,31.318475606318607,29.777473811641837,6.134052913803197,96995000000.0
2023-11-09,182.96,184.12,181.81,182.41,182.9116,31.498282277456873,31.362198150588082,29.819045021343367,6.134052913803197,96995000000.0
2023-11-10,183.97,186.565,183.53,186.4,185.4104,31.928587997569263,31.790644792237327,30.22641027154802,6.134052913803197,96995000000.0
2023-11-13,185.82,186.03,184.21,184.8,184.8317,31.828932995076453,31.691420335889312,30.13206807917831,6.134052913803197,96995000000.0
2023-11-14,187.7,188.11,186.3,187.44,187.2038,32.23742034847752,32.09814287417015,30.51877814401361,6.134052913803197,96995000000.0
2023-11-15,187.845,189.5,187.78,188.01,188.4206,32.44695932728045,32.3067765677666,30.71714617524821,6.134052913803197,96995000000.0
2023-11-16,189.57,190.96,188.65,189.71,189.7109,32.66915536964519,32.528012641770125,30.927496496337955,6.134052913803197,96995000000.0
2023-11-17,190.25,190.38,188.57,189.69,189.6006,32.65016116405515,32.5091004981116,30.90951491033764,6.134052913803197,96995000000.0
2023-11-20,189.89,191.905,189.88,191.45,191.2984,32.94253072208573,32.800206912467324,31.186297654773956,6.134052913803197,96995000000.0
2023-11-21,191.41,191.52,189.74,190.64,190.51,32.806764342328805,32.665027093243594,31.057769255837925,6.134052913803197,96995000000.0
2023-11-22,191.49,192.93,190.825,191.31,191.7223,33.01552839887284,32.8728892125294,31.255403677489557,6.134052913803197,96995000000.0
2023-11-24,190.87,190.9,189.25,189.97,189.7898,32.682742339917674,32.541540911349976,30.940359117692665,6.134052913803197,96995000000.0
2023-11-27,189.92,190.67,188.9,189.79,189.7965,32.68389611305868,32.54268969976803,30.94145138084953,6.134052913803197,96995000000.0
2023-11-28,189.78,191.08,189.4,190.4,190.165,32.747353635814164,32.60587306276137,31.001525854477034,6.134052913803197,96995000000.0
2023-11-29,190.9,192.09,188.97,189.37,189.9974,32.7184920867943,32.577136206214064,30.974202973120263,6.134052913803197,96995000000.0
2023-11-30,189.84,190.32,188.19,189.95,189.3364,32.604664617211185,32.46380051302927,30.866443876599824,6.134052913803197,96995000000.0
2023-12-01,190.33,191.56,189.23,191.24,190.861,32.86720827852195,32.72520988947334,31.114990803309446,6.134052913803197,96995000000.0
2023-12-04,189.98,190.05,187.4511,189.43,188.916,32.53226965773654,32.39171832631992,30.797908439115417,6.134052913803197,96995000000.0
2023-12-05,190.21,194.4,190.18,193.42,193.1715,33.2650878072236,33.12137043274634,31.491658568075675,6.134052913803197,96995000000.0
2023-12-06,194.45,194.76,192.11,192.32,192.8013,33.2013375360592,33.057895586124545,31.431306953050157,6.134052913803197,96995000000.0
2023-12-07,193.63,195.0,193.59,194.27,194.3971,33.47614218955502,33.33151298277247,31.691461213605855,6.134052913803197,96995000000.0
2023-12-08,194.2,195.99,193.67,195.71,195.1641,33.60822338345857,33.46302353749673,31.816500891413988,6.134052913803197,96995000000.0
2023-12-11,193.11,193.49,191.42,193.18,192.7089,33.18542579901006,33.04205259361278,31.416243502946543,6.134052913803197,96995000000.0
2023-12-12,193.08,194.72,191.721,194.71,193.7834,33.37046001393753,33.226287392897284,31.59141316892417,6.134052913803197,96995000000.0
2023-12-13,195.09,198.0,194.85,197.96,196.9085,33.90861769199229,33.76212003249151,32.100880570642815,6.134052913803197,96995000000.0
2023-12-14,198.02,199.62,196.16,198.11,198.2872,34.14603665162049,33.99851325517512,32.3256422444291,6.134052913803197,96995000000.0
2023-12-15,197.53,198.3999,197.0,197.57,197.5605,34.02089531705763,33.873912577055016,32.207172447997316,6.134052913803197,96995000000.0
2023-12-18,196.09,196.63,194.39,195.89,195.6255,33.687678745736406,33.54213562348079,31.891720327320993,6.134052913803197,96995000000.0
2023-12-19,196.16,196.95,195.89,196.94,196.5277,33.843042048395844,33.69682769971576,32.03880089748853,6.134052913803197,96995000000.0
2023-12-20,196.9,197.68,194.83,194.83,196.142,33.77662260056194,33.63069520824621,31.975922405010564,6.134052913803197,96995000000.0
2023-12-21,196.1,197.08,193.5,194.68,194.7425,33.535621778048224,33.39073559763787,31.747769824707458,6.134052913803197,96995000000.0
2023-12-22,195.18,195.41,192.97,193.6,194.1013,33.42520396640421,33.28079483141989,31.64323861035208,6.134052913803197,96995000000.0
2023-12-26,193.61,193.89,192.83,193.05,193.1713,33.26505336623432,33.12133614055476,31.49162596320532,6.134052913803197,96995000000.0
2023-12-27,192.49,193.5,191.09,193.15,192.5679,33.16114490156495,33.01787659854613,31.393257069346873,6.134052913803197,96995000000.0
2023-12-28,194.14,194.66,193.17,193.58,193.9222,33.39436206050053,33.25008617385651,31.614040948949945,6.134052913803197,96995000000.0
2023-12-29,193.9,194.4,191.725,192.53,192.5761,33.16255698212559,33.01928257840107,31.394593869031393,6.134052913803197,96995000000.0
2024-01-02,187.15,188.44,183.885,185.64,185.9374,21.323096330275227,21.225730593607306,28.7007633136801,6.478482748623404,100913000000.0
2024-01-03,184.22,185.88,183.43,184.25,184.3226,21.137912844036695,21.041392694063926,28.451507421111252,6.478482748623404,100913000000.0
2024-01-04,182.15,183.0872,180.88,181.91,182.0175,20.873566513761467,20.778253424657535,28.09569880211172,6.478482748623404,100913000000.0
2024-01-05,181.99,182.76,180.17,181.18,181.474,20.81123853211009,20.7162100456621,28.011805702278195,6.478482748623404,100913000000.0
2024-01-08,182.085,185.6,181.5,185.56,184.3702,21.143371559633028,21.04682648401827,28.4588548204711,6.478482748623404,100913000000.0
2024-01-09,183.92,185.15,182.73,185.14,184.3706,21.14341743119266,21.046872146118723,28.45891656332286,6.478482748623404,100913000000.0
2024-01-10,184.35,186.4,183.92,186.19,185.2403,21.24315366972477,21.146152968036528,28.59316095876943,6.478482748623404,100913000000.0
