Date,open,high,low,close,vwap,quarterly P/E diluted,quarterly P/E basic,TTM P/E,TTM eps,TTM earnings
2023-10-10,3.66,3.9875,3.6425,3.7765,3.8294,0,0,0,-0.6635823455081532,-147041000.0
2023-10-11,3.9,3.95,3.775,3.828,3.8522,0,0,0,-0.6635823455081532,-147041000.0
2023-10-12,3.75,3.8995,3.6005,3.635,3.6981,0,0,0,-0.6635823455081532,-147041000.0
2023-10-13,3.55,3.695,3.4228,3.601,3.5279,0,0,0,-0.6635823455081532,-147041000.0
2023-10-16,3.5,3.692,3.5,3.6205,3.6028,0,0,0,-0.6635823455081532,-147041000.0
2023-10-17,3.6,3.787,3.5505,3.722,3.6694,0,0,0,-0.6635823455081532,-147041000.0
2023-10-18,3.7,3.709,3.365,3.406,3.4878,0,0,0,-0.6635823455081532,-147041000.0
2023-10-19,3.35,3.4,3.15,3.1545,3.2539,0,0,0,-0.6635823455081532,-147041000.0
2023-10-20,3.213,3.3,3.0525,3.0945,3.1933,0,0,0,-0.6635823455081532,-147041000.0
2023-10-23,3.0015,3.05,2.8505,2.8825,2.9258,0,0,0,-0.6635823455081532,-147041000.0
2023-10-24,2.865,3.0,2.855,2.8795,2.9118,0,0,0,-0.6635823455081532,-147041000.0
2023-10-25,2.95,2.9678,2.535,2.701,2.7312,0,0,0,-0.6635823455081532,-147041000.0
2023-10-26,2.701,2.75,2.626,2.7385,2.685,0,0,0,-0.6635823455081532,-147041000.0
2023-10-27,2.7,2.7385,2.5115,2.5735,2.5708,0,0,0,-0.6635823455081532,-147041000.0
2023-10-30,2.65,2.7,2.42,2.488,2.4988,0,0,0,-0.6635823455081532,-147041000.0
2023-10-31,2.4505,2.5445,2.42,2.49,2.4731,0,0,0,-0.6635823455081532,-147041000.0
2023-11-01,2.446,2.4813,2.325,2.378,2.3955,0,0,0,-0.6635823455081532,-147041000.0
2023-11-02,2.45,2.75,2.4395,2.74,2.6667,0,0,0,-0.6635823455081532,-147041000.0
2023-11-03,2.983,3.25,2.9005,3.0785,3.1116,0,0,0,-0.6635823455081532,-147041000.0
2023-11-06,3.2,3.3,3.1,3.161,3.2101,0,0,0,-0.6635823455081532,-147041000.0
2023-11-07,3.15,3.2495,3.15,3.217,3.2119,0,0,0,-0.6635823455081532,-147041000.0
2023-11-08,3.24,3.3005,3.055,3.3005,3.1573,0,0,0,-0.6635823455081532,-147041000.0
2023-11-09,3.2985,3.3995,2.95,2.9655,3.1549,0,0,0,-0.6635823455081532,-147041000.0
2023-11-10,2.85,3.0795,2.755,2.9045,2.886,0,0,0,-0.6635823455081532,-147041000.0
2023-11-13,2.9,3.2015,2.789,2.98,2.9828,0,0,0,-0.6635823455081532,-147041000.0
2023-11-14,3.1,3.45,2.813,2.8935,3.0208,0,0,0,-0.6635823455081532,-147041000.0
2023-11-15,2.9275,3.122,2.9,2.958,3.0006,0,0,0,-0.6635823455081532,-147041000.0
2023-11-16,2.9,2.9575,2.6285,2.6995,2.7751,0,0,0,-0.6635823455081532,-147041000.0
2023-11-17,2.6995,2.8,2.55,2.7375,2.6495,0,0,0,-0.6635823455081532,-147041000.0
2023-11-20,2.735,2.95,2.651,2.8,2.8227,0,0,0,-0.6635823455081532,-147041000.0
2023-11-21,2.75,2.9495,2.7,2.7,2.7765,0,0,0,-0.6635823455081532,-147041000.0
2023-11-22,2.75,2.75,2.5,2.531,2.6158,0,0,0,-0.6635823455081532,-147041000.0
2023-11-24,2.6,2.679,2.55,2.653,2.6281,0,0,0,-0.6635823455081532,-147041000.0
2023-11-27,2.6625,2.6635,2.501,2.501,2.5698,0,0,0,-0.6635823455081532,-147041000.0
2023-11-28,2.6,2.642,2.55,2.5555,2.5775,0,0,0,-0.6635823455081532,-147041000.0
2023-11-29,2.5865,2.9,2.5865,2.715,2.7686,0,0,0,-0.6635823455081532,-147041000.0
