Date,open,high,low,close,vwap,quarterly P/E diluted,quarterly P/E basic,TTM P/E,TTM eps,TTM earnings
2024-07-01,4.61,4.9,4.46,4.85,4.7375,,,,,
2024-07-02,4.75,4.785,4.53,4.54,4.5989,,,,,
2024-07-03,4.48,4.61,4.45,4.58,4.5531,,,,,
2024-07-05,4.53,4.54,4.24,4.25,4.3137,,,,,
2024-07-08,4.31,4.38,4.06,4.26,4.1945,,,,,
2024-07-09,4.25,4.25,4.0051,4.11,4.0886,,,,,
2024-07-10,4.15,4.38,4.14,4.37,4.2951,,,,,
2024-07-11,4.35,4.7,4.35,4.66,4.61,,,,,
2024-07-12,4.74,4.85,4.675,4.69,4.7481,,,,,
2024-07-15,4.74,5.03,4.69,4.9,4.8912,,,,,
2024-07-16,4.9,5.245,4.8892,5.2,5.1584,,,,,
2024-07-17,5.03,5.11,4.8201,5.08,5.0293,,,,,
2024-07-18,5.22,5.2299,4.89,5.0,5.0111,,,,,
2024-07-19,5.11,5.18,4.88,4.96,5.0257,,,,,
2024-07-22,4.87,5.1,4.8,5.1,5.0469,,,,,
2024-07-23,5.1,5.1,4.85,4.88,4.9563,,,,,
2024-07-24,4.83,4.93,4.7,4.76,4.7724,,,,,
2024-07-25,4.82,4.9,4.65,4.79,4.8111,,,,,
2024-07-26,4.9,4.9,4.62,4.77,4.7409,,,,,
2024-07-29,4.74,4.75,4.495,4.5,4.5841,,,,,
2024-07-30,4.54,4.6,4.41,4.55,4.5174,,,,,
2024-07-31,4.56,4.65,4.48,4.53,4.5333,,,,,
2024-08-01,4.44,4.53,4.3,4.43,4.3998,,,,,
2024-08-02,4.25,4.44,4.172,4.32,4.3178,,,,,
2024-08-05,4.04,4.36,3.99,4.24,4.2027,,,,,
2024-08-06,4.52,5.005,4.39,4.91,4.8462,,,,,
2024-08-07,4.99,5.01,4.62,4.66,4.7485,,,,,
2024-08-08,4.79,4.9,4.58,4.73,4.7816,,,,,
2024-08-09,4.77,4.9,4.47,4.645,4.6192,,,,,
2024-08-12,4.57,4.72,4.51,4.56,4.5602,,,,,
2024-08-13,4.7,4.8,4.55,4.79,4.6787,,,,,
2024-08-14,4.76,4.94,4.67,4.78,4.7262,,,,,
2024-08-15,4.84,4.87,4.74,4.84,4.8077,,,,,
2024-08-16,4.84,4.9,4.7876,4.82,4.8401,,,,,
2024-08-19,4.83,4.98,4.79,4.91,4.9021,,,,,
2024-08-20,4.86,4.91,4.8,4.89,4.868,,,,,
2024-08-21,4.92,4.97,4.88,4.89,4.9164,,,,,
2024-08-22,5.03,5.22,4.38,4.87,4.7707,,,,,
2024-08-23,4.83,4.94,4.76,4.89,4.8706,,,,,
2024-08-26,4.94,4.9759,4.78,4.86,4.8484,,,,,
2024-08-27,4.81,4.92,4.77,4.92,4.8518,,,,,
2024-08-28,4.91,4.99,4.83,4.89,4.8947,,,,,
2024-08-29,4.91,4.9691,4.8428,4.88,4.9067,,,,,
2024-08-30,4.93,5.03,4.85,4.99,4.9539,,,,,
2024-09-03,4.98,4.98,4.71,4.75,4.7772,,,,,
2024-09-04,4.71,4.75,4.595,4.63,4.652,,,,,
2024-09-05,4.65,4.7,4.54,4.62,4.5924,,,,,
2024-09-06,4.62,4.73,4.48,4.53,4.5534,,,,,
2024-09-09,4.63,4.695,4.48,4.6,4.6025,,,,,
2024-09-10,4.61,4.61,4.34,4.51,4.4314,,,,,
2024-09-11,4.52,4.558,4.37,4.5,4.5006,,,,,
2024-09-12,4.54,4.63,4.45,4.63,4.5514,,,,,
2024-09-13,4.65,4.91,4.65,4.91,4.8442,,,,,
2024-09-16,4.91,4.93,4.77,4.82,4.8233,,,,,
