Date,open,high,low,close,vwap,quarterly P/E diluted,quarterly P/E basic,TTM P/E,TTM eps,TTM earnings
2024-03-20,52.56,63.5,50.61,62.03,56.7141,,,,,
2024-03-21,66.0,80.0,63.45,64.15,71.2295,,,,,
2024-03-22,65.5,72.0,65.21,70.0,68.582,,,,,
2024-03-25,73.39,86.95,70.0,85.0,79.1264,,,,,
2024-03-26,88.9,95.21,77.5,83.38,84.7736,,,,,
2024-03-27,81.21,82.0,75.0,79.92,78.0911,,,,,
2024-03-28,79.57,81.58,73.35,74.19,76.7165,,,,,
2024-04-01,72.62,73.4,66.76,71.12,70.7462,0,0,,,
2024-04-02,69.7,74.6279,68.0,72.21,71.6428,0,0,,,
2024-04-03,72.06,74.72,69.01,69.28,71.1709,0,0,,,
2024-04-04,69.71,73.2,67.75,69.77,70.0465,0,0,,,
2024-04-05,69.04,75.0,67.6262,71.34,71.5797,0,0,,,
2024-04-08,73.0,74.4999,69.1624,69.92,71.3617,0,0,,,
2024-04-09,69.92,70.9899,66.0,68.37,68.4174,0,0,,,
2024-04-10,66.32,71.67,65.89,71.31,69.5066,0,0,,,
2024-04-11,71.46,77.5,70.76,75.59,74.3378,0,0,,,
2024-04-12,74.65,75.3599,70.5303,72.73,72.682,0,0,,,
2024-04-15,74.83,79.47,70.89,71.3,75.303,0,0,,,
2024-04-16,71.9,75.75,69.2001,74.52,73.3738,0,0,,,
2024-04-17,75.0,75.54,71.1598,73.21,73.1112,0,0,,,
2024-04-18,72.99,72.99,68.55,70.92,70.5378,0,0,,,
2024-04-19,69.08,69.7,60.21,64.49,63.9632,0,0,,,
2024-04-22,65.0,68.73,64.562,65.79,66.3989,0,0,,,
2024-04-23,67.55,73.52,66.81,71.72,71.3021,0,0,,,
2024-04-24,73.2,75.5,69.13,70.99,71.666,0,0,,,
2024-04-25,68.42,73.1938,67.29,71.59,70.9053,0,0,,,
2024-04-26,70.97,85.27,70.2,85.0,79.2466,0,0,,,
2024-04-29,81.28,88.59,80.24,85.7,85.3036,0,0,,,
2024-04-30,83.97,87.2,81.68,84.76,84.5651,0,0,,,
2024-05-01,80.52,80.62,74.43,74.83,77.2249,0,0,,,
2024-05-02,76.91,79.58,71.68,79.06,76.3878,0,0,,,
2024-05-03,81.07,81.25,76.51,76.96,78.5315,0,0,,,
2024-05-06,77.3,81.04,76.705,78.11,78.5007,0,0,,,
2024-05-07,75.86,78.94,75.01,76.19,75.062,0,0,,,
2024-05-08,71.06,74.2,66.1,69.26,70.1583,0,0,,,
2024-05-09,72.02,72.15,68.01,70.06,69.8811,0,0,,,
2024-05-10,71.14,74.19,68.89,70.08,70.567,0,0,,,
2024-05-13,71.18,74.035,69.92,70.26,71.8465,0,0,,,
2024-05-14,71.0,72.88,68.81,72.32,71.5589,0,0,,,
2024-05-15,73.8,77.42,71.4584,77.42,75.2516,0,0,,,
2024-05-16,77.52,77.57,72.15,73.0,74.0769,0,0,,,
2024-05-17,73.63,74.46,70.92,72.5,72.6942,0,0,,,
2024-05-20,71.11,73.13,70.15,72.51,72.0361,0,0,,,
