Date,open,high,low,close,vwap,quarterly P/E diluted,quarterly P/E basic,TTM P/E,TTM eps,TTM earnings
2023-10-10,30.32,30.9915,30.22,30.44,30.47,18.579268292682926,18.136904761904763,,,
2023-10-11,30.72,30.72,30.22,30.27,30.3669,18.516402439024393,18.075535714285717,,,
2023-10-12,30.44,30.73,29.36,29.72,29.7449,18.137134146341467,17.70529761904762,,,
2023-10-13,29.83,30.0,28.34,28.59,28.5832,17.42878048780488,17.013809523809524,,,
2023-10-16,29.04,29.35,28.26,29.22,29.1635,17.78262195121951,17.35922619047619,,,
2023-10-17,29.5,30.52,28.84,29.87,29.9122,18.239146341463414,17.80488095238095,,,
2023-10-18,29.46,30.035,28.775,28.85,28.9491,17.65189024390244,17.231607142857143,,,
2023-10-19,28.88,29.61,28.45,28.59,28.71,17.50609756097561,17.089285714285715,,,
2023-10-20,28.56,28.56,28.091,28.25,28.3039,17.258475609756097,16.847559523809522,,,
2023-10-23,28.07,28.2,27.23,27.33,27.6011,16.829939024390246,16.42922619047619,,,
2023-10-24,27.85,27.96,27.44,27.89,27.7723,16.934329268292686,16.531130952380956,,,
2023-10-25,27.51,27.7,27.0,27.45,27.4577,16.7425,16.343869047619048,,,
2023-10-26,27.65,27.87,27.22,27.53,27.5198,16.780365853658537,16.380833333333335,,,
2023-10-27,27.46,27.78,27.25,27.62,27.5136,16.77658536585366,16.377142857142857,,,
2023-10-30,27.77,27.87,27.36,27.65,27.6131,16.837256097560978,16.43636904761905,,,
2023-10-31,27.95,27.96,27.57,27.6,27.7151,16.899451219512194,16.497083333333332,,,
2023-11-01,27.26,28.8063,27.26,28.37,28.2343,17.216036585365856,16.806130952380954,,,
2023-11-02,28.11,28.11,25.43,25.49,25.7324,15.69048780487805,15.31690476190476,,,
2023-11-03,26.29,26.505,25.31,26.19,26.1407,15.939451219512195,15.559940476190476,,,
2023-11-06,26.33,26.55,25.9,26.17,26.171,15.957926829268294,15.57797619047619,,,
2023-11-07,26.28,26.67,26.165,26.4,26.3858,16.08890243902439,15.705833333333334,,,
2023-11-08,26.54,26.69,25.9137,25.99,26.0472,15.882439024390244,15.504285714285714,,,
2023-11-09,26.08,26.4,25.47,25.74,25.7456,15.698536585365854,15.324761904761905,,,
2023-11-10,26.13,26.13,25.58,25.9,25.8739,15.776768292682927,15.401130952380953,,,
2023-11-13,25.8,26.2112,25.52,25.97,25.955,15.826219512195122,15.449404761904761,,,
2023-11-14,26.96,27.79,26.81,27.6,27.4643,16.746524390243906,16.347797619047622,,,
2023-11-15,27.7,27.84,26.98,26.98,27.1846,16.5759756097561,16.181309523809524,,,
2023-11-16,27.22,27.22,25.98,26.12,26.3107,16.04310975609756,15.661130952380953,,,
2023-11-17,26.5,26.66,25.905,26.49,26.352,16.06829268292683,15.685714285714287,,,
2023-11-20,26.49,26.75,26.28,26.53,26.5662,16.19890243902439,15.813214285714285,,,
2023-11-21,25.98,26.64,25.88,26.2,26.2327,15.995548780487807,15.614702380952382,,,
2023-11-22,26.6,26.6,26.25,26.36,26.3525,16.06859756097561,15.686011904761905,,,
2023-11-24,26.44,26.95,26.23,26.82,26.741,16.305487804878048,15.917261904761904,,,
2023-11-27,26.78,26.78,26.1,26.1,26.2514,16.006951219512196,15.625833333333334,,,
2023-11-28,26.18,26.295,25.12,25.19,25.4783,15.535548780487806,15.165654761904763,,,
2023-11-29,25.57,26.1499,25.57,26.02,25.9118,15.799878048780489,15.423690476190476,,,
2023-11-30,26.08,26.33,25.77,26.08,26.0995,15.914329268292683,15.535416666666666,,,
2023-12-01,26.01,27.01,26.01,26.95,26.8215,16.354573170731708,15.965178571428572,,,
2023-12-04,26.97,27.58,26.97,27.58,27.3815,16.696036585365853,16.298511904761906,,,
2023-12-05,27.6,28.3,27.1341,28.21,27.8659,16.99140243902439,16.58684523809524,,,
2023-12-06,28.31,28.49,27.86,28.2,28.1645,17.1734756097561,16.764583333333334,,,
2023-12-07,28.21,28.5151,27.48,27.62,27.7587,16.926036585365857,16.523035714285715,,,
2023-12-08,27.72,28.185,27.14,27.92,27.917,17.022560975609757,16.617261904761907,,,
2023-12-11,27.89,27.95,27.16,27.36,27.3814,16.695975609756097,16.29845238095238,,,
2023-12-12,27.52,27.635,27.0,27.61,27.4503,16.73798780487805,16.339464285714286,,,
2023-12-13,27.77,29.06,27.09,29.0,28.3494,17.28621951219512,16.874642857142856,,,
2023-12-14,29.48,31.26,29.48,31.09,30.9127,18.849207317073173,18.40041666666667,,,
2023-12-15,31.33,32.13,31.01,31.21,31.3,19.085365853658537,18.630952380952383,,,
2023-12-18,31.36,31.36,29.95,30.06,30.1524,18.385609756097562,17.947857142857142,,,
2023-12-19,30.5,30.92,30.04,30.42,30.4301,18.554939024390244,18.113154761904763,,,
2023-12-20,30.54,31.42,30.34,30.39,30.9389,18.86518292682927,18.416011904761906,,,
2023-12-21,30.56,31.03,30.2,30.48,30.5744,18.642926829268294,18.19904761904762,,,
2023-12-22,30.81,31.2961,30.403,30.72,30.6595,18.694817073170732,18.24970238095238,,,
2023-12-26,30.54,31.23,30.54,31.03,30.977,18.888414634146343,18.438690476190477,,,
2023-12-27,31.19,31.19,30.78,30.97,30.9568,18.876097560975612,18.42666666666667,,,
2023-12-28,30.75,31.1199,30.6,30.8,30.8237,18.794939024390246,18.347440476190478,,,
2023-12-29,30.9,30.9,30.21,30.21,30.4029,18.538353658536586,18.096964285714286,,,
2024-01-02,30.03,30.16,29.38,29.55,29.6585,,,,,
2024-01-03,29.43,29.43,28.48,28.54,28.741,,,,,
2024-01-04,28.62,29.505,28.23,28.43,28.4945,,,,,
2024-01-05,28.42,28.8277,28.07,28.17,28.2875,,,,,
2024-01-08,28.32,29.25,28.15,28.6,28.5789,,,,,
2024-01-09,28.11,28.425,27.95,28.22,28.2213,,,,,
2024-01-10,28.11,28.41,27.9,28.35,28.2581,,,,,
2024-01-11,28.38,28.46,27.94,28.11,28.1668,,,,,
2024-01-12,28.71,29.565,28.34,28.39,28.6058,,,,,
2024-01-16,28.26,28.28,27.5601,28.12,28.1092,,,,,
2024-01-17,27.76,28.07,27.57,28.0,27.9421,,,,,
2024-01-18,28.2,28.37,27.6462,27.8,27.894,,,,,
2024-01-19,28.04,28.04,27.3332,27.92,27.7439,,,,,
2024-01-22,28.18,28.69,27.9435,28.24,28.1768,,,,,
2024-01-23,28.71,29.0001,27.9,28.2,28.1999,,,,,
2024-01-24,28.47,28.47,27.51,27.54,27.8134,,,,,
2024-01-25,27.99,28.97,27.77,28.96,28.6203,,,,,
2024-01-26,29.19,29.41,28.68,28.68,29.0029,,,,,
2024-01-29,28.84,29.5,28.16,29.47,29.1061,,,,,
2024-01-30,29.17,29.25,28.85,28.94,29.0189,,,,,
2024-01-31,29.12,29.25,27.86,27.86,28.3675,,,,,
2024-02-01,28.9,29.3735,28.0918,29.0,28.7571,,,,,
2024-02-02,28.6,28.977,27.96,28.64,28.5972,,,,,
2024-02-05,28.16,28.22,27.51,27.65,27.769,,,,,
2024-02-06,27.58,28.237,27.48,28.23,27.9998,,,,,
2024-02-07,28.23,28.51,27.93,28.01,28.019,,,,,
2024-02-08,27.99,28.55,27.7599,28.25,28.2651,,,,,
2024-02-09,28.54,28.909,28.3,28.6,28.6462,,,,,
2024-02-12,28.59,29.599,28.58,29.22,29.2712,,,,,
2024-02-13,28.03,28.25,26.96,27.01,27.3521,,,,,
2024-02-14,27.57,29.8521,27.03,27.88,27.7298,,,,,
2024-02-15,28.04,29.42,27.89,29.42,29.056,,,,,
2024-02-16,29.27,29.58,28.262,28.38,28.7102,,,,,
2024-02-20,28.19,29.24,27.79,29.07,28.9546,,,,,
2024-02-21,28.87,28.87,28.215,28.34,28.4669,,,,,
2024-02-22,28.28,28.545,27.81,28.05,28.0672,,,,,
2024-02-23,27.91,28.9,27.5349,28.26,28.3546,,,,,
2024-02-26,27.89,28.47,27.58,28.42,28.0125,,,,,
2024-02-27,28.85,29.39,28.5,28.75,28.9363,,,,,
2024-02-28,28.29,28.7,27.79,27.86,28.1974,,,,,
2024-02-29,28.5,28.5,27.925,28.42,28.3392,,,,,
2024-03-01,28.37,29.12,27.9,29.07,28.7573,,,,,
2024-03-04,29.07,30.32,29.03,30.01,29.8236,,,,,
2024-03-05,30.0,30.4999,29.78,30.0,30.0228,,,,,
2024-03-06,35.0,36.18,33.3,36.18,35.2879,,,,,
2024-03-07,35.6,35.6,32.73,33.55,33.6507,,,,,
2024-03-08,34.15,34.71,32.935,33.1,33.7459,,,,,
2024-03-11,33.04,33.2259,32.01,32.86,32.6945,,,,,
2024-03-12,32.72,33.06,32.12,32.62,32.7099,,,,,
2024-03-13,32.38,33.22,31.97,32.31,32.4226,,,,,
2024-03-14,32.08,32.28,31.38,31.87,31.7776,,,,,
2024-03-15,31.54,33.0,31.54,32.93,32.4595,,,,,
2024-03-18,32.97,32.97,31.98,32.15,32.3288,,,,,
2024-03-19,31.97,32.85,31.82,32.48,32.4638,,,,,
2024-03-20,32.25,33.79,32.1,33.6,33.1657,,,,,
2024-03-21,33.65,33.88,33.28,33.55,33.5551,,,,,
2024-03-22,33.46,34.02,32.8401,33.42,33.4033,,,,,
2024-03-25,33.69,33.8899,33.21,33.72,33.6477,,,,,
2024-03-26,33.93,34.41,33.925,33.95,34.0858,,,,,
2024-03-27,34.21,35.92,34.0,35.79,35.0697,,,,,
2024-03-28,35.94,36.33,35.0,35.68,35.8177,,,,,
2024-04-01,35.85,35.85,33.82,34.43,34.3796,20.464047619047623,20.464047619047623,,,
2024-04-02,33.9,34.195,33.51,33.61,33.7029,20.06125,20.06125,,,
2024-04-03,33.44,34.2299,33.22,33.43,33.476,19.926190476190477,19.926190476190477,,,
2024-04-04,33.89,34.18,32.725,33.12,33.4373,19.903154761904762,19.903154761904762,,,
2024-04-05,32.81,33.19,32.57,32.79,32.8602,19.559642857142858,19.559642857142858,,,
2024-04-08,32.9,33.09,32.47,32.81,32.8256,19.539047619047622,19.539047619047622,,,
2024-04-09,32.9,32.96,32.44,32.57,32.6488,19.433809523809526,19.433809523809526,,,
2024-04-10,31.93,32.2,31.2459,31.71,31.6623,18.846607142857142,18.846607142857142,,,
2024-04-11,31.86,32.26,31.32,32.13,31.9326,19.0075,19.0075,,,
2024-04-12,31.89,32.36,31.185,31.62,31.6944,18.865714285714287,18.865714285714287,,,
2024-04-15,31.93,31.93,30.88,31.09,31.157,18.545833333333334,18.545833333333334,,,
2024-04-16,30.35,30.99,30.07,30.87,30.603,18.21607142857143,18.21607142857143,,,
2024-04-17,31.18,31.255,29.0,29.2,29.7468,17.70642857142857,17.70642857142857,,,
2024-04-18,29.3,29.915,28.96,29.1,29.2468,17.408809523809524,17.408809523809524,,,
2024-04-19,28.95,29.68,28.95,29.63,29.4177,17.510535714285716,17.510535714285716,,,
2024-04-22,29.72,29.965,29.245,29.79,29.7043,17.681130952380954,17.681130952380954,,,
2024-04-23,29.92,30.5241,29.5,29.93,30.1807,17.96470238095238,17.96470238095238,,,
2024-04-24,29.81,30.39,29.68,30.08,30.0434,17.88297619047619,17.88297619047619,,,
2024-04-25,29.64,29.85,29.3,29.34,29.4885,17.552678571428572,17.552678571428572,,,
2024-04-26,29.35,30.27,29.2476,29.96,29.8853,17.78886904761905,17.78886904761905,,,
2024-04-29,30.02,30.47,29.96,30.04,30.145,17.94345238095238,17.94345238095238,,,
2024-04-30,29.7,29.94,29.3486,29.39,29.5007,17.559940476190476,17.559940476190476,,,
