Date,open,high,low,close,vwap,quarterly P/E diluted,quarterly P/E basic,TTM P/E,TTM eps,TTM earnings
2023-10-10,2.42,2.51,2.41,2.48,2.4833,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-10-11,2.51,2.5434,2.45,2.49,2.4934,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-10-12,2.49,2.495,2.42,2.44,2.4522,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-10-13,2.43,2.43,2.3,2.33,2.3472,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-10-16,2.32,2.38,2.3,2.35,2.3567,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-10-17,2.35,2.3791,2.32,2.34,2.3417,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-10-18,2.33,2.33,2.255,2.28,2.2735,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-10-19,2.29,2.325,2.26,2.28,2.2905,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-10-20,2.3,2.31,2.21,2.24,2.2319,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-10-23,2.25,2.29,2.23,2.25,2.251,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-10-24,2.28,2.28,2.155,2.21,2.1931,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-10-25,2.21,2.21,2.125,2.14,2.144,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-10-26,2.12,2.16,2.0799,2.08,2.1188,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-10-27,2.09,2.12,2.06,2.07,2.0883,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-10-30,2.09,2.095,2.01,2.03,2.0365,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-10-31,2.0,2.095,1.9808,1.99,2.0073,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-11-01,1.98,2.01,1.895,1.93,1.9639,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-11-02,1.89,2.1,1.89,2.05,2.0254,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-11-03,2.01,2.281,2.01,2.25,2.2148,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-11-06,2.23,2.31,2.23,2.3,2.2767,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-11-07,2.27,2.275,2.15,2.17,2.1844,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-11-08,2.2,2.2,2.1,2.1,2.1044,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-11-09,2.09,2.145,2.05,2.07,2.1012,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-11-10,2.08,2.09,1.95,1.98,1.9999,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-11-13,1.98,2.02,1.97,2.01,1.9927,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-11-14,2.07,2.15,2.07,2.1,2.1108,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-11-15,2.14,2.2,2.105,2.13,2.1461,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-11-16,2.14,2.15,2.02,2.03,2.061,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-11-17,2.02,2.05,1.98,2.04,2.0125,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-11-20,2.03,2.05,2.02,2.05,2.0404,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-11-21,2.05,2.06,1.98,1.99,2.0144,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-11-22,1.98,2.02,1.935,1.98,1.9753,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-11-24,2.0,2.009,1.98,1.99,1.992,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-11-27,1.96,2.06,1.95,1.98,1.9727,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-11-28,2.0,2.09,1.97,2.08,1.9909,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-11-29,2.1,2.1806,2.07,2.07,2.1157,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-11-30,2.07,2.11,1.98,1.99,2.0095,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-12-01,2.0,2.03,1.97,2.02,1.9979,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-12-04,2.01,2.05,1.9801,2.03,2.0235,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-12-05,2.04,2.08,2.01,2.01,2.0348,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-12-06,2.02,2.06,1.995,2.01,2.0175,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-12-07,2.01,2.12,1.9868,2.05,2.0728,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-12-08,2.06,2.34,2.06,2.33,2.2261,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-12-11,2.32,2.69,2.3022,2.44,2.4973,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-12-12,2.47,2.52,2.3,2.3,2.3611,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-12-13,2.3,2.32,2.2,2.28,2.253,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-12-14,2.36,2.68,2.36,2.65,2.5963,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-12-15,2.69,2.75,2.6301,2.7,2.6924,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-12-18,2.7,2.7,2.54,2.56,2.6037,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-12-19,2.56,2.5608,2.47,2.48,2.5016,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-12-20,2.51,2.55,2.31,2.32,2.4131,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-12-21,2.34,2.45,2.31,2.45,2.3673,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-12-22,2.44,2.485,2.43,2.48,2.4608,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-12-26,2.46,2.5311,2.45,2.48,2.4894,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-12-27,2.48,2.53,2.4,2.4,2.4488,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-12-28,2.41,2.44,2.31,2.35,2.3496,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2023-12-29,2.32,2.405,2.28,2.4,2.3365,0.0,0.0,0.0,-0.30714386228247104,-13096000.0
2024-01-02,2.4,2.52,2.3799,2.47,2.4687,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-01-03,2.46,2.49,2.36,2.47,2.429,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-01-04,2.44,2.47,2.42,2.45,2.4496,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-01-05,2.45,2.515,2.43,2.5,2.4916,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-01-08,2.49,2.57,2.45,2.55,2.5353,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-01-09,2.51,2.6,2.51,2.58,2.5706,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-01-10,2.58,2.61,2.55,2.6,2.5827,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-01-11,2.58,2.62,2.54,2.61,2.5983,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-01-12,2.62,2.635,2.58,2.63,2.6167,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-01-16,2.61,2.75,2.6,2.72,2.7013,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-01-17,2.7,2.7,2.5,2.56,2.5667,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-01-18,2.61,2.67,2.455,2.6,2.552,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-01-19,2.6,2.655,2.5706,2.65,2.6146,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-01-22,2.65,2.8401,2.65,2.81,2.7981,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-01-23,2.83,2.9327,2.81,2.84,2.878,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-01-24,2.88,2.88,2.75,2.8,2.7927,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-01-25,2.83,2.8747,2.67,2.67,2.761,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-01-26,2.67,2.6999,2.54,2.575,2.5877,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-01-29,2.55,2.615,2.53,2.61,2.5829,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-01-30,2.62,2.62,2.46,2.47,2.5092,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-01-31,2.46,2.53,2.42,2.46,2.4722,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-02-01,2.5,2.54,2.4697,2.52,2.5071,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-02-02,2.51,2.5299,2.48,2.52,2.5045,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-02-05,2.5,2.5,2.41,2.41,2.4504,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-02-06,2.42,2.485,2.37,2.47,2.4217,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-02-07,2.48,2.48,2.38,2.44,2.4269,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-02-08,2.38,2.53,2.38,2.47,2.4811,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-02-09,2.49,2.535,2.48,2.52,2.5133,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-02-12,2.53,2.535,2.47,2.47,2.5115,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-02-13,2.41,2.43,2.25,2.33,2.3526,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-02-14,2.35,2.37,2.32,2.35,2.3438,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-02-15,2.36,2.45,2.36,2.42,2.4115,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-02-16,2.43,2.51,2.4,2.4,2.45,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-02-20,2.4,2.41,2.28,2.28,2.3289,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-02-21,2.27,2.3,2.17,2.2,2.2003,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-02-22,2.24,2.34,2.19,2.28,2.7247,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-02-23,3.16,4.85,3.15,3.86,4.0077,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-02-26,4.1,4.615,3.58,4.53,4.1459,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-02-27,4.45,5.43,4.42,5.37,4.9893,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-02-28,5.26,5.26,4.4588,4.82,4.8099,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-02-29,4.45,4.5,3.8401,4.29,4.1775,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-03-01,4.36,4.63,4.1,4.27,4.3239,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-03-04,4.22,4.34,3.9,4.26,4.138,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-03-05,4.17,4.49,4.17,4.22,4.2806,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-03-06,4.31,4.7,4.19,4.69,4.5011,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-03-07,4.76,4.84,4.48,4.49,4.6574,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-03-08,4.58,4.85,4.5,4.58,4.6204,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-03-11,4.53,4.74,4.35,4.56,4.6033,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-03-12,4.6,4.75,4.46,4.5,4.5766,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-03-13,4.47,4.77,4.3,4.73,4.5755,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-03-14,4.78,5.171,4.442,4.57,4.7444,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-03-15,4.63,5.12,4.5601,4.87,4.9711,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-03-18,4.94,5.11,4.77,4.85,4.922,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-03-19,4.78,4.91,4.62,4.83,4.7847,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-03-20,4.79,5.08,4.75,4.99,4.9589,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-03-21,5.08,5.64,5.075,5.4,5.4205,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-03-22,5.38,5.41,4.86,4.95,5.0719,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-03-25,4.88,5.16,4.65,4.7,4.84,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-03-26,4.72,5.0072,4.7,4.71,4.7663,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-03-27,4.73,4.92,4.655,4.89,4.8054,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-03-28,4.885,4.965,4.5,4.59,4.6954,0.0,0.0,0.0,-0.4234692681096546,-18058000.0
2024-04-01,4.61,4.87,4.55,4.81,4.7521,0.0,0.0,0.0,-0.39065298811268523,-16793000.0
2024-04-02,4.74,4.79,4.575,4.72,4.6657,0.0,0.0,0.0,-0.39065298811268523,-16793000.0
2024-04-03,4.65,4.99,4.61,4.95,4.823,0.0,0.0,0.0,-0.39065298811268523,-16793000.0
2024-04-04,3.92,4.27,3.2,3.22,3.7314,0.0,0.0,0.0,-0.39065298811268523,-16793000.0
2024-04-05,3.55,3.76,3.03,3.11,3.2654,0.0,0.0,0.0,-0.39065298811268523,-16793000.0
2024-04-08,3.51,3.99,3.43,3.57,3.7227,0.0,0.0,0.0,-0.39065298811268523,-16793000.0
2024-04-09,3.7,3.8601,3.625,3.8,3.7622,0.0,0.0,0.0,-0.39065298811268523,-16793000.0
2024-04-10,3.76,3.85,3.6,3.7,3.6965,0.0,0.0,0.0,-0.39065298811268523,-16793000.0
2024-04-11,3.68,3.73,3.49,3.72,3.6759,0.0,0.0,0.0,-0.39065298811268523,-16793000.0
2024-04-12,3.69,3.691,3.38,3.43,3.4738,0.0,0.0,0.0,-0.39065298811268523,-16793000.0
2024-04-15,3.45,3.45,3.145,3.21,3.2296,0.0,0.0,0.0,-0.39065298811268523,-16793000.0
2024-04-16,3.15,3.2,3.04,3.04,3.0919,0.0,0.0,0.0,-0.39065298811268523,-16793000.0
2024-04-17,3.08,3.0887,2.91,2.91,2.9694,0.0,0.0,0.0,-0.39065298811268523,-16793000.0
2024-04-18,2.92,3.02,2.83,2.94,2.9035,0.0,0.0,0.0,-0.39065298811268523,-16793000.0
2024-04-19,2.94,2.95,2.75,2.77,2.8022,0.0,0.0,0.0,-0.39065298811268523,-16793000.0
2024-04-22,2.83,2.92,2.77,2.84,2.8457,0.0,0.0,0.0,-0.39065298811268523,-16793000.0
2024-04-23,2.85,2.9996,2.85,2.92,2.9392,0.0,0.0,0.0,-0.39065298811268523,-16793000.0
2024-04-24,2.99,3.02,2.97,3.01,2.9966,0.0,0.0,0.0,-0.39065298811268523,-16793000.0
2024-04-25,2.93,2.99,2.885,2.9,2.9165,0.0,0.0,0.0,-0.39065298811268523,-16793000.0
2024-04-26,2.9,3.06,2.88,2.97,2.9779,0.0,0.0,0.0,-0.39065298811268523,-16793000.0
2024-04-29,3.05,3.17,3.02,3.03,3.0854,0.0,0.0,0.0,-0.39065298811268523,-16793000.0
2024-04-30,2.99,3.1,2.98,3.0,3.021,0.0,0.0,0.0,-0.39065298811268523,-16793000.0
2024-05-01,2.97,3.045,2.88,2.89,2.9457,0.0,0.0,0.0,-0.39065298811268523,-16793000.0
2024-05-02,2.91,3.06,2.91,3.03,3.0738,0.0,0.0,0.0,-0.39065298811268523,-16793000.0
2024-05-03,3.48,4.23,3.31,3.66,3.7544,0.0,0.0,0.0,-0.39065298811268523,-16793000.0
2024-05-06,3.68,4.05,3.68,3.93,3.8966,0.0,0.0,0.0,-0.39065298811268523,-16793000.0
2024-05-07,3.93,4.0,3.79,3.86,3.8907,0.0,0.0,0.0,-0.39065298811268523,-16793000.0
2024-05-08,3.81,3.815,3.67,3.78,3.7596,0.0,0.0,0.0,-0.39065298811268523,-16793000.0
2024-05-09,3.78,3.79,3.56,3.57,3.6502,0.0,0.0,0.0,-0.39065298811268523,-16793000.0
