Date,open,high,low,close,vwap,quarterly P/E diluted,quarterly P/E basic,TTM P/E,TTM eps,TTM earnings
2023-10-10,190.01,194.3,188.76,193.53,192.7116,0,0,0,-4.6754889975550125,-2833000000.0
2023-10-11,195.47,199.6199,194.27,196.07,196.8563,0,0,0,-4.6754889975550125,-2833000000.0
2023-10-12,195.1,195.7,189.96,191.3,192.0759,0,0,0,-4.6754889975550125,-2833000000.0
2023-10-13,186.27,187.29,183.175,184.91,185.2263,0,0,0,-4.6754889975550125,-2833000000.0
2023-10-16,185.91,186.23,182.5,184.93,184.5417,0,0,0,-4.6754889975550125,-2833000000.0
2023-10-17,183.75,188.3299,183.3,185.6,185.9021,0,0,0,-4.6754889975550125,-2833000000.0
2023-10-18,187.22,190.249,185.05,185.69,187.5545,0,0,0,-4.6754889975550125,-2833000000.0
2023-10-19,185.5,187.05,182.54,182.79,184.4034,0,0,0,-4.6754889975550125,-2833000000.0
2023-10-20,182.68,183.3899,179.85,180.04,181.0826,0,0,0,-4.6754889975550125,-2833000000.0
2023-10-23,179.44,183.72,178.43,181.03,181.712,0,0,0,-4.6754889975550125,-2833000000.0
2023-10-24,183.21,184.35,181.8,182.36,182.7786,0,0,0,-4.6754889975550125,-2833000000.0
2023-10-25,186.0,187.0,176.25,177.73,180.9541,0,0,0,-4.6754889975550125,-2833000000.0
2023-10-26,177.11,182.95,176.53,179.09,179.757,0,0,0,-4.6754889975550125,-2833000000.0
2023-10-27,180.0,182.3299,179.01,179.69,180.1323,0,0,0,-4.6754889975550125,-2833000000.0
2023-10-30,179.42,184.16,179.42,182.35,182.0331,0,0,0,-4.6754889975550125,-2833000000.0
2023-10-31,183.38,187.29,181.32,186.82,185.2788,0,0,0,-4.6754889975550125,-2833000000.0
2023-11-01,189.69,190.7799,187.501,189.38,189.3193,0,0,0,-4.6754889975550125,-2833000000.0
2023-11-02,190.9,192.94,190.34,192.01,191.8619,0,0,0,-4.6754889975550125,-2833000000.0
2023-11-03,194.0,197.14,193.71,195.05,195.3212,0,0,0,-4.6754889975550125,-2833000000.0
2023-11-06,195.88,196.15,192.46,192.95,193.8558,0,0,0,-4.6754889975550125,-2833000000.0
2023-11-07,192.17,192.17,189.57,191.41,190.7979,0,0,0,-4.6754889975550125,-2833000000.0
2023-11-08,191.45,192.44,190.135,191.83,191.4977,0,0,0,-4.6754889975550125,-2833000000.0
2023-11-09,193.03,197.07,192.56,193.33,194.6207,0,0,0,-4.6754889975550125,-2833000000.0
2023-11-10,195.0,197.26,194.21,196.65,196.2987,0,0,0,-4.6754889975550125,-2833000000.0
2023-11-13,203.49,206.8486,202.51,204.54,205.098,0,0,0,-4.6754889975550125,-2833000000.0
2023-11-14,207.25,208.56,205.98,207.47,207.3701,0,0,0,-4.6754889975550125,-2833000000.0
2023-11-15,208.21,211.09,207.6,208.71,209.4476,0,0,0,-4.6754889975550125,-2833000000.0
2023-11-16,207.5,207.89,204.81,206.6,206.4469,0,0,0,-4.6754889975550125,-2833000000.0
2023-11-17,208.36,209.42,206.82,208.04,208.1073,0,0,0,-4.6754889975550125,-2833000000.0
2023-11-20,211.01,218.88,210.94,217.71,216.1279,0,0,0,-4.6754889975550125,-2833000000.0
2023-11-21,216.5,219.375,216.07,218.27,218.1298,0,0,0,-4.6754889975550125,-2833000000.0
2023-11-22,218.0,221.5,217.7,219.91,219.7049,0,0,0,-4.6754889975550125,-2833000000.0
2023-11-24,220.61,221.59,218.96,220.0,220.2977,0,0,0,-4.6754889975550125,-2833000000.0
2023-11-27,218.81,219.53,217.66,219.3,218.8731,0,0,0,-4.6754889975550125,-2833000000.0
2023-11-28,222.01,224.8,219.41,222.37,222.3767,0,0,0,-4.6754889975550125,-2833000000.0
2023-11-29,223.35,224.99,221.3408,224.43,223.8926,0,0,0,-4.6754889975550125,-2833000000.0
2023-11-30,225.0,233.0,224.9957,231.63,229.4946,0,0,0,-4.6754889975550125,-2833000000.0
2023-12-01,231.77,235.38,231.38,233.87,233.9843,0,0,0,-4.6754889975550125,-2833000000.0
2023-12-04,231.3,234.94,230.07,234.87,233.0524,0,0,0,-4.6754889975550125,-2833000000.0
