Date,open,high,low,close,vwap,quarterly P/E diluted,quarterly P/E basic,TTM P/E,TTM eps,TTM earnings
2023-10-10,29.0,29.5,28.5,29.25,29.2281,0,0,0,-1.6632208181870638,-151712000.0
2023-10-11,29.5,29.75,28.75,28.75,29.0481,0,0,0,-1.6632208181870638,-151712000.0
2023-10-12,28.75,28.75,27.25,27.25,27.6591,0,0,0,-1.6632208181870638,-151712000.0
2023-10-13,27.75,27.9975,26.75,27.0,27.2049,0,0,0,-1.6632208181870638,-151712000.0
2023-10-16,27.75,29.5,27.5,27.5,28.2317,0,0,0,-1.6632208181870638,-151712000.0
2023-10-17,27.5,28.75,27.5,28.5,28.3894,0,0,0,-1.6632208181870638,-151712000.0
2023-10-18,28.0,28.25,27.0,27.0,27.3299,0,0,0,-1.6632208181870638,-151712000.0
2023-10-19,27.25,27.75,26.75,26.75,27.0901,0,0,0,-1.6632208181870638,-151712000.0
2023-10-20,27.0,28.0,26.5,26.5,26.8941,0,0,0,-1.6632208181870638,-151712000.0
2023-10-23,27.25,27.25,25.75,26.0,26.6604,0,0,0,-1.6632208181870638,-151712000.0
2023-10-24,28.25,28.25,25.9775,26.0,26.9308,0,0,0,-1.6632208181870638,-151712000.0
2023-10-25,26.25,26.5,25.25,25.5,25.6529,0,0,0,-1.6632208181870638,-151712000.0
2023-10-26,25.25,26.0,24.75,24.8,25.2551,0,0,0,-1.6632208181870638,-151712000.0
2023-10-27,25.0,25.4675,23.5,23.5,24.3114,0,0,0,-1.6632208181870638,-151712000.0
2023-10-30,24.18,24.9625,24.0,24.5825,24.4893,0,0,0,-1.6632208181870638,-151712000.0
2023-10-31,24.5,25.5,24.5,25.25,25.1505,0,0,0,-1.6632208181870638,-151712000.0
2023-11-01,25.5,25.5,23.415,23.5,23.9818,0,0,0,-1.6632208181870638,-151712000.0
2023-11-02,24.1625,24.675,22.865,23.505,23.679,0,0,0,-1.6632208181870638,-151712000.0
2023-11-03,23.5,24.25,23.25,24.25,23.8809,0,0,0,-1.6632208181870638,-151712000.0
2023-11-06,24.5,24.7425,22.75,22.7875,23.6245,0,0,0,-1.6632208181870638,-151712000.0
2023-11-07,23.135,23.6975,22.435,22.565,22.7528,0,0,0,-1.6632208181870638,-151712000.0
