Date,open,high,low,close,vwap,quarterly P/E diluted,quarterly P/E basic,TTM P/E,TTM eps,TTM earnings
2023-10-12,16.18,16.18,15.09,15.52,15.6144,0.0,0.0,0.0,-0.1887162791320833,-28171000.0
2023-10-13,15.55,15.865,15.32,15.56,15.6119,0.0,0.0,0.0,-0.1887162791320833,-28171000.0
2023-10-16,15.54,15.91,15.41,15.72,15.7027,0.0,0.0,0.0,-0.1887162791320833,-28171000.0
2023-10-17,15.4,15.835,14.93,15.32,15.3859,0.0,0.0,0.0,-0.1887162791320833,-28171000.0
2023-10-18,15.11,15.177,14.47,14.66,14.7343,0.0,0.0,0.0,-0.1887162791320833,-28171000.0
2023-10-19,14.74,15.1,14.57,14.61,14.746,0.0,0.0,0.0,-0.1887162791320833,-28171000.0
2023-10-20,14.58,14.6,14.1099,14.29,14.3415,0.0,0.0,0.0,-0.1887162791320833,-28171000.0
2023-10-23,14.2,14.71,13.91,14.55,14.4456,0.0,0.0,0.0,-0.1887162791320833,-28171000.0
2023-10-24,14.68,14.77,13.735,14.555,14.2762,0.0,0.0,0.0,-0.1887162791320833,-28171000.0
2023-10-25,14.94,14.96,13.97,14.23,14.3753,0.0,0.0,0.0,-0.1887162791320833,-28171000.0
2023-10-26,14.19,14.44,13.65,13.71,13.9629,0.0,0.0,0.0,-0.1887162791320833,-28171000.0
2023-10-27,13.86,14.07,13.62,13.91,13.8625,0.0,0.0,0.0,-0.1887162791320833,-28171000.0
2023-10-30,14.0,14.0,13.38,13.6,13.6245,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
2023-10-31,13.57,14.24,13.53,14.22,14.0574,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
2023-11-01,14.24,14.805,14.24,14.52,14.5415,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
2023-11-02,15.01,15.09,14.01,14.33,14.3323,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
2023-11-03,14.48,15.08,14.36,14.85,14.819,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
2023-11-06,14.84,15.01,14.56,14.81,14.7949,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
2023-11-07,14.82,15.35,14.73,15.3,15.211,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
2023-11-08,15.31,15.385,14.94,15.14,15.1329,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
2023-11-09,15.25,15.46,14.985,15.05,15.1905,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
2023-11-10,15.18,16.235,15.14,16.05,15.9254,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
2023-11-13,15.9,16.585,15.54,16.35,16.1959,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
2023-11-14,16.71,17.28,16.325,17.2,17.0086,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
2023-11-15,17.32,17.5,16.98,17.41,17.2661,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
2023-11-16,17.32,17.89,17.04,17.69,17.6083,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
2023-11-17,17.68,17.79,17.17,17.57,17.5253,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
2023-11-20,17.7,18.28,17.65,18.19,18.0829,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
2023-11-21,17.93,18.25,17.855,18.07,18.0862,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
2023-11-22,18.3,18.88,18.03,18.79,18.6305,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
2023-11-24,18.71,18.97,18.5818,18.84,18.8081,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
2023-11-27,18.9,19.36,18.66,19.33,19.1249,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
2023-11-28,19.22,19.29,18.175,18.53,18.6899,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
2023-11-29,18.94,19.42,18.8,19.25,19.1769,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
2023-11-30,18.46,19.28,17.45,17.91,18.0509,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
2023-12-01,17.96,19.255,17.59,19.07,18.8916,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
2023-12-04,18.77,19.3,17.82,19.19,18.8091,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
2023-12-05,18.93,18.96,17.38,18.7,18.5738,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
2023-12-06,18.35,18.58,17.44,17.64,17.8395,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
2023-12-07,17.79,17.87,17.35,17.83,17.7186,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
2023-12-08,17.77,18.38,17.7,18.21,18.1504,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
2023-12-11,18.24,18.27,17.8,18.26,18.1778,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
2023-12-12,18.26,18.59,18.03,18.59,18.4626,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
2023-12-13,18.37,18.93,18.32,18.57,18.5813,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
2023-12-14,18.73,19.175,18.685,19.11,18.9731,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
2023-12-15,19.3,19.605,18.99,19.4,19.385,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
2023-12-18,19.39,19.5,18.875,19.28,19.2477,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
2023-12-19,19.5,19.56,19.085,19.4,19.3514,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
2023-12-20,19.24,19.995,18.945,18.99,19.4669,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
2023-12-21,19.38,19.575,18.98,19.51,19.296,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
2023-12-22,19.6,19.9,19.3,19.81,19.765,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
2023-12-26,19.88,19.98,19.76,19.83,19.8686,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
2023-12-27,19.78,19.96,19.695,19.84,19.8148,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
2023-12-28,19.85,20.77,19.8,19.88,20.082,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
2023-12-29,19.87,19.87,19.35,19.47,19.5761,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
2024-01-02,19.03,19.03,18.18,18.38,18.5321,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
2024-01-03,18.14,18.31,17.905,18.09,18.1474,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
2024-01-04,18.02,18.35,17.77,17.94,18.0412,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
2024-01-05,18.0,18.19,17.435,17.53,17.6974,0.0,0.0,0.0,-0.20923638106395442,-31434000.0
