Date,open,high,low,close,vwap,quarterly P/E diluted,quarterly P/E basic,TTM P/E,TTM eps,TTM earnings
2024-09-27,10.99,11.02,9.88,10.9,10.7623,,,,,
2024-09-30,9.7,12.8,8.45,11.35,12.0117,0.0,0.0,,,
2024-10-01,10.1,11.9,10.04,11.12,10.8548,0.0,0.0,,,
2024-10-02,10.75,11.04,8.7,9.52,9.8918,0.0,0.0,,,
2024-10-03,9.54,12.22,9.43,10.31,10.4945,0.0,0.0,,,
2024-10-04,9.61,10.04,9.512,9.512,9.7902,0.0,0.0,,,
2024-10-07,9.69,10.67,9.0,10.0,9.7007,0.0,0.0,,,
2024-10-08,9.85,10.89,8.8,9.78,9.9349,0.0,0.0,,,
2024-10-09,9.4,11.24,9.13,9.99,10.1175,0.0,0.0,,,
2024-10-10,10.19,10.35,9.26,9.34,9.6292,0.0,0.0,,,
2024-10-11,9.3,10.2,9.21,9.27,9.5185,0.0,0.0,,,
2024-10-14,9.23,10.0,8.89,8.9501,9.1503,0.0,0.0,,,
2024-10-15,9.2,9.33,9.1,9.1,9.2308,0.0,0.0,,,
2024-10-16,8.6375,9.24,8.6375,8.95,9.1221,0.0,0.0,,,
2024-10-17,8.85,10.58,8.3,9.21,9.3557,0.0,0.0,,,
2024-10-18,9.2,10.29,8.61,9.58,9.1524,0.0,0.0,,,
2024-10-21,9.23,9.85,8.702,9.09,9.087,0.0,0.0,,,
2024-10-22,9.11,9.11,8.9,9.0,8.9934,0.0,0.0,,,
2024-10-23,8.81,9.4,8.5,8.6,8.7598,0.0,0.0,,,
2024-10-24,8.4,9.74,8.4,8.75,8.8715,0.0,0.0,,,
2024-10-25,8.6,9.09,8.3,8.33,8.5005,0.0,0.0,,,
2024-10-28,8.3,8.34,8.28,8.28,8.3519,0.0,0.0,,,
2024-10-29,8.0,8.0,7.47,7.47,7.9995,0.0,0.0,,,
2024-10-30,7.26,9.2,7.21,7.7,8.003,0.0,0.0,,,
2024-10-31,8.68,9.8,7.85,8.1,8.4784,0.0,0.0,,,
2024-11-01,8.25,8.25,7.72,7.72,7.9863,0.0,0.0,,,
2024-11-04,7.76,9.04,7.31,7.31,8.3345,0.0,0.0,,,
2024-11-05,7.475,7.7,7.3,7.3,7.5457,0.0,0.0,,,
2024-11-06,7.45,7.8,7.35,7.7,7.4573,0.0,0.0,,,
2024-11-07,7.9,8.25,7.51,7.82,7.6872,0.0,0.0,,,
2024-11-08,7.73,7.73,7.29,7.29,7.6094,0.0,0.0,,,
2024-11-11,7.41,7.48,7.26,7.26,7.4928,0.0,0.0,,,
2024-11-12,7.43,7.43,7.0,7.0,7.4009,0.0,0.0,,,
2024-11-13,7.0,7.5,6.59,6.85,7.0604,0.0,0.0,,,
2024-11-14,6.88,7.1,6.86,6.86,6.9562,0.0,0.0,,,
2024-11-15,6.98,7.37,6.6,7.1,6.9266,0.0,0.0,,,
2024-11-18,7.3,8.45,7.2,7.21,7.7474,0.0,0.0,,,
2024-11-19,7.7,7.7,6.33,6.72,6.783,0.0,0.0,,,
2024-11-20,7.61,7.61,6.65,6.7,6.8908,0.0,0.0,,,
2024-11-21,6.31,6.55,5.63,5.63,6.0425,0.0,0.0,,,
2024-11-22,5.81,5.94,4.8,5.12,5.4837,0.0,0.0,,,
2024-11-25,5.1225,7.57,4.96,6.25,6.0446,0.0,0.0,,,
2024-11-26,6.68,7.8,5.9,5.9,6.6485,0.0,0.0,,,
2024-11-27,5.75,6.2,3.83,4.63,4.9504,0.0,0.0,,,
2024-11-29,4.74,4.9,4.45,4.74,4.6543,0.0,0.0,,,
2024-12-02,4.55,4.63,3.1301,3.33,3.5121,0.0,0.0,,,
