Date,open,high,low,close,vwap,quarterly P/E diluted,quarterly P/E basic,TTM P/E,TTM eps,TTM earnings
2023-10-10,1.99,2.04,1.91,1.92,1.978,0,0,0,-0.49800571667031907,-18396000.0
2023-10-11,1.9,2.02,1.9,1.96,1.9496,0,0,0,-0.49800571667031907,-18396000.0
2023-10-12,1.97,1.9923,1.94,1.99,1.969,0,0,0,-0.49800571667031907,-18396000.0
2023-10-13,2.02,2.02,1.92,1.92,1.9439,0,0,0,-0.49800571667031907,-18396000.0
2023-10-16,1.97,2.02,1.93,1.93,1.9882,0,0,0,-0.49800571667031907,-18396000.0
2023-10-17,1.89,2.0,1.89,1.94,1.9558,0,0,0,-0.49800571667031907,-18396000.0
2023-10-18,1.95,1.9761,1.84,1.86,1.8816,0,0,0,-0.49800571667031907,-18396000.0
2023-10-19,1.92,1.92,1.85,1.85,1.8694,0,0,0,-0.49800571667031907,-18396000.0
2023-10-20,1.88,1.8934,1.81,1.81,1.832,0,0,0,-0.49800571667031907,-18396000.0
2023-10-23,1.78,1.8722,1.75,1.82,1.8118,0,0,0,-0.49800571667031907,-18396000.0
2023-10-24,1.8,1.83,1.75,1.77,1.7777,0,0,0,-0.49800571667031907,-18396000.0
2023-10-25,1.8,1.8399,1.76,1.76,1.7716,0,0,0,-0.49800571667031907,-18396000.0
2023-10-26,1.75,1.7501,1.69,1.7,1.7286,0,0,0,-0.49800571667031907,-18396000.0
2023-10-27,1.68,1.7199,1.67,1.69,1.6914,0,0,0,-0.49800571667031907,-18396000.0
2023-10-30,1.699,1.81,1.69,1.78,1.7301,0,0,0,-0.49800571667031907,-18396000.0
2023-10-31,1.84,1.8839,1.73,1.78,1.7699,0,0,0,-0.49800571667031907,-18396000.0
2023-11-01,1.72,1.7745,1.7,1.73,1.7219,0,0,0,-0.49800571667031907,-18396000.0
2023-11-02,1.73,1.79,1.73,1.75,1.7556,0,0,0,-0.49800571667031907,-18396000.0
2023-11-03,1.8,1.81,1.69,1.69,1.724,0,0,0,-0.49800571667031907,-18396000.0
2023-11-06,1.7383,1.7383,1.69,1.69,1.701,0,0,0,-0.49800571667031907,-18396000.0
2023-11-07,1.71,1.74,1.67,1.68,1.6897,0,0,0,-0.49800571667031907,-18396000.0
