Date,open,high,low,close,vwap,quarterly P/E diluted,quarterly P/E basic,TTM P/E,TTM eps,TTM earnings
2023-10-10,2.88,3.015,2.88,2.98,2.974,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-10-11,3.0,3.05,2.86,2.88,2.9023,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-10-12,2.9,2.9,2.77,2.8,2.8041,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-10-13,2.8,2.82,2.75,2.75,2.7646,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-10-16,2.78,2.839,2.76,2.79,2.8016,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-10-17,2.78,2.9,2.75,2.86,2.8524,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-10-18,2.86,2.865,2.68,2.69,2.7175,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-10-19,2.69,2.72,2.62,2.66,2.6704,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-10-20,2.67,2.68,2.6,2.6,2.6281,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-10-23,2.61,2.68,2.58,2.66,2.6501,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-10-24,2.69,2.72,2.625,2.64,2.6567,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-10-25,2.61,2.64,2.54,2.6,2.5898,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-10-26,2.61,2.625,2.52,2.54,2.5499,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-10-27,2.54,2.55,2.41,2.43,2.4516,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-10-30,2.5,2.5,2.41,2.43,2.4379,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-10-31,2.44,2.51,2.422,2.51,2.485,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-11-01,2.51,2.575,2.48,2.51,2.5217,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-11-02,2.56,2.69,2.55,2.68,2.6384,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-11-03,2.72,2.84,2.67,2.83,2.8058,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-11-06,2.84,2.85,2.73,2.74,2.7527,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-11-07,2.74,2.795,2.67,2.68,2.7247,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-11-08,2.85,3.24,2.77,3.16,3.1176,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-11-09,3.15,3.165,2.87,2.93,2.9535,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-11-10,2.95,3.06,2.915,3.05,3.0184,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-11-13,3.04,3.29,3.01,3.22,3.1964,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-11-14,3.3,3.4691,3.26,3.43,3.4068,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-11-15,3.43,3.64,3.3737,3.58,3.572,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-11-16,3.54,3.59,3.32,3.33,3.3882,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-11-17,3.37,3.55,3.35,3.54,3.4851,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-11-20,3.59,3.78,3.53,3.75,3.7011,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-11-21,3.7,3.71,3.53,3.54,3.5906,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-11-22,3.59,3.68,3.54,3.55,3.6014,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-11-24,3.52,3.66,3.52,3.61,3.6103,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-11-27,3.64,3.64,3.55,3.61,3.6075,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-11-28,3.58,3.61,3.51,3.55,3.5518,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-11-29,3.63,3.67,3.57,3.59,3.6047,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-11-30,3.6,3.62,3.51,3.61,3.5915,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-12-01,3.59,3.74,3.54,3.73,3.6781,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-12-04,3.7,3.74,3.59,3.62,3.6551,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-12-05,3.6,3.64,3.54,3.55,3.5756,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-12-06,3.58,3.66,3.53,3.53,3.5857,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-12-07,3.57,3.57,3.5,3.54,3.5234,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-12-08,3.52,3.58,3.51,3.55,3.5494,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-12-11,3.52,3.61,3.52,3.58,3.5698,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-12-12,3.41,3.4465,3.21,3.28,3.2879,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-12-13,3.25,3.6,3.25,3.6,3.4117,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-12-14,3.56,3.8,3.56,3.7,3.7032,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-12-15,3.74,3.7424,3.515,3.55,3.5897,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-12-18,3.56,3.59,3.48,3.5,3.5154,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-12-19,3.52,3.605,3.51,3.57,3.5561,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-12-20,3.55,3.6,3.4,3.42,3.507,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-12-21,3.46,3.53,3.42,3.49,3.4714,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-12-22,3.5,3.55,3.45,3.5,3.4949,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-12-26,3.5,3.58,3.49,3.54,3.5335,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-12-27,3.54,3.5632,3.48,3.5,3.5062,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-12-28,3.47,3.535,3.46,3.51,3.5086,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2023-12-29,3.5,3.56,3.44,3.47,3.4792,0.0,0.0,0.0,-0.3129211529502851,-47692000.0
2024-01-02,3.44,3.5,3.37,3.42,3.438,0.0,0.0,0.0,-0.34681247880637506,-53183000.0
2024-01-03,3.35,3.36,3.21,3.24,3.261,0.0,0.0,0.0,-0.34681247880637506,-53183000.0
2024-01-04,3.26,3.275,3.205,3.23,3.2389,0.0,0.0,0.0,-0.34681247880637506,-53183000.0
2024-01-05,3.22,3.258,3.1903,3.23,3.2285,0.0,0.0,0.0,-0.34681247880637506,-53183000.0
2024-01-08,3.24,3.29,3.215,3.26,3.2623,0.0,0.0,0.0,-0.34681247880637506,-53183000.0
2024-01-09,3.22,3.23,3.145,3.17,3.1817,0.0,0.0,0.0,-0.34681247880637506,-53183000.0
2024-01-10,3.19,3.31,3.13,3.29,3.2497,0.0,0.0,0.0,-0.34681247880637506,-53183000.0
2024-01-11,3.27,3.27,3.14,3.21,3.1971,0.0,0.0,0.0,-0.34681247880637506,-53183000.0
2024-01-12,3.25,3.36,3.2429,3.3,3.3119,0.0,0.0,0.0,-0.34681247880637506,-53183000.0
2024-01-16,3.28,3.28,3.17,3.2,3.2068,0.0,0.0,0.0,-0.34681247880637506,-53183000.0
2024-01-17,3.15,3.19,3.11,3.17,3.1646,0.0,0.0,0.0,-0.34681247880637506,-53183000.0
2024-01-18,3.18,3.23,3.06,3.08,3.1004,0.0,0.0,0.0,-0.34681247880637506,-53183000.0
2024-01-19,3.1,3.15,3.01,3.13,3.0997,0.0,0.0,0.0,-0.34681247880637506,-53183000.0
2024-01-22,3.14,3.26,3.14,3.25,3.2269,0.0,0.0,0.0,-0.34681247880637506,-53183000.0
2024-01-23,3.28,3.31,3.225,3.31,3.2888,0.0,0.0,0.0,-0.34681247880637506,-53183000.0
2024-01-24,3.35,3.395,3.23,3.24,3.275,0.0,0.0,0.0,-0.34681247880637506,-53183000.0
2024-01-25,3.29,3.32,3.21,3.24,3.2387,0.0,0.0,0.0,-0.34681247880637506,-53183000.0
