Date,open,high,low,close,vwap,quarterly P/E diluted,quarterly P/E basic,TTM P/E,TTM eps,TTM earnings
2023-10-10,1.23,1.29,1.22,1.235,1.2531,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-10-11,1.26,1.3,1.21,1.23,1.2351,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-10-12,1.22,1.2506,1.17,1.19,1.2075,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-10-13,1.19,1.22,1.18,1.21,1.1947,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-10-16,1.21,1.23,1.19,1.2,1.2093,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-10-17,1.2,1.23,1.18,1.195,1.201,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-10-18,1.17,1.19,1.13,1.16,1.1562,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-10-19,1.13,1.19,1.13,1.14,1.1599,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-10-20,1.15,1.16,1.12,1.14,1.1363,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-10-23,1.12,1.14,1.1101,1.12,1.1243,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-10-24,1.12,1.18,1.115,1.15,1.1487,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-10-25,1.14,1.17,1.12,1.13,1.1381,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-10-26,1.13,1.1975,1.12,1.16,1.1682,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-10-27,1.17,1.2,1.16,1.17,1.1761,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-10-30,1.18,1.2,1.15,1.18,1.176,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-10-31,1.18,1.25,1.165,1.23,1.2181,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-11-01,1.22,1.23,1.17,1.2,1.1917,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-11-02,1.2,1.3,1.2,1.285,1.2641,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-11-03,1.32,1.36,1.29,1.33,1.3241,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-11-06,1.32,1.35,1.3,1.3,1.3176,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-11-07,1.29,1.3434,1.26,1.26,1.2943,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-11-08,1.26,1.29,1.245,1.27,1.2728,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-11-09,1.3,1.3,1.19,1.22,1.2316,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-11-10,1.28,1.48,1.27,1.46,1.3792,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-11-13,1.47,1.49,1.36,1.46,1.4336,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-11-14,1.49,1.575,1.4765,1.54,1.5413,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-11-15,1.56,1.66,1.5435,1.61,1.6133,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-11-16,1.59,1.61,1.52,1.6,1.5702,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-11-17,1.59,1.64,1.59,1.6,1.6126,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-11-20,1.63,1.7,1.61,1.63,1.647,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-11-21,1.61,1.62,1.5201,1.53,1.5543,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-11-22,1.53,1.6,1.5,1.58,1.5675,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-11-24,1.5,1.66,1.5,1.62,1.588,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-11-27,1.56,1.63,1.56,1.59,1.6018,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-11-28,1.56,1.6,1.55,1.57,1.571,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-11-29,1.57,1.62,1.54,1.55,1.5738,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-11-30,1.52,1.56,1.47,1.52,1.5057,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-12-01,1.51,1.6,1.48,1.57,1.557,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-12-04,1.55,1.56,1.49,1.55,1.5271,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-12-05,1.51,1.6,1.505,1.59,1.5637,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-12-06,1.6,1.65,1.58,1.58,1.6216,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-12-07,1.58,1.6205,1.57,1.58,1.598,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-12-08,1.58,1.585,1.55,1.56,1.5621,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-12-11,1.55,1.55,1.48,1.48,1.5101,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-12-12,1.48,1.4801,1.4,1.4,1.4288,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-12-13,1.4,1.48,1.3804,1.44,1.4261,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-12-14,1.46,1.51,1.46,1.46,1.4854,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-12-15,1.49,1.58,1.455,1.54,1.5066,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-12-18,1.53,1.56,1.49,1.55,1.5255,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-12-19,1.53,1.65,1.53,1.64,1.6261,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-12-20,1.64,1.8,1.58,1.67,1.7102,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-12-21,1.68,1.785,1.65,1.77,1.7192,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-12-22,1.76,1.85,1.74,1.77,1.7981,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-12-26,1.72,1.955,1.72,1.94,1.8847,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-12-27,2.0,2.08,1.92,2.05,2.0158,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-12-28,2.01,2.12,1.98,2.09,2.0674,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2023-12-29,2.06,2.085,1.96,2.03,2.0158,0.0,0.0,0.0,-0.1759332529026109,-19416137.0
2024-01-02,2.02,2.07,1.93,2.05,2.0109,0.0,0.0,0.0,-0.18121581451076793,-19748219.0
2024-01-03,2.01,2.065,1.945,1.99,2.0066,0.0,0.0,0.0,-0.18121581451076793,-19748219.0
2024-01-04,1.97,2.215,1.95,2.13,2.128,0.0,0.0,0.0,-0.18121581451076793,-19748219.0
2024-01-05,2.13,2.245,2.04,2.115,2.1481,0.0,0.0,0.0,-0.18121581451076793,-19748219.0
2024-01-08,2.2,2.38,2.08,2.34,2.2607,0.0,0.0,0.0,-0.18121581451076793,-19748219.0
2024-01-09,2.33,2.42,2.22,2.41,2.3538,0.0,0.0,0.0,-0.18121581451076793,-19748219.0
2024-01-10,2.42,2.44,2.26,2.3,2.3438,0.0,0.0,0.0,-0.18121581451076793,-19748219.0
2024-01-11,2.29,2.305,2.185,2.26,2.2454,0.0,0.0,0.0,-0.18121581451076793,-19748219.0
2024-01-12,2.26,2.4599,2.25,2.3,2.3536,0.0,0.0,0.0,-0.18121581451076793,-19748219.0
2024-01-16,2.35,2.35,2.12,2.17,2.2389,0.0,0.0,0.0,-0.18121581451076793,-19748219.0
2024-01-17,2.15,2.15,1.95,2.0,2.002,0.0,0.0,0.0,-0.18121581451076793,-19748219.0
2024-01-18,2.02,2.08,1.97,2.07,2.0404,0.0,0.0,0.0,-0.18121581451076793,-19748219.0
2024-01-19,2.08,2.09,1.91,2.01,1.9945,0.0,0.0,0.0,-0.18121581451076793,-19748219.0
2024-01-22,2.03,2.18,2.03,2.12,2.1243,0.0,0.0,0.0,-0.18121581451076793,-19748219.0
2024-01-23,2.15,2.215,2.03,2.06,2.0866,0.0,0.0,0.0,-0.18121581451076793,-19748219.0
2024-01-24,2.09,2.13,2.0,2.02,2.0579,0.0,0.0,0.0,-0.18121581451076793,-19748219.0
2024-01-25,2.04,2.045,1.93,1.95,1.9698,0.0,0.0,0.0,-0.18121581451076793,-19748219.0
2024-01-26,1.95,1.9901,1.895,1.91,1.9247,0.0,0.0,0.0,-0.18121581451076793,-19748219.0
2024-01-29,1.87,1.965,1.86,1.93,1.9124,0.0,0.0,0.0,-0.18121581451076793,-19748219.0
2024-01-30,1.93,1.93,1.84,1.84,1.8739,0.0,0.0,0.0,-0.18121581451076793,-19748219.0
2024-01-31,1.83,1.8877,1.79,1.79,1.8405,0.0,0.0,0.0,-0.18121581451076793,-19748219.0
2024-02-01,1.81,1.85,1.75,1.84,1.8181,0.0,0.0,0.0,-0.18121581451076793,-19748219.0
2024-02-02,2.365,2.555,2.261,2.34,2.3992,0.0,0.0,0.0,-0.18121581451076793,-19748219.0
2024-02-05,2.35,2.54,2.265,2.31,2.4084,0.0,0.0,0.0,-0.18121581451076793,-19748219.0
2024-02-06,2.31,2.3105,2.15,2.16,2.2176,0.0,0.0,0.0,-0.18121581451076793,-19748219.0
2024-02-07,2.16,2.18,1.95,2.0,2.0156,0.0,0.0,0.0,-0.18121581451076793,-19748219.0
2024-02-08,2.09,2.29,2.08,2.22,2.2138,0.0,0.0,0.0,-0.18121581451076793,-19748219.0
2024-02-09,2.26,2.4699,2.23,2.44,2.392,0.0,0.0,0.0,-0.18121581451076793,-19748219.0
2024-02-12,2.5,2.68,2.455,2.66,2.605,0.0,0.0,0.0,-0.18121581451076793,-19748219.0
2024-02-13,2.6,2.65,2.5202,2.62,2.5798,0.0,0.0,0.0,-0.18121581451076793,-19748219.0
2024-02-14,2.67,2.82,2.645,2.76,2.7468,0.0,0.0,0.0,-0.18121581451076793,-19748219.0
2024-02-15,2.77,2.8,2.63,2.72,2.6957,0.0,0.0,0.0,-0.18121581451076793,-19748219.0
2024-02-16,2.7,2.79,2.6,2.68,2.6921,0.0,0.0,0.0,-0.18121581451076793,-19748219.0
2024-02-20,2.68,2.73,2.435,2.49,2.5257,0.0,0.0,0.0,-0.18121581451076793,-19748219.0
2024-02-21,2.47,2.47,2.33,2.35,2.3735,0.0,0.0,0.0,-0.18121581451076793,-19748219.0
2024-02-22,2.37,2.41,2.26,2.26,2.3153,0.0,0.0,0.0,-0.18121581451076793,-19748219.0
2024-02-23,2.27,2.42,2.2,2.35,2.338,0.0,0.0,0.0,-0.18121581451076793,-19748219.0
2024-02-26,2.36,2.51,2.36,2.44,2.4416,0.0,0.0,0.0,-0.18121581451076793,-19748219.0
2024-02-27,2.41,2.5,2.395,2.48,2.4673,0.0,0.0,0.0,-0.18121581451076793,-19748219.0
2024-02-28,2.52,2.61,2.43,2.43,2.5139,0.0,0.0,0.0,-0.18121581451076793,-19748219.0
2024-02-29,2.48,2.67,2.48,2.62,2.5995,0.0,0.0,0.0,-0.18121581451076793,-19748219.0
2024-03-01,2.68,2.6901,2.58,2.62,2.6389,0.0,0.0,0.0,-0.18121581451076793,-19748219.0
2024-03-04,2.69,2.7695,2.66,2.67,2.7141,0.0,0.0,0.0,-0.18121581451076793,-19748219.0
2024-03-05,2.65,2.65,2.415,2.46,2.5146,0.0,0.0,0.0,-0.18121581451076793,-19748219.0
