Date,open,high,low,close,vwap,quarterly P/E diluted,quarterly P/E basic,TTM P/E,TTM eps,TTM earnings
2023-10-10,2.87,2.87,2.7701,2.83,2.8365,0.0,0.0,0.0,-0.2057405713933011,-1899972.0
2023-10-11,2.94,2.94,2.81,2.83,2.885,0.0,0.0,0.0,-0.2057405713933011,-1899972.0
2023-10-12,2.94,2.94,2.77,2.8113,2.8287,0.0,0.0,0.0,-0.2057405713933011,-1899972.0
2023-10-13,2.86,2.86,2.75,2.82,2.8179,0.0,0.0,0.0,-0.2057405713933011,-1899972.0
2023-10-16,2.76,3.0,2.76,2.9,2.8943,0.0,0.0,0.0,-0.2057405713933011,-1899972.0
2023-10-17,2.945,3.0792,2.92,3.0,3.0026,0.0,0.0,0.0,-0.2057405713933011,-1899972.0
2023-10-18,2.94,3.0658,2.94,3.0,3.0247,0.0,0.0,0.0,-0.2057405713933011,-1899972.0
2023-10-19,3.0,3.02,2.87,2.87,2.9636,0.0,0.0,0.0,-0.2057405713933011,-1899972.0
2023-10-20,2.7969,2.875,2.7969,2.87,2.8457,0.0,0.0,0.0,-0.2057405713933011,-1899972.0
2023-10-23,2.92,2.92,2.7786,2.78,2.8277,0.0,0.0,0.0,-0.2057405713933011,-1899972.0
2023-10-24,2.75,2.8599,2.7244,2.73,2.7534,0.0,0.0,0.0,-0.2057405713933011,-1899972.0
2023-10-25,2.77,2.79,2.6987,2.79,2.738,0.0,0.0,0.0,-0.2057405713933011,-1899972.0
2023-10-26,2.7,2.73,2.66,2.66,2.6945,0.0,0.0,0.0,-0.2057405713933011,-1899972.0
2023-10-27,2.66,2.7895,2.6361,2.72,2.667,0.0,0.0,0.0,-0.2057405713933011,-1899972.0
2023-10-30,2.74,2.74,2.68,2.68,2.7003,0.0,0.0,0.0,-0.2057405713933011,-1899972.0
2023-10-31,2.7396,2.895,2.71,2.87,2.8022,0.0,0.0,0.0,-0.2057405713933011,-1899972.0
2023-11-01,2.89,2.89,2.8,2.82,2.8192,0.0,0.0,0.0,-0.2057405713933011,-1899972.0
