Date,open,high,low,close,vwap,quarterly P/E diluted,quarterly P/E basic,TTM P/E,TTM eps,TTM earnings
2023-10-10,3.04,3.2184,3.0384,3.1392,3.1464,0.0,0.0,0.0,-0.19598692561214934,-22958781.0
2023-10-11,3.1544,3.344,3.068,3.2,3.2525,0.0,0.0,0.0,-0.19598692561214934,-22958781.0
2023-10-12,3.2,3.24,3.092,3.1984,3.172,0.0,0.0,0.0,-0.19598692561214934,-22958781.0
2023-10-13,3.2,3.28,3.04,3.0936,3.1519,0.0,0.0,0.0,-0.19598692561214934,-22958781.0
2023-10-16,3.36,3.44,3.096,3.192,3.2841,0.0,0.0,0.0,-0.19598692561214934,-22958781.0
2023-10-17,3.3312,3.4408,3.192,3.2328,3.3117,0.0,0.0,0.0,-0.19598692561214934,-22958781.0
2023-10-18,3.3944,3.48,3.24,3.3168,3.3353,0.0,0.0,0.0,-0.19598692561214934,-22958781.0
2023-10-19,3.248,3.3208,2.9616,3.04,3.0794,0.0,0.0,0.0,-0.19598692561214934,-22958781.0
2023-10-20,3.0296,3.1431,3.0,3.04,3.0365,0.0,0.0,0.0,-0.19598692561214934,-22958781.0
2023-10-23,2.9648,3.36,2.8,3.108,2.9967,0.0,0.0,0.0,-0.19598692561214934,-22958781.0
2023-10-24,3.0944,3.108,2.808,2.88,2.8964,0.0,0.0,0.0,-0.19598692561214934,-22958781.0
2023-10-25,2.8816,2.9592,2.72,2.84,2.8318,0.0,0.0,0.0,-0.19598692561214934,-22958781.0
2023-10-26,2.784,2.8712,2.64,2.76,2.7503,0.0,0.0,0.0,-0.19598692561214934,-22958781.0
2023-10-27,2.7496,2.8016,2.5936,2.648,2.6911,0.0,0.0,0.0,-0.19598692561214934,-22958781.0
2023-10-30,2.66,2.72,2.3584,2.4168,2.529,0.0,0.0,0.0,-0.19598692561214934,-22958781.0
2023-10-31,2.3152,2.4,2.248,2.3144,2.3395,0.0,0.0,0.0,-0.19598692561214934,-22958781.0
2023-11-01,2.248,2.3992,2.24,2.3392,2.3188,0.0,0.0,0.0,-0.19598692561214934,-22958781.0
2023-11-02,2.32,2.552,2.32,2.4712,2.4491,0.0,0.0,0.0,-0.19598692561214934,-22958781.0
2023-11-03,2.48,2.7256,2.472,2.5592,2.6067,0.0,0.0,0.0,-0.19598692561214934,-22958781.0
2023-11-06,2.56,2.7208,2.5328,2.5328,2.6152,0.0,0.0,0.0,-0.19598692561214934,-22958781.0
2023-11-07,2.56,2.56,2.3912,2.4408,2.4714,0.0,0.0,0.0,-0.19598692561214934,-22958781.0
2023-11-08,2.4768,2.6524,2.416,2.5856,2.5641,0.0,0.0,0.0,-0.19598692561214934,-22958781.0
