Date,open,high,low,close,vwap,quarterly P/E diluted,quarterly P/E basic,TTM P/E,TTM eps,TTM earnings
2023-10-10,4.9,5.2,4.7,4.7,4.9964,,0.0,0.0,-0.7261455916473318,-10015000.0
2023-10-11,4.937,5.167,4.75,4.8,4.9688,,0.0,0.0,-0.7261455916473318,-10015000.0
2023-10-12,4.749,5.1,4.65,4.717,4.7664,,0.0,0.0,-0.7261455916473318,-10015000.0
2023-10-16,5.11,5.35,4.12,5.35,4.9181,,0.0,0.0,-0.7261455916473318,-10015000.0
2023-10-17,4.96,4.96,4.65,4.65,4.8403,,0.0,0.0,-0.7261455916473318,-10015000.0
2023-10-18,4.54,4.67,4.3,4.35,4.4778,,0.0,0.0,-0.7261455916473318,-10015000.0
2023-10-19,4.27,4.35,4.01,4.24,4.1952,,0.0,0.0,-0.7261455916473318,-10015000.0
2023-10-20,4.3916,4.8,4.19,4.75,4.3837,,0.0,0.0,-0.7261455916473318,-10015000.0
2023-10-23,4.65,7.83,4.6,6.13,6.728,,0.0,0.0,-0.7261455916473318,-10015000.0
2023-10-24,5.05,6.0,5.0323,5.13,5.503,,0.0,0.0,-0.7261455916473318,-10015000.0
2023-10-25,4.99,5.13,4.6675,4.98,4.8408,,0.0,0.0,-0.7261455916473318,-10015000.0
2023-10-26,4.82,4.955,4.56,4.69,4.7237,,0.0,0.0,-0.7261455916473318,-10015000.0
2023-10-27,4.65,4.815,4.65,4.71,4.7528,,0.0,0.0,-0.7261455916473318,-10015000.0
2023-10-30,4.64,5.22,4.64,5.01,4.7341,,0.0,0.0,-0.7261455916473318,-10015000.0
2023-10-31,5.01,5.01,4.5705,4.6698,4.6352,,0.0,0.0,-3.049786628733997,-4288000.0
2023-11-01,4.53,4.8902,4.53,4.75,4.7257,,0.0,0.0,-3.049786628733997,-4288000.0
2023-11-02,4.73,4.75,4.73,4.75,4.7796,,0.0,0.0,-3.049786628733997,-4288000.0
2023-11-03,4.72,4.75,4.4968,4.56,4.5985,,0.0,0.0,-3.049786628733997,-4288000.0
2023-11-06,4.49,4.8355,4.49,4.68,4.7091,,0.0,0.0,-3.049786628733997,-4288000.0
2023-11-07,4.6,5.04,4.36,4.67,4.6884,,0.0,0.0,-3.049786628733997,-4288000.0
2023-11-08,4.58,5.3454,4.5,4.7,4.7926,,0.0,0.0,-3.049786628733997,-4288000.0
2023-11-09,4.84,4.85,4.39,4.58,4.5896,,0.0,0.0,-3.049786628733997,-4288000.0
2023-11-10,4.56,4.98,4.4,4.65,4.6196,,0.0,0.0,-3.049786628733997,-4288000.0
2023-11-13,4.62,5.1,4.5,4.79,4.838,,0.0,0.0,-3.049786628733997,-4288000.0
2023-11-14,5.1,5.1,4.615,4.855,4.8171,,0.0,0.0,-3.049786628733997,-4288000.0
2023-11-15,4.74,5.22,4.73,4.93,4.9924,,0.0,0.0,-3.049786628733997,-4288000.0
2023-11-16,4.83,5.2,4.83,4.9628,5.0175,,0.0,0.0,-3.049786628733997,-4288000.0
2023-11-17,5.06,5.1001,4.8162,4.984,4.9778,,0.0,0.0,-3.049786628733997,-4288000.0
2023-11-20,4.9,5.2,4.768,4.88,4.9499,,0.0,0.0,-3.049786628733997,-4288000.0
2023-11-21,4.95,5.1,4.8,5.1,4.9374,,0.0,0.0,-3.049786628733997,-4288000.0
2023-11-22,4.99,5.0468,4.81,4.91,4.9262,,0.0,0.0,-3.049786628733997,-4288000.0
2023-11-24,4.91,4.91,4.64,4.64,4.836,,0.0,0.0,-3.049786628733997,-4288000.0
2023-11-27,4.8,4.98,4.8,4.92,4.9144,,0.0,0.0,-3.049786628733997,-4288000.0
2023-11-28,4.86,4.86,4.756,4.756,4.8243,,0.0,0.0,-3.049786628733997,-4288000.0
2023-11-29,5.03,5.03,4.83,4.92,4.9385,,0.0,0.0,-3.049786628733997,-4288000.0
2023-11-30,5.0,5.305,4.94,5.1804,5.0338,,0.0,0.0,-3.049786628733997,-4288000.0
2023-12-01,5.2534,5.45,5.1,5.21,5.2631,,0.0,0.0,-3.049786628733997,-4288000.0
2023-12-04,5.39,5.563,5.1065,5.23,5.2713,,0.0,0.0,-3.049786628733997,-4288000.0
2023-12-05,5.3023,5.43,5.2,5.43,5.359,,0.0,0.0,-3.049786628733997,-4288000.0
2023-12-06,5.2893,5.4037,5.1027,5.4037,5.1533,,0.0,0.0,-3.049786628733997,-4288000.0
2023-12-07,5.42,5.42,5.22,5.3501,5.3275,,0.0,0.0,-3.049786628733997,-4288000.0
2023-12-08,5.35,5.49,5.22,5.48,5.3631,,0.0,0.0,-3.049786628733997,-4288000.0
2023-12-11,5.3,5.48,5.22,5.24,5.2975,,0.0,0.0,-3.049786628733997,-4288000.0
2023-12-12,5.4463,5.8299,5.2917,5.5,5.5441,,0.0,0.0,-3.049786628733997,-4288000.0
2023-12-13,5.9,5.9,5.235,5.88,5.492,,0.0,0.0,-3.049786628733997,-4288000.0
2023-12-14,4.52,5.21,4.44,4.8822,4.9409,,0.0,0.0,-3.049786628733997,-4288000.0
