Date,open,high,low,close,vwap,quarterly P/E diluted,quarterly P/E basic,TTM P/E,TTM eps,TTM earnings
2023-10-12,55.21,55.71,54.09,54.62,54.9145,0.0,0.0,0.0,-0.43965617377163435,-378500000.0
2023-10-13,54.59,54.715,52.35,52.62,52.9444,0.0,0.0,0.0,-0.43965617377163435,-378500000.0
2023-10-16,52.64,53.78,52.31,53.66,53.4226,0.0,0.0,0.0,-0.43965617377163435,-378500000.0
2023-10-17,52.43,53.88,51.86,53.17,53.0315,0.0,0.0,0.0,-0.43965617377163435,-378500000.0
2023-10-18,52.17,52.47,51.2,51.47,51.6551,0.0,0.0,0.0,-0.43965617377163435,-378500000.0
2023-10-19,52.07,52.47,50.465,50.69,51.0756,0.0,0.0,0.0,-0.43965617377163435,-378500000.0
2023-10-20,50.69,50.93,49.335,49.47,49.7358,0.0,0.0,0.0,-0.43965617377163435,-378500000.0
2023-10-23,49.12,49.895,48.16,49.02,49.1194,0.0,0.0,0.0,-0.43965617377163435,-378500000.0
2023-10-24,49.66,49.85,48.93,49.49,49.3991,0.0,0.0,0.0,-0.43965617377163435,-378500000.0
2023-10-25,48.84,49.2,47.13,47.55,47.8215,0.0,0.0,0.0,-0.43965617377163435,-378500000.0
2023-10-26,47.55,48.17,46.43,46.63,46.9868,0.0,0.0,0.0,-0.43965617377163435,-378500000.0
2023-10-27,47.21,47.83,46.755,47.26,47.2832,0.0,0.0,0.0,-0.43965617377163435,-378500000.0
2023-10-30,47.13,47.765,46.205,46.83,46.846,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2023-10-31,46.88,47.3,46.07,47.22,46.8962,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2023-11-01,47.05,47.78,46.325,47.7,47.1909,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2023-11-02,49.1,49.4,48.435,48.9,49.0289,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2023-11-03,49.54,51.84,49.4,51.36,51.0548,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2023-11-06,51.64,52.03,50.81,51.24,51.2002,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2023-11-07,51.15,51.695,50.89,51.18,51.2939,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2023-11-08,51.35,51.78,51.09,51.58,51.527,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2023-11-09,51.89,54.4999,51.87,52.49,53.2786,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2023-11-10,53.32,54.94,52.525,54.62,54.2628,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2023-11-13,54.0,54.13,52.45,53.45,53.2871,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2023-11-14,55.49,57.425,55.33,57.03,56.8786,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2023-11-15,57.39,58.12,56.74,57.17,57.2946,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2023-11-16,55.21,55.22,53.47,54.66,54.4324,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2023-11-17,54.7,55.79,54.69,55.58,55.4257,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2023-11-20,55.5,56.6,55.44,56.38,56.1913,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2023-11-21,55.67,55.775,54.2501,54.68,54.6706,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2023-11-22,55.08,56.34,55.08,55.5,55.6896,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2023-11-24,55.5,56.228,55.37,56.03,56.0091,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2023-11-27,55.61,56.41,55.35,55.9,55.9046,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2023-11-28,55.77,55.77,54.66,55.58,55.1828,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2023-11-29,56.49,57.24,55.9,56.1,56.3645,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2023-11-30,56.71,56.95,55.27,55.73,55.719,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2023-12-01,52.215,53.84,50.519,52.8,52.5112,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2023-12-04,52.02,52.075,50.63,52.01,51.4772,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2023-12-05,51.22,51.47,50.49,50.7,50.8179,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2023-12-06,51.56,51.855,50.35,50.43,50.8726,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2023-12-07,50.77,52.49,50.56,52.19,51.9759,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2023-12-08,51.72,53.12,51.66,52.88,52.7599,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2023-12-11,53.74,54.61,52.89,54.48,54.0466,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2023-12-12,53.81,54.32,53.5,54.26,54.0955,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2023-12-13,54.34,57.34,54.2,57.21,56.2826,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2023-12-14,58.07,59.94,57.84,59.29,59.0872,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2023-12-15,59.65,60.276,59.1,59.59,59.649,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2023-12-18,59.51,59.93,58.37,59.72,59.4207,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2023-12-19,59.62,59.92,59.07,59.66,59.5858,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2023-12-20,59.31,60.6,57.5,57.54,58.403,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2023-12-21,59.25,60.37,59.01,60.25,59.8543,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2023-12-22,60.5,60.67,59.71,60.25,60.2992,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2023-12-26,60.66,61.49,60.565,61.15,61.0934,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2023-12-27,61.5,61.7,60.89,61.26,61.2275,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2023-12-28,61.39,61.785,60.89,61.3,61.3758,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2023-12-29,61.39,61.59,60.07,60.31,60.5434,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2024-01-02,59.46,59.759,57.55,58.17,58.4045,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2024-01-03,57.01,57.43,56.335,56.76,56.8375,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2024-01-04,56.03,59.06,55.63,58.07,57.7434,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2024-01-05,58.55,61.15,58.52,59.92,60.0517,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2024-01-08,60.0,64.46,59.95,64.11,63.4381,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2024-01-09,63.11,63.98,63.06,63.47,63.5351,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2024-01-10,64.01,64.295,62.24,63.43,63.5229,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2024-01-11,63.49,66.045,62.91,65.87,65.076,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2024-01-12,65.87,67.145,65.44,65.68,65.9996,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2024-01-16,65.57,66.99,64.655,65.52,65.7005,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2024-01-17,64.69,65.44,63.28,65.36,64.5085,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2024-01-18,67.33,69.88,67.33,68.21,68.5311,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2024-01-19,69.0,71.21,68.62,71.08,70.2275,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2024-01-22,72.14,72.55,68.93,70.11,70.1963,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2024-01-23,70.05,70.73,68.86,70.6,70.1924,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2024-01-24,71.75,73.235,71.09,72.28,72.3668,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2024-01-25,73.46,73.53,69.91,70.0,70.7869,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2024-01-26,68.7,69.565,67.78,68.04,68.4222,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2024-01-29,68.45,70.2,68.19,70.14,69.2936,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2024-01-30,70.0,70.76,68.34,68.83,69.1979,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2024-01-31,67.412,69.45,66.69,67.7,67.8861,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2024-02-01,68.2,68.25,65.51,66.87,66.5814,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2024-02-02,67.1,68.67,66.7,67.53,67.6359,0.0,0.0,0.0,-0.6446788778112683,-556100000.0
2024-02-05,67.68,68.05,65.77,67.02,66.7638,0.0,0.0,0.0,-1.0837106699175665,-933400000.0
2024-02-06,67.22,67.49,65.85,67.08,66.6654,0.0,0.0,0.0,-1.0837106699175665,-933400000.0
2024-02-07,67.67,69.74,66.01,69.37,68.3545,0.0,0.0,0.0,-1.0837106699175665,-933400000.0
2024-02-08,70.2,72.86,69.96,71.02,71.6825,0.0,0.0,0.0,-1.0837106699175665,-933400000.0
2024-02-09,68.23,69.46,66.93,68.83,68.578,0.0,0.0,0.0,-1.0837106699175665,-933400000.0
