Date,open,high,low,close,vwap,quarterly P/E diluted,quarterly P/E basic,TTM P/E,TTM eps,TTM earnings
2023-10-10,330.96,331.1,327.67,328.39,329.2022,27.525267558528427,27.433516666666666,31.83385592752709,10.341260598447805,77096000000.0
2023-10-11,331.21,332.82,329.14,332.42,331.5068,27.717959866220735,27.625566666666668,32.056710769841565,10.341260598447805,77096000000.0
2023-10-12,330.565,333.6299,328.72,331.16,331.366,27.706187290969897,27.613833333333332,32.04309540847826,10.341260598447805,77096000000.0
2023-10-13,332.38,333.83,326.36,327.73,329.1423,27.52025919732441,27.428524999999997,31.8280635969471,10.341260598447805,77096000000.0
2023-10-16,331.05,336.14,330.6,332.64,333.3167,27.869289297658863,27.77639166666667,32.231728117366075,10.341260598447805,77096000000.0
2023-10-17,329.59,333.46,327.41,332.06,331.2513,27.696596989966555,27.604275,32.03200391736767,10.341260598447805,77096000000.0
2023-10-18,332.49,335.59,328.3,330.11,331.7637,27.739439799331098,27.646974999999998,32.08155300232902,10.341260598447805,77096000000.0
2023-10-19,332.15,336.88,330.91,331.32,333.2316,27.862173913043478,27.7693,32.22349894654209,10.341260598447805,77096000000.0
2023-10-20,331.72,331.92,325.45,326.67,327.9374,27.419515050167224,27.32811666666667,31.71154975528056,10.341260598447805,77096000000.0
2023-10-23,325.47,332.725,324.39,329.32,329.2525,27.529473244147155,27.437708333333333,31.838719938014123,10.341260598447805,77096000000.0
2023-10-24,331.3,331.84,327.6,330.53,333.8854,27.91683946488294,27.823783333333335,32.28672141287255,10.341260598447805,77096000000.0
2023-10-25,345.02,346.2,337.62,340.67,340.9822,28.510217391304344,28.41518333333333,32.9729820415879,10.341260598447805,77096000000.0
2023-10-26,340.54,341.63,326.94,327.89,331.2145,27.69352006688963,27.601208333333332,32.02844535701135,10.341260598447805,77096000000.0
2023-10-27,330.425,336.72,328.4007,329.81,331.6621,27.730944816053512,27.638508333333334,32.07172828134527,10.341260598447805,77096000000.0
2023-10-30,333.41,339.45,331.83,337.31,336.3742,28.124933110367888,28.03118333333333,32.52738839697056,10.341260598447805,77096000000.0
2023-10-31,338.85,339.0,334.69,338.11,337.2437,28.197633779264212,28.103641666666665,32.61146905538957,10.341260598447805,77096000000.0
2023-11-01,339.79,347.42,339.65,346.07,344.9564,28.842508361204008,28.746366666666663,33.35728722006841,10.341260598447805,77096000000.0
2023-11-02,347.24,348.83,344.77,348.32,347.5945,29.063085284280934,28.96620833333333,33.61239151561203,10.341260598447805,77096000000.0
2023-11-03,349.63,354.39,347.33,352.8,351.9507,29.427316053511703,29.329224999999997,34.03363609779129,10.341260598447805,77096000000.0
2023-11-06,353.45,357.54,353.35,356.53,355.997,29.765635451505016,29.666416666666667,34.42491334696992,10.341260598447805,77096000000.0
2023-11-07,359.4,362.46,357.63,360.53,360.6714,30.15647157190635,30.05595,34.876927872230176,10.341260598447805,77096000000.0
2023-11-08,361.68,363.87,360.55,363.2,362.3924,30.30036789297659,30.199366666666666,35.043348588893906,10.341260598447805,77096000000.0
2023-11-09,362.3,364.79,360.362,360.69,362.0007,30.267617056856185,30.166725,35.00547119510124,10.341260598447805,77096000000.0
2023-11-10,361.49,370.1,361.07,369.67,367.5677,30.733085284280936,30.630641666666666,35.54380014900416,10.341260598447805,77096000000.0
2023-11-13,368.22,368.47,365.9,366.68,367.1673,30.69960702341137,30.597275,35.50508146512726,10.341260598447805,77096000000.0
2023-11-14,371.01,371.95,367.3454,370.27,370.2471,30.95711538461538,30.853925,35.80289815494767,10.341260598447805,77096000000.0
2023-11-15,371.28,373.13,367.11,369.67,369.8189,30.921312709030097,30.818241666666665,35.761491210801594,10.341260598447805,77096000000.0
2023-11-16,370.96,376.35,370.18,376.17,374.8465,31.341680602006686,31.23720833333333,36.247660179481734,10.341260598447805,77096000000.0
2023-11-17,373.61,374.37,367.0,369.85,370.7146,30.996204013377927,30.892883333333334,35.84810540947428,10.341260598447805,77096000000.0
2023-11-20,371.22,378.87,371.0,377.44,375.7212,31.414816053511704,31.310100000000002,36.33224367795109,10.341260598447805,77096000000.0
2023-11-21,375.67,376.2215,371.12,373.07,373.1602,31.200685618729093,31.09668333333333,36.084594953153996,10.341260598447805,77096000000.0
2023-11-22,378.0,379.7899,374.965,377.85,377.8819,31.59547658862876,31.49015833333333,36.54118338887224,10.341260598447805,77096000000.0
2023-11-24,377.33,377.97,375.135,377.43,376.8148,31.506254180602003,31.401233333333334,36.43799480853996,10.341260598447805,77096000000.0
2023-11-27,376.78,380.64,376.2,378.61,378.5792,31.653779264214045,31.548266666666667,36.608612305623915,10.341260598447805,77096000000.0
2023-11-28,378.35,383.0,378.16,382.7,381.538,31.90117056856187,31.794833333333333,36.89472829427273,10.341260598447805,77096000000.0
2023-11-29,383.76,384.3,377.44,378.85,379.514,31.7319397993311,31.626166666666666,36.699007474675184,10.341260598447805,77096000000.0
2023-11-30,378.49,380.09,375.47,378.91,378.1427,31.61728260869565,31.511891666666667,36.56640275139746,10.341260598447805,77096000000.0
2023-12-01,376.76,378.16,371.31,374.51,374.0143,31.272098662207355,31.16785833333333,36.16718643142389,10.341260598447805,77096000000.0
2023-12-04,369.1,369.52,362.9,369.14,367.2104,30.703210702341135,30.600866666666665,35.50924923554458,10.341260598447805,77096000000.0
2023-12-05,366.45,373.075,365.621,372.52,371.2074,31.037408026755852,30.93395,35.89575917424586,10.341260598447805,77096000000.0
2023-12-06,373.54,374.18,368.03,368.8,369.9705,30.933988294314382,30.830875000000002,35.77615093226947,10.341260598447805,77096000000.0
2023-12-07,368.23,371.4527,366.32,370.95,369.8581,30.92459030100334,30.82150833333333,35.76528185118115,10.341260598447805,77096000000.0
2023-12-08,369.2,374.46,368.23,374.23,372.776,31.1685618729097,31.064666666666668,36.04744280943395,10.341260598447805,77096000000.0
2023-12-11,368.48,371.6,366.1,371.3,369.5369,30.89773411371237,30.794741666666667,35.734221808071105,10.341260598447805,77096000000.0
2023-12-12,370.85,374.42,370.46,374.38,372.7849,31.169306020066887,31.065408333333334,36.048303439520126,10.341260598447805,77096000000.0
2023-12-13,376.02,377.6361,370.77,374.37,374.3066,31.29653846153846,31.192216666666667,36.195451844254116,10.341260598447805,77096000000.0
