Date,open,high,low,close,vwap,quarterly P/E diluted,quarterly P/E basic,TTM P/E,TTM eps,TTM earnings
2023-10-10,69.49,70.11,68.89,69.07,69.4206,0,0,0,-5.339999999999999,-5833000000.0
2023-10-11,69.72,70.27,68.93,70.21,69.782,0,0,0,-5.339999999999999,-5833000000.0
2023-10-12,70.39,70.72,69.295,69.75,70.0479,0,0,0,-5.339999999999999,-5833000000.0
2023-10-13,69.87,70.06,69.09,69.21,69.4568,0,0,0,-5.339999999999999,-5833000000.0
2023-10-16,69.01,70.03,68.14,69.08,69.2786,0,0,0,-5.339999999999999,-5833000000.0
2023-10-17,68.07,69.63,67.62,69.0,68.8238,0,0,0,-5.339999999999999,-5833000000.0
2023-10-18,68.01,69.55,67.98,69.14,69.0448,0,0,0,-5.339999999999999,-5833000000.0
2023-10-19,69.68,69.78,67.18,67.53,67.9071,0,0,0,-5.339999999999999,-5833000000.0
2023-10-20,67.56,68.52,67.135,67.22,67.5833,0,0,0,-5.339999999999999,-5833000000.0
2023-10-23,66.82,68.16,66.23,66.88,67.0861,0,0,0,-5.339999999999999,-5833000000.0
2023-10-24,67.29,68.35,67.13,68.07,67.8016,0,0,0,-5.339999999999999,-5833000000.0
2023-10-25,68.485,69.2,65.8998,66.5,67.0764,0,0,0,-5.339999999999999,-5833000000.0
2023-10-26,66.45,67.44,63.875,64.53,64.917,0,0,0,-5.339999999999999,-5833000000.0
2023-10-27,64.92,66.27,64.88,65.65,65.6417,0,0,0,-5.339999999999999,-5833000000.0
2023-10-30,66.355,67.55,65.17,66.07,66.2351,0,0,0,-5.339999999999999,-5833000000.0
2023-10-31,66.08,67.07,65.26,66.87,66.433,0,0,0,-5.339999999999999,-5833000000.0
2023-11-01,67.0,69.66,67.0,69.4,69.0354,0,0,0,-5.339999999999999,-5833000000.0
2023-11-02,70.32,71.025,69.75,70.44,70.4593,0,0,0,-5.339999999999999,-5833000000.0
2023-11-03,71.3,73.19,71.15,72.58,72.4981,0,0,0,-5.339999999999999,-5833000000.0
2023-11-06,72.58,72.99,72.0201,72.92,72.6969,0,0,0,-5.339999999999999,-5833000000.0
2023-11-07,72.48,73.13,71.71,72.8,72.6479,0,0,0,-5.339999999999999,-5833000000.0
2023-11-08,72.62,72.78,71.715,72.28,72.183,0,0,0,-5.339999999999999,-5833000000.0
2023-11-09,73.55,76.1,73.495,73.57,74.4045,0,0,0,-5.339999999999999,-5833000000.0
2023-11-10,74.44,75.805,73.565,75.36,75.0485,0,0,0,-5.339999999999999,-5833000000.0
2023-11-13,74.15,75.2025,73.39,74.78,74.4161,0,0,0,-5.339999999999999,-5833000000.0
2023-11-14,76.0,77.45,75.91,77.17,76.9658,0,0,0,-5.339999999999999,-5833000000.0
2023-11-15,77.5,77.5,76.31,77.14,77.0028,0,0,0,-5.339999999999999,-5833000000.0
2023-11-16,76.89,77.48,76.48,76.67,76.8781,0,0,0,-5.339999999999999,-5833000000.0
2023-11-17,76.6,77.94,76.47,77.56,77.4091,0,0,0,-5.339999999999999,-5833000000.0
2023-11-20,77.34,78.905,77.13,78.62,78.236,0,0,0,-5.339999999999999,-5833000000.0
2023-11-21,77.85,77.93,76.305,76.71,76.7671,0,0,0,-5.339999999999999,-5833000000.0
2023-11-22,77.2,78.45,76.85,77.1,77.2768,0,0,0,-5.339999999999999,-5833000000.0
2023-11-24,76.68,77.0055,76.37,76.87,76.787,0,0,0,-5.339999999999999,-5833000000.0
2023-11-27,76.87,78.2899,76.66,77.51,77.5583,0,0,0,-5.339999999999999,-5833000000.0
2023-11-28,75.08,76.24,73.985,76.12,75.2289,0,0,0,-5.339999999999999,-5833000000.0
2023-11-29,77.45,79.02,76.375,76.69,77.2551,0,0,0,-5.339999999999999,-5833000000.0
2023-11-30,76.82,77.0,74.97,76.12,75.9289,0,0,0,-6.2371474878444095,-6872000000.0
2023-12-01,76.01,76.54,75.09,75.93,75.8678,0,0,0,-6.2371474878444095,-6872000000.0
2023-12-04,75.42,75.6,73.33,74.29,74.1973,0,0,0,-6.2371474878444095,-6872000000.0
2023-12-05,73.47,73.97,73.04,73.69,73.5953,0,0,0,-6.2371474878444095,-6872000000.0
2023-12-06,75.3,75.4,72.93,73.13,73.609,0,0,0,-6.2371474878444095,-6872000000.0
2023-12-07,74.02,74.205,72.99,73.65,73.6943,0,0,0,-6.2371474878444095,-6872000000.0
2023-12-08,73.48,75.35,73.43,74.96,74.7862,0,0,0,-6.2371474878444095,-6872000000.0
2023-12-11,77.19,78.51,76.965,77.79,77.8117,0,0,0,-6.2371474878444095,-6872000000.0
2023-12-12,77.42,78.26,77.0985,78.16,77.8556,0,0,0,-6.2371474878444095,-6872000000.0
2023-12-13,78.3,80.265,78.03,79.79,79.3326,0,0,0,-6.2371474878444095,-6872000000.0
2023-12-14,80.81,82.4,80.79,82.19,81.9206,0,0,0,-6.2371474878444095,-6872000000.0
2023-12-15,82.89,82.99,81.11,81.41,81.7214,0,0,0,-6.2371474878444095,-6872000000.0
2023-12-18,81.59,81.86,80.81,81.56,81.4362,0,0,0,-6.2371474878444095,-6872000000.0
2023-12-19,81.67,82.27,81.17,82.17,81.9047,0,0,0,-6.2371474878444095,-6872000000.0
2023-12-20,81.46,81.62,78.63,78.69,80.0043,0,0,0,-6.2371474878444095,-6872000000.0
2023-12-21,85.0,86.02,83.11,85.48,84.7105,0,0,0,-6.2371474878444095,-6872000000.0
2023-12-22,86.15,87.49,85.62,86.49,86.6119,0,0,0,-6.2371474878444095,-6872000000.0
2023-12-26,86.695,87.87,86.43,87.06,87.2252,0,0,0,-6.2371474878444095,-6872000000.0
2023-12-27,87.48,87.49,86.22,86.66,86.5974,0,0,0,-6.2371474878444095,-6872000000.0
2023-12-28,86.75,86.75,85.84,86.0,86.1092,0,0,0,-6.2371474878444095,-6872000000.0
2023-12-29,85.84,86.1441,85.03,85.34,85.5424,0,0,0,-6.2371474878444095,-6872000000.0
2024-01-02,84.0,84.08,81.75,82.34,82.7823,0,0,0,-6.2371474878444095,-6872000000.0
2024-01-03,81.2,82.5883,80.585,82.26,82.0679,0,0,0,-6.2371474878444095,-6872000000.0
2024-01-04,83.47,84.26,82.61,82.71,83.1953,0,0,0,-6.2371474878444095,-6872000000.0
2024-01-05,81.48,83.53,81.01,83.45,82.8071,0,0,0,-6.2371474878444095,-6872000000.0
2024-01-08,83.89,85.51,83.83,84.95,84.9118,0,0,0,-6.2371474878444095,-6872000000.0
2024-01-09,83.13,84.19,82.9,83.33,83.4795,0,0,0,-6.2371474878444095,-6872000000.0
2024-01-10,82.955,83.02,81.66,82.38,82.3212,0,0,0,-6.2371474878444095,-6872000000.0
2024-01-11,82.8,83.45,81.82,83.39,82.8573,0,0,0,-6.2371474878444095,-6872000000.0
2024-01-12,82.75,83.045,81.71,82.39,82.3265,0,0,0,-6.2371474878444095,-6872000000.0
2024-01-16,82.54,85.215,82.33,84.61,84.2181,0,0,0,-6.2371474878444095,-6872000000.0
2024-01-17,83.69,83.97,82.625,83.28,83.2566,0,0,0,-6.2371474878444095,-6872000000.0
2024-01-18,85.22,85.82,84.04,84.82,85.0237,0,0,0,-6.2371474878444095,-6872000000.0
2024-01-19,86.06,87.785,85.62,87.51,87.0114,0,0,0,-6.2371474878444095,-6872000000.0
2024-01-22,88.27,89.95,88.01,89.24,88.9644,0,0,0,-6.2371474878444095,-6872000000.0
2024-01-23,89.0,89.18,86.88,87.53,87.5204,0,0,0,-6.2371474878444095,-6872000000.0
2024-01-24,88.41,88.57,86.61,88.08,87.8248,0,0,0,-6.2371474878444095,-6872000000.0
2024-01-25,89.15,90.0446,88.495,89.2,89.233,0,0,0,-6.2371474878444095,-6872000000.0
2024-01-26,87.24,88.5,86.29,88.05,87.8838,0,0,0,-6.2371474878444095,-6872000000.0
2024-01-29,88.5,89.57,88.015,89.07,88.8219,0,0,0,-6.2371474878444095,-6872000000.0
2024-01-30,88.08,88.79,85.76,86.16,86.6898,0,0,0,-6.2371474878444095,-6872000000.0
2024-01-31,84.957,86.92,84.7863,85.75,85.7248,0,0,0,-6.2371474878444095,-6872000000.0
2024-02-01,86.07,86.19,84.615,85.61,85.5476,0,0,0,-6.2371474878444095,-6872000000.0
2024-02-02,85.07,86.61,84.941,86.48,86.0768,0,0,0,-6.2371474878444095,-6872000000.0
2024-02-05,86.74,87.22,85.61,86.98,86.63,0,0,0,-6.2371474878444095,-6872000000.0
2024-02-06,86.83,87.19,83.72,84.6,84.7091,0,0,0,-6.2371474878444095,-6872000000.0
2024-02-07,84.14,85.28,82.47,85.17,84.491,0,0,0,-6.2371474878444095,-6872000000.0
2024-02-08,85.51,86.0346,84.53,84.88,85.1983,0,0,0,-6.2371474878444095,-6872000000.0
2024-02-09,85.06,85.62,83.96,85.56,85.1634,0,0,0,-6.2371474878444095,-6872000000.0
2024-02-12,85.53,86.905,85.39,85.7,86.1023,0,0,0,-6.2371474878444095,-6872000000.0
2024-02-13,82.47,83.55,80.765,81.53,81.844,0,0,0,-6.2371474878444095,-6872000000.0
2024-02-14,82.18,83.175,81.49,81.83,82.002,0,0,0,-6.2371474878444095,-6872000000.0
2024-02-15,82.24,82.71,81.51,81.63,82.0233,0,0,0,-6.2371474878444095,-6872000000.0
2024-02-16,80.96,81.3405,79.25,79.5,79.8853,0,0,0,-6.2371474878444095,-6872000000.0
2024-02-20,79.335,80.77,79.15,80.71,80.0684,0,0,0,-6.2371474878444095,-6872000000.0
2024-02-21,80.79,81.5,79.94,81.49,80.8317,0,0,0,-6.2371474878444095,-6872000000.0
2024-02-22,85.0,86.31,83.88,85.91,85.5172,0,0,0,-6.2371474878444095,-6872000000.0
2024-02-23,86.55,86.8199,85.05,86.0,85.8367,0,0,0,-6.2371474878444095,-6872000000.0
2024-02-26,89.68,92.35,88.9,89.46,90.3708,0,0,0,-6.2371474878444095,-6872000000.0
2024-02-27,91.89,92.745,90.49,91.85,91.7126,0,0,0,-6.2371474878444095,-6872000000.0
2024-02-28,90.46,90.79,89.3,89.71,89.8315,0,0,0,-6.2371474878444095,-6872000000.0
2024-02-29,90.645,90.83,88.8201,90.61,90.1137,31.730176056338028,31.289479166666663,0,-3.3727238335435055,-3767000000.0
2024-03-01,91.92,96.059,91.92,95.15,94.9826,33.444577464788736,32.98006944444444,0,-3.3727238335435055,-3767000000.0
2024-03-04,96.93,97.38,94.6177,95.77,96.2328,33.88478873239437,33.41416666666666,0,-3.3727238335435055,-3767000000.0
2024-03-05,94.25,95.365,93.275,94.47,94.3384,33.21774647887324,32.756388888888885,0,-3.3727238335435055,-3767000000.0
2024-03-06,95.05,96.43,94.5577,95.56,95.4941,33.624683098591554,33.15767361111111,0,-3.3727238335435055,-3767000000.0
2024-03-07,98.93,99.69,97.47,98.98,98.8055,34.79066901408451,34.30746527777777,0,-3.3727238335435055,-3767000000.0
2024-03-08,99.88,101.85,97.32,97.62,99.1366,34.90725352112676,34.42243055555555,0,-3.3727238335435055,-3767000000.0
2024-03-11,95.9,96.46,93.525,94.51,94.7109,33.34890845070422,32.885729166666664,0,-3.3727238335435055,-3767000000.0
2024-03-12,95.33,97.5,93.64,97.42,96.2519,33.891514084507044,33.42079861111111,0,-3.3727238335435055,-3767000000.0
2024-03-13,95.32,95.34,93.1,94.16,94.1506,33.15161971830986,32.69118055555555,0,-3.3727238335435055,-3767000000.0
2024-03-14,93.3,93.45,90.3,91.43,91.7739,32.31475352112676,31.865937499999994,0,-3.3727238335435055,-3767000000.0
2024-03-15,92.48,94.7,92.02,93.25,93.3074,32.85471830985916,32.398402777777775,0,-3.3727238335435055,-3767000000.0
2024-03-18,96.82,97.08,93.69,93.78,94.7379,33.35841549295775,32.89510416666666,0,-3.3727238335435055,-3767000000.0
2024-03-19,92.58,94.16,91.0,94.0,93.1856,32.81183098591549,32.356111111111105,0,-3.3727238335435055,-3767000000.0
2024-03-20,94.99,96.68,93.59,96.25,98.666,34.74154929577465,34.259027777777774,0,-3.3727238335435055,-3767000000.0
2024-03-21,113.365,113.5,108.7816,109.85,110.9526,39.067816901408456,38.52520833333333,0,-3.3727238335435055,-3767000000.0
2024-03-22,109.31,111.34,107.0548,110.21,109.529,38.56654929577465,38.03090277777777,0,-3.3727238335435055,-3767000000.0
2024-03-25,110.24,121.41,110.16,117.13,117.7086,41.44669014084507,40.87104166666666,0,-3.3727238335435055,-3767000000.0
2024-03-26,119.0,122.4599,118.17,118.8,119.8458,42.19922535211268,41.613125,0,-3.3727238335435055,-3767000000.0
2024-03-27,119.3,120.112,117.08,119.25,118.6044,41.76211267605634,41.18208333333333,0,-3.3727238335435055,-3767000000.0
2024-03-28,119.44,119.63,117.35,117.89,118.1191,41.5912323943662,41.013576388888886,0,-3.3727238335435055,-3767000000.0
2024-04-01,119.195,127.3799,119.0,124.3,124.6509,43.89116197183098,43.28156249999999,0,-3.3727238335435055,-3767000000.0
2024-04-02,122.71,123.68,120.92,122.75,122.4004,43.0987323943662,42.500138888888884,0,-3.3727238335435055,-3767000000.0
2024-04-03,122.2,128.28,121.33,128.01,126.4909,44.539049295774646,43.920451388888885,0,-3.3727238335435055,-3767000000.0
2024-04-04,130.18,130.5431,123.65,124.09,126.8916,44.680140845070426,44.05958333333333,0,-3.3727238335435055,-3767000000.0
2024-04-05,124.4,125.69,121.2001,123.58,123.0725,43.335387323943664,42.73350694444444,0,-3.3727238335435055,-3767000000.0
2024-04-08,129.055,129.7,122.61,122.95,124.7138,43.913309859154936,43.30340277777778,0,-3.3727238335435055,-3767000000.0
2024-04-09,124.89,126.14,121.27,122.63,122.9717,43.29989436619719,42.69850694444444,0,-3.3727238335435055,-3767000000.0
2024-04-10,120.0,124.48,119.93,122.2,121.7207,42.8594014084507,42.264131944444436,0,-3.3727238335435055,-3767000000.0
2024-04-11,122.9,127.56,122.08,127.51,125.1451,44.06517605633803,43.45315972222222,0,-3.3727238335435055,-3767000000.0
2024-04-12,125.25,125.99,121.83,122.52,123.2766,43.40725352112676,42.80437499999999,0,-3.3727238335435055,-3767000000.0
2024-04-15,123.63,124.78,120.61,121.37,122.5339,43.14573943661972,42.54649305555555,0,-3.3727238335435055,-3767000000.0
2024-04-16,119.53,122.5499,118.36,121.77,120.6905,42.49665492957747,41.90642361111111,0,-3.3727238335435055,-3767000000.0
2024-04-17,122.02,124.42,116.2,116.33,118.3642,41.6775352112676,41.098680555555546,0,-3.3727238335435055,-3767000000.0
2024-04-18,116.0,117.615,111.48,111.93,113.6035,40.0012323943662,39.44565972222222,0,-3.3727238335435055,-3767000000.0
2024-04-19,109.66,110.88,105.72,106.77,107.7829,37.951725352112675,37.42461805555555,0,-3.3727238335435055,-3767000000.0
2024-04-22,107.6,110.23,106.63,109.12,108.6035,38.24066901408451,37.7095486111111,0,-3.3727238335435055,-3767000000.0
2024-04-23,109.71,112.89,108.91,112.46,111.8732,39.391971830985916,38.84486111111111,0,-3.3727238335435055,-3767000000.0
2024-04-24,112.72,113.95,109.23,111.78,111.1406,39.134014084507044,38.59048611111111,0,-3.3727238335435055,-3767000000.0
2024-04-25,109.3728,113.0595,108.07,111.58,111.395,39.223591549295776,38.678819444444436,0,-3.3727238335435055,-3767000000.0
2024-04-26,112.0,115.06,111.6,114.84,113.74,40.04929577464789,39.49305555555555,0,-3.3727238335435055,-3767000000.0
2024-04-29,113.81,114.75,112.11,114.36,113.8959,40.10419014084507,39.54718749999999,0,-3.3727238335435055,-3767000000.0
2024-04-30,114.18,116.28,112.93,112.96,114.3116,40.25056338028169,39.69152777777777,0,-3.3727238335435055,-3767000000.0
2024-05-01,110.52,113.73,108.75,109.7,110.5719,38.933767605633804,38.39302083333333,0,-3.3727238335435055,-3767000000.0
2024-05-02,111.74,112.41,109.43,112.33,111.3742,39.2162676056338,38.67159722222222,0,-3.3727238335435055,-3767000000.0
2024-05-03,115.03,115.48,113.45,114.7,114.4532,40.30042253521127,39.740694444444436,0,-3.3727238335435055,-3767000000.0
2024-05-06,119.78,121.3699,118.02,120.13,119.886,42.21338028169014,41.627083333333324,0,-3.3727238335435055,-3767000000.0
2024-05-07,120.15,121.41,119.18,119.21,120.1231,42.2968661971831,41.70940972222221,0,-3.3727238335435055,-3767000000.0
2024-05-08,118.302,120.47,118.22,119.32,119.2865,42.00228873239437,41.418923611111104,0,-3.3727238335435055,-3767000000.0
2024-05-09,119.315,119.63,117.44,117.81,118.2124,41.624084507042255,41.04597222222222,0,-3.3727238335435055,-3767000000.0
2024-05-10,120.04,121.85,119.18,121.24,120.6383,42.478274647887325,41.888298611111104,0,-3.3727238335435055,-3767000000.0
2024-05-13,122.93,124.11,121.65,123.0,122.6988,43.203802816901415,42.60375,0,-3.3727238335435055,-3767000000.0
2024-05-14,122.99,125.04,121.673,124.81,123.4599,43.471795774647894,42.86802083333333,0,-3.3727238335435055,-3767000000.0
2024-05-15,126.23,127.95,125.442,127.81,127.1057,44.755528169014084,44.13392361111111,0,-3.3727238335435055,-3767000000.0
2024-05-16,127.93,130.13,127.05,127.89,128.6314,45.29274647887325,44.66368055555556,0,-3.3727238335435055,-3767000000.0
2024-05-17,128.36,129.03,124.86,125.29,126.3744,44.498028169014084,43.879999999999995,0,-3.3727238335435055,-3767000000.0
2024-05-20,127.125,131.02,126.64,129.0,129.4011,45.56376760563381,44.9309375,0,-3.3727238335435055,-3767000000.0
2024-05-21,124.2,128.82,123.28,127.5,127.1765,44.780457746478874,44.15850694444444,0,-3.3727238335435055,-3767000000.0
2024-05-22,127.79,127.87,125.24,126.28,126.6625,44.59947183098591,43.980034722222214,0,-3.3727238335435055,-3767000000.0
2024-05-23,131.77,131.95,124.66,126.27,128.0091,45.07362676056338,44.44760416666666,0,-3.3727238335435055,-3767000000.0
2024-05-24,127.82,130.4,126.6,129.49,128.9831,45.41658450704226,44.78579861111111,0,-3.3727238335435055,-3767000000.0
2024-05-28,131.755,133.3,129.27,132.67,131.7236,46.381549295774654,45.737361111111106,0,-3.3727238335435055,-3767000000.0
2024-05-29,130.0,133.1,129.9,131.58,131.8462,46.42471830985916,45.77993055555555,0,-3.3727238335435055,-3767000000.0
