Date,open,high,low,close,vwap,quarterly P/E diluted,quarterly P/E basic,TTM P/E,TTM eps,TTM earnings
2023-10-10,2.1,2.3,2.095,2.22,2.2315,0,0,0,-0.406678491391671,-76580000.0
2023-10-11,2.22,2.28,2.1,2.12,2.1535,0,0,0,-0.406678491391671,-76580000.0
2023-10-12,2.12,2.17,2.06,2.1,2.1154,0,0,0,-0.406678491391671,-76580000.0
2023-10-13,2.08,2.1079,2.05,2.07,2.0768,0,0,0,-0.406678491391671,-76580000.0
2023-10-16,2.08,2.16,2.06,2.14,2.1227,0,0,0,-0.406678491391671,-76580000.0
2023-10-17,2.09,2.21,2.09,2.2,2.1826,0,0,0,-0.406678491391671,-76580000.0
2023-10-18,2.18,2.19,2.03,2.04,2.0734,0,0,0,-0.406678491391671,-76580000.0
2023-10-19,2.06,2.065,2.0,2.0,2.0189,0,0,0,-0.406678491391671,-76580000.0
2023-10-20,2.0,2.04,1.92,2.01,1.9915,0,0,0,-0.406678491391671,-76580000.0
2023-10-23,1.99,2.0,1.91,1.93,1.9591,0,0,0,-0.406678491391671,-76580000.0
2023-10-24,1.98,2.04,1.96,1.98,1.9948,0,0,0,-0.406678491391671,-76580000.0
2023-10-25,1.99,2.0698,1.951,1.97,2.0071,0,0,0,-0.406678491391671,-76580000.0
2023-10-26,1.97,2.0385,1.945,1.99,1.9846,0,0,0,-0.406678491391671,-76580000.0
2023-10-27,1.99,2.02,1.915,1.92,1.9485,0,0,0,-0.406678491391671,-76580000.0
2023-10-30,1.96,2.0,1.88,1.89,1.9144,0,0,0,-0.406678491391671,-76580000.0
2023-10-31,1.89,1.945,1.86,1.89,1.8974,0,0,0,-0.406678491391671,-76580000.0
2023-11-01,1.89,1.8971,1.84,1.87,1.8645,0,0,0,-0.406678491391671,-76580000.0
2023-11-02,1.94,2.06,1.925,2.05,2.0041,0,0,0,-0.406678491391671,-76580000.0
2023-11-03,2.1,2.31,2.1,2.25,2.2216,0,0,0,-0.406678491391671,-76580000.0
2023-11-06,2.33,2.38,2.0,2.04,2.2441,0,0,0,-0.406678491391671,-76580000.0
2023-11-07,2.02,2.09,1.96,2.025,2.0118,0,0,0,-0.406678491391671,-76580000.0
2023-11-08,2.03,2.05,1.955,2.01,1.9816,0,0,0,-0.406678491391671,-76580000.0
2023-11-09,1.98,2.0299,1.87,1.88,1.9344,0,0,0,-0.406678491391671,-76580000.0
2023-11-10,1.9,2.0,1.86,1.99,1.9486,0,0,0,-0.406678491391671,-76580000.0
2023-11-13,1.97,1.99,1.91,1.97,1.9468,0,0,0,-0.406678491391671,-76580000.0
