Date,open,high,low,close,vwap,quarterly P/E diluted,quarterly P/E basic,TTM P/E,TTM eps,TTM earnings
2024-02-14,3.0,3.0,2.7,2.7,2.9984,,,,,
2024-02-15,3.0,3.0,2.96,2.96,2.9925,,,,,
2024-02-21,2.95,3.3,2.95,3.125,3.125,,,,,
2024-02-22,2.95,2.95,2.95,2.95,2.9536,,,,,
2024-02-26,2.95,2.95,2.95,2.95,2.95,,,,,
2024-02-29,3.0,3.0,3.0,3.0,3.0,,,,,
2024-03-04,3.11,4.94,3.11,4.8,4.0875,,,,,
2024-03-05,4.48,4.48,4.0,4.02,4.1128,,,,,
2024-03-06,4.213,5.0,4.213,4.7,4.572,,,,,
2024-03-07,4.95,4.98,4.75,4.75,4.7982,,,,,
2024-03-11,4.98,4.98,4.85,4.85,4.9353,,,,,
2024-03-12,4.85,4.93,4.85,4.88,4.8705,,,,,
2024-03-13,4.95,4.95,4.95,4.95,4.95,,,,,
2024-03-14,5.0,5.245,5.0,5.033,5.0578,,,,,
2024-03-15,5.1144,5.1144,5.1,5.1,5.0955,,,,,
2024-03-18,5.15,6.0,5.15,6.0,5.5652,,,,,
2024-03-19,6.0,6.75,5.95,6.69,6.1931,,,,,
2024-03-20,6.7,7.0,6.69,6.74,6.8185,,,,,
2024-03-21,8.0,8.0,6.9,7.1,7.707,,,,,
2024-03-22,7.248,7.9,7.2,7.9,7.8006,,,,,
2024-03-25,7.9,8.8,7.9,8.1,8.1079,,,,,
2024-03-26,8.0,8.0,7.5,8.0,7.961,,,,,
2024-03-27,8.0,8.015,7.0,7.5,7.5494,,,,,
2024-04-01,7.5,7.866,7.02,7.55,7.4178,,,,,
2024-04-02,6.99,7.55,6.855,7.55,6.9932,,,,,
2024-04-09,6.925,6.925,6.925,6.925,6.925,,,,,
2024-04-10,6.95,6.95,6.75,6.75,6.8725,,,,,
2024-04-11,6.15,6.15,5.01,5.01,5.9425,,,,,
2024-04-16,6.038,6.038,6.038,6.038,6.038,,,,,
2024-04-17,6.12,6.2,6.12,6.2,6.16,,,,,
2024-04-18,6.3,6.3,6.3,6.3,6.3,,,,,
2024-04-22,6.5,6.5,6.5,6.5,6.5432,,,,,
2024-04-23,6.75,6.8,6.75,6.8,6.7864,,,,,
2024-04-26,7.0,7.0,7.0,7.0,7.0,,,,,
2024-04-29,7.0,7.0,7.0,7.0,7.0,,,,,
2024-05-01,7.0,7.1,7.0,7.1,7.0953,,,,,
2024-05-02,7.1,7.15,7.1,7.15,7.1339,,,,,
2024-05-08,6.5,6.5,6.3,6.5,6.4112,,,,,
2024-05-09,7.1,7.1,7.1,7.1,7.1,,,,,
2024-05-10,7.1,7.1,7.1,7.1,7.0833,,,,,
2024-05-14,7.1,7.1,7.1,7.1,7.1,,,,,
2024-05-21,6.5,6.5,6.5,6.5,6.5,,,,,
2024-05-22,6.5,6.62,6.5,6.62,6.5787,,,,,
2024-05-28,6.0,6.5,6.0,6.5,6.1652,,,,,
2024-05-31,6.5,6.5,6.49,6.49,6.4993,,,,,
2024-06-06,6.5,7.015,6.3,6.3,6.8565,,,,,
2024-06-12,6.3,6.3,5.55,5.55,6.1491,,,,,
2024-06-17,5.6,5.6001,5.6,5.6001,5.6001,,,,,
2024-06-18,5.75,5.75,5.75,5.75,5.75,,,,,
2024-06-21,5.75,5.75,5.75,5.75,5.75,,,,,
