Date,open,high,low,close,vwap,quarterly P/E diluted,quarterly P/E basic,TTM P/E,TTM eps,TTM earnings
2025-01-07,17.2,17.7164,17.03,17.25,17.2273,,,,,
2025-01-08,17.2,17.375,16.52,17.08,16.9945,,,,,
2025-01-10,16.66,17.39,16.25,17.3,17.0343,,,,,
2025-01-13,17.12,17.53,16.99,17.445,17.3652,,,,,
2025-01-14,17.51,17.59,16.8203,17.09,17.064,,,,,
2025-01-15,17.4,18.88,17.18,18.85,18.353,,,,,
2025-01-16,18.78,18.92,18.2395,18.62,18.687,,,,,
2025-01-17,18.84,18.87,18.1,18.28,18.3772,,,,,
2025-01-21,18.45,18.86,18.2,18.73,18.6443,,,,,
2025-01-22,18.67,18.77,18.16,18.55,18.4297,,,,,
2025-01-23,18.24,18.793,18.16,18.75,18.6117,,,,,
2025-01-24,18.67,18.67,18.23,18.34,18.3841,,,,,
2025-01-27,18.11,19.305,18.09,18.16,18.5524,,,,,
2025-01-28,17.87,17.97,16.4446,17.74,17.5193,,,,,
2025-01-29,17.79,17.98,17.31,17.64,17.5322,,,,,
2025-01-30,17.8,17.98,17.52,17.64,17.7426,,,,,
2025-01-31,17.6,17.815,17.3425,17.75,17.667,,,,,
2025-02-03,17.34,17.5425,16.8,16.82,17.0716,,,,,
2025-02-04,16.75,17.33,16.75,17.28,17.1403,,,,,
2025-02-05,17.28,17.48,17.05,17.11,17.1902,,,,,
2025-02-06,17.22,17.78,17.05,17.58,17.5801,,,,,
2025-02-07,17.57,17.64,16.9719,17.53,17.3682,,,,,
2025-02-10,17.7,18.03,17.66,17.77,17.8679,,,,,
2025-02-11,17.52,17.95,17.41,17.75,17.7471,,,,,
2025-02-12,17.42,17.56,17.0,17.37,17.3796,,,,,
2025-02-13,17.58,18.46,17.265,18.46,18.077,,,,,
2025-02-14,18.46,19.13,18.44,18.82,18.8643,,,,,
2025-02-18,19.23,19.5,18.61,19.03,18.9631,,,,,
2025-02-19,18.73,19.295,18.73,19.26,19.0916,,,,,
2025-02-20,19.23,19.23,18.56,18.88,18.8048,,,,,
2025-02-21,18.98,18.99,18.0,18.08,18.3226,,,,,
2025-02-24,18.29,18.435,17.51,17.6,17.7603,,,,,
2025-02-25,17.52,17.71,17.1,17.3,17.3552,,,,,
2025-02-26,17.29,17.65,17.01,17.17,17.2229,,,,,
2025-02-27,17.8,17.8,16.67,16.8,16.8291,,,,,
2025-02-28,16.69,17.14,16.48,17.14,16.89,,,,,
2025-03-03,17.15,17.85,15.34,15.57,16.008,,,,,
2025-03-04,15.29,15.85,14.48,15.25,15.1569,,,,,
2025-03-05,15.22,15.66,14.9724,15.41,15.3849,,,,,
2025-03-06,15.24,15.495,14.9409,14.99,15.0999,,,,,
2025-03-07,14.99,15.59,14.66,15.48,15.2341,,,,,
2025-03-10,15.13,15.15,14.6,14.71,14.7573,,,,,
2025-03-11,14.69,14.81,14.08,14.1,14.357,,,,,
2025-03-12,15.64,15.64,14.09,14.41,14.5017,,,,,
2025-03-13,14.35,14.465,14.07,14.29,14.2357,,,,,
2025-03-14,13.01,13.79,12.7801,13.56,13.3739,,,,,
2025-03-17,13.53,13.865,13.28,13.66,13.6578,,,,,
2025-03-18,13.61,13.9,13.32,13.58,13.6728,,,,,
2025-03-19,13.65,14.23,13.48,14.19,13.9335,,,,,
2025-03-20,14.388,14.54,13.95,14.2,14.2247,,,,,
2025-03-21,13.98,14.57,13.63,14.56,14.2179,,,,,
2025-03-24,14.64,14.97,14.37,14.61,14.5654,,,,,
2025-03-25,14.6,14.945,14.39,14.68,14.7279,,,,,
2025-03-26,14.8,14.8,14.37,14.48,14.5176,,,,,
2025-03-27,14.38,14.76,14.36,14.57,14.6149,,,,,
2025-03-28,14.79,14.79,13.9249,14.12,14.1071,,,,,
2025-03-31,13.96,14.42,13.96,14.27,14.2243,0.0,0.0,,,
2025-04-01,14.11,14.64,13.9327,14.63,14.333,0.0,0.0,,,
2025-04-02,14.23,15.075,14.145,15.06,14.6839,0.0,0.0,,,
2025-04-03,13.07,13.47,11.89,12.22,12.2285,0.0,0.0,,,
2025-04-04,11.3,11.53,10.34,10.51,10.9633,0.0,0.0,,,
2025-04-07,9.75,11.38,9.62,10.53,10.4124,0.0,0.0,,,
2025-04-08,11.1,11.1,10.07,10.33,10.5517,0.0,0.0,,,
2025-04-09,10.26,12.13,10.15,12.1,11.5812,0.0,0.0,,,
2025-04-10,11.69,11.8899,10.875,11.03,11.2272,0.0,0.0,,,
2025-04-11,10.95,11.56,10.12,11.545,10.961,0.0,0.0,,,
2025-04-14,11.8,12.011,11.12,11.21,11.4205,0.0,0.0,,,
2025-04-15,11.12,11.3192,10.9,11.15,11.1031,0.0,0.0,,,
2025-04-16,10.88,11.038,10.49,10.96,10.7959,0.0,0.0,,,
2025-04-17,10.99,11.02,10.725,10.91,10.8913,0.0,0.0,,,
2025-04-21,10.66,10.79,10.26,10.63,10.4584,0.0,0.0,,,
2025-04-22,10.86,10.96,10.45,10.77,10.7559,0.0,0.0,,,
2025-04-23,11.25,11.95,10.995,11.02,11.3423,0.0,0.0,,,
2025-04-24,11.03,11.42,10.98,11.38,11.3315,0.0,0.0,,,
2025-04-25,11.4,11.645,11.16,11.5,11.4526,0.0,0.0,,,
2025-04-28,11.5,11.635,10.98,11.12,11.1614,0.0,0.0,,,
2025-04-29,11.0,11.32,10.875,11.3,11.1366,0.0,0.0,,,
2025-04-30,11.0,11.65,10.84,11.55,11.3421,0.0,0.0,,,
2025-05-01,11.61,11.82,11.24,11.3,11.4276,0.0,0.0,,,
2025-05-02,11.45,11.63,10.39,10.41,10.919,0.0,0.0,,,
2025-05-05,10.3,10.86,10.13,10.76,10.6007,0.0,0.0,,,
2025-05-06,8.78,9.88,8.78,9.33,9.2685,0.0,0.0,,,
2025-05-07,9.41,9.71,9.16,9.29,9.3167,0.0,0.0,,,
2025-05-08,9.17,10.06,9.17,9.84,9.7174,0.0,0.0,,,
2025-05-09,10.02,11.01,9.81,10.72,10.6588,0.0,0.0,,,
2025-05-12,11.75,12.375,11.04,11.41,11.5549,0.0,0.0,,,
2025-05-13,11.65,12.42,11.4401,12.15,12.184,0.0,0.0,,,
2025-05-14,11.94,12.2,11.86,12.14,12.0602,0.0,0.0,,,
2025-05-15,12.06,12.41,12.05,12.34,12.2829,0.0,0.0,,,
2025-05-16,12.31,12.48,12.15,12.2,12.265,0.0,0.0,,,
2025-05-19,11.79,11.99,11.71,11.8,11.8136,0.0,0.0,,,
