Date,open,high,low,close,vwap,quarterly P/E diluted,quarterly P/E basic,TTM P/E,TTM eps,TTM earnings
2023-10-09,255.31,261.36,252.05,259.67,256.316,120.90377358490564,110.48103448275862,82.94532036316471,3.090180360721443,10794000000.0
2023-10-10,257.75,268.94,257.65,263.62,264.9455,124.97429245283017,114.20064655172413,85.73787581063553,3.090180360721443,10794000000.0
2023-10-11,266.2,268.6,260.9,262.99,264.0689,124.56080188679243,113.82280172413793,85.45420304798961,3.090180360721443,10794000000.0
2023-10-12,262.92,265.41,256.6307,258.87,261.7214,123.45349056603774,112.81094827586209,84.69453865110246,3.090180360721443,10794000000.0
2023-10-13,258.9,259.6,250.22,251.12,254.0452,119.83264150943396,109.50224137931035,82.2104765239948,3.090180360721443,10794000000.0
2023-10-16,250.05,255.3999,248.48,253.92,252.9076,119.29603773584905,109.01189655172415,81.84234267185472,3.090180360721443,10794000000.0
2023-10-17,250.1,257.183,247.08,254.85,253.2243,119.44542452830188,109.1484051724138,81.94482859922178,3.090180360721443,10794000000.0
2023-10-18,252.7,254.63,242.08,242.68,246.008,116.04150943396226,106.03793103448277,79.60959273670558,3.090180360721443,10794000000.0
2023-10-19,225.95,230.61,216.78,220.11,221.9811,104.70806603773585,95.68150862068966,71.83435077821011,3.090180360721443,10794000000.0
2023-10-20,217.01,218.8606,210.42,211.99,214.0042,100.94537735849056,92.24318965517242,69.25298041504539,3.090180360721443,10794000000.0
2023-10-23,210.0,216.98,202.51,212.08,211.5701,99.79721698113207,91.19400862068966,68.46529176394293,3.090180360721443,10794000000.0
2023-10-24,216.5,222.05,214.11,216.52,217.6303,102.65580188679245,93.80616379310345,70.4264070687419,3.090180360721443,10794000000.0
2023-10-25,215.88,220.1,212.2,212.42,215.9506,101.86349056603774,93.0821551724138,69.88284656290531,3.090180360721443,10794000000.0
2023-10-26,211.32,214.8,204.88,205.76,208.3268,98.26735849056602,89.79603448275863,67.41574137483786,3.090180360721443,10794000000.0
2023-10-27,210.6,212.41,205.77,207.3,208.6609,98.42495283018867,89.94004310344828,67.52385804150454,3.090180360721443,10794000000.0
2023-10-30,209.28,210.88,194.67,197.36,200.01,94.3443396226415,86.21120689655173,64.7243774319066,3.090180360721443,10794000000.0
2023-10-31,196.12,202.8,194.07,200.84,199.0418,93.88764150943396,85.79387931034483,64.41106238651102,3.090180360721443,10794000000.0
2023-11-01,204.04,205.99,197.85,205.66,201.9491,95.25900943396225,87.04702586206896,65.35188125810635,3.090180360721443,10794000000.0
2023-11-02,212.97,219.2,211.45,218.51,216.3665,102.05966981132075,93.26142241379311,70.01743417639429,3.090180360721443,10794000000.0
2023-11-03,221.15,226.3701,218.4,219.96,221.1583,104.31995283018867,95.32685344827587,71.56808800259402,3.090180360721443,10794000000.0
2023-11-06,223.98,226.32,215.0,219.27,219.5751,103.57316037735848,94.64443965517242,71.05575544747082,3.090180360721443,10794000000.0
2023-11-07,219.98,223.12,215.72,222.18,219.1401,103.3679716981132,94.45693965517242,70.91498696498054,3.090180360721443,10794000000.0
2023-11-08,223.15,224.15,217.64,222.11,220.3093,103.91948113207548,94.9609051724138,71.29334675745784,3.090180360721443,10794000000.0
2023-11-09,219.75,220.8,206.68,209.98,211.8244,99.91716981132075,91.30362068965518,68.54758469520104,3.090180360721443,10794000000.0
2023-11-10,210.03,215.38,205.69,214.65,211.7763,99.89448113207547,91.28288793103448,68.53201926070038,3.090180360721443,10794000000.0
2023-11-13,215.6,225.4,211.6101,223.71,221.1112,104.2977358490566,95.30655172413793,71.55284617380025,3.090180360721443,10794000000.0
2023-11-14,235.03,238.135,230.72,237.41,234.6569,110.68721698113207,101.14521551724138,75.93631199740597,3.090180360721443,10794000000.0
2023-11-15,239.29,246.7,236.45,242.84,242.712,114.48679245283017,104.61724137931034,78.54298832684825,3.090180360721443,10794000000.0
2023-11-16,239.49,240.88,230.96,233.59,235.5206,111.09462264150943,101.51750000000001,76.2158102464332,3.090180360721443,10794000000.0
2023-11-17,232.0,237.39,226.54,234.3,233.2793,110.03740566037736,100.55142241379312,75.49051277561608,3.090180360721443,10794000000.0
