Date,open,high,low,close,vwap,quarterly P/E diluted,quarterly P/E basic,TTM P/E,TTM eps,TTM earnings
2023-10-10,8.23,8.52,8.18,8.31,8.3326,0.0,0.0,0.0,-7.593602354581365,-98041000.0
2023-10-11,8.235,8.31,8.155,8.25,8.2459,0.0,0.0,0.0,-7.593602354581365,-98041000.0
2023-10-12,8.35,8.35,7.87,7.99,7.9959,0.0,0.0,0.0,-7.593602354581365,-98041000.0
2023-10-13,7.835,7.87,7.7,7.81,7.805,0.0,0.0,0.0,-7.593602354581365,-98041000.0
2023-10-16,8.0,8.5,7.9621,8.23,8.2561,0.0,0.0,0.0,-7.593602354581365,-98041000.0
2023-10-17,8.19,8.83,8.19,8.51,8.5021,0.0,0.0,0.0,-7.593602354581365,-98041000.0
2023-10-18,8.39,8.45,8.35,8.37,8.3719,0.0,0.0,0.0,-7.593602354581365,-98041000.0
2023-10-19,8.215,8.69,8.2,8.61,8.4992,0.0,0.0,0.0,-7.593602354581365,-98041000.0
2023-10-20,8.45,8.68,8.32,8.52,8.529,0.0,0.0,0.0,-7.593602354581365,-98041000.0
2023-10-23,8.55,8.85,8.24,8.24,8.5868,0.0,0.0,0.0,-7.593602354581365,-98041000.0
2023-10-24,8.28,8.38,8.04,8.16,8.2066,0.0,0.0,0.0,-7.593602354581365,-98041000.0
2023-10-25,8.2,8.2034,7.8,7.86,7.9972,0.0,0.0,0.0,-7.593602354581365,-98041000.0
2023-10-26,7.8,8.37,7.55,7.62,7.6846,0.0,0.0,0.0,-7.593602354581365,-98041000.0
2023-10-27,7.55,7.76,7.02,7.54,7.2871,0.0,0.0,0.0,-7.593602354581365,-98041000.0
2023-10-30,7.65,7.67,7.3301,7.64,7.4879,0.0,0.0,0.0,-7.593602354581365,-98041000.0
2023-10-31,7.74,7.91,7.51,7.85,7.7848,0.0,0.0,0.0,-7.593602354581365,-98041000.0
2023-11-01,7.79,8.06,7.6878,7.86,7.8862,0.0,0.0,0.0,-7.593602354581365,-98041000.0
2023-11-02,7.84,8.2,7.75,7.85,7.8816,0.0,0.0,0.0,-7.593602354581365,-98041000.0
2023-11-03,7.56,8.85,7.56,8.68,8.294,0.0,0.0,0.0,-7.593602354581365,-98041000.0
2023-11-06,8.68,8.68,7.84,8.05,8.0881,0.0,0.0,0.0,-7.593602354581365,-98041000.0
2023-11-07,7.95,8.4499,7.83,8.27,8.1307,0.0,0.0,0.0,-7.593602354581365,-98041000.0
2023-11-08,8.31,8.68,8.14,8.47,8.447,0.0,0.0,0.0,-7.593602354581365,-98041000.0
2023-11-09,8.63,8.63,8.18,8.47,8.3276,0.0,0.0,0.0,-7.593602354581365,-98041000.0
2023-11-10,8.56,8.56,8.23,8.41,8.3746,0.0,0.0,0.0,-7.593602354581365,-98041000.0
2023-11-13,8.28,8.5728,8.04,8.36,8.4474,0.0,0.0,0.0,-7.593602354581365,-98041000.0
2023-11-14,8.41,8.995,8.4,8.97,8.8186,0.0,0.0,0.0,-7.593602354581365,-98041000.0
2023-11-15,8.95,9.12,8.81,8.91,8.9767,0.0,0.0,0.0,-7.593602354581365,-98041000.0
