Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2023-10-10,2.88,3.015,2.88,2.98,1262903.0,2.974,1696910400000,8295,
2023-10-11,3.0,3.05,2.86,2.88,1122253.0,2.9023,1696996800000,7484,
2023-10-12,2.9,2.9,2.77,2.8,1143553.0,2.8041,1697083200000,8861,
2023-10-13,2.8,2.82,2.75,2.75,1158212.0,2.7646,1697169600000,5799,
2023-10-16,2.78,2.839,2.76,2.79,868997.0,2.8016,1697428800000,6992,
2023-10-17,2.78,2.9,2.75,2.86,1083211.0,2.8524,1697515200000,8214,
2023-10-18,2.86,2.865,2.68,2.69,1244436.0,2.7175,1697601600000,6936,
2023-10-19,2.69,2.72,2.62,2.66,2049063.0,2.6704,1697688000000,11768,
2023-10-20,2.67,2.68,2.6,2.6,999717.0,2.6281,1697774400000,7766,
2023-10-23,2.61,2.68,2.58,2.66,1319196.0,2.6501,1698033600000,8369,
2023-10-24,2.69,2.72,2.625,2.64,1007023.0,2.6567,1698120000000,7961,
2023-10-25,2.61,2.64,2.54,2.6,1226674.0,2.5898,1698206400000,8086,
2023-10-26,2.61,2.625,2.52,2.54,1226740.0,2.5499,1698292800000,8881,
2023-10-27,2.54,2.55,2.41,2.43,1581952.0,2.4516,1698379200000,8213,
2023-10-30,2.5,2.5,2.41,2.43,1265677.0,2.4379,1698638400000,7726,
2023-10-31,2.44,2.51,2.422,2.51,1027807.0,2.485,1698724800000,6731,
2023-11-01,2.51,2.575,2.48,2.51,1118927.0,2.5217,1698811200000,9216,
2023-11-02,2.56,2.69,2.55,2.68,1481280.0,2.6384,1698897600000,9225,
2023-11-03,2.72,2.84,2.67,2.83,1858810.0,2.8058,1698984000000,11903,
2023-11-06,2.84,2.85,2.73,2.74,1254528.0,2.7527,1699246800000,7764,
2023-11-07,2.74,2.795,2.67,2.68,2467803.0,2.7247,1699333200000,12749,
2023-11-08,2.85,3.24,2.77,3.16,5197825.0,3.1176,1699419600000,26906,
