Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2023-10-12,142.51,142.93,140.95,141.24,3921142.0,141.6274,1697083200000,55573,
2023-10-13,139.77,140.12,138.27,138.46,4583553.0,138.9462,1697169600000,71431,
2023-10-16,139.28,139.78,138.52,139.21,3361468.0,139.2299,1697428800000,54751,
2023-10-17,137.12,140.62,136.31,140.32,4172822.0,139.4266,1697515200000,67528,
2023-10-18,140.0,140.43,139.58,139.97,3329985.0,139.9988,1697601600000,49892,
2023-10-19,138.64,139.405,137.93,138.01,5314159.0,138.4566,1697688000000,76749,
2023-10-20,138.15,139.27,137.12,137.16,4865615.0,137.8593,1697774400000,67999,
2023-10-23,136.63,137.68,135.87,136.38,3457527.0,136.6234,1698033600000,59160,
2023-10-24,136.74,137.98,136.05,137.79,3697975.0,137.2107,1698120000000,60231,
2023-10-25,137.5,138.49,136.33,137.08,6472549.0,137.4257,1698206400000,95691,
2023-10-26,142.2,144.41,141.58,143.76,11130170.0,143.2146,1698292800000,162144,
2023-10-27,143.62,144.7,141.71,142.52,5469227.0,142.6131,1698379200000,95379,
2023-10-30,143.19,144.5,142.58,142.63,4204190.0,143.1748,1698638400000,71878,
2023-10-31,143.0,144.76,142.59,144.64,6592041.0,144.2667,1698724800000,64653,
2023-11-01,145.0,146.51,144.45,145.4,4750081.0,145.3903,1698811200000,60454,
2023-11-02,145.77,147.1,144.84,147.01,3902657.0,146.5695,1698897600000,56045,
2023-11-03,147.45,148.445,147.28,147.9,3510495.0,147.8948,1698984000000,57850,
2023-11-06,147.89,149.225,147.85,148.97,4597249.0,148.8513,1699246800000,61972,
2023-11-07,149.03,149.28,148.03,148.83,3549853.0,148.7736,1699333200000,52391,
2023-11-08,149.25,149.68,147.585,148.03,3618588.0,148.2796,1699419600000,53728,
2023-11-09,146.55,146.99,145.28,146.62,3412713.0,146.3954,1699506000000,54982,
2023-11-10,147.44,149.17,146.85,149.02,3179541.0,148.3824,1699592400000,52708,
2023-11-13,148.46,148.49,147.35,148.1,2647288.0,147.9068,1699851600000,46118,
2023-11-14,149.45,150.8063,149.05,150.41,4321940.0,150.1015,1699938000000,67308,
2023-11-15,150.4,153.22,150.4,152.58,4632519.0,152.4351,1700024400000,71689,
2023-11-16,153.0,153.35,152.13,153.06,3519172.0,152.7629,1700110800000,54205,
2023-11-17,153.29,153.5,152.4601,152.89,4426676.0,153.0122,1700197200000,55314,
2023-11-20,152.51,154.68,152.35,154.35,3658936.0,153.9745,1700456400000,55065,
2023-11-21,154.6,154.66,153.51,153.91,2859508.0,154.0046,1700542800000,49655,
2023-11-22,154.5,155.705,154.16,155.13,3045091.0,155.1201,1700629200000,54315,
2023-11-24,155.13,155.4,153.92,155.18,1799161.0,154.7618,1700802000000,27575,
2023-11-27,154.99,156.135,154.75,155.57,4053093.0,155.6887,1701061200000,52782,
2023-11-28,155.44,155.745,154.86,155.65,2666182.0,155.4902,1701147600000,39766,
2023-11-29,156.15,157.51,156.02,156.41,3568887.0,156.7722,1701234000000,53447,
2023-11-30,156.95,158.6,156.89,158.56,6740622.0,158.221,1701320400000,65806,
2023-12-01,158.41,160.59,158.0,160.55,4871860.0,159.8405,1701406800000,73409,
2023-12-04,160.29,162.79,160.29,161.1,5779017.0,161.3369,1701666000000,84990,
2023-12-05,160.76,162.47,160.72,161.39,4556668.0,161.6304,1701752400000,67488,
2023-12-06,161.59,162.355,160.01,160.28,3555863.0,160.4871,1701838800000,56231,
2023-12-07,161.0,161.465,159.97,160.22,3665498.0,160.4861,1701925200000,47714,
2023-12-08,160.0,162.04,160.0,161.96,4561342.0,161.5878,1702011600000,49668,
2023-12-11,162.68,163.65,161.95,163.51,6077207.0,163.0905,1702270800000,66174,
2023-12-12,163.27,166.34,162.92,164.71,5292290.0,165.0713,1702357200000,83909,
2023-12-13,164.37,164.9653,162.735,163.62,4989141.0,163.579,1702443600000,69604,
2023-12-14,162.93,163.499,160.149,162.91,6129804.0,162.3422,1702530000000,86586,
2023-12-15,162.3,164.09,162.04,162.23,11016108.0,162.467,1702616400000,65075,
2023-12-18,162.23,163.33,161.5766,162.74,3677533.0,162.6001,1702875600000,53316,
2023-12-19,161.8,162.28,161.32,161.56,3766591.0,161.757,1702962000000,54318,
2023-12-20,161.29,161.8,160.01,160.05,4865797.0,160.6529,1703048400000,56678,
2023-12-21,160.59,161.08,159.53,160.78,2982924.0,160.4584,1703134800000,51815,
2023-12-22,161.1,162.41,161.0,162.14,2442715.0,162.0123,1703221200000,42980,
2023-12-26,162.23,163.31,162.05,163.21,1772443.0,162.9108,1703566800000,32941,
2023-12-27,163.14,163.64,162.68,163.46,3234550.0,163.3489,1703653200000,38389,
2023-12-28,163.96,163.96,163.4,163.75,2071313.0,163.7129,1703739600000,37952,
2023-12-29,163.75,164.18,162.83,163.55,2526169.0,163.4694,1703826000000,38699,
2024-01-02,162.83,163.29,160.46,161.5,3825044.0,161.6134,1704171600000,62724,
2024-01-03,161.0,161.73,160.08,160.1,4086065.0,160.5282,1704258000000,52156,
2024-01-04,160.22,161.81,160.17,160.86,3212004.0,161.1596,1704344400000,50459,
2024-01-05,159.91,160.55,158.67,159.16,4199504.0,159.3952,1704430800000,59314,
2024-01-08,158.69,161.216,157.885,161.14,3321698.0,160.29,1704690000000,52304,
2024-01-09,160.0,160.4837,159.51,160.08,2617186.0,160.0753,1704776400000,53832,
2024-01-10,160.28,161.34,159.74,161.23,2967852.0,160.8399,1704862800000,44998,
2024-01-11,161.02,162.23,160.29,162.16,3778395.0,161.6549,1704949200000,50910,
2024-01-12,162.97,165.98,162.355,165.8,4958261.0,164.8162,1705035600000,72352,
