Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2023-10-10,23.23,23.565,22.41,23.05,25636,22.8462,1696910400000,467,
2023-10-11,23.12,23.77,23.12,23.77,22485,23.5791,1696996800000,229,
2023-10-12,23.79,23.79,23.39,23.59,8626,23.5732,1697083200000,242,
2023-10-13,23.98,24.0,23.66,23.8,18014,23.7892,1697169600000,262,
2023-10-16,23.62,23.96,23.61,23.86,24900,23.8114,1697428800000,291,
2023-10-17,23.79,24.11,23.79,24.11,12219,23.95,1697515200000,175,
2023-10-18,24.26,24.3,24.08,24.13,12932,24.1727,1697601600000,188,
2023-10-19,24.13,24.25,24.0076,24.13,8321,24.1507,1697688000000,131,
2023-10-20,24.3,24.47,24.09,24.25,17427,24.191,1697774400000,201,
2023-10-23,24.75,25.39,24.75,25.3,33692,25.1031,1698033600000,375,
2023-10-24,25.67,25.98,25.67,25.9,16666,25.8645,1698120000000,238,
2023-10-25,25.67,25.83,25.53,25.63,11743,25.6171,1698206400000,189,
2023-10-26,25.46,25.5599,25.26,25.41,14727,25.3965,1698292800000,344,
2023-10-27,25.02,25.085,24.89,24.94,8600,24.989,1698379200000,166,
2023-10-30,24.98,25.04,24.82,25.04,25649,24.9341,1698638400000,336,
2023-10-31,25.12,25.13,24.96,25.0,18482,25.0146,1698724800000,198,
2023-11-01,25.3,25.36,25.025,25.36,24168,25.2996,1698811200000,219,
2023-11-02,25.83,25.83,25.25,25.25,18547,25.5744,1698897600000,204,
2023-11-03,23.23,23.73,23.23,23.73,19218,23.571,1698984000000,229,
2023-11-06,23.27,23.99,23.2501,23.49,30049,23.4694,1699246800000,390,
2023-11-07,22.93,23.26,22.93,23.26,12134,23.1688,1699333200000,221,
2023-11-08,23.15,23.23,22.98,23.06,7336,23.1055,1699419600000,131,
2023-11-09,23.0,24.0238,22.9601,23.22,7536,23.3164,1699506000000,218,
2023-11-10,23.33,23.57,23.33,23.49,14637,23.455,1699592400000,165,
2023-11-13,23.55,23.635,23.34,23.61,9206,23.5746,1699851600000,187,
2023-11-14,23.69,23.84,23.63,23.84,27767,23.7349,1699938000000,275,
2023-11-15,23.97,24.05,23.83,23.99,21458,23.9752,1700024400000,285,
2023-11-16,23.9,24.05,23.875,24.04,8109,23.9813,1700110800000,120,
2023-11-17,24.28,24.28,24.082,24.19,11138,24.1872,1700197200000,145,
2023-11-20,24.61,24.68,24.58,24.64,10325,24.6227,1700456400000,159,
2023-11-21,24.94,25.03,24.71,24.94,14470,24.9346,1700542800000,260,
2023-11-22,25.15,25.15,24.89,25.03,9949,25.02,1700629200000,208,
2023-11-24,24.72,24.76,24.5808,24.75,2867,24.7109,1700802000000,66,
2023-11-27,24.88,24.96,24.86,24.95,4583,24.9183,1701061200000,94,
2023-11-28,25.25,25.48,25.19,25.46,22057,25.3288,1701147600000,229,
2023-11-29,25.61,25.73,25.52,25.69,6300,25.6423,1701234000000,99,
2023-11-30,25.85,25.85,25.7001,25.81,8050,25.7985,1701320400000,85,
2023-12-01,25.91,26.16,25.91,26.09,6280,26.0416,1701406800000,115,
2023-12-04,26.38,26.4999,26.31,26.44,10643,26.3774,1701666000000,173,
2023-12-05,26.3,26.46,26.29,26.46,6085,26.3734,1701752400000,103,
2023-12-06,26.28,26.32,26.13,26.23,6279,26.1952,1701838800000,146,
2023-12-07,26.38,26.39,26.14,26.36,10279,26.275,1701925200000,145,
2023-12-08,26.8,26.8,25.36,26.5,10887,26.2671,1702011600000,228,
2023-12-11,26.52,26.72,26.12,26.61,11995,26.4869,1702270800000,234,
2023-12-12,26.51,26.8,26.49,26.8,7860,26.6082,1702357200000,154,
2023-12-13,27.08,27.42,26.6801,27.42,13625,27.1659,1702443600000,199,
2023-12-14,27.4,27.64,27.4,27.63,8455,27.5309,1702530000000,122,
2023-12-15,27.31,27.5018,27.2101,27.32,2726,27.3365,1702616400000,84,
2023-12-18,27.5,27.6,27.43,27.6,5713,27.5357,1702875600000,124,
2023-12-19,27.5,27.5,27.1409,27.26,5761,27.3291,1702962000000,94,
2023-12-20,27.04,27.0686,26.53,26.53,14604,26.7414,1703048400000,185,
2023-12-21,26.9,27.09,26.5583,27.09,8330,26.8993,1703134800000,90,
2023-12-22,27.06,27.185,26.92,27.08,11663,27.004,1703221200000,107,
2023-12-26,27.48,27.645,27.33,27.635,18175,27.5171,1703566800000,203,
2023-12-27,27.76,27.9743,27.76,27.95,25924,27.8957,1703653200000,321,
2023-12-28,27.7,27.89,27.7,27.84,5328,27.8062,1703739600000,101,
2023-12-29,27.41,27.6004,27.21,27.21,20862,27.2764,1703826000000,188,
2024-01-02,26.86,27.04,26.72,26.85,5377,26.8804,1704171600000,66,
2024-01-03,26.76,26.82,26.65,26.67,2445,26.6933,1704258000000,77,
2024-01-04,26.82,27.0,26.7,26.76,4628,26.871,1704344400000,77,
2024-01-05,26.62,26.7199,26.5,26.64,3900,26.6758,1704430800000,75,
2024-01-08,26.47,26.74,26.29,26.74,12027,26.5182,1704690000000,154,
2024-01-09,26.55,26.5711,26.2901,26.37,4684,26.5076,1704776400000,74,
2024-01-10,26.55,26.75,26.11,26.13,13088,26.3996,1704862800000,142,
2024-01-11,27.73,27.84,27.4,27.53,32726,27.5446,1704949200000,347,
2024-01-12,27.26,27.36,27.15,27.36,3922,27.2767,1705035600000,83,
2024-01-16,27.04,27.1,26.9525,27.01,7529,27.0383,1705381200000,93,
2024-01-17,27.01,27.05,26.8101,26.92,4017,26.9484,1705467600000,74,
2024-01-18,27.13,27.29,26.94,27.18,2204,27.1642,1705554000000,54,
2024-01-19,27.63,27.67,27.5,27.6,8010,27.6131,1705640400000,97,
2024-01-22,27.73,27.87,27.68,27.68,10356,27.7764,1705899600000,102,
2024-01-23,27.22,27.5,27.22,27.42,5473,27.3981,1705986000000,88,
2024-01-24,27.55,27.65,27.44,27.44,4546,27.5469,1706072400000,97,
2024-01-25,27.3,27.38,27.15,27.3,5209,27.2727,1706158800000,103,
2024-01-26,27.17,27.22,27.0403,27.18,3641,27.1326,1706245200000,73,
2024-01-29,27.01,27.17,26.76,27.06,11117,27.0124,1706504400000,171,
2024-01-30,27.23,27.2599,27.0801,27.15,8208,27.2063,1706590800000,104,
2024-01-31,27.25,27.3,26.86,26.88,4016,27.1049,1706677200000,80,
2024-02-01,26.84,26.9663,26.75,26.92,3577,26.8367,1706763600000,71,
2024-02-02,26.54,26.62,26.25,26.5,7233,26.4692,1706850000000,160,
2024-02-05,26.29,26.4499,26.19,26.44,6932,26.3026,1707109200000,120,
2024-02-06,26.49,26.5,26.25,26.29,5042,26.3846,1707195600000,69,
2024-02-07,26.38,26.95,26.34,26.74,6195,26.5792,1707282000000,133,
2024-02-08,27.03,28.6,26.55,28.2,88415,27.8759,1707368400000,995,
2024-02-09,29.0,31.11,28.1,29.66,188898,29.9745,1707454800000,1676,
2024-02-12,30.36,30.75,29.7149,29.88,107212,30.2925,1707714000000,1110,
2024-02-13,29.8,29.91,28.855,29.04,55361,29.5093,1707800400000,666,
2024-02-14,29.28,29.85,28.88,28.94,53416,29.2306,1707886800000,719,
2024-02-15,28.41,29.0299,28.2601,28.27,42213,28.427,1707973200000,524,
2024-02-16,28.0,28.2,27.95,28.0,30901,28.0558,1708059600000,526,
2024-02-20,28.1,28.1,27.68,27.89,25190,27.8299,1708405200000,305,
2024-02-21,27.85,27.85,27.5262,27.63,17448,27.664,1708491600000,405,
2024-02-22,28.43,29.3,28.1314,28.92,42867,28.8368,1708578000000,479,
2024-02-23,28.34,28.34,27.5,27.57,43568,27.7053,1708664400000,506,
2024-02-26,27.73,28.07,27.57,27.84,43540,27.8739,1708923600000,450,
2024-02-27,27.96,28.1168,27.84,27.9,20498,27.9938,1709010000000,236,
2024-02-28,28.0,28.0,27.73,27.79,16714,27.8234,1709096400000,233,
2024-02-29,28.03,28.26,28.0,28.09,39140,28.1093,1709182800000,394,
2024-03-01,28.16,28.59,27.89,28.47,56657,28.2924,1709269200000,561,
2024-03-04,28.99,29.25,28.7969,28.98,48014,29.0088,1709528400000,627,
2024-03-05,28.89,28.89,28.42,28.58,22856,28.5595,1709614800000,326,
2024-03-06,29.21,29.69,29.21,29.61,39766,29.5267,1709701200000,547,
2024-03-07,29.92,30.0,29.67,29.97,46700,29.8161,1709787600000,699,
2024-03-08,29.92,29.946,29.2601,29.89,42155,29.6615,1709874000000,583,
2024-03-11,29.74,30.09,29.74,30.05,25603,29.9249,1710129600000,403,
2024-03-12,30.57,30.86,30.34,30.76,27565,30.5964,1710216000000,439,
2024-03-13,30.93,30.98,30.61,30.76,33780,30.7332,1710302400000,506,
2024-03-14,30.36,30.36,29.77,30.11,25988,30.0515,1710388800000,437,
2024-03-15,30.03,30.2199,30.01,30.11,8009,30.1252,1710475200000,176,
2024-03-18,30.21,30.73,30.21,30.62,18326,30.4981,1710734400000,353,
2024-03-19,31.0,31.11,30.87,31.08,21913,31.0219,1710820800000,400,
2024-03-20,31.11,31.53,31.07,31.42,24935,31.3025,1710907200000,397,
2024-03-21,31.91,32.19,31.83,32.09,28693,32.0755,1710993600000,503,
2024-03-22,31.8,31.93,31.7501,31.88,23758,31.8375,1711080000000,286,
2024-03-25,31.5,31.5,31.2644,31.41,12585,31.4137,1711339200000,324,
2024-03-26,30.54,30.54,30.0996,30.24,18483,30.3721,1711425600000,367,
2024-03-27,31.18,31.33,30.8,31.22,14922,31.0982,1711512000000,351,
2024-03-28,31.46,31.6,31.36,31.45,16153,31.4631,1711598400000,299,
2024-04-01,30.78,30.94,30.47,30.71,18253,30.7333,1711944000000,373,
2024-04-02,30.56,30.6958,30.39,30.51,7201,30.5515,1712030400000,158,
2024-04-03,30.6,30.8,30.53,30.64,8489,30.6723,1712116800000,127,
2024-04-04,30.85,31.46,30.38,30.64,42971,30.9415,1712203200000,454,
2024-04-05,30.69,30.8,30.465,30.58,9930,30.5595,1712289600000,225,
2024-04-08,30.19,30.72,30.13,30.39,16917,30.37,1712548800000,265,
2024-04-09,30.5,30.65,30.1682,30.46,7553,30.5032,1712635200000,139,
2024-04-10,30.17,31.095,30.0579,30.94,6536,30.5698,1712721600000,148,
2024-04-11,30.42,30.42,30.17,30.24,9023,30.2903,1712808000000,233,
2024-04-12,30.05,30.05,29.77,29.85,12028,29.8654,1712894400000,195,
2024-04-15,29.7,29.7,29.09,29.13,11239,29.3348,1713153600000,224,
2024-04-16,28.66,28.8,28.5101,28.78,15702,28.6616,1713240000000,197,
2024-04-17,29.08,29.09,28.85,28.88,10147,28.9518,1713326400000,135,
2024-04-18,28.65,28.65,28.29,28.48,6172,28.4965,1713412800000,130,
2024-04-19,28.0,28.1799,27.555,27.81,19852,27.8726,1713499200000,266,
2024-04-22,27.28,27.9184,27.28,27.88,16412,27.6865,1713758400000,209,
2024-04-23,28.0,28.27,27.97,28.09,8426,28.1086,1713844800000,221,
2024-04-24,28.68,28.7,28.28,28.4,16951,28.4797,1713931200000,267,
2024-04-25,27.93,28.34,27.93,28.34,11788,28.1832,1714017600000,327,
2024-04-26,28.43,28.61,28.42,28.43,9653,28.4917,1714104000000,303,
2024-04-29,28.58,28.777,28.57,28.67,7133,28.6733,1714363200000,197,
2024-04-30,27.94,28.33,27.66,27.89,9389,27.9687,1714449600000,237,
2024-05-01,27.89,28.22,27.64,27.85,10658,27.8412,1714536000000,208,
2024-05-02,28.02,28.59,28.02,28.59,9016,28.3741,1714622400000,248,
2024-05-03,28.16,28.52,28.14,28.21,12133,28.2371,1714708800000,249,
2024-05-06,28.03,28.19,27.92,28.19,9697,28.0534,1714968000000,227,
2024-05-07,28.06,28.18,27.8442,28.04,4515,28.072,1715054400000,115,
2024-05-08,27.92,28.0599,27.6977,28.0,6938,27.9628,1715140800000,176,
2024-05-09,27.46,28.3439,27.0,28.03,10716,27.6072,1715227200000,277,
2024-05-10,27.01,27.385,24.5,25.74,62294,25.8068,1715313600000,602,
2024-05-13,25.74,26.3485,25.15,25.96,28000,25.9491,1715572800000,400,
2024-05-14,26.11,26.6899,26.11,26.43,21759,26.5084,1715659200000,281,
2024-05-15,26.6,27.06,26.59,27.06,7769,26.8895,1715745600000,172,
2024-05-16,26.88,27.205,26.0101,26.63,17036,26.6947,1715832000000,197,
2024-05-17,26.55,26.7249,26.495,26.7,9684,26.5662,1715918400000,213,
2024-05-20,26.8,27.06,26.62,26.72,17114,26.8626,1716177600000,232,
2024-05-21,27.36,27.519,27.24,27.36,12877,27.3885,1716264000000,170,
2024-05-22,28.01,28.22,27.89,28.03,11271,28.0895,1716350400000,181,
2024-05-23,27.31,27.5,27.2,27.3,11946,27.3429,1716436800000,233,
2024-05-24,27.26,27.52,27.26,27.49,5352,27.3733,1716523200000,119,
2024-05-28,27.53,27.923,27.5,27.6,15164,27.7335,1716868800000,212,
2024-05-29,27.72,27.87,27.6,27.6,15118,27.7606,1716955200000,206,
2024-05-30,27.75,27.96,27.35,27.35,16560,27.6742,1717041600000,220,
2024-05-31,27.0,27.21,26.82,27.21,18441,26.9922,1717128000000,295,
2024-06-03,27.25,27.3,26.96,26.96,11697,27.0813,1717387200000,176,
2024-06-04,26.88,26.97,26.68,26.97,16252,26.8248,1717473600000,234,
2024-06-05,26.87,27.42,26.8601,27.4,14980,27.1097,1717560000000,224,
2024-06-06,26.92,26.92,26.7115,26.91,9438,26.8024,1717646400000,190,
2024-06-07,27.21,27.43,25.6,25.6,13768,26.1963,1717732800000,340,
2024-06-10,26.47,26.64,25.5001,26.42,10356,26.2417,1717992000000,217,
2024-06-11,26.54,26.755,26.49,26.66,12299,26.6213,1718078400000,346,
2024-06-12,26.94,27.2568,26.8601,27.07,10244,27.0474,1718164800000,183,
2024-06-13,27.11,27.25,26.9653,27.15,8680,27.0869,1718251200000,144,
2024-06-14,27.38,27.48,26.95,27.48,8335,27.347,1718337600000,171,
2024-06-17,27.19,27.67,27.19,27.63,13999,27.4703,1718596800000,210,
2024-06-18,27.49,27.55,27.335,27.52,12757,27.5032,1718683200000,331,
2024-06-20,27.53,27.8,27.34,27.5,16782,27.5307,1718856000000,266,
2024-06-21,27.8,27.8,27.56,27.56,14024,27.7044,1718942400000,299,
2024-06-24,27.45,27.51,27.36,27.46,17284,27.4581,1719201600000,332,
2024-06-25,27.5,27.5,27.38,27.43,10165,27.4499,1719288000000,172,
2024-06-26,27.49,27.49,27.23,27.26,22096,27.349,1719374400000,301,
2024-06-27,26.09,26.18,25.94,26.06,11260,26.0542,1719460800000,236,
2024-06-28,26.05,26.3459,26.05,26.11,11800,26.1621,1719547200000,246,
2024-07-01,25.89,25.98,25.75,25.93,10149,25.8408,1719806400000,181,
2024-07-02,25.83,25.98,25.81,25.94,12145,25.8823,1719892800000,262,
2024-07-03,26.0,26.36,26.0,26.32,7252,26.2582,1719979200000,178,
2024-07-05,26.43,26.59,26.36,26.49,6203,26.4704,1720152000000,263,
2024-07-08,26.66,26.81,26.6194,26.64,9302,26.7072,1720411200000,296,
2024-07-09,26.14,26.14,25.88,25.91,18570,25.9835,1720497600000,382,
2024-07-10,26.58,26.91,26.29,26.55,13187,26.6941,1720584000000,244,
2024-07-11,26.82,26.82,26.5,26.63,11457,26.6004,1720670400000,169,
2024-07-12,26.56,26.8499,26.56,26.83,11892,26.7149,1720756800000,202,
2024-07-15,26.56,26.56,26.0,26.03,27051,26.3367,1721016000000,394,
