Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2023-10-10,5.53,5.8,5.51,5.68,1277584.0,5.6844,1696910400000,12018,
2023-10-11,5.71,5.795,5.46,5.55,1163011.0,5.5677,1696996800000,11378,
2023-10-12,5.56,5.6,5.11,5.11,3290972.0,5.2426,1697083200000,24130,
2023-10-13,5.17,5.17,4.82,4.87,2750179.0,4.9089,1697169600000,20085,
2023-10-16,5.15,5.88,5.05,5.77,3805561.0,5.6654,1697428800000,28537,
2023-10-17,5.67,5.94,5.5706,5.83,2599661.0,5.8125,1697515200000,22317,
2023-10-18,5.74,5.76,5.305,5.31,2115539.0,5.4525,1697601600000,16860,
2023-10-19,5.32,5.385,5.165,5.22,1574437.0,5.248,1697688000000,15338,
2023-10-20,5.22,5.47,5.16,5.34,1903584.0,5.3112,1697774400000,15433,
2023-10-23,5.29,5.32,5.09,5.25,2506051.0,5.2268,1698033600000,19188,
2023-10-24,5.33,5.39,5.23,5.265,1281595.0,5.2845,1698120000000,11025,
2023-10-25,5.2,5.22,4.92,4.96,1592677.0,5.0117,1698206400000,13357,
2023-10-26,4.96,5.31,4.94,5.23,1957110.0,5.1545,1698292800000,15182,
2023-10-27,5.31,5.315,4.985,5.05,1276753.0,5.0874,1698379200000,12270,
2023-10-30,5.06,5.066,4.72,4.85,2423344.0,4.8518,1698638400000,17219,
2023-10-31,4.86,4.98,4.73,4.89,1779913.0,4.8891,1698724800000,11309,
2023-11-01,4.94,4.94,4.67,4.75,1500042.0,4.7601,1698811200000,11798,
2023-11-02,4.86,5.145,4.85,5.09,2007202.0,5.026,1698897600000,14934,
2023-11-03,5.23,5.46,5.175,5.23,1827490.0,5.2684,1698984000000,14790,
2023-11-06,5.23,5.31,5.05,5.11,1472051.0,5.1272,1699246800000,12757,
2023-11-07,5.07,5.265,5.02,5.15,2276436.0,5.1574,1699333200000,10294,
2023-11-08,5.16,5.26,5.05,5.06,3974401.0,5.0872,1699419600000,12047,
2023-11-09,5.21,5.26,4.865,4.94,3877430.0,4.9949,1699506000000,21263,
2023-11-10,5.76,6.1,5.42,5.64,8610535.0,5.6327,1699592400000,44905,
2023-11-13,5.55,5.8498,5.48,5.78,2651155.0,5.7543,1699851600000,20798,
2023-11-14,6.06,6.56,5.95,6.55,4238363.0,6.3196,1699938000000,29372,
2023-11-15,6.62,6.92,6.58,6.85,3796423.0,6.8077,1700024400000,26967,
2023-11-16,6.7,7.015,6.66,6.84,2946767.0,6.8297,1700110800000,18573,
2023-11-17,6.93,7.26,6.825,7.19,3300767.0,7.0803,1700197200000,22028,
2023-11-20,7.15,7.42,7.1001,7.35,2870592.0,7.275,1700456400000,21669,
2023-11-21,7.23,7.29,7.03,7.15,2823652.0,7.1341,1700542800000,17757,
2023-11-22,7.25,7.415,7.1303,7.19,2353099.0,7.2702,1700629200000,16432,
2023-11-24,7.15,7.3375,7.1,7.19,984936.0,7.2122,1700802000000,8274,
2023-11-27,7.1,7.32,7.0,7.16,1814196.0,7.1957,1701061200000,14818,
2023-11-28,7.15,7.21,7.0309,7.18,1530794.0,7.1412,1701147600000,13089,
2023-11-29,7.31,7.7492,7.26,7.63,2970620.0,7.6189,1701234000000,19652,
2023-11-30,7.69,7.76,7.42,7.46,2341314.0,7.5327,1701320400000,15697,
2023-12-01,7.51,7.53,7.12,7.48,2516935.0,7.3785,1701406800000,20077,
2023-12-04,7.43,7.59,7.2123,7.58,2263065.0,7.4257,1701666000000,19006,
2023-12-05,7.47,7.48,7.11,7.2,2199824.0,7.2286,1701752400000,15304,
2023-12-06,7.37,7.58,7.195,7.35,1665158.0,7.4106,1701838800000,14194,
2023-12-07,7.43,7.58,7.3,7.54,1589747.0,7.482,1701925200000,16246,
2023-12-08,7.5,7.76,7.41,7.75,1903236.0,7.6741,1702011600000,14752,
2023-12-11,7.71,7.79,7.59,7.77,3834240.0,7.7523,1702270800000,13441,
2023-12-12,7.73,7.825,7.6,7.74,2579218.0,7.7347,1702357200000,14075,
2023-12-13,7.72,7.87,7.47,7.87,2233515.0,7.7082,1702443600000,14504,
2023-12-14,8.0,8.225,7.77,8.22,4503077.0,8.0363,1702530000000,25405,
2023-12-15,8.38,8.44,7.94,8.15,5439616.0,8.1494,1702616400000,18458,
2023-12-18,8.21,8.5,8.05,8.46,3346392.0,8.3828,1702875600000,24361,
2023-12-19,8.51,8.55,8.28,8.4,2400838.0,8.4368,1702962000000,18127,
2023-12-20,8.31,8.33,7.84,7.85,2181861.0,8.0535,1703048400000,18308,
2023-12-21,8.05,8.365,7.95,8.35,2866998.0,8.1656,1703134800000,19846,
2023-12-22,8.41,8.69,8.25,8.41,1690319.0,8.466,1703221200000,15284,
2023-12-26,8.45,8.63,8.28,8.57,1164586.0,8.5056,1703566800000,10192,
2023-12-27,8.57,8.62,8.4,8.47,1625825.0,8.5008,1703653200000,13772,
2023-12-28,8.48,8.55,8.295,8.4,1280960.0,8.4088,1703739600000,12833,
2023-12-29,8.38,8.38,8.065,8.11,1350850.0,8.1611,1703826000000,12568,
2024-01-02,7.97,7.995,7.475,7.58,2221602.0,7.7051,1704171600000,18543,
2024-01-03,7.46,7.53,7.26,7.35,2506665.0,7.3884,1704258000000,17546,
2024-01-04,6.92,7.26,6.705,7.07,4539814.0,7.0602,1704344400000,30118,
2024-01-05,7.01,7.17,6.86,7.08,2863984.0,7.0497,1704430800000,22809,
2024-01-08,7.1,7.66,7.079,7.51,2059095.0,7.4624,1704690000000,14762,
2024-01-09,7.35,7.635,7.31,7.5,1393660.0,7.5072,1704776400000,13423,
2024-01-10,7.47,7.4869,7.055,7.21,1503259.0,7.2181,1704862800000,15031,
2024-01-11,7.17,7.249,6.83,7.12,1723326.0,7.0583,1704949200000,16721,
2024-01-12,7.2,7.33,6.94,6.96,1130716.0,7.0482,1705035600000,15185,
2024-01-16,6.88,6.93,6.71,6.79,2199126.0,6.7942,1705381200000,16617,
2024-01-17,6.66,6.69,6.52,6.64,1736670.0,6.5939,1705467600000,16108,
2024-01-18,6.83,6.9,6.64,6.85,1495741.0,6.764,1705554000000,17076,
2024-01-19,6.93,7.13,6.79,7.1,1778158.0,6.9775,1705640400000,15380,
2024-01-22,7.2,7.32,6.815,7.14,3833572.0,7.0512,1705899600000,25810,
2024-01-23,7.31,7.51,7.17,7.24,1724707.0,7.3121,1705986000000,15274,
2024-01-24,7.42,7.5,6.745,6.87,3137754.0,6.9629,1706072400000,26750,
2024-01-25,7.0,7.06,6.73,6.79,1434708.0,6.8199,1706158800000,15285,
