Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2023-10-10,29.2,29.95,29.13,29.7,90683.0,29.6813,1696910400000,1716,
2023-10-11,29.85,30.07,29.41,29.5,40062.0,29.6346,1696996800000,894,
2023-10-12,29.57,29.58,28.93,28.93,37787.0,29.2282,1697083200000,1083,
2023-10-13,28.88,29.19,27.81,27.91,66954.0,28.3602,1697169600000,1466,
2023-10-16,28.22,28.22,26.38,26.69,94440.0,27.1178,1697428800000,1997,
2023-10-17,26.44,27.42,26.44,27.23,56422.0,27.1206,1697515200000,1636,
2023-10-18,27.12,27.145,26.66,26.86,35262.0,26.9202,1697601600000,1571,
2023-10-19,26.85,27.24,26.3831,26.62,71081.0,26.7919,1697688000000,1572,
2023-10-20,26.62,26.694,25.66,25.74,141566.0,25.9245,1697774400000,2571,
2023-10-23,25.75,26.5,25.75,26.11,99416.0,26.1464,1698033600000,1609,
2023-10-24,26.11,26.32,25.81,26.11,72020.0,26.0682,1698120000000,1625,
2023-10-25,25.92,26.11,25.0623,25.3,56834.0,25.4213,1698206400000,1283,
2023-10-26,25.31,25.65,25.09,25.14,92528.0,25.3002,1698292800000,2193,
2023-10-27,25.17,25.71,24.2,24.24,64765.0,24.5492,1698379200000,1760,
2023-10-30,24.24,24.67,24.19,24.42,94909.0,24.3597,1698638400000,1968,
2023-10-31,24.44,24.8,24.0501,24.73,83766.0,24.6625,1698724800000,1563,
2023-11-01,24.73,25.1,24.65,24.89,56078.0,24.8519,1698811200000,1391,
2023-11-02,25.17,25.25,24.86,24.99,59978.0,24.9941,1698897600000,1145,
2023-11-03,25.06,25.52,25.06,25.33,75315.0,25.3272,1698984000000,1849,
2023-11-06,25.33,25.88,25.26,25.81,35671.0,25.6513,1699246800000,929,
2023-11-07,25.67,25.795,25.21,25.36,44064.0,25.4357,1699333200000,849,
2023-11-08,25.36,25.54,24.85,24.91,23334.0,25.1486,1699419600000,976,
2023-11-09,24.89,24.89,24.15,24.26,30113.0,24.3865,1699506000000,916,
2023-11-10,24.25,24.6,24.01,24.54,40815.0,24.3608,1699592400000,1254,
2023-11-13,24.22,24.74,24.19,24.47,37544.0,24.4846,1699851600000,820,
2023-11-14,24.69,25.51,24.6,25.49,58604.0,25.3707,1699938000000,1228,
2023-11-15,25.85,26.093,25.55,25.94,41534.0,25.8999,1700024400000,888,
2023-11-16,25.75,25.8,25.0101,25.2,30661.0,25.2816,1700110800000,841,
2023-11-17,25.24,25.35,25.0,25.24,38771.0,25.2062,1700197200000,1056,
2023-11-20,25.24,25.375,24.8,24.9,51149.0,24.985,1700456400000,1146,
2023-11-21,24.89,24.97,24.4,24.54,42256.0,24.572,1700542800000,1118,
2023-11-22,24.71,24.94,24.41,24.58,34811.0,24.5753,1700629200000,860,
2023-11-24,24.57,24.87,24.51,24.87,27084.0,24.6356,1700802000000,691,
2023-11-27,26.1,28.701,25.32,25.43,307478.0,26.4211,1701061200000,3998,
2023-11-28,25.57,26.09,25.4,25.65,187628.0,25.7309,1701147600000,2893,
2023-11-29,25.88,26.83,25.86,26.28,122644.0,26.3487,1701234000000,2232,
2023-11-30,26.1,27.19,25.945,26.84,201012.0,26.5645,1701320400000,2020,
2023-12-01,26.84,27.45,26.6,26.88,89035.0,26.8714,1701406800000,1428,
2023-12-04,27.15,27.37,26.595,26.96,75504.0,26.9032,1701666000000,1373,
2023-12-05,26.71,27.0,26.3784,26.7,35041.0,26.6311,1701752400000,920,
2023-12-06,26.79,26.9724,26.3,26.4,43701.0,26.5335,1701838800000,845,
2023-12-07,26.37,26.42,26.09,26.27,56498.0,26.2159,1701925200000,1168,
2023-12-08,26.75,26.75,26.32,26.51,41924.0,26.5252,1702011600000,699,
2023-12-11,26.53,26.56,26.05,26.15,54742.0,26.2522,1702270800000,807,
2023-12-12,26.0,26.37,26.0,26.15,60149.0,26.1547,1702357200000,1162,
2023-12-13,26.28,26.28,25.52,26.06,65882.0,25.955,1702443600000,1238,
2023-12-14,26.3,26.68,26.13,26.47,73056.0,26.418,1702530000000,1334,
2023-12-15,26.49,26.67,26.335,26.44,104059.0,26.4761,1702616400000,1434,
2023-12-18,26.64,26.715,26.11,26.48,70002.0,26.4262,1702875600000,1238,
2023-12-19,26.48,26.7,26.35,26.53,37429.0,26.5094,1702962000000,885,
2023-12-20,26.52,26.972,26.31,26.62,96788.0,26.6774,1703048400000,1302,
2023-12-21,26.98,27.08,26.55,27.0,103502.0,26.8509,1703134800000,1207,
2023-12-22,27.12,27.47,27.0665,27.14,29796.0,27.253,1703221200000,750,
2023-12-26,27.27,27.3697,26.77,27.27,47395.0,27.0537,1703566800000,992,
2023-12-27,27.25,27.51,27.0,27.45,53296.0,27.3552,1703653200000,989,
2023-12-28,27.44,27.82,27.35,27.675,36708.0,27.6114,1703739600000,711,
2023-12-29,27.72,27.72,27.23,27.24,25359.0,27.4529,1703826000000,686,
2024-01-02,27.24,27.42,27.06,27.11,65541.0,27.1989,1704171600000,1056,
2024-01-03,27.0,27.12,26.5,26.66,36994.0,26.7379,1704258000000,790,
2024-01-04,26.79,26.86,26.52,26.67,42010.0,26.6988,1704344400000,688,
2024-01-05,26.57,26.875,26.32,26.42,33222.0,26.5433,1704430800000,1170,
2024-01-08,26.53,27.135,26.5,26.83,39467.0,26.8248,1704690000000,1011,
2024-01-09,26.68,26.7299,26.24,26.24,21734.0,26.4492,1704776400000,699,
2024-01-10,26.43,26.482,26.0001,26.34,35481.0,26.2851,1704862800000,709,
2024-01-11,26.19,26.735,26.02,26.27,39484.0,26.2076,1704949200000,860,
2024-01-12,26.44,26.5199,26.03,26.05,32211.0,26.1982,1705035600000,733,
2024-01-16,26.03,26.1,25.39,25.52,43596.0,25.7224,1705381200000,980,
2024-01-17,25.44,25.5,24.98,25.16,58643.0,25.1482,1705467600000,1218,
2024-01-18,25.29,25.64,25.27,25.6,64529.0,25.5108,1705554000000,1541,
2024-01-19,25.53,25.53,25.26,25.27,28897.0,25.3804,1705640400000,726,
2024-01-22,25.27,25.99,25.27,25.91,61508.0,25.5514,1705899600000,995,
2024-01-23,25.91,26.145,25.71,25.79,23763.0,25.8747,1705986000000,670,
2024-01-24,25.94,26.05,25.47,25.65,67722.0,25.6929,1706072400000,810,
2024-01-25,25.61,25.92,25.3,25.5,42600.0,25.5316,1706158800000,819,
2024-01-26,25.5,26.0933,25.37,25.56,25232.0,25.612,1706245200000,537,
2024-01-29,25.43,25.9,25.27,25.29,35283.0,25.4964,1706504400000,1121,
2024-01-30,25.34,25.643,25.03,25.28,32252.0,25.3613,1706590800000,759,
