Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2023-10-10,1.23,1.29,1.22,1.235,354564.0,1.2531,1696910400000,1893,
2023-10-11,1.26,1.3,1.21,1.23,340289.0,1.2351,1696996800000,1867,
2023-10-12,1.22,1.2506,1.17,1.19,317276.0,1.2075,1697083200000,1551,
2023-10-13,1.19,1.22,1.18,1.21,162194.0,1.1947,1697169600000,1066,
2023-10-16,1.21,1.23,1.19,1.2,227023.0,1.2093,1697428800000,1390,
2023-10-17,1.2,1.23,1.18,1.195,359483.0,1.201,1697515200000,1688,
2023-10-18,1.17,1.19,1.13,1.16,437418.0,1.1562,1697601600000,2791,
2023-10-19,1.13,1.19,1.13,1.14,531493.0,1.1599,1697688000000,2194,
2023-10-20,1.15,1.16,1.12,1.14,392000.0,1.1363,1697774400000,2196,
2023-10-23,1.12,1.14,1.1101,1.12,305038.0,1.1243,1698033600000,1769,
2023-10-24,1.12,1.18,1.115,1.15,261914.0,1.1487,1698120000000,1211,
2023-10-25,1.14,1.17,1.12,1.13,388083.0,1.1381,1698206400000,2856,
2023-10-26,1.13,1.1975,1.12,1.16,307037.0,1.1682,1698292800000,1834,
2023-10-27,1.17,1.2,1.16,1.17,150560.0,1.1761,1698379200000,1475,
2023-10-30,1.18,1.2,1.15,1.18,219997.0,1.176,1698638400000,1371,
2023-10-31,1.18,1.25,1.165,1.23,393564.0,1.2181,1698724800000,2072,
2023-11-01,1.22,1.23,1.17,1.2,248583.0,1.1917,1698811200000,1002,
2023-11-02,1.2,1.3,1.2,1.285,334096.0,1.2641,1698897600000,1607,
2023-11-03,1.32,1.36,1.29,1.33,531432.0,1.3241,1698984000000,2469,
2023-11-06,1.32,1.35,1.3,1.3,349752.0,1.3176,1699246800000,2068,
2023-11-07,1.29,1.3434,1.26,1.26,306909.0,1.2943,1699333200000,2078,
2023-11-08,1.26,1.29,1.245,1.27,330477.0,1.2728,1699419600000,1632,
2023-11-09,1.3,1.3,1.19,1.22,458329.0,1.2316,1699506000000,2587,
2023-11-10,1.28,1.48,1.27,1.46,1256989.0,1.3792,1699592400000,4493,
2023-11-13,1.47,1.49,1.36,1.46,715091.0,1.4336,1699851600000,3404,
2023-11-14,1.49,1.575,1.4765,1.54,614481.0,1.5413,1699938000000,3311,
2023-11-15,1.56,1.66,1.5435,1.61,597757.0,1.6133,1700024400000,3104,
2023-11-16,1.59,1.61,1.52,1.6,294463.0,1.5702,1700110800000,2433,
2023-11-17,1.59,1.64,1.59,1.6,290279.0,1.6126,1700197200000,2049,
2023-11-20,1.63,1.7,1.61,1.63,657391.0,1.647,1700456400000,3643,
2023-11-21,1.61,1.62,1.5201,1.53,384118.0,1.5543,1700542800000,2257,
2023-11-22,1.53,1.6,1.5,1.58,340843.0,1.5675,1700629200000,2128,
2023-11-24,1.5,1.66,1.5,1.62,445318.0,1.588,1700802000000,1708,
2023-11-27,1.56,1.63,1.56,1.59,387173.0,1.6018,1701061200000,3086,
2023-11-28,1.56,1.6,1.55,1.57,265119.0,1.571,1701147600000,2224,
2023-11-29,1.57,1.62,1.54,1.55,282614.0,1.5738,1701234000000,1649,
2023-11-30,1.52,1.56,1.47,1.52,522982.0,1.5057,1701320400000,3136,
2023-12-01,1.51,1.6,1.48,1.57,466501.0,1.557,1701406800000,2877,
2023-12-04,1.55,1.56,1.49,1.55,275973.0,1.5271,1701666000000,2066,
2023-12-05,1.51,1.6,1.505,1.59,545212.0,1.5637,1701752400000,2902,
2023-12-06,1.6,1.65,1.58,1.58,402660.0,1.6216,1701838800000,2060,
2023-12-07,1.58,1.6205,1.57,1.58,175819.0,1.598,1701925200000,1795,
2023-12-08,1.58,1.585,1.55,1.56,218777.0,1.5621,1702011600000,1491,
2023-12-11,1.55,1.55,1.48,1.48,462318.0,1.5101,1702270800000,2380,
2023-12-12,1.48,1.4801,1.4,1.4,383833.0,1.4288,1702357200000,2559,
2023-12-13,1.4,1.48,1.3804,1.44,364756.0,1.4261,1702443600000,2755,
