Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2023-10-10,3.04,3.2184,3.0384,3.1392,28032.375,3.1464,1696910400000,1232,
2023-10-11,3.1544,3.344,3.068,3.2,46934.625,3.2525,1696996800000,1420,
2023-10-12,3.2,3.24,3.092,3.1984,28814.75,3.172,1697083200000,898,
2023-10-13,3.2,3.28,3.04,3.0936,28659.25,3.1519,1697169600000,958,
2023-10-16,3.36,3.44,3.096,3.192,41767.5,3.2841,1697428800000,711,
2023-10-17,3.3312,3.4408,3.192,3.2328,31629.75,3.3117,1697515200000,1265,
2023-10-18,3.3944,3.48,3.24,3.3168,28828.125,3.3353,1697601600000,877,
2023-10-19,3.248,3.3208,2.9616,3.04,28405.875,3.0794,1697688000000,835,
2023-10-20,3.0296,3.1431,3.0,3.04,24135.375,3.0365,1697774400000,426,
2023-10-23,2.9648,3.36,2.8,3.108,43549.75,2.9967,1698033600000,1078,
2023-10-24,3.0944,3.108,2.808,2.88,40298.625,2.8964,1698120000000,919,
2023-10-25,2.8816,2.9592,2.72,2.84,18449.0,2.8318,1698206400000,482,
2023-10-26,2.784,2.8712,2.64,2.76,44606.875,2.7503,1698292800000,631,
2023-10-27,2.7496,2.8016,2.5936,2.648,20098.875,2.6911,1698379200000,442,
2023-10-30,2.66,2.72,2.3584,2.4168,52385.5,2.529,1698638400000,1222,
2023-10-31,2.3152,2.4,2.248,2.3144,42915.875,2.3395,1698724800000,740,
2023-11-01,2.248,2.3992,2.24,2.3392,30780.125,2.3188,1698811200000,582,
2023-11-02,2.32,2.552,2.32,2.4712,32838.875,2.4491,1698897600000,899,
2023-11-03,2.48,2.7256,2.472,2.5592,37142.125,2.6067,1698984000000,1049,
2023-11-06,2.56,2.7208,2.5328,2.5328,24850.5,2.6152,1699246800000,842,
2023-11-07,2.56,2.56,2.3912,2.4408,36879.375,2.4714,1699333200000,841,
2023-11-08,2.4768,2.6524,2.416,2.5856,27576.0,2.5641,1699419600000,662,
2023-11-09,2.5712,2.712,2.5712,2.6192,24560.25,2.6464,1699506000000,819,
2023-11-10,2.584,2.72,2.4888,2.5088,34955.625,2.5418,1699592400000,779,
2023-11-13,2.48,2.64,2.48,2.52,35856.75,2.5253,1699851600000,858,
2023-11-14,2.56,2.688,2.4088,2.4088,95143.0,2.5406,1699938000000,1900,
2023-11-15,2.64,2.88,2.4,2.8384,131294.375,2.6679,1700024400000,2139,
2023-11-16,2.88,2.96,2.472,2.48,121544.375,2.817,1700110800000,1759,
2023-11-17,2.512,2.632,2.44,2.48,74403.25,2.5265,1700197200000,1378,
2023-11-20,2.604,2.632,2.456,2.5448,37189.75,2.5406,1700456400000,1029,
2023-11-21,2.48,2.56,2.46,2.4704,34507.125,2.4971,1700542800000,841,
2023-11-22,2.4528,2.5496,2.26,2.392,68844.375,2.3898,1700629200000,1143,
2023-11-24,2.512,2.56,2.4,2.52,34604.125,2.4872,1700802000000,913,
2023-11-27,2.68,2.9232,2.628,2.688,153615.125,2.7724,1701061200000,2185,
2023-11-28,2.928,3.04,2.72,2.76,155541.625,2.8384,1701147600000,2079,
2023-11-29,2.84,2.84,2.3608,2.4,101586.0,2.5171,1701234000000,1701,
2023-11-30,2.5832,2.5832,2.3304,2.34,59070.0,2.3919,1701320400000,1357,
2023-12-01,2.472,2.48,2.24,2.34,75235.875,2.3439,1701406800000,1322,
2023-12-04,2.32,2.4496,2.24,2.392,68711.125,2.3469,1701666000000,1435,
2023-12-05,2.4112,2.52,2.3656,2.4008,64457.5,2.4262,1701752400000,1140,
2023-12-06,2.36,2.48,2.36,2.4032,35071.5,2.4125,1701838800000,633,
2023-12-07,2.512,2.64,2.324,2.6392,82883.25,2.4014,1701925200000,1392,
2023-12-08,2.56,2.56,2.3672,2.4792,71772.25,2.4522,1702011600000,1052,
2023-12-11,2.3608,2.4032,2.3216,2.3224,38542.125,2.3651,1702270800000,745,
2023-12-12,2.3832,2.4,2.1352,2.16,94398.75,2.2491,1702357200000,1529,
2023-12-13,2.2464,2.3512,2.0888,2.136,161855.5,2.2032,1702443600000,2226,
