Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2023-10-10,2.14,2.14,1.86,1.9023,68882.0,1.9687,1696910400000,273,
2023-10-11,1.9,1.93,1.66,1.69,72420.0,1.7308,1696996800000,296,
2023-10-12,1.66,1.72,1.42,1.45,62349.0,1.5434,1697083200000,367,
2023-10-13,1.55,1.67,1.4201,1.5,59657.0,1.5736,1697169600000,699,
2023-10-16,1.5,1.6,1.4001,1.4014,36570.0,1.4692,1697428800000,371,
2023-10-17,1.4,1.79,1.35,1.48,37068.0,1.4777,1697515200000,351,
2023-10-18,1.5,1.6,1.38,1.48,12013.0,1.4666,1697601600000,125,
2023-10-19,1.4,1.5,1.3575,1.46,16736.0,1.4369,1697688000000,126,
2023-10-20,1.38,1.44,1.35,1.42,17972.0,1.4318,1697774400000,183,
2023-10-23,1.48,1.48,1.2,1.395,18250.0,1.364,1698033600000,135,
2023-10-24,1.4,1.4425,1.3001,1.4,22732.0,1.3944,1698120000000,104,
2023-10-25,1.32,1.45,1.32,1.37,13435.0,1.4017,1698206400000,107,
2023-10-26,1.5,1.5,1.38,1.38,5642.0,1.4556,1698292800000,81,
2023-10-27,1.44,1.4493,1.33,1.408,9232.0,1.4032,1698379200000,65,
2023-10-30,1.68,1.68,1.38,1.45,18087.0,1.5111,1698638400000,92,
2023-10-31,1.45,1.47,1.38,1.4442,3843.0,1.4427,1698724800000,53,
2023-11-01,1.46,1.58,1.4535,1.5,4386.0,1.4847,1698811200000,56,
2023-11-02,1.5,1.6,1.4931,1.55,17614.0,1.5284,1698897600000,140,
2023-11-03,1.6,1.64,1.5,1.5,57787.0,1.6065,1698984000000,430,
2023-11-06,1.5,1.5599,1.41,1.4783,30119.0,1.488,1699246800000,177,
2023-11-07,1.49,1.4999,1.41,1.4744,5574.0,1.458,1699333200000,83,
2023-11-08,1.41,1.49,1.35,1.395,32016.0,1.4008,1699419600000,174,
2023-11-09,1.36,1.42,1.27,1.29,17052.0,1.3255,1699506000000,135,
2023-11-10,1.3312,1.3312,1.2,1.26,15213.0,1.2485,1699592400000,108,
2023-11-13,1.25,1.32,1.2,1.2209,18933.0,1.2418,1699851600000,175,
2023-11-14,1.2,1.3299,1.2,1.27,20323.0,1.2785,1699938000000,113,
2023-11-15,1.25,1.4,1.25,1.2975,43677.0,1.327,1700024400000,248,
2023-11-16,1.35,1.3501,1.17,1.19,36343.0,1.2727,1700110800000,150,
2023-11-17,1.4,1.42,1.09,1.19,3545119.0,1.365,1700197200000,16416,
2023-11-20,1.08,1.25,1.0,1.14,456115.0,1.0884,1700456400000,1819,
2023-11-21,1.14,1.14,1.0,1.07,187320.0,1.051,1700542800000,832,
2023-11-22,1.07,1.12,1.02,1.06,236419.0,1.067,1700629200000,813,
2023-11-24,1.04,1.0999,1.01,1.05,61583.0,1.0572,1700802000000,249,
2023-11-27,1.09,1.1,1.03,1.04,98943.0,1.0607,1701061200000,365,
2023-11-28,1.07,1.09,1.03,1.07,82973.0,1.0586,1701147600000,382,
2023-11-29,1.12,1.27,1.055,1.238,664944.0,1.1721,1701234000000,1793,
2023-11-30,1.19,1.25,0.9693,1.05,370596.0,1.1025,1701320400000,963,
2023-12-01,1.07,1.1299,1.01,1.03,96735.0,1.0604,1701406800000,364,
2023-12-04,1.08,1.08,0.98,1.02,143361.0,1.0189,1701666000000,478,
2023-12-05,1.0,1.05,0.9601,0.972,117847.0,0.9904,1701752400000,417,
2023-12-06,0.98,1.0417,0.9101,0.9325,133294.0,0.9474,1701838800000,320,
2023-12-07,0.9565,1.28,0.92,1.08,959753.0,1.1529,1701925200000,3045,
2023-12-08,1.1,1.13,0.98,1.01,311764.0,1.0268,1702011600000,823,
2023-12-11,1.13,1.13,1.02,1.06,128643.0,1.0543,1702270800000,388,
2023-12-12,1.05,1.1,0.99,0.99,64717.0,1.0228,1702357200000,279,
2023-12-13,1.09,1.18,1.02,1.05,367712.0,1.0912,1702443600000,946,
2023-12-14,1.04,1.1399,1.03,1.06,106915.0,1.0848,1702530000000,397,
2023-12-15,1.04,1.13,1.04,1.09,81525.0,1.0889,1702616400000,364,
2023-12-18,1.07,1.1,1.05,1.05,68261.0,1.0695,1702875600000,265,
2023-12-19,1.09,1.1017,1.0,1.04,189155.0,1.0481,1702962000000,397,
2023-12-20,1.04,1.2,1.02,1.082,428738.0,1.1228,1703048400000,1006,
2023-12-21,1.08,1.16,1.05,1.08,115161.0,1.1021,1703134800000,436,
2023-12-22,1.1083,1.19,1.05,1.15,218857.0,1.1253,1703221200000,789,
2023-12-26,1.15,1.18,1.09,1.12,122574.0,1.1264,1703566800000,612,
2023-12-27,1.12,1.35,1.11,1.15,662439.0,1.2061,1703653200000,2266,
2023-12-28,1.76,2.03,1.26,1.4,50377402.0,1.871,1703739600000,231211,
2023-12-29,1.25,1.33,1.15,1.28,3764349.0,1.2299,1703826000000,14951,
2024-01-02,1.2,1.25,1.15,1.17,1829349.0,1.199,1704171600000,5640,
2024-01-03,1.26,1.55,1.24,1.42,12403582.0,1.3844,1704258000000,37567,
2024-01-04,1.43,1.44,1.33,1.37,2122304.0,1.3728,1704344400000,6297,
2024-01-05,1.37,1.47,1.32,1.35,2251744.0,1.3855,1704430800000,6041,
2024-01-08,1.35,1.37,1.26,1.3,1272514.0,1.3109,1704690000000,4140,
2024-01-09,1.34,1.73,1.31,1.6,5338847.0,1.5476,1704776400000,13481,
2024-01-10,1.85,2.29,1.57,1.95,43915061.0,1.9936,1704862800000,151686,
2024-01-11,2.08,3.5099,2.06,3.17,84737482.0,2.8481,1704949200000,235607,
2024-01-12,2.29,2.45,1.87,2.26,15123063.0,2.1422,1705035600000,54899,
2024-01-16,2.56,3.27,2.45,2.6,52920638.0,2.8344,1705381200000,181262,
2024-01-17,2.52,2.5699,1.99,2.11,8189924.0,2.302,1705467600000,27994,
2024-01-18,2.32,2.38,2.12,2.23,5928420.0,2.2743,1705554000000,17101,
2024-01-19,2.16,2.2589,1.7,1.73,5538287.0,1.8857,1705640400000,14646,
2024-01-22,1.69,1.9096,1.6,1.66,4178594.0,1.7477,1705899600000,11757,
2024-01-23,1.61,1.66,1.48,1.55,2442011.0,1.5593,1705986000000,6755,
2024-01-24,1.61,1.97,1.6,1.88,4460666.0,1.7967,1706072400000,10553,
2024-01-25,1.92,1.92,1.6201,1.66,2606798.0,1.7459,1706158800000,6933,
2024-01-26,1.64,1.7285,1.58,1.71,1169237.0,1.6626,1706245200000,3426,
2024-01-29,1.75,1.9799,1.64,1.93,2835134.0,1.831,1706504400000,7300,
2024-01-30,1.91,1.93,1.77,1.82,1163572.0,1.8648,1706590800000,3625,
2024-01-31,1.82,2.15,1.73,1.96,3116679.0,2.0245,1706677200000,7399,
2024-02-01,1.98,2.43,1.97,2.33,4814911.0,2.2673,1706763600000,12473,
2024-02-02,2.53,2.54,2.1301,2.3,3855674.0,2.3467,1706850000000,10028,
2024-02-05,2.22,2.93,2.16,2.85,6248701.0,2.7033,1707109200000,18165,
2024-02-06,2.78,3.285,2.78,2.93,7748571.0,3.0545,1707195600000,21351,
2024-02-07,2.93,3.95,2.92,3.55,10866238.0,3.5319,1707282000000,31421,
2024-02-08,3.63,3.8,2.63,2.79,5076908.0,3.1127,1707368400000,15687,
2024-02-09,3.02,3.24,2.3201,2.43,6163546.0,2.7229,1707454800000,18929,
2024-02-12,2.44,2.61,2.2,2.27,6462120.0,2.4479,1707714000000,29401,
2024-02-13,2.12,2.62,2.02,2.33,5517586.0,2.3685,1707800400000,18913,
2024-02-14,2.38,2.46,2.12,2.19,4872562.0,2.2553,1707886800000,19872,
2024-02-15,2.09,2.305,2.05,2.2,2732073.0,2.1754,1707973200000,9491,
2024-02-16,2.16,2.46,2.14,2.38,2287200.0,2.3061,1708059600000,7467,
2024-02-20,2.41,2.72,2.4,2.44,3669391.0,2.5381,1708405200000,10992,
2024-02-21,2.4,2.4686,2.151,2.3,2474496.0,2.2592,1708491600000,9150,
2024-02-22,2.4,2.4,2.16,2.24,1509158.0,2.2427,1708578000000,5356,
2024-02-23,2.25,2.27,1.88,1.98,2900503.0,2.0193,1708664400000,7808,
2024-02-26,1.91,1.96,1.8,1.85,1438104.0,1.8712,1708923600000,5075,
2024-02-27,1.86,1.86,1.65,1.78,1755653.0,1.7325,1709010000000,5897,
2024-02-28,1.75,2.01,1.7195,1.95,1876697.0,1.9044,1709096400000,5622,
2024-02-29,2.11,2.11,1.8,1.81,1599651.0,1.9506,1709182800000,5669,
2024-03-01,1.87,2.035,1.7401,1.98,1540414.0,1.8987,1709269200000,4420,
2024-03-04,2.01,2.05,1.87,1.93,999772.0,1.972,1709528400000,3294,
2024-03-05,1.98,2.0199,1.82,1.91,1380063.0,1.9035,1709614800000,3842,
2024-03-06,1.91,2.0393,1.87,1.95,791073.0,1.9634,1709701200000,2946,
2024-03-07,2.0,2.17,1.93,2.1,1475362.0,2.0757,1709787600000,5175,
2024-03-08,2.15,2.18,1.96,2.09,1299986.0,2.065,1709874000000,4734,
2024-03-11,2.08,2.295,2.04,2.24,1572768.0,2.2135,1710129600000,6820,
2024-03-12,2.28,2.38,2.09,2.1,1880977.0,2.2517,1710216000000,7801,
2024-03-13,2.11,2.11,1.885,1.93,2570028.0,1.9841,1710302400000,8738,
2024-03-14,1.9,1.94,1.68,1.72,2008021.0,1.798,1710388800000,6543,
2024-03-15,1.7,1.85,1.61,1.82,904848.0,1.7758,1710475200000,3695,
2024-03-18,1.8,1.8277,1.71,1.75,697197.0,1.751,1710734400000,3291,
2024-03-19,1.7,1.7499,1.61,1.73,996623.0,1.6826,1710820800000,3679,
