Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2023-10-10,16.67,16.91,16.53,16.58,179002.0,16.6762,1696910400000,3226,
2023-10-11,16.66,16.97,16.6,16.75,217174.0,16.7402,1696996800000,3385,
2023-10-12,16.86,16.86,16.21,16.47,172260.0,16.4172,1697083200000,3092,
2023-10-13,16.48,16.48,15.988,16.18,109793.0,16.172,1697169600000,2263,
2023-10-16,16.5,16.8,16.3232,16.48,156094.0,16.5073,1697428800000,3557,
2023-10-17,16.47,16.79,16.4,16.73,178461.0,16.6943,1697515200000,3275,
2023-10-18,16.62,16.62,15.89,15.93,251424.0,16.1892,1697601600000,5526,
2023-10-19,15.87,15.87,14.945,15.07,266692.0,15.2674,1697688000000,4543,
2023-10-20,15.03,15.125,14.78,14.89,206430.0,14.9339,1697774400000,4058,
2023-10-23,14.9,15.11,14.76,14.88,178005.0,14.9541,1698033600000,2960,
2023-10-24,15.05,15.06,14.735,14.86,157831.0,14.8596,1698120000000,2088,
2023-10-25,14.74,14.89,14.53,14.81,141327.0,14.7692,1698206400000,2908,
2023-10-26,14.85,15.3008,14.825,14.93,161421.0,15.0754,1698292800000,3453,
2023-10-27,14.93,14.93,14.57,14.7,106631.0,14.7084,1698379200000,2119,
2023-10-30,14.81,15.11,14.76,14.86,175060.0,14.8656,1698638400000,3545,
2023-10-31,14.83,14.97,14.63,14.88,131801.0,14.8802,1698724800000,2586,
2023-11-01,14.89,14.94,14.735,14.83,133465.0,14.8265,1698811200000,2809,
2023-11-02,15.15,15.4799,12.45,12.65,567588.0,13.1727,1698897600000,7692,
2023-11-03,12.73,13.47,12.57,13.33,850587.0,13.2614,1698984000000,5719,
2023-11-06,13.03,13.18,12.14,12.93,408637.0,12.9785,1699246800000,5409,
2023-11-07,12.89,13.035,12.5729,13.0,222216.0,12.9255,1699333200000,3324,
2023-11-08,12.83,12.965,12.38,12.46,370583.0,12.55,1699419600000,4699,
2023-11-09,12.46,12.7,12.18,12.19,218751.0,12.3367,1699506000000,4123,
2023-11-10,12.15,12.33,12.03,12.24,157427.0,12.2113,1699592400000,2566,
2023-11-13,11.87,12.44,11.4358,12.21,225088.0,12.153,1699851600000,4188,
2023-11-14,12.47,12.82,12.3112,12.82,230493.0,12.6609,1699938000000,3325,
2023-11-15,12.91,13.2,12.73,12.81,217031.0,12.8787,1700024400000,3817,
2023-11-16,12.72,12.78,12.55,12.69,222048.0,12.6873,1700110800000,3631,
2023-11-17,12.9,13.04,12.82,12.92,229437.0,12.9514,1700197200000,3309,
2023-11-20,12.94,12.95,12.53,12.69,243672.0,12.6595,1700456400000,4125,
2023-11-21,12.87,13.46,12.87,13.19,254384.0,13.151,1700542800000,3845,
2023-11-22,13.21,13.51,13.17,13.25,194109.0,13.3281,1700629200000,3304,
2023-11-24,13.23,13.34,13.1,13.26,67135.0,13.2418,1700802000000,1283,
2023-11-27,13.35,13.43,13.2,13.34,135305.0,13.337,1701061200000,2400,
2023-11-28,13.33,13.33,12.82,12.83,184430.0,12.9347,1701147600000,3622,
2023-11-29,12.9,13.085,12.82,12.91,183574.0,12.9593,1701234000000,3324,
2023-11-30,12.9,13.21,12.82,13.11,589729.0,13.0856,1701320400000,3717,
2023-12-01,13.06,13.44,13.06,13.33,138852.0,13.3192,1701406800000,3225,
2023-12-04,13.36,13.45,13.26,13.37,110874.0,13.3386,1701666000000,3464,
2023-12-05,13.39,13.75,13.27,13.61,190734.0,13.6082,1701752400000,3460,
2023-12-06,13.65,13.67,13.355,13.37,151887.0,13.477,1701838800000,4180,
2023-12-07,13.36,13.42,13.25,13.32,123611.0,13.3282,1701925200000,2739,
2023-12-08,13.28,13.48,13.28,13.36,68934.0,13.3877,1702011600000,1928,
2023-12-11,13.37,13.63,13.29,13.38,87500.0,13.3768,1702270800000,2546,
2023-12-12,13.38,13.49,13.21,13.35,176995.0,13.3345,1702357200000,3739,
2023-12-13,13.43,13.84,13.3,13.82,241716.0,13.6324,1702443600000,4299,
2023-12-14,13.78,14.23,13.78,14.03,181289.0,14.0443,1702530000000,3638,
2023-12-15,14.16,14.215,13.675,13.75,433375.0,13.8351,1702616400000,3830,
2023-12-18,13.81,13.97,13.71,13.86,135186.0,13.8626,1702875600000,2572,
2023-12-19,13.92,14.3,13.89,14.05,114448.0,14.0743,1702962000000,2309,
2023-12-20,14.0,14.235,13.8619,13.92,152717.0,14.0196,1703048400000,2846,
2023-12-21,14.08,14.42,13.86,14.04,236581.0,14.0723,1703134800000,3012,
2023-12-22,14.04,14.2,13.93,13.99,100194.0,14.0054,1703221200000,2703,
2023-12-26,13.99,14.12,13.92,14.09,81075.0,14.0613,1703566800000,2207,
2023-12-27,14.09,14.31,14.05,14.15,116957.0,14.1792,1703653200000,2789,
2023-12-28,14.14,14.39,14.1,14.25,115410.0,14.2289,1703739600000,2379,
2023-12-29,14.2,14.35,14.045,14.08,299478.0,14.0963,1703826000000,2208,
2024-01-02,13.97,14.08,13.795,13.85,99209.0,13.9134,1704171600000,2127,
2024-01-03,13.87,14.03,13.585,13.66,129793.0,13.714,1704258000000,2496,
2024-01-04,13.72,13.945,13.48,13.51,121297.0,13.5659,1704344400000,2529,
2024-01-05,13.42,13.58,13.36,13.44,136407.0,13.4369,1704430800000,2135,
2024-01-08,13.37,13.81,13.34,13.81,125020.0,13.6541,1704690000000,2262,
2024-01-09,13.67,13.779,13.6,13.65,113378.0,13.6836,1704776400000,2499,
2024-01-10,13.63,14.16,13.63,14.13,193791.0,13.9932,1704862800000,3222,
2024-01-11,14.08,14.11,13.68,14.08,106256.0,13.9374,1704949200000,1958,
2024-01-12,14.13,14.2601,13.98,13.99,78086.0,14.0521,1705035600000,1700,
