Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2023-10-10,4.9,5.2,4.7,4.7,3474.9,4.9964,1696910400000,1050,
2023-10-11,4.937,5.167,4.75,4.8,7231.0,4.9688,1696996800000,1996,
2023-10-12,4.749,5.1,4.65,4.717,21211.5,4.7664,1697083200000,24914,
2023-10-16,5.11,5.35,4.12,5.35,183596.0,4.9181,1697428800000,13936,
2023-10-17,4.96,4.96,4.65,4.65,29525.0,4.8403,1697515200000,1916,
2023-10-18,4.54,4.67,4.3,4.35,18406.0,4.4778,1697601600000,3244,
2023-10-19,4.27,4.35,4.01,4.24,17346.0,4.1952,1697688000000,1895,
2023-10-20,4.3916,4.8,4.19,4.75,13309.0,4.3837,1697774400000,735,
2023-10-23,4.65,7.83,4.6,6.13,769834.0,6.728,1698033600000,6158,
2023-10-24,5.05,6.0,5.0323,5.13,154217.0,5.503,1698120000000,1311,
2023-10-25,4.99,5.13,4.6675,4.98,34019.0,4.8408,1698206400000,6258,
2023-10-26,4.82,4.955,4.56,4.69,8893.0,4.7237,1698292800000,3132,
2023-10-27,4.65,4.815,4.65,4.71,10759.0,4.7528,1698379200000,1361,
2023-10-30,4.64,5.22,4.64,5.01,8412.0,4.7341,1698638400000,759,
2023-10-31,5.01,5.01,4.5705,4.6698,6609.0,4.6352,1698724800000,431,
2023-11-01,4.53,4.8902,4.53,4.75,5549.0,4.7257,1698811200000,318,
2023-11-02,4.73,4.75,4.73,4.75,1169.0,4.7796,1698897600000,317,
2023-11-03,4.72,4.75,4.4968,4.56,6195.0,4.5985,1698984000000,215,
2023-11-06,4.49,4.8355,4.49,4.68,6597.0,4.7091,1699246800000,224,
2023-11-07,4.6,5.04,4.36,4.67,33127.0,4.6884,1699333200000,955,
2023-11-08,4.58,5.3454,4.5,4.7,39428.0,4.7926,1699419600000,1210,
2023-11-09,4.84,4.85,4.39,4.58,19373.0,4.5896,1699506000000,376,
2023-11-10,4.56,4.98,4.4,4.65,15670.0,4.6196,1699592400000,256,
2023-11-13,4.62,5.1,4.5,4.79,23170.0,4.838,1699851600000,671,
2023-11-14,5.1,5.1,4.615,4.855,8468.0,4.8171,1699938000000,255,
2023-11-15,4.74,5.22,4.73,4.93,29969.0,4.9924,1700024400000,499,
2023-11-16,4.83,5.2,4.83,4.9628,11232.0,5.0175,1700110800000,227,
2023-11-17,5.06,5.1001,4.8162,4.984,17125.0,4.9778,1700197200000,342,
2023-11-20,4.9,5.2,4.768,4.88,21889.0,4.9499,1700456400000,517,
2023-11-21,4.95,5.1,4.8,5.1,8981.0,4.9374,1700542800000,258,
2023-11-22,4.99,5.0468,4.81,4.91,4561.0,4.9262,1700629200000,102,
2023-11-24,4.91,4.91,4.64,4.64,582.0,4.836,1700802000000,48,
2023-11-27,4.8,4.98,4.8,4.92,4592.0,4.9144,1701061200000,84,
2023-11-28,4.86,4.86,4.756,4.756,1021.0,4.8243,1701147600000,72,
2023-11-29,5.03,5.03,4.83,4.92,3770.0,4.9385,1701234000000,162,
2023-11-30,5.0,5.305,4.94,5.1804,10485.0,5.0338,1701320400000,128,
2023-12-01,5.2534,5.45,5.1,5.21,9223.0,5.2631,1701406800000,179,
2023-12-04,5.39,5.563,5.1065,5.23,4507.0,5.2713,1701666000000,86,
2023-12-05,5.3023,5.43,5.2,5.43,5649.0,5.359,1701752400000,133,
2023-12-06,5.2893,5.4037,5.1027,5.4037,9963.0,5.1533,1701838800000,100,
2023-12-07,5.42,5.42,5.22,5.3501,8814.0,5.3275,1701925200000,105,
2023-12-08,5.35,5.49,5.22,5.48,5669.0,5.3631,1702011600000,122,
2023-12-11,5.3,5.48,5.22,5.24,6461.0,5.2975,1702270800000,76,
2023-12-12,5.4463,5.8299,5.2917,5.5,18645.0,5.5441,1702357200000,212,
2023-12-13,5.9,5.9,5.235,5.88,35059.0,5.492,1702443600000,320,
2023-12-14,4.52,5.21,4.44,4.8822,46580.0,4.9409,1702530000000,317,
2023-12-15,4.84,5.31,4.805,5.09,16645.0,5.0082,1702616400000,135,
