Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2023-10-10,12.17,12.17,11.0101,11.71,321184.0,11.5707,1696910400000,1157,
2023-10-11,11.84,13.0298,11.675,12.775,116090.0,12.422,1696996800000,626,
2023-10-12,13.0,13.25,11.85,12.12,141016.0,12.7246,1697083200000,686,
2023-10-13,12.175,12.2358,11.05,11.785,179486.0,11.4329,1697169600000,634,
2023-10-16,11.575,12.49,11.53,12.475,79752.0,12.0992,1697428800000,438,
2023-10-17,12.75,13.43,12.425,13.43,111678.0,12.9225,1697515200000,997,
2023-10-18,13.435,13.78,13.0005,13.515,119742.0,13.5216,1697601600000,760,
2023-10-19,13.645,13.78,13.3501,13.745,36726.0,13.5788,1697688000000,212,
2023-10-20,13.69,13.75,12.8888,13.475,40422.0,13.2674,1697774400000,227,
2023-10-23,13.405,13.56,12.8625,13.4,29376.0,13.2404,1698033600000,207,
2023-10-24,13.495,14.9649,13.495,14.95,126146.0,14.4199,1698120000000,1032,
2023-10-25,14.96,14.96,14.07,14.685,92874.0,14.5408,1698206400000,1391,
2023-10-26,14.725,14.85,13.7001,14.28,54162.0,14.205,1698292800000,964,
2023-10-27,14.165,14.45,10.5,10.545,194874.0,12.5888,1698379200000,1360,
2023-10-30,11.15,11.44,10.45,10.45,69460.0,10.8798,1698638400000,1181,
2023-10-31,10.52,12.27,10.52,12.05,82526.0,11.3461,1698724800000,1296,
2023-11-01,12.1,13.145,12.1,13.145,53126.0,12.5836,1698811200000,1130,
2023-11-02,13.75,14.5475,13.191,14.15,80502.0,13.8173,1698897600000,1577,
2023-11-03,14.35,14.35,12.8,13.025,60286.0,13.4876,1698984000000,1781,
2023-11-06,14.275,15.1,13.755,15.08,136590.0,14.3807,1699246800000,2213,
2023-11-07,15.25,15.4768,14.105,14.545,118652.0,14.6289,1699333200000,1552,
2023-11-08,14.5,15.335,14.3146,14.75,63462.0,14.6601,1699419600000,1621,
2023-11-09,14.605,14.87,14.1275,14.4,41094.0,14.528,1699506000000,989,
2023-11-10,14.905,16.49,14.5001,16.2,164362.0,15.7307,1699592400000,1251,
2023-11-13,16.75,18.39,16.5,18.22,212104.0,17.5339,1699851600000,1977,
2023-11-14,18.535,19.405,17.8801,19.03,239862.0,18.6178,1699938000000,1622,
2023-11-15,19.255,19.8825,17.805,18.14,144822.0,19.0346,1700024400000,1694,
2023-11-16,18.075,18.075,16.145,17.705,131944.0,16.9942,1700110800000,2869,
2023-11-17,17.885,18.29,17.455,18.29,63336.0,17.8169,1700197200000,1184,
2023-11-20,18.665,19.61,18.5,18.995,205580.0,19.0343,1700456400000,2995,
2023-11-21,18.885,19.51,18.675,19.215,92828.0,19.1595,1700542800000,1590,
2023-11-22,19.215,19.215,16.4,17.005,175966.0,17.302,1700629200000,1959,
2023-11-24,17.56,18.305,17.005,17.005,59720.0,17.6612,1700802000000,444,
2023-11-27,17.005,18.625,17.005,18.37,141384.0,18.1684,1701061200000,1849,
2023-11-28,18.345,18.4875,17.5,17.96,145276.0,17.9626,1701147600000,1809,
2023-11-29,18.05,18.145,16.0003,16.5,148386.0,16.994,1701234000000,1716,
2023-11-30,16.69,17.385,16.55,17.25,105294.0,17.0611,1701320400000,1043,
2023-12-01,17.615,17.615,15.625,16.09,194986.0,16.1902,1701406800000,2006,
2023-12-04,16.975,19.185,16.7875,17.99,437668.0,18.1161,1701666000000,3424,
2023-12-05,18.525,18.61,17.17,17.395,210454.0,17.9371,1701752400000,2158,
2023-12-06,17.57,18.68,16.935,17.395,144528.0,17.7562,1701838800000,1673,
2023-12-07,17.5,17.75,15.3701,16.14,151650.0,16.3568,1701925200000,1496,
2023-12-08,16.14,16.4941,15.0,15.475,140258.0,15.5213,1702011600000,1259,
2023-12-11,15.55,16.22,13.3801,13.865,407128.0,14.6423,1702270800000,2864,
2023-12-12,13.25,14.325,12.7697,14.125,127780.0,13.739,1702357200000,1074,
2023-12-13,14.005,14.101,12.6301,13.68,159828.0,13.2484,1702443600000,1524,
2023-12-14,13.72,14.1926,13.5051,13.86,201268.0,13.7827,1702530000000,1126,
2023-12-15,14.0,14.26,13.16,13.435,116256.0,13.5922,1702616400000,917,
2023-12-18,13.865,15.37,13.865,14.935,142348.0,14.725,1702875600000,1261,
2023-12-19,15.1,16.78,15.0977,16.78,147138.0,16.0069,1702962000000,1306,
2023-12-20,16.825,17.395,16.0896,16.37,118304.0,16.7258,1703048400000,957,
2023-12-21,16.56,17.395,16.2747,17.35,83560.0,16.9219,1703134800000,685,
2023-12-22,17.5,17.74,16.73,16.73,116052.0,17.3254,1703221200000,1179,
2023-12-26,16.88,17.7228,16.88,17.56,73058.0,17.4169,1703566800000,940,
2023-12-27,17.74,18.395,17.6763,18.03,77234.0,18.0374,1703653200000,740,
2023-12-28,18.095,19.4999,18.05,18.475,143230.0,18.6889,1703739600000,1157,
2023-12-29,18.48,18.51,17.585,17.85,114018.0,17.9907,1703826000000,1017,
2024-01-02,17.85,18.7499,14.3,18.395,461086.0,16.932,1704171600000,2311,
2024-01-03,18.745,20.81,17.5,18.115,531852.0,19.3042,1704258000000,3022,
2024-01-04,18.67,21.68,18.33,18.4,473378.0,19.6054,1704344400000,3414,
2024-01-05,18.66,19.175,16.835,16.85,314378.0,17.6518,1704430800000,2229,
2024-01-08,17.53,18.62,17.125,18.46,177266.0,17.7938,1704690000000,1487,
2024-01-09,18.55,20.2869,17.6143,19.81,268110.0,19.5596,1704776400000,1952,
2024-01-10,19.94,21.705,18.85,19.275,374818.0,20.3882,1704862800000,2275,
2024-01-11,19.39,19.39,17.35,18.705,250808.0,18.1752,1704949200000,2226,
2024-01-12,18.535,19.0394,17.936,18.5,117958.0,18.6857,1705035600000,712,
2024-01-16,18.5,21.4,18.315,21.29,371818.0,20.3809,1705381200000,2757,
2024-01-17,21.275,21.395,20.09,21.115,114802.0,20.7085,1705467600000,1032,
2024-01-18,21.2,21.67,19.77,20.47,108234.0,20.6041,1705554000000,1013,
2024-01-19,20.915,21.245,19.73,20.69,126940.0,20.3373,1705640400000,958,
2024-01-22,20.75,21.2443,19.405,19.535,169698.0,20.13,1705899600000,1433,
2024-01-23,19.035,19.1173,17.545,17.75,396266.0,18.0465,1705986000000,2461,
2024-01-24,18.245,18.965,18.0,18.195,165174.0,18.383,1706072400000,988,
2024-01-25,18.195,18.5827,16.2551,16.98,206544.0,17.3968,1706158800000,1099,
2024-01-26,17.01,17.6427,16.44,16.83,132886.0,16.7954,1706245200000,868,
2024-01-29,16.19,16.745,15.125,15.635,248482.0,15.7927,1706504400000,1691,
2024-01-30,15.52,15.88,15.4008,15.615,91592.0,15.6233,1706590800000,660,
2024-01-31,15.74,16.475,15.05,15.215,151180.0,15.5677,1706677200000,1168,
2024-02-01,15.325,16.84,15.2,16.475,115532.0,16.0513,1706763600000,1428,
2024-02-02,16.595,17.9,16.58,17.67,123212.0,17.3307,1706850000000,1065,
2024-02-05,17.775,17.775,16.555,16.69,108746.0,17.0857,1707109200000,1079,
2024-02-06,16.685,18.35,16.5,17.75,118398.0,17.5673,1707195600000,1065,
2024-02-07,17.955,18.825,17.885,17.9,113256.0,18.3659,1707282000000,1032,
2024-02-08,17.9,18.18,17.005,17.33,101768.0,17.6127,1707368400000,891,
2024-02-09,17.29,18.005,16.85,17.87,75872.0,17.2727,1707454800000,843,
2024-02-12,17.88,19.095,17.8762,19.04,125878.0,18.6287,1707714000000,1137,
2024-02-13,18.595,18.885,17.75,18.57,138566.0,18.3066,1707800400000,1574,
2024-02-14,19.075,19.76,18.8261,19.54,91874.0,19.2434,1707886800000,898,
2024-02-15,19.615,21.35,19.575,21.075,231146.0,20.6366,1707973200000,1766,
2024-02-16,21.0,22.265,20.285,21.72,189998.0,21.4081,1708059600000,1449,
2024-02-20,21.505,21.5082,16.795,18.285,373574.0,18.4225,1708405200000,3561,
2024-02-21,18.125,19.355,18.035,18.75,62604.0,18.8308,1708491600000,690,
2024-02-22,19.22,19.33,17.77,18.28,109850.0,18.4747,1708578000000,830,
2024-02-23,18.355,19.22,17.905,17.905,84114.0,18.4604,1708664400000,522,
2024-02-26,18.005,19.0,18.005,18.78,81834.0,18.6089,1708923600000,1296,
2024-02-27,18.95,19.02,18.11,18.38,98402.0,18.5289,1709010000000,1626,
2024-02-28,18.585,18.99,18.0,18.74,50720.0,18.546,1709096400000,1012,
2024-02-29,19.15,19.49,18.5296,19.485,71746.0,19.1643,1709182800000,1483,
2024-03-01,19.495,19.65,18.94,19.325,58662.0,19.2319,1709269200000,1209,
2024-03-04,19.535,20.935,18.625,20.83,145172.0,20.0478,1709528400000,1826,
2024-03-05,20.83,20.89,19.805,20.5,66696.0,20.3938,1709614800000,1294,
2024-03-06,20.7,20.7,19.99,20.02,44524.0,20.2543,1709701200000,1042,
2024-03-07,20.195,20.4158,19.2011,20.03,89542.0,19.8672,1709787600000,1674,
2024-03-08,20.1,20.715,19.6501,20.715,78476.0,20.0738,1709874000000,1310,
2024-03-11,20.555,20.63,19.65,20.24,86466.0,19.9689,1710129600000,1250,
2024-03-12,20.14,22.4,19.9526,21.48,179420.0,21.284,1710216000000,2250,
2024-03-13,21.48,22.8,21.04,21.04,89846.0,21.8506,1710302400000,942,
2024-03-14,21.0,21.405,19.035,19.3,129308.0,19.9952,1710388800000,1964,
2024-03-15,19.495,20.4999,19.245,19.97,63774.0,19.9146,1710475200000,870,
2024-03-18,20.24,21.01,20.0822,20.44,57050.0,20.3996,1710734400000,626,
2024-03-19,20.285,20.425,19.515,19.75,94998.0,19.9727,1710820800000,1006,
2024-03-20,19.76,20.68,19.76,20.35,23986.0,20.1544,1710907200000,311,
2024-03-21,20.5,20.75,20.09,20.62,58174.0,20.4946,1710993600000,589,
2024-03-22,20.48,20.53,19.7501,20.04,62746.0,20.1714,1711080000000,812,
2024-03-25,20.0,20.495,19.505,19.505,100160.0,19.8297,1711339200000,1165,
2024-03-26,17.0,17.98,13.2,14.855,1110278.0,14.9951,1711425600000,6343,
2024-03-27,14.965,16.0413,14.355,15.8,235290.0,15.4703,1711512000000,2065,
2024-03-28,15.825,15.825,14.7,15.0,105150.0,15.3089,1711598400000,1152,
2024-04-01,15.0,15.1225,13.8588,14.705,195186.0,14.4324,1711944000000,1887,
2024-04-02,14.6,14.9755,14.005,14.75,91034.0,14.5789,1712030400000,1000,
2024-04-03,14.75,14.75,13.8901,14.39,132498.0,14.3417,1712116800000,1342,
2024-04-04,14.35,14.35,13.065,13.065,199604.0,13.5626,1712203200000,1422,
2024-04-05,13.35,13.705,12.845,13.47,92612.0,13.2875,1712289600000,822,
2024-04-08,13.6,14.1225,13.0,13.51,100706.0,13.4221,1712548800000,684,
