Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2023-10-10,330.96,331.1,327.67,328.39,20557094.0,329.2022,1696910400000,314761,
2023-10-11,331.21,332.82,329.14,332.42,20063246.0,331.5068,1696996800000,280438,
2023-10-12,330.565,333.6299,328.72,331.16,19313098.0,331.366,1697083200000,334254,
2023-10-13,332.38,333.83,326.36,327.73,21085695.0,329.1423,1697169600000,397253,
2023-10-16,331.05,336.14,330.6,332.64,22158048.0,333.3167,1697428800000,360740,
2023-10-17,329.59,333.46,327.41,332.06,18338523.0,331.2513,1697515200000,293599,
2023-10-18,332.49,335.59,328.3,330.11,23153602.0,331.7637,1697601600000,333824,
2023-10-19,332.15,336.88,330.91,331.32,25052071.0,333.2316,1697688000000,366502,
2023-10-20,331.72,331.92,325.45,326.67,25027715.0,327.9374,1697774400000,322791,
2023-10-23,325.47,332.725,324.39,329.32,24374748.0,329.2525,1698033600000,353048,
2023-10-24,331.3,331.84,327.6,330.53,31153571.0,333.8854,1698120000000,480549,
2023-10-25,345.02,346.2,337.62,340.67,55053828.0,340.9822,1698206400000,729751,
2023-10-26,340.54,341.63,326.94,327.89,37828543.0,331.2145,1698292800000,534330,
2023-10-27,330.425,336.72,328.4007,329.81,29856522.0,331.6621,1698379200000,430132,
2023-10-30,333.41,339.45,331.83,337.31,22828082.0,336.3742,1698638400000,355938,
2023-10-31,338.85,339.0,334.69,338.11,20265282.0,337.2437,1698724800000,307402,
2023-11-01,339.79,347.42,339.65,346.07,28158819.0,344.9564,1698811200000,425441,
2023-11-02,347.24,348.83,344.77,348.32,24348072.0,347.5945,1698897600000,374637,
2023-11-03,349.63,354.39,347.33,352.8,23637673.0,351.9507,1698984000000,390976,
2023-11-06,353.45,357.54,353.35,356.53,23828301.0,355.997,1699246800000,377865,
2023-11-07,359.4,362.46,357.63,360.53,25833931.0,360.6714,1699333200000,373390,
2023-11-08,361.68,363.87,360.55,363.2,26767828.0,362.3924,1699419600000,316041,
2023-11-09,362.3,364.79,360.362,360.69,24847331.0,362.0007,1699506000000,338377,
2023-11-10,361.49,370.1,361.07,369.67,28065164.0,367.5677,1699592400000,382844,
2023-11-13,368.22,368.47,365.9,366.68,19986506.0,367.1673,1699851600000,340608,
2023-11-14,371.01,371.95,367.3454,370.27,27683862.0,370.2471,1699938000000,409291,
