Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2023-10-10,2.1,2.3,2.095,2.22,2125362.0,2.2315,1696910400000,12217,
2023-10-11,2.22,2.28,2.1,2.12,1260516.0,2.1535,1696996800000,9305,
2023-10-12,2.12,2.17,2.06,2.1,1070485.0,2.1154,1697083200000,6800,
2023-10-13,2.08,2.1079,2.05,2.07,1004455.0,2.0768,1697169600000,4972,
2023-10-16,2.08,2.16,2.06,2.14,1171381.0,2.1227,1697428800000,5070,
2023-10-17,2.09,2.21,2.09,2.2,1435434.0,2.1826,1697515200000,7441,
2023-10-18,2.18,2.19,2.03,2.04,1819766.0,2.0734,1697601600000,8161,
2023-10-19,2.06,2.065,2.0,2.0,1375316.0,2.0189,1697688000000,6274,
2023-10-20,2.0,2.04,1.92,2.01,1614547.0,1.9915,1697774400000,7205,
2023-10-23,1.99,2.0,1.91,1.93,1252137.0,1.9591,1698033600000,7862,
2023-10-24,1.98,2.04,1.96,1.98,1591654.0,1.9948,1698120000000,7921,
2023-10-25,1.99,2.0698,1.951,1.97,1270737.0,2.0071,1698206400000,7241,
2023-10-26,1.97,2.0385,1.945,1.99,1325665.0,1.9846,1698292800000,6406,
2023-10-27,1.99,2.02,1.915,1.92,1379204.0,1.9485,1698379200000,6220,
2023-10-30,1.96,2.0,1.88,1.89,1608533.0,1.9144,1698638400000,7682,
2023-10-31,1.89,1.945,1.86,1.89,915642.0,1.8974,1698724800000,4810,
2023-11-01,1.89,1.8971,1.84,1.87,1078455.0,1.8645,1698811200000,6230,
2023-11-02,1.94,2.06,1.925,2.05,1617084.0,2.0041,1698897600000,6187,
2023-11-03,2.1,2.31,2.1,2.25,3060618.0,2.2216,1698984000000,12730,
2023-11-06,2.33,2.38,2.0,2.04,5286927.0,2.2441,1699246800000,23755,
2023-11-07,2.02,2.09,1.96,2.025,1512778.0,2.0118,1699333200000,7293,
2023-11-08,2.03,2.05,1.955,2.01,1650159.0,1.9816,1699419600000,7564,
2023-11-09,1.98,2.0299,1.87,1.88,2552388.0,1.9344,1699506000000,13282,
2023-11-10,1.9,2.0,1.86,1.99,1872784.0,1.9486,1699592400000,7793,
2023-11-13,1.97,1.99,1.91,1.97,1897270.0,1.9468,1699851600000,7703,
2023-11-14,2.0,2.14,2.0,2.14,2144468.0,2.0796,1699938000000,8910,
2023-11-15,2.14,2.66,2.13,2.35,4958409.0,2.424,1700024400000,21804,
2023-11-16,2.34,2.34,2.21,2.32,1761584.0,2.2897,1700110800000,9050,
2023-11-17,2.38,2.4467,2.27,2.43,2303697.0,2.3694,1700197200000,9302,
2023-11-20,2.42,2.54,2.3506,2.39,2562194.0,2.4468,1700456400000,11709,
2023-11-21,2.36,2.38,2.221,2.27,1353482.0,2.2809,1700542800000,7302,
2023-11-22,2.29,2.45,2.2768,2.43,1829719.0,2.4033,1700629200000,8577,
2023-11-24,2.45,2.54,2.395,2.5,982933.0,2.4887,1700802000000,7698,
2023-11-27,2.48,2.6,2.4519,2.57,2380993.0,2.5504,1701061200000,13608,
2023-11-28,2.57,2.57,2.45,2.53,1900335.0,2.5055,1701147600000,9156,
2023-11-29,2.55,2.675,2.51,2.57,1980418.0,2.5845,1701234000000,10661,
2023-11-30,2.6,2.66,2.51,2.52,4702231.0,2.5497,1701320400000,15399,
2023-12-01,2.53,2.71,2.48,2.69,2749570.0,2.6341,1701406800000,12652,
2023-12-04,2.71,2.75,2.64,2.71,2151436.0,2.7074,1701666000000,12168,
2023-12-05,2.73,2.73,2.47,2.49,2631213.0,2.5717,1701752400000,14192,
2023-12-06,2.55,2.75,2.53,2.6,3169882.0,2.648,1701838800000,15791,
2023-12-07,2.65,2.69,2.555,2.58,1723992.0,2.6072,1701925200000,10122,
2023-12-08,2.57,2.64,2.51,2.56,1697982.0,2.5578,1702011600000,8308,
2023-12-11,2.57,2.575,2.32,2.37,2794490.0,2.383,1702270800000,13196,
2023-12-12,2.37,2.415,2.33,2.38,1316335.0,2.3814,1702357200000,7873,
2023-12-13,2.39,2.59,2.315,2.59,1835831.0,2.4685,1702443600000,11593,
2023-12-14,2.63,2.81,2.59,2.65,3250957.0,2.6893,1702530000000,16342,
2023-12-15,2.7,2.7,2.55,2.69,7905109.0,2.6675,1702616400000,16445,
2023-12-18,2.64,2.7,2.56,2.6,2860968.0,2.6176,1702875600000,13826,
2023-12-19,2.67,2.85,2.63,2.78,4182357.0,2.7819,1702962000000,17781,
2023-12-20,2.78,2.78,2.5,2.51,3958697.0,2.6065,1703048400000,14910,
2023-12-21,2.61,2.61,2.5101,2.54,1005571.0,2.5507,1703134800000,4832,
2023-12-22,2.54,2.615,2.51,2.56,1693492.0,2.5747,1703221200000,6774,
2023-12-26,2.55,2.8,2.55,2.75,2775300.0,2.7177,1703566800000,9204,
2023-12-27,2.8,2.98,2.68,2.7,4453988.0,2.8034,1703653200000,16666,
