Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2024-02-14,3.0,3.0,2.7,2.7,16620,2.9984,1707886800000,5,
2024-02-15,3.0,3.0,2.96,2.96,11948,2.9925,1707973200000,23,
2024-02-21,2.95,3.3,2.95,3.125,400,3.125,1708491600000,3,
2024-02-22,2.95,2.95,2.95,2.95,202,2.9536,1708578000000,2,
2024-02-26,2.95,2.95,2.95,2.95,100,2.95,1708923600000,1,
2024-02-29,3.0,3.0,3.0,3.0,100,3.0,1709182800000,1,
2024-03-04,3.11,4.94,3.11,4.8,19069,4.0875,1709528400000,39,
2024-03-05,4.48,4.48,4.0,4.02,10345,4.1128,1709614800000,20,
2024-03-06,4.213,5.0,4.213,4.7,3521,4.572,1709701200000,21,
2024-03-07,4.95,4.98,4.75,4.75,5098,4.7982,1709787600000,12,
2024-03-11,4.98,4.98,4.85,4.85,1200,4.9353,1710129600000,7,
2024-03-12,4.85,4.93,4.85,4.88,2100,4.8705,1710216000000,5,
2024-03-13,4.95,4.95,4.95,4.95,1501,4.95,1710302400000,9,
2024-03-14,5.0,5.245,5.0,5.033,10349,5.0578,1710388800000,16,
2024-03-15,5.1144,5.1144,5.1,5.1,1098,5.0955,1710475200000,5,
2024-03-18,5.15,6.0,5.15,6.0,822,5.5652,1710734400000,7,
2024-03-19,6.0,6.75,5.95,6.69,4404,6.1931,1710820800000,28,
2024-03-20,6.7,7.0,6.69,6.74,3884,6.8185,1710907200000,19,
2024-03-21,8.0,8.0,6.9,7.1,2600,7.707,1710993600000,7,
2024-03-22,7.248,7.9,7.2,7.9,2600,7.8006,1711080000000,12,
2024-03-25,7.9,8.8,7.9,8.1,3764,8.1079,1711339200000,13,
2024-03-26,8.0,8.0,7.5,8.0,2260,7.961,1711425600000,9,
2024-03-27,8.0,8.015,7.0,7.5,2455,7.5494,1711512000000,15,
2024-04-01,7.5,7.866,7.02,7.55,4031,7.4178,1711944000000,11,
2024-04-02,6.99,7.55,6.855,7.55,617,6.9932,1712030400000,3,
2024-04-09,6.925,6.925,6.925,6.925,200,6.925,1712635200000,1,
2024-04-10,6.95,6.95,6.75,6.75,500,6.8725,1712721600000,4,
2024-04-11,6.15,6.15,5.01,5.01,1638,5.9425,1712808000000,6,
2024-04-16,6.038,6.038,6.038,6.038,250,6.038,1713240000000,1,
2024-04-17,6.12,6.2,6.12,6.2,600,6.16,1713326400000,4,
2024-04-18,6.3,6.3,6.3,6.3,200,6.3,1713412800000,1,
2024-04-22,6.5,6.5,6.5,6.5,148,6.5432,1713758400000,3,
2024-04-23,6.75,6.8,6.75,6.8,367,6.7864,1713844800000,3,
2024-04-26,7.0,7.0,7.0,7.0,100,7.0,1714104000000,1,
2024-04-29,7.0,7.0,7.0,7.0,200,7.0,1714363200000,2,
2024-05-01,7.0,7.1,7.0,7.1,2115,7.0953,1714536000000,7,
2024-05-02,7.1,7.15,7.1,7.15,2786,7.1339,1714622400000,7,
2024-05-08,6.5,6.5,6.3,6.5,5246,6.4112,1715140800000,19,
2024-05-09,7.1,7.1,7.1,7.1,250,7.1,1715227200000,2,
2024-05-10,7.1,7.1,7.1,7.1,300,7.0833,1715313600000,2,
2024-05-14,7.1,7.1,7.1,7.1,580,7.1,1715659200000,3,
2024-05-21,6.5,6.5,6.5,6.5,1900,6.5,1716264000000,3,
2024-05-22,6.5,6.62,6.5,6.62,314,6.5787,1716350400000,3,
2024-05-28,6.0,6.5,6.0,6.5,1515,6.1652,1716868800000,10,
2024-05-31,6.5,6.5,6.49,6.49,1581,6.4993,1717128000000,5,
2024-06-06,6.5,7.015,6.3,6.3,4106,6.8565,1717646400000,10,
2024-06-12,6.3,6.3,5.55,5.55,795,6.1491,1718164800000,3,
2024-06-17,5.6,5.6001,5.6,5.6001,4375,5.6001,1718596800000,3,
2024-06-18,5.75,5.75,5.75,5.75,499,5.75,1718683200000,1,
2024-06-21,5.75,5.75,5.75,5.75,120,5.75,1718942400000,2,
2024-06-25,6.5,6.5,6.0,6.0,3585,6.1633,1719288000000,6,
2024-06-26,6.0,6.0,6.0,6.0,7487,6.0,1719374400000,20,
2024-06-27,6.0,6.0,5.65,6.0,21686,5.9743,1719460800000,11,
2024-06-28,6.054,6.054,6.0,6.0,5941,6.013,1719547200000,4,
2024-07-03,6.05,6.05,6.0,6.0,1944,6.0463,1719979200000,3,
2024-07-09,5.65,5.65,5.65,5.65,2216,5.6506,1720497600000,10,
2024-07-11,6.0,6.0,6.0,6.0,100,6.0,1720670400000,1,
2024-07-12,6.05,6.05,6.05,6.05,112,6.05,1720756800000,1,
2024-07-15,6.06,6.06,6.05,6.05,8848,6.054,1721016000000,5,
2024-07-16,5.75,5.75,5.75,5.75,100,5.75,1721102400000,1,
2024-07-18,5.8,5.8,5.8,5.8,501,5.8003,1721275200000,2,
2024-07-23,5.76,5.76,5.76,5.76,125,5.76,1721707200000,1,
2024-08-05,5.75,5.75,5.75,5.75,1590,5.75,1722830400000,1,
2024-08-08,6.0,6.0,6.0,6.0,770,6.0,1723089600000,1,
2024-08-14,6.0,6.0,6.0,6.0,167,6.0,1723608000000,1,
2024-08-26,6.0,6.0,6.0,6.0,800,6.0,1724644800000,1,
2024-08-28,6.0,6.135,6.0,6.135,1324,6.0476,1724817600000,3,
2024-08-29,6.0,6.0,5.8,5.854,400,5.8635,1724904000000,4,
2024-09-03,5.8,6.105,5.8,6.0,1110,5.9924,1725336000000,3,
2024-09-04,5.6,5.7,5.6,5.7,7428,5.6566,1725422400000,7,
2024-09-05,6.0,6.0,5.7,5.7,2794,5.7339,1725508800000,8,
2024-09-25,5.7,6.0,5.7,6.0,1438,5.9191,1727236800000,3,
2024-09-26,6.0,6.13,5.9,6.0,7233,5.9946,1727323200000,27,
2024-09-27,6.0,6.0,6.0,6.0,1138,6.0,1727409600000,1,
2024-09-30,5.7,6.0,5.5,6.0,3180,5.5503,1727668800000,7,
2024-10-03,5.51,5.51,5.51,5.51,1300,5.51,1727928000000,1,
2024-10-14,5.51,5.51,5.45,5.5,1547,5.4735,1728878400000,5,
2024-10-18,6.0,6.0,6.0,6.0,421,6.0,1729224000000,1,
2024-10-21,6.0,6.0,6.0,6.0,160,6.0,1729483200000,1,
2024-10-22,5.75,5.75,5.75,5.75,213,5.75,1729569600000,3,
2024-10-23,5.6,5.6,5.45,5.45,6532,5.4577,1729656000000,8,
2024-10-25,6.0,7.0,6.0,7.0,346,6.711,1729828800000,3,
2024-10-29,6.9,6.9,6.9,6.9,196,6.8449,1730174400000,3,
2024-11-05,6.0,6.0,6.0,6.0,500,6.0,1730782800000,1,
2024-11-11,5.99,5.99,5.99,5.99,241,5.9917,1731301200000,3,
2024-11-19,6.0,6.45,6.0,6.0,5609,6.1729,1731992400000,10,
2024-11-20,6.45,6.45,6.1125,6.1125,262,6.2147,1732078800000,3,
2024-11-29,6.15,6.15,6.15,6.15,100,6.15,1732856400000,1,
2024-12-02,6.6053,6.6053,6.5,6.5,3088,6.5371,1733115600000,4,
2024-12-04,6.8,8.0,6.73,8.0,7790,6.9754,1733288400000,11,
2024-12-05,8.0,8.0,8.0,8.0,2005,8.0,1733374800000,2,
2024-12-23,7.5,8.0,7.5,8.0,567,7.8474,1734930000000,4,
2024-12-26,7.9,7.9,7.9,7.9,210,7.6619,1735189200000,3,
2024-12-31,7.9,8.0,7.9,8.0,2200,7.9915,1735621200000,5,
2025-01-02,8.1085,8.1085,8.1,8.1,1276,8.1045,1735794000000,2,
2025-01-03,8.15,8.95,8.15,8.95,300,8.3848,1735880400000,4,
2025-01-06,8.7,9.49,8.7,9.49,2455,8.846,1736139600000,4,
2025-01-08,9.47,9.5,8.5,8.5,4545,8.8134,1736312400000,22,
2025-01-10,8.5,8.5,8.5,8.5,1176,8.5,1736485200000,1,
2025-01-13,8.4137,9.5,8.4137,9.5,600,9.3189,1736744400000,2,
2025-01-15,7.728,7.728,7.728,7.728,100,7.728,1736917200000,1,
2025-01-16,8.5,8.8,8.5,8.8,800,8.65,1737003600000,4,
2025-01-17,8.45,8.45,8.45,8.45,115,8.45,1737090000000,1,
2025-01-21,8.8,8.8,8.8,8.8,160,8.8,1737435600000,2,
2025-01-22,8.5,8.5,8.0,8.0,712,8.315,1737522000000,4,
2025-01-23,8.5,8.5,8.5,8.5,500,8.5,1737608400000,2,
2025-01-24,8.45,8.45,8.45,8.45,1488,8.45,1737694800000,2,
2025-01-29,8.45,8.45,8.3625,8.4,1050,8.4136,1738126800000,5,
2025-01-30,8.4,8.4,8.4,8.4,250,8.4,1738213200000,3,
2025-01-31,9.4,9.4,8.4275,8.45,306,8.7527,1738299600000,4,
2025-02-03,8.6,8.8,8.55,8.8,1477,8.6891,1738558800000,13,
2025-02-04,9.4,9.5,9.25,9.5,4311,9.4518,1738645200000,17,
2025-02-05,9.5,9.8,9.5,9.8,2811,9.755,1738731600000,26,
2025-02-06,10.0,10.8,10.0,10.0,7308,10.2191,1738818000000,41,
2025-02-07,9.6,9.6,9.375,9.5,2026,9.4993,1738904400000,24,
2025-02-10,9.0,9.0,8.72,9.0,4390,8.9642,1739163600000,37,
2025-02-11,6.5,7.46,6.25,6.5,481702,6.5878,1739250000000,2088,
2025-02-12,6.5,6.5,6.05,6.19,77135,6.2934,1739336400000,369,
2025-02-13,6.27,6.39,5.68,5.72,72676,6.0076,1739422800000,505,
2025-02-14,5.72,5.875,5.51,5.72,47606,5.699,1739509200000,263,
2025-02-18,5.8,6.6,5.8,6.405,66379,6.3439,1739854800000,398,
2025-02-19,6.54,6.54,6.0824,6.5,31165,6.3978,1739941200000,250,
2025-02-20,6.31,6.72,6.184,6.56,37193,6.5313,1740027600000,333,
2025-02-21,6.59,6.59,6.26,6.56,19337,6.4433,1740114000000,125,
2025-02-24,6.59,6.59,6.05,6.45,15166,6.4629,1740373200000,178,
2025-02-25,6.38,6.48,6.115,6.16,25722,6.3781,1740459600000,240,
2025-02-26,6.2,6.505,5.99,6.09,30633,6.3005,1740546000000,249,
2025-02-27,6.33,6.49,6.02,6.49,19740,6.436,1740632400000,136,
2025-02-28,6.48,6.6,6.01,6.6,31539,6.4933,1740718800000,203,
2025-03-03,6.54,6.57,6.0887,6.46,4872,6.4095,1740978000000,50,
2025-03-04,6.15,6.1705,6.15,6.1705,773,6.2308,1741064400000,60,
2025-03-05,6.0,6.12,5.8,6.0,16719,5.9805,1741150800000,138,
2025-03-06,6.0,6.25,5.8,5.89,72875,6.0319,1741237200000,471,
2025-03-07,5.95,6.7,5.92,6.7,34738,6.2031,1741323600000,318,
2025-03-10,6.7,6.7,6.04,6.14,35984,6.5187,1741579200000,467,
2025-03-11,6.42,6.55,6.3,6.5,26528,6.4572,1741665600000,331,
2025-03-12,6.49,6.69,6.0243,6.47,44900,6.4513,1741752000000,428,
2025-03-13,6.15,6.45,6.15,6.45,3403,6.4262,1741838400000,24,
2025-03-14,6.635,6.77,6.59,6.77,16126,6.7052,1741924800000,122,
2025-03-17,6.7,6.75,6.033,6.31,10931,6.5613,1742184000000,56,
2025-03-18,6.42,6.42,6.3,6.31,6981,6.3433,1742270400000,121,
2025-03-19,6.18,6.3,6.1172,6.1172,2989,6.1743,1742356800000,38,
2025-03-20,6.98,6.98,6.06,6.49,22563,6.5195,1742443200000,268,
2025-03-21,6.0,6.5,6.0,6.5,7228,6.4376,1742529600000,73,
2025-03-24,6.5,6.5,6.4,6.5,15757,6.4565,1742788800000,146,
2025-03-25,6.5,6.5,6.36,6.5,8267,6.4266,1742875200000,197,
2025-03-26,6.5,6.8,6.4,6.5,17131,6.514,1742961600000,124,
2025-03-27,6.5,6.97,6.325,6.5,31425,6.5505,1743048000000,185,
2025-03-28,6.5,6.8,6.1513,6.8,11533,6.5589,1743134400000,61,
2025-03-31,6.31,7.02,6.31,7.02,20752,6.7614,1743393600000,185,
2025-04-01,7.0,7.0,6.2401,6.4683,3565,6.5033,1743480000000,59,
2025-04-02,6.97,6.97,6.2001,6.38,16984,6.4,1743566400000,113,
2025-04-03,6.23,6.23,6.23,6.23,1167,6.2503,1743652800000,47,
2025-04-04,6.2,6.23,6.0,6.19,9163,6.1154,1743739200000,114,
2025-04-07,6.1,6.1,5.8001,6.06,14104,5.9528,1743998400000,170,
2025-04-08,5.93,6.175,5.8,5.86,17375,6.003,1744084800000,126,
2025-04-09,5.87,6.36,5.8382,6.05,7545,5.9998,1744171200000,138,
2025-04-10,6.0,6.0,5.7,5.75,6845,5.8089,1744257600000,53,
2025-04-11,5.63,6.3499,5.53,5.67,45030,5.9093,1744344000000,368,
2025-04-14,5.9345,6.1,5.53,5.685,82943,5.7799,1744603200000,581,
2025-04-15,6.27,6.27,5.46,5.55,51885,5.6898,1744689600000,309,
2025-04-16,5.58,5.8,5.25,5.375,160537,5.5385,1744776000000,865,
2025-04-17,5.71,5.71,5.3,5.35,10715,5.4693,1744862400000,77,
2025-04-21,5.75,5.75,5.2,5.27,5289,5.4496,1745208000000,36,
2025-04-22,5.6,5.8,5.12,5.31,43604,5.3755,1745294400000,252,
2025-04-23,5.5004,5.71,5.22,5.22,23524,5.5028,1745380800000,168,
2025-04-24,5.601,5.61,5.2,5.35,8577,5.4136,1745467200000,90,
2025-04-25,5.45,6.0,5.45,5.55,61529,5.7881,1745553600000,432,
2025-04-28,5.64,5.75,5.14,5.43,21449,5.4233,1745812800000,196,
2025-04-29,5.47,5.82,5.25,5.82,47829,5.5744,1745899200000,362,
2025-04-30,5.83,6.0,5.0101,6.0,95706,5.6995,1745985600000,578,
2025-05-01,5.9,5.9,5.25,5.415,24249,5.5057,1746072000000,147,
2025-05-02,5.85,5.87,5.403,5.44,47466,5.5752,1746158400000,572,
