Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2023-10-10,110.21,111.06,109.62,109.71,6910436.0,110.1596,1696910400000,84785,
2023-10-11,109.51,110.059,108.83,109.64,5641686.0,109.5238,1696996800000,68746,
2023-10-12,109.95,110.92,108.88,109.11,6598533.0,109.7011,1697083200000,85504,
2023-10-13,109.19,109.51,107.79,108.25,5882175.0,108.3181,1697169600000,78084,
2023-10-16,108.95,109.59,108.3116,108.71,5487985.0,108.8651,1697428800000,71601,
2023-10-17,107.58,109.79,106.902,109.04,5261788.0,108.8954,1697515200000,71653,
2023-10-18,108.4,109.73,107.86,108.25,5123946.0,108.7088,1697601600000,73291,
2023-10-19,108.63,110.22,108.19,108.34,7989244.0,108.9533,1697688000000,100023,
2023-10-20,106.99,107.035,100.66,101.85,21831362.0,102.5897,1697774400000,241647,
2023-10-23,102.04,104.69,102.01,103.66,10722584.0,103.4974,1698033600000,117825,
2023-10-24,103.95,104.46,102.5,103.2,6173992.0,103.3671,1698120000000,74226,
2023-10-25,102.7,103.67,101.01,101.43,7081685.0,101.7907,1698206400000,89540,
2023-10-26,101.69,102.39,99.87,100.4,7565581.0,100.5758,1698292800000,92378,
2023-10-27,101.0,102.09,100.59,100.99,5207854.0,101.1273,1698379200000,73650,
2023-10-30,101.14,102.4067,100.82,101.65,5433719.0,101.7254,1698638400000,69801,
2023-10-31,102.005,103.52,101.1,103.4,6258385.0,102.9331,1698724800000,67879,
2023-11-01,103.8,106.2,103.8,105.75,8602440.0,105.3469,1698811200000,103029,
2023-11-02,106.45,107.22,105.57,106.87,5918301.0,106.6231,1698897600000,79866,
2023-11-03,107.17,109.07,106.62,108.05,7280025.0,108.2439,1698984000000,93085,
2023-11-06,108.06,109.21,107.44,109.11,6062799.0,108.4314,1699246800000,76364,
2023-11-07,109.99,110.3799,108.58,108.99,7412638.0,109.2496,1699333200000,83416,
2023-11-08,109.23,112.56,109.19,112.33,10994910.0,111.4328,1699419600000,118705,
2023-11-09,112.4,113.3091,111.61,112.18,6853941.0,112.3663,1699506000000,85634,
