Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2023-10-12,130.075,132.1705,129.5825,130.31,5928752.0,130.956,1697083200000,63319,
2023-10-13,131.175,132.95,129.155,129.7,6184648.0,130.5082,1697169600000,53841,
2023-10-16,129.875,132.585,129.455,130.76,4826864.0,131.2226,1697428800000,48943,
2023-10-17,130.43,132.9089,130.005,130.87,5617568.0,131.6245,1697515200000,50454,
2023-10-18,130.055,132.925,130.0,130.67,5628720.0,131.7261,1697601600000,53732,
2023-10-19,131.75,132.34,126.09,126.565,7761992.0,128.0194,1697688000000,67140,
2023-10-20,126.5,126.5,120.14,121.55,9270018.0,122.2353,1697774400000,92071,
2023-10-23,120.605,124.1575,119.41,123.085,4764724.0,122.7101,1698033600000,50192,
2023-10-24,124.335,126.095,123.7501,126.035,4519222.0,125.5117,1698120000000,44148,
2023-10-25,126.0,127.16,121.86,122.395,5418334.0,123.5992,1698206400000,53560,
2023-10-26,122.395,123.47,118.01,118.595,5956506.0,119.653,1698292800000,63855,
2023-10-27,119.33,121.1956,118.64,119.395,4567586.0,119.5886,1698379200000,53187,
2023-10-30,120.385,121.11,118.8532,119.275,3973508.0,119.7808,1698638400000,43114,
2023-10-31,121.255,122.0178,119.06,121.51,4225934.0,121.0812,1698724800000,44262,
2023-11-01,122.5,123.725,120.03,122.43,4923754.0,121.6917,1698811200000,49669,
2023-11-02,123.78,126.04,123.54,125.18,6998798.0,125.06,1698897600000,71204,
2023-11-03,122.26,123.125,120.525,121.765,15224384.0,121.7438,1698984000000,131897,
2023-11-06,123.32,123.6425,116.9045,118.5,10643550.0,119.1341,1699246800000,105001,
2023-11-07,120.975,121.71,118.76,121.04,8401496.0,120.8238,1699333200000,66927,
2023-11-08,121.735,122.0,120.255,120.54,5201340.0,121.0327,1699419600000,51290,
2023-11-09,121.195,123.87,119.8,121.295,6290036.0,122.0152,1699506000000,53946,
2023-11-10,123.0,126.99,122.3,126.755,8168014.0,126.1008,1699592400000,72729,
2023-11-13,127.185,128.7,126.88,127.82,8944084.0,127.7962,1699851600000,80838,
2023-11-14,129.76,130.835,128.845,130.585,8778186.0,130.1712,1699938000000,85508,
2023-11-15,132.255,132.375,127.31,128.09,19158086.0,125.6351,1700024400000,161168,
2023-11-16,119.995,122.4,117.075,121.15,31270628.0,120.3399,1700110800000,230825,
2023-11-17,121.52,126.015,121.49,123.795,15126982.0,124.412,1700197200000,111434,
2023-11-20,125.0,130.725,124.78,130.285,13713710.0,128.9454,1700456400000,110367,
2023-11-21,129.775,132.28,129.0825,132.015,8110470.0,131.2366,1700542800000,73855,
2023-11-22,132.5,134.05,131.035,131.57,5506208.0,132.4396,1700629200000,61947,
2023-11-24,131.485,133.205,131.375,133.04,3230326.0,132.7443,1700802000000,33948,
2023-11-27,133.0,134.97,132.94,134.545,6276182.0,134.2723,1701061200000,63094,
2023-11-28,134.365,139.345,134.3225,138.915,12630048.0,138.0644,1701147600000,96633,
2023-11-29,139.73,146.165,139.255,144.455,15076426.0,144.1685,1701234000000,116011,
2023-11-30,144.345,148.08,143.515,147.545,17859452.0,146.2329,1701320400000,103665,
2023-12-01,146.155,148.4243,145.525,148.08,12313632.0,147.484,1701406800000,88935,
2023-12-04,147.12,147.5,141.3945,143.305,9284266.0,143.4191,1701666000000,87458,
2023-12-05,141.27,146.405,140.33,146.39,6401140.0,145.1745,1701752400000,62293,
2023-12-06,146.9,148.075,143.456,143.6,6135464.0,145.1563,1701838800000,61665,
2023-12-07,144.09,147.185,143.345,146.805,8612690.0,146.405,1701925200000,55836,
2023-12-08,145.32,149.455,145.32,149.21,4813266.0,148.5418,1702011600000,49369,
2023-12-11,148.95,150.055,147.66,149.94,8096350.0,149.2455,1702270800000,74799,
2023-12-12,149.785,153.94,149.705,152.79,9126974.0,152.834,1702357200000,84024,
2023-12-13,152.52,158.095,152.52,156.93,10375564.0,155.68,1702443600000,93282,
2023-12-14,157.5,159.0,149.0635,150.22,13591996.0,151.7677,1702530000000,128972,
2023-12-15,150.515,154.525,149.625,153.65,18221050.0,153.246,1702616400000,94860,
2023-12-18,152.125,154.71,152.005,153.79,6663572.0,153.6231,1702875600000,64639,
2023-12-19,153.79,155.44,153.09,154.305,7760050.0,154.3134,1702962000000,59993,
2023-12-20,152.7301,154.0,150.225,150.49,6694314.0,151.6858,1703048400000,71752,
2023-12-21,151.39,152.055,147.955,149.7,5772790.0,149.5456,1703134800000,72393,
2023-12-22,150.165,150.375,148.75,149.105,4783076.0,149.4102,1703221200000,45964,
2023-12-26,149.435,150.995,149.25,150.41,3117388.0,150.1539,1703566800000,35611,
2023-12-27,150.24,150.445,147.91,148.75,4186806.0,148.7946,1703653200000,41410,
2023-12-28,148.49,148.83,146.9,147.79,3872528.0,147.6382,1703739600000,45894,
2023-12-29,148.355,148.36,145.975,147.44,4137760.0,147.288,1703826000000,48788,
2024-01-02,145.97,146.06,142.415,144.46,5767724.0,144.2963,1704171600000,71957,
2024-01-03,142.34,144.56,141.41,143.235,4936386.0,143.2604,1704258000000,56560,
2024-01-04,143.0,143.74,141.45,141.65,5085354.0,142.1685,1704344400000,54610,
2024-01-05,142.095,143.225,140.92,141.465,3714694.0,141.6306,1704430800000,43070,
2024-01-08,141.76,145.37,141.75,144.75,5831076.0,144.429,1704690000000,60538,
2024-01-09,143.805,150.5,143.45,150.21,7302450.0,148.9383,1704776400000,78135,
2024-01-10,152.6,158.245,152.55,158.045,10161516.0,156.3466,1704862800000,103641,
2024-01-11,160.265,162.685,158.26,161.745,10001498.0,160.7496,1704949200000,107021,
2024-01-12,162.255,165.2,160.6982,162.62,6390942.0,162.9261,1705035600000,67324,
2024-01-16,164.15,166.65,162.75,166.025,7516846.0,165.2576,1705381200000,85439,
2024-01-17,165.27,166.235,161.305,165.03,7864434.0,163.9965,1705467600000,72210,
2024-01-18,168.205,169.297,166.28,167.885,7197490.0,167.7098,1705554000000,77399,
2024-01-19,169.765,170.2,167.155,168.87,6588062.0,168.5402,1705640400000,68121,
2024-01-22,173.145,175.3,171.225,172.825,7021968.0,173.0885,1705899600000,76225,
2024-01-23,172.785,173.0,169.16,172.09,6045014.0,171.2614,1705986000000,64490,
2024-01-24,173.91,173.995,169.92,170.12,5854204.0,171.5656,1706072400000,68602,
2024-01-25,172.23,172.23,168.285,170.095,6909930.0,169.8444,1706158800000,65098,
2024-01-26,170.0,172.15,169.0301,171.22,4331240.0,170.8917,1706245200000,51827,
2024-01-29,170.995,172.7466,170.385,172.625,5238208.0,171.7857,1706504400000,59272,
2024-01-30,172.415,173.815,171.38,172.945,3488330.0,172.5622,1706590800000,43269,
2024-01-31,171.115,171.995,166.335,169.255,4968502.0,169.247,1706677200000,64295,
2024-02-01,169.5,170.2225,167.72,169.985,4350980.0,169.2821,1706763600000,60849,
2024-02-02,169.78,173.215,169.5,172.53,5080646.0,171.9285,1706850000000,58807,
2024-02-05,172.14,172.75,168.97,172.24,5340612.0,171.2859,1707109200000,54309,
2024-02-06,172.745,173.875,168.0,170.745,5483170.0,170.3181,1707195600000,59895,
2024-02-07,175.7,183.07,174.7,182.25,13163274.0,180.9963,1707282000000,113337,
2024-02-08,181.61,185.86,181.5,183.51,5916374.0,183.517,1707368400000,72909,
2024-02-09,186.525,190.42,184.5,188.45,7001960.0,188.6139,1707454800000,80572,
2024-02-12,187.725,188.15,183.765,185.985,5737020.0,186.0942,1707714000000,72285,
2024-02-13,179.56,187.19,176.905,184.13,15684414.0,184.4486,1707800400000,82336,
2024-02-14,184.405,187.585,183.0625,184.165,6187462.0,184.5549,1707886800000,74462,
2024-02-15,184.09,184.895,180.81,183.44,5435196.0,182.6149,1707973200000,71882,
2024-02-16,184.75,185.495,181.025,183.205,6525770.0,183.8447,1708059600000,76453,
2024-02-20,181.425,184.6436,179.9091,183.045,20917614.0,170.5399,1708405200000,221598,
2024-02-21,137.6,137.99,130.045,130.985,87874678.0,133.9436,1708491600000,768489,
2024-02-22,137.0634,138.405,132.5,133.91,38594546.0,135.3173,1708578000000,338311,
2024-02-23,138.475,142.16,135.81,141.045,30662916.0,139.9693,1708664400000,256014,
2024-02-26,144.26,156.94,143.395,151.39,43874310.0,152.1211,1708923600000,422396,
2024-02-27,158.7,163.785,153.775,157.375,42708640.0,157.7901,1709010000000,372286,
2024-02-28,155.64,158.425,153.9048,158.075,15990676.0,156.3112,1709096400000,168883,
2024-02-29,157.89,160.345,154.365,155.275,16355942.0,156.0149,1709182800000,160041,
2024-03-01,155.765,155.765,148.405,151.2,22750266.0,150.6636,1709269200000,232100,
2024-03-04,151.0,151.1875,146.03,149.72,14428358.0,148.8543,1709528400000,164970,
2024-03-05,147.945,148.775,142.34,145.565,14534200.0,145.0882,1709614800000,166371,
2024-03-06,149.49,150.0,138.405,139.43,23383444.0,141.4076,1709701200000,240827,
2024-03-07,140.0,144.065,138.8755,143.2425,16056556.0,142.3665,1709787600000,142339,
2024-03-08,143.09,144.225,139.85,140.1,11484830.0,141.0817,1709874000000,122523,
2024-03-11,139.15,143.4,138.805,141.665,9898202.0,142.058,1710129600000,102682,
2024-03-12,142.665,143.7175,140.701,142.365,8133516.0,142.1374,1710216000000,95810,
2024-03-13,142.81,146.395,140.865,145.06,10545502.0,144.5679,1710302400000,102751,
2024-03-14,146.18,146.37,141.68,143.79,9903130.0,143.556,1710388800000,87037,
2024-03-15,142.12,143.645,140.805,141.08,13190334.0,141.4988,1710475200000,83512,
2024-03-18,142.685,143.315,140.59,142.62,7678338.0,142.1068,1710734400000,77341,
2024-03-19,141.55,142.0699,138.275,140.29,10930832.0,140.6602,1710820800000,79903,
2024-03-20,140.865,141.86,139.135,141.025,6815264.0,140.354,1710907200000,71763,
2024-03-21,141.91,145.07,140.785,143.815,7662868.0,143.2509,1710993600000,89680,
2024-03-22,145.41,145.445,142.7786,143.39,7593466.0,144.0409,1711080000000,77509,
2024-03-25,142.8,143.15,140.6175,142.535,5298092.0,142.2662,1711339200000,64223,
2024-03-26,142.925,144.12,141.4,143.345,5869414.0,142.9211,1711425600000,65647,
2024-03-27,145.245,145.45,140.74,141.13,6528016.0,141.581,1711512000000,79635,
