Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2023-10-10,18.06,18.4,17.62,17.8,99971501.0,17.9951,1696910400000,300446,
2023-10-11,17.87,18.44,17.73,17.92,55745629.0,18.0088,1696996800000,178536,
2023-10-12,17.92,18.24,17.5508,17.94,57940929.0,17.9718,1697083200000,176582,
2023-10-13,18.06,18.16,17.27,17.36,54881953.0,17.5264,1697169600000,171213,
2023-10-16,17.21,17.46,16.67,17.36,44987257.0,17.2268,1697428800000,152002,
2023-10-17,17.0,18.03,16.91,17.84,54401289.0,17.6977,1697515200000,155425,
2023-10-18,17.81,18.22,17.19,17.2,44208265.0,17.5637,1697601600000,144154,
2023-10-19,17.44,17.5799,16.97,17.06,46303217.0,17.2242,1697688000000,156137,
2023-10-20,16.85,16.94,15.81,16.11,63875487.0,16.2634,1697774400000,205945,
2023-10-23,15.9,16.34,15.21,16.2,55967151.0,15.8818,1698033600000,180689,
2023-10-24,16.38,16.93,16.3,16.64,39833762.0,16.6167,1698120000000,131481,
2023-10-25,16.57,16.63,15.58,15.59,46706480.0,15.9572,1698206400000,169929,
2023-10-26,15.6,15.91,15.05,15.29,49351804.0,15.4067,1698292800000,163239,
2023-10-27,15.48,15.6,14.96,15.07,39913561.0,15.1799,1698379200000,138810,
2023-10-30,15.27,15.29,14.56,14.69,46886417.0,14.8167,1698638400000,170338,
2023-10-31,14.58,15.01,14.55,14.8,40195406.0,14.8187,1698724800000,138723,
2023-11-01,14.8,14.96,14.48,14.92,54419071.0,14.7479,1698811200000,198919,
2023-11-02,17.48,18.3,17.2101,17.97,170406782.0,17.7428,1698897600000,584792,
2023-11-03,18.02,19.0789,17.76,18.89,109302021.0,18.7365,1698984000000,358322,
2023-11-06,18.99,19.08,17.93,18.54,79952555.0,18.3676,1699246800000,255843,
2023-11-07,18.86,19.17,18.53,18.8,56289102.0,18.8875,1699333200000,176300,
2023-11-08,18.85,18.93,18.15,18.49,46063132.0,18.4529,1699419600000,161161,
2023-11-09,18.66,18.87,18.16,18.27,48454200.0,18.5376,1699506000000,169177,
2023-11-10,18.155,19.72,18.06,19.67,92955800.0,19.2773,1699592400000,291892,
2023-11-13,19.59,19.88,19.3,19.71,74877458.0,19.6213,1699851600000,208859,
2023-11-14,20.0,20.1,19.5,19.94,83230466.0,19.8907,1699938000000,253626,
2023-11-15,19.9,20.37,19.611,19.95,75533454.0,19.9934,1700024400000,240996,
2023-11-16,19.8,19.875,19.29,19.77,49942759.0,19.6594,1700110800000,152713,
2023-11-17,19.68,20.58,19.6587,20.49,69668728.0,20.2603,1700197200000,218845,
2023-11-20,20.65,21.6,20.56,21.34,90575566.0,21.251,1700456400000,287330,
2023-11-21,21.11,21.85,19.72,19.8,106643319.0,20.3867,1700542800000,370502,
2023-11-22,20.26,20.44,19.33,19.69,68452455.0,19.7772,1700629200000,244316,
2023-11-24,19.38,19.6,18.93,19.2,39800361.0,19.2535,1700802000000,135142,
2023-11-27,19.13,19.5,18.62,19.08,58808177.0,19.1726,1701061200000,222392,
2023-11-28,19.11,19.8,19.03,19.71,54170695.0,19.5304,1701147600000,186738,
2023-11-29,19.945,20.31,19.78,19.84,62782105.0,20.0214,1701234000000,213554,
2023-11-30,19.94,20.23,19.68,20.05,55500991.0,19.9591,1701320400000,189814,
2023-12-01,19.93,20.29,19.55,20.27,61493670.0,19.9999,1701406800000,207798,
2023-12-04,19.75,19.9,18.27,18.4,104948518.0,18.7965,1701666000000,402711,
2023-12-05,18.25,18.55,17.96,18.3,54460845.0,18.2646,1701752400000,206765,
2023-12-06,17.69,17.83,17.05,17.13,96110978.0,17.4861,1701838800000,341211,
2023-12-07,17.22,17.48,17.08,17.22,56454997.0,17.2761,1701925200000,206884,
