Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2023-10-10,3.15,3.33,3.09,3.155,36269.0,3.1909,1696910400000,207,
2023-10-11,3.011,3.11,3.01,3.02,22209.0,3.0452,1696996800000,130,
2023-10-12,3.1,3.1,2.9,2.98,12214.0,2.9736,1697083200000,159,
2023-10-13,2.93,2.94,2.8,2.885,28203.0,2.8284,1697169600000,105,
2023-10-16,2.84,3.0448,2.81,2.91,8013.0,2.9464,1697428800000,63,
2023-10-17,2.99,2.99,2.81,2.93,4515.0,2.9444,1697515200000,63,
2023-10-18,2.94,3.01,2.87,2.99,24129.0,2.9401,1697601600000,219,
2023-10-19,3.04,3.1276,2.89,2.94,10582.0,2.9709,1697688000000,101,
2023-10-20,2.95,2.95,2.86,2.9345,11622.0,2.911,1697774400000,86,
2023-10-23,2.93,2.93,2.72,2.72,41007.0,2.83,1698033600000,211,
2023-10-24,2.75,2.905,2.6893,2.825,10048.0,2.8628,1698120000000,102,
2023-10-25,2.8,2.81,2.7,2.7,18988.0,2.7634,1698206400000,108,
2023-10-26,2.7,2.96,2.7,2.94,43015.0,2.8339,1698292800000,275,
2023-10-27,2.87,2.87,2.77,2.77,22805.0,2.8065,1698379200000,83,
2023-10-30,2.7001,2.92,2.7001,2.8703,12576.0,2.8311,1698638400000,84,
2023-10-31,2.93,2.93,2.7,2.7,13793.0,2.7776,1698724800000,124,
2023-11-01,2.7,2.8,2.67,2.72,11927.0,2.719,1698811200000,96,
2023-11-02,2.59,2.59,1.55,1.69,603431.0,1.8123,1698897600000,3951,
2023-11-03,1.77,1.77,1.45,1.518,253091.0,1.6333,1698984000000,1331,
2023-11-06,1.55,1.55,1.33,1.35,230784.0,1.43,1699246800000,1227,
2023-11-07,1.31,1.33,1.17,1.23,296598.0,1.2517,1699333200000,1454,
2023-11-08,1.21,1.29,1.19,1.28,101424.0,1.2331,1699419600000,528,
2023-11-09,1.33,1.6,1.33,1.46,184584.0,1.46,1699506000000,1266,
2023-11-10,1.48,1.51,1.3001,1.32,186219.0,1.4001,1699592400000,832,
2023-11-13,1.3,1.4,1.265,1.29,98875.0,1.324,1699851600000,576,
2023-11-14,1.29,1.4,1.2801,1.34,153213.0,1.3255,1699938000000,737,
2023-11-15,1.3,1.35,1.22,1.23,103336.0,1.2576,1700024400000,518,
2023-11-16,1.22,1.28,1.1884,1.19,106801.0,1.2187,1700110800000,509,
2023-11-17,1.24,1.27,1.1,1.25,105776.0,1.178,1700197200000,530,
2023-11-20,1.24,1.25,1.17,1.17,47130.0,1.1987,1700456400000,325,
2023-11-21,1.15,1.24,0.933,1.0,300231.0,1.0199,1700542800000,1266,
2023-11-22,0.98,1.4,0.98,1.35,188717.0,1.1881,1700629200000,859,
2023-11-24,1.4,1.4,1.2403,1.34,72546.0,1.3457,1700802000000,384,
2023-11-27,1.34,1.39,1.28,1.31,81360.0,1.3417,1701061200000,360,
2023-11-28,1.31,1.35,1.09,1.18,270681.0,1.2172,1701147600000,1118,
2023-11-29,1.17,1.2,1.0601,1.12,185613.0,1.1139,1701234000000,1518,
2023-11-30,0.76,0.905,0.72,0.88,2493644.0,0.7966,1701320400000,9681,
2023-12-01,0.94,1.14,0.9,1.14,491741.0,0.9969,1701406800000,2165,
2023-12-04,1.09,1.139,1.04,1.05,190559.0,1.0872,1701666000000,820,
2023-12-05,1.04,1.1,0.88,0.93,221201.0,0.9562,1701752400000,1184,
2023-12-06,0.9021,1.0007,0.888301,0.9928,74357.0,0.9576,1701838800000,449,
2023-12-07,1.01,1.06,0.96,1.06,80513.0,0.9912,1701925200000,291,
2023-12-08,1.08,1.08,1.015,1.05,110224.0,1.0414,1702011600000,580,
2023-12-11,1.05,1.05,0.8844,0.9006,202411.0,0.9156,1702270800000,954,
2023-12-12,0.89,0.89,0.7801,0.7906,123345.0,0.8224,1702357200000,445,
2023-12-13,0.8063,0.832349,0.78,0.811,212071.0,0.8106,1702443600000,428,
2023-12-14,0.7908,0.8399,0.7905,0.791,90332.0,0.8074,1702530000000,288,
2023-12-15,0.793,0.829,0.791,0.8011,51701.0,0.8027,1702616400000,160,
2023-12-18,0.81,0.81,0.77,0.771,140045.0,0.7836,1702875600000,318,
2023-12-19,0.772,0.84,0.772,0.83,62194.0,0.8228,1702962000000,261,
2023-12-20,0.8556,0.8556,0.8112,0.8138,30187.0,0.8271,1703048400000,137,
2023-12-21,0.8228,0.8745,0.82,0.86,160942.0,0.861,1703134800000,279,
2023-12-22,0.8263,0.9122,0.8263,0.875,93345.0,0.8621,1703221200000,238,
2023-12-26,0.89,0.969899,0.8701,0.8998,67321.0,0.9033,1703566800000,152,
2023-12-27,0.8998,0.93,0.88,0.8801,53521.0,0.893,1703653200000,176,
2023-12-28,0.9032,0.9298,0.9003,0.921539,38727.0,0.9094,1703739600000,187,
2023-12-29,0.91,1.03,0.91,0.9354,151280.0,0.9767,1703826000000,383,
2024-01-02,1.01,1.01,0.92,0.9311,107925.0,0.9683,1704171600000,253,
2024-01-03,0.931,0.9499,0.8762,0.8901,29031.0,0.9203,1704258000000,109,
2024-01-04,0.87,0.9061,0.8418,0.89,20764.0,0.867,1704344400000,147,
2024-01-05,0.93,0.93,0.89,0.92,25983.0,0.9055,1704430800000,134,
2024-01-08,0.94,0.94,0.8901,0.8902,36677.0,0.8987,1704690000000,107,
2024-01-09,0.935,0.935,0.9005,0.935,39318.0,0.9109,1704776400000,180,
2024-01-10,0.95,1.0,0.9401,0.9925,31024.0,0.9683,1704862800000,81,
2024-01-11,0.9716,1.01,0.9716,1.01,35167.0,0.9995,1704949200000,185,
2024-01-12,1.04,1.29,1.03,1.24,248913.0,1.1679,1705035600000,825,
2024-01-16,1.12,1.18,0.97,0.99,216418.0,1.0383,1705381200000,1403,
2024-01-17,1.02,1.02,0.9157,0.9299,79889.0,0.9442,1705467600000,277,
2024-01-18,0.92,1.01,0.92,0.94,99375.0,0.9561,1705554000000,346,
2024-01-19,0.95,0.9572,0.9256,0.94,36969.0,0.94,1705640400000,172,
2024-01-22,0.9601,1.14,0.9601,1.13,124896.0,1.0697,1705899600000,467,
2024-01-23,1.15,1.23,1.1,1.11,111390.0,1.1706,1705986000000,534,
2024-01-24,1.09,1.19,1.05,1.14,163568.0,1.1146,1706072400000,430,
2024-01-25,1.15,1.17,1.08,1.13,69607.0,1.1167,1706158800000,214,
2024-01-26,1.12,1.1578,1.11,1.14,67466.0,1.129,1706245200000,237,
2024-01-29,1.15,1.24,1.1428,1.2,48999.0,1.1832,1706504400000,219,
2024-01-30,1.17,1.3,1.17,1.3,118994.0,1.2488,1706590800000,505,
2024-01-31,1.3,1.42,1.3,1.34,304805.0,1.363,1706677200000,1629,
2024-02-01,1.33,1.42,1.33,1.41,202699.0,1.4017,1706763600000,1243,
2024-02-02,1.41,1.48,1.3522,1.41,144164.0,1.4256,1706850000000,699,
2024-02-05,1.41,1.41,1.34,1.37,65158.0,1.3653,1707109200000,424,
2024-02-06,1.37,1.39,1.34,1.38,57397.0,1.3672,1707195600000,219,
2024-02-07,1.38,1.38,1.28,1.3,125621.0,1.3198,1707282000000,493,
2024-02-08,1.3,1.34,1.18,1.31,33015.0,1.2904,1707368400000,245,
2024-02-09,1.32,1.39,1.31,1.35,38327.0,1.3492,1707454800000,200,
2024-02-12,1.36,1.36,1.32,1.33,71775.0,1.341,1707714000000,258,
2024-02-13,1.31,1.35,1.2,1.29,76148.0,1.314,1707800400000,423,
2024-02-14,1.29,1.3499,1.27,1.28,56993.0,1.3047,1707886800000,286,
2024-02-15,1.3,1.3399,1.3,1.32,39093.0,1.3174,1707973200000,316,
2024-02-16,1.32,1.4,1.31,1.38,93942.0,1.3651,1708059600000,423,
2024-02-20,1.4,1.4284,1.38,1.4,150212.0,1.4085,1708405200000,639,
2024-02-21,1.41,1.42,1.35,1.39,61131.0,1.3951,1708491600000,296,
2024-02-22,1.4,1.41,1.35,1.35,62598.0,1.3925,1708578000000,597,
2024-02-23,1.4,1.4,1.3,1.4,111745.0,1.3543,1708664400000,465,
2024-02-26,1.38,1.4,1.36,1.37,33931.0,1.3818,1708923600000,181,
2024-02-27,1.38,1.54,1.37,1.52,257635.0,1.4378,1709010000000,973,
2024-02-28,1.46,1.49,1.39,1.42,197245.0,1.4217,1709096400000,973,
2024-02-29,1.46,1.46,1.32,1.39,53121.0,1.3887,1709182800000,326,
2024-03-01,1.37,1.3886,1.31,1.33,77546.0,1.3496,1709269200000,308,
2024-03-04,1.37,1.37,1.22,1.29,105651.0,1.2765,1709528400000,580,
2024-03-05,1.28,1.35,1.26,1.31,71707.0,1.2989,1709614800000,411,
2024-03-06,1.4,1.4,1.3232,1.36,19433.0,1.3516,1709701200000,174,
2024-03-07,1.37,1.37,1.33,1.35,38356.0,1.3434,1709787600000,140,
2024-03-08,1.32,1.36,1.32,1.34,38698.0,1.3461,1709874000000,165,
2024-03-11,1.4,1.4,1.31,1.33,28488.0,1.3379,1710129600000,204,
2024-03-12,1.31,1.3199,1.29,1.3,47168.0,1.3008,1710216000000,255,
2024-03-13,1.32,1.35,1.29,1.29,27942.0,1.3214,1710302400000,206,
2024-03-14,1.3183,1.33,1.29,1.29,10402.0,1.2993,1710388800000,132,
2024-03-15,1.29,1.32,1.29,1.2901,21543.0,1.2988,1710475200000,179,
2024-03-18,1.34,1.34,1.28,1.28,47295.0,1.2935,1710734400000,227,
2024-03-19,1.31,1.31,1.22,1.23,34226.0,1.2442,1710820800000,253,
2024-03-20,1.26,1.26,1.1,1.11,87836.0,1.1651,1710907200000,557,
2024-03-21,1.18,1.39,1.1061,1.38,121949.0,1.2477,1710993600000,589,
2024-03-22,1.45,1.53,1.3301,1.39,198431.0,1.4416,1711080000000,848,
2024-03-25,1.31,1.43,1.2527,1.34,70967.0,1.3385,1711339200000,492,
2024-03-26,1.35,1.43,1.31,1.31,81155.0,1.3693,1711425600000,525,
2024-03-27,1.36,1.4699,1.32,1.37,50147.0,1.4005,1711512000000,397,
2024-03-28,1.4,1.4,1.3501,1.37,29765.0,1.3739,1711598400000,218,
2024-04-01,1.32,1.3814,1.3,1.32,54928.0,1.3292,1711944000000,305,
2024-04-02,1.35,1.35,1.28,1.3,57495.0,1.297,1712030400000,205,
2024-04-03,1.29,1.33,1.29,1.3,32293.0,1.3089,1712116800000,150,
2024-04-04,1.37,1.37,1.26,1.3,23621.0,1.2996,1712203200000,189,
2024-04-05,1.34,1.34,1.18,1.2,104002.0,1.2383,1712289600000,439,
2024-04-08,1.25,1.25,1.17,1.19,30667.0,1.1964,1712548800000,131,
2024-04-09,1.2,1.2,1.15,1.2,33493.0,1.183,1712635200000,115,
