Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2023-10-10,11.08,11.285,10.97,11.15,75803.0,11.1762,1696910400000,1579,
2023-10-11,11.33,11.414,10.9,11.17,220302.0,11.3061,1696996800000,2188,
2023-10-12,11.44,11.55,10.25,10.5,317020.0,10.6892,1697083200000,3954,
2023-10-13,10.58,10.9099,10.48,10.8,131069.0,10.6955,1697169600000,1927,
2023-10-16,10.8,11.13,10.39,10.71,121618.0,10.6699,1697428800000,2448,
2023-10-17,10.65,11.0,10.6,10.89,150223.0,10.8471,1697515200000,2530,
2023-10-18,10.75,10.9,10.5014,10.6,126601.0,10.6739,1697601600000,2969,
2023-10-19,10.58,10.9,10.535,10.79,105988.0,10.7368,1697688000000,2017,
2023-10-20,10.78,10.9,10.655,10.77,79352.0,10.8004,1697774400000,1542,
2023-10-23,10.66,11.33,10.5528,11.13,156521.0,11.1109,1698033600000,2250,
2023-10-24,11.17,11.49,10.76,10.88,186831.0,11.0638,1698120000000,2419,
2023-10-25,10.79,11.12,10.72,10.99,165638.0,10.9544,1698206400000,2420,
2023-10-26,10.99,11.185,10.8107,10.99,155606.0,11.033,1698292800000,1583,
2023-10-27,11.03,11.21,10.975,11.2,86724.0,11.1243,1698379200000,1478,
2023-10-30,11.27,11.75,11.27,11.67,219686.0,11.6063,1698638400000,3197,
2023-10-31,11.66,11.94,11.45,11.47,80433.0,11.6573,1698724800000,1887,
2023-11-01,11.41,11.41,10.55,10.98,104850.0,10.9053,1698811200000,2010,
2023-11-02,11.19,11.39,10.89,11.29,86962.0,11.1629,1698897600000,1735,
2023-11-03,11.54,11.78,11.46,11.55,72510.0,11.6334,1698984000000,1552,
2023-11-06,11.45,11.45,11.24,11.33,64206.0,11.3177,1699246800000,1412,
2023-11-07,11.31,11.33,11.05,11.08,37785.0,11.1821,1699333200000,1056,
2023-11-08,11.02,11.0538,10.855,10.99,52157.0,10.9808,1699419600000,1099,
2023-11-09,11.06,11.06,10.65,10.68,43813.0,10.7794,1699506000000,1329,
2023-11-10,10.68,10.98,10.5601,10.93,52198.0,10.8141,1699592400000,1231,
2023-11-13,10.94,11.13,10.85,10.97,46794.0,10.9803,1699851600000,1146,
