Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2023-10-12,132.54,133.18,131.27,131.66,1034043.0,132.139,1697083200000,18399,
2023-10-13,130.7,130.8,127.8,128.79,1352403.0,129.1594,1697169600000,20673,
2023-10-16,129.3,130.87,128.98,130.7,1988372.0,130.1189,1697428800000,32494,
2023-10-17,128.8,131.03,128.43,130.49,1112757.0,129.9888,1697515200000,21648,
2023-10-18,128.23,129.12,127.3,127.61,1782942.0,127.9271,1697601600000,31213,
2023-10-19,134.42,135.8,133.14,133.38,2078630.0,134.1953,1697688000000,37801,
2023-10-20,132.67,132.99,130.65,130.7,1355983.0,131.4997,1697774400000,26764,
2023-10-23,131.15,132.83,130.08,132.2,732618.0,131.8709,1698033600000,15123,
2023-10-24,132.97,133.825,132.59,133.67,675732.0,133.2517,1698120000000,14192,
2023-10-25,132.49,132.89,130.675,130.71,840729.0,131.3929,1698206400000,19560,
2023-10-26,131.95,132.43,130.63,131.22,1082876.0,131.519,1698292800000,20384,
2023-10-27,132.57,132.96,131.0295,131.39,690357.0,131.7949,1698379200000,16623,
2023-10-30,132.77,134.09,132.33,133.65,878446.0,133.277,1698638400000,17720,
2023-10-31,133.84,134.42,133.46,134.0,758458.0,133.9231,1698724800000,15063,
2023-11-01,134.24,136.09,134.18,136.08,618093.0,135.1713,1698811200000,16496,
2023-11-02,138.87,139.18,137.98,138.58,711956.0,138.5914,1698897600000,15189,
2023-11-03,138.74,139.44,138.14,138.98,764866.0,138.8729,1698984000000,17163,
2023-11-06,138.44,138.785,137.77,138.55,488777.0,138.346,1699246800000,11331,
2023-11-07,140.09,141.465,139.76,140.66,461671.0,140.6584,1699333200000,12896,
2023-11-08,141.71,142.64,141.71,142.17,662750.0,142.1416,1699419600000,15366,
2023-11-09,143.05,144.315,142.3901,142.45,711535.0,143.2107,1699506000000,16942,
2023-11-10,143.31,145.15,143.01,145.1,609307.0,144.256,1699592400000,12749,
2023-11-13,143.9,145.1,143.715,145.03,400151.0,144.674,1699851600000,9988,
2023-11-14,148.09,148.25,146.985,147.66,693703.0,147.6848,1699938000000,16426,
2023-11-15,148.16,149.14,147.6,148.52,902614.0,148.5131,1700024400000,15008,
