Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2023-10-10,5.78,5.9737,5.73,5.88,196149.0,5.8835,1696910400000,3532,
2023-10-11,5.91,6.1401,5.6245,5.67,172405.0,5.8182,1696996800000,2254,
2023-10-12,5.69,5.73,5.5023,5.58,149118.0,5.5797,1697083200000,2195,
2023-10-13,5.6,5.6399,5.5,5.59,194454.0,5.579,1697169600000,3134,
2023-10-16,5.66,6.06,5.66,6.01,134436.0,5.91,1697428800000,2517,
2023-10-17,5.85,6.2,5.8433,6.13,206564.0,6.0648,1697515200000,2957,
2023-10-18,6.12,6.31,5.85,6.03,394826.0,6.082,1697601600000,5929,
2023-10-19,5.99,6.05,5.72,5.76,171090.0,5.8628,1697688000000,3451,
2023-10-20,5.74,5.817,5.55,5.57,179300.0,5.6258,1697774400000,2515,
2023-10-23,5.52,5.52,5.3267,5.35,244811.0,5.393,1698033600000,3404,
2023-10-24,5.35,5.59,5.35,5.51,125992.0,5.4881,1698120000000,1730,
2023-10-25,5.4,5.42,5.06,5.09,270688.0,5.2123,1698206400000,3509,
2023-10-26,5.12,5.18,5.0,5.06,164330.0,5.0676,1698292800000,2430,
2023-10-27,5.09,5.1496,4.95,4.98,153265.0,5.0057,1698379200000,2326,
2023-10-30,5.06,5.15,4.84,4.9,188030.0,4.929,1698638400000,2742,
2023-10-31,5.01,5.05,4.81,4.93,167038.0,4.9438,1698724800000,1981,
2023-11-01,4.91,4.99,4.73,4.94,211719.0,4.839,1698811200000,2752,
2023-11-02,5.11,5.3275,5.11,5.26,164045.0,5.2117,1698897600000,2737,
2023-11-03,5.39,5.69,5.39,5.59,238135.0,5.5911,1698984000000,3282,
2023-11-06,5.66,5.68,5.29,5.37,156991.0,5.4066,1699246800000,2120,
2023-11-07,5.33,5.56,5.29,5.38,153888.0,5.4227,1699333200000,2087,
2023-11-08,5.47,5.47,5.23,5.36,146698.0,5.3245,1699419600000,2256,
2023-11-09,5.83,6.22,5.44,5.49,403328.0,5.6905,1699506000000,4391,
2023-11-10,5.55,5.99,5.28,5.83,369090.0,5.6825,1699592400000,3803,
2023-11-13,5.73,5.92,5.4,5.61,407547.0,5.7245,1699851600000,3633,
2023-11-14,5.91,6.25,5.9043,6.25,241171.0,6.0895,1699938000000,3115,
2023-11-15,6.3,6.77,6.27,6.75,357319.0,6.5986,1700024400000,3947,
2023-11-16,6.67,6.75,6.22,6.27,224647.0,6.3787,1700110800000,3154,
2023-11-17,6.31,6.86,6.27,6.77,235540.0,6.6305,1700197200000,2703,
2023-11-20,6.87,7.105,6.801,6.96,329051.0,6.9773,1700456400000,3490,
2023-11-21,6.81,6.85,6.52,6.84,302466.0,6.7113,1700542800000,3231,
2023-11-22,6.8,6.97,6.575,6.61,157373.0,6.7396,1700629200000,1948,
2023-11-24,6.68,6.89,6.66,6.89,52048.0,6.8057,1700802000000,1064,
2023-11-27,6.83,6.95,6.76,6.85,127503.0,6.8682,1701061200000,2102,
2023-11-28,6.85,6.98,6.665,6.86,132657.0,6.8449,1701147600000,2142,
2023-11-29,6.98,7.39,6.9,7.23,334168.0,7.2164,1701234000000,3738,
2023-11-30,7.4,7.4,6.98,7.05,167440.0,7.1198,1701320400000,1971,
2023-12-01,7.03,7.4,6.7,7.34,361120.0,7.1602,1701406800000,4765,
2023-12-04,7.34,7.59,7.28,7.5,255559.0,7.4565,1701666000000,3422,
2023-12-05,7.5,7.57,7.37,7.49,264794.0,7.4783,1701752400000,3511,
2023-12-06,7.68,8.0883,7.6,7.74,438189.0,7.82,1701838800000,4997,
2023-12-07,7.82,8.1348,7.77,8.03,260920.0,7.9978,1701925200000,3705,
2023-12-08,8.08,8.3,7.91,8.07,781798.0,8.0277,1702011600000,4075,
2023-12-11,8.11,8.305,7.985,8.07,210296.0,8.0814,1702270800000,3226,
2023-12-12,8.05,8.14,7.98,8.1,177970.0,8.0543,1702357200000,2795,
2023-12-13,8.1,8.15,7.63,8.15,285295.0,7.944,1702443600000,4375,
2023-12-14,8.29,8.57,7.93,8.09,426149.0,8.2025,1702530000000,5634,
2023-12-15,8.24,8.28,7.97,8.13,432003.0,8.1341,1702616400000,4291,
2023-12-18,8.13,8.262,7.85,7.96,243193.0,7.9819,1702875600000,4565,
2023-12-19,8.0,8.25,7.97,8.2,224358.0,8.1525,1702962000000,3210,
2023-12-20,8.17,8.3,7.72,7.75,231893.0,8.0381,1703048400000,3670,
2023-12-21,8.01,8.89,7.92,8.88,706925.0,8.4482,1703134800000,7162,
2023-12-22,9.0,9.47,8.9225,9.44,803029.0,9.2846,1703221200000,9019,
2023-12-26,9.5,10.0,9.5,9.835,394266.0,9.7361,1703566800000,4711,
2023-12-27,10.0,10.0,9.59,9.7,286077.0,9.7424,1703653200000,3724,
2023-12-28,9.7,10.04,9.58,9.77,275640.0,9.8257,1703739600000,3240,
2023-12-29,9.83,9.96,9.5,9.62,268977.0,9.6543,1703826000000,3084,
2024-01-02,9.5,9.5,8.89,8.95,350944.0,9.0855,1704171600000,5278,
2024-01-03,8.64,8.85,8.42,8.695,313286.0,8.6922,1704258000000,4511,
2024-01-04,8.68,8.72,8.4395,8.49,237438.0,8.5334,1704344400000,3314,
2024-01-05,8.43,8.69,8.36,8.55,227443.0,8.5567,1704430800000,3250,
2024-01-08,8.65,9.32,8.65,9.06,278933.0,9.0871,1704690000000,3693,
2024-01-09,8.89,9.129,8.79,8.91,129392.0,8.9586,1704776400000,2646,
2024-01-10,9.09,9.16,8.82,8.87,198007.0,8.9153,1704862800000,3000,
2024-01-11,8.86,8.89,8.33,8.85,303618.0,8.6624,1704949200000,4411,
2024-01-12,9.0,9.2,8.58,8.66,166768.0,8.8073,1705035600000,3292,
2024-01-16,8.65,8.69,8.47,8.65,196305.0,8.6009,1705381200000,3199,
2024-01-17,8.5,8.55,8.28,8.51,178624.0,8.4159,1705467600000,2931,
2024-01-18,8.76,8.8,8.53,8.68,181683.0,8.682,1705554000000,2968,
2024-01-19,8.84,8.859,8.42,8.82,173456.0,8.693,1705640400000,2650,
2024-01-22,9.0,9.4829,8.97,9.36,351501.0,9.2621,1705899600000,4211,
2024-01-23,9.5,9.76,9.33,9.69,309493.0,9.6097,1705986000000,4089,
2024-01-24,9.95,10.07,9.62,9.8,593532.0,9.8884,1706072400000,6023,
2024-01-25,10.02,10.03,9.15,9.18,396613.0,9.5433,1706158800000,4862,
2024-01-26,9.15,9.2,8.4,8.43,490084.0,8.7411,1706245200000,5185,
2024-01-29,8.61,9.33,8.6,9.31,341878.0,8.998,1706504400000,5241,
2024-01-30,9.31,9.3508,8.99,9.02,198467.0,9.138,1706590800000,2714,
2024-01-31,8.92,9.1296,8.64,8.64,283900.0,8.8051,1706677200000,4189,
2024-02-01,8.72,8.94,8.52,8.89,209838.0,8.7849,1706763600000,4511,
2024-02-02,8.81,9.245,8.69,9.19,234910.0,9.0689,1706850000000,3170,
2024-02-05,9.19,9.19,8.7201,9.0,268446.0,8.959,1707109200000,3146,
2024-02-06,9.0,9.07,8.83,8.99,142419.0,8.9513,1707195600000,3121,
2024-02-07,9.0,9.0,8.75,8.89,164250.0,8.8701,1707282000000,3406,
2024-02-08,8.9,9.47,8.86,9.29,337398.0,9.2707,1707368400000,3354,
2024-02-09,9.42,10.32,9.4,10.28,507822.0,9.9901,1707454800000,5383,
2024-02-12,10.34,10.95,10.337,10.5,446609.0,10.6688,1707714000000,5343,
2024-02-13,10.18,10.19,9.35,9.4,370782.0,9.7187,1707800400000,5098,
2024-02-14,9.8,10.35,9.54,10.245,239581.0,10.0671,1707886800000,3217,
2024-02-15,10.27,10.39,9.91,10.14,262197.0,10.1247,1707973200000,3943,
2024-02-16,10.01,10.08,9.626,9.93,230295.0,9.9151,1708059600000,3308,
2024-02-20,9.69,9.9,9.41,9.5,296393.0,9.5462,1708405200000,3720,
2024-02-21,9.5,9.95,9.37,9.85,431788.0,9.7452,1708491600000,5962,
2024-02-22,10.25,10.45,9.8,9.82,355992.0,10.03,1708578000000,5348,
