Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2025-01-07,17.2,17.7164,17.03,17.25,82700.0,17.2273,1736226000000,3016,
2025-01-08,17.2,17.375,16.52,17.08,130302.0,16.9945,1736312400000,3200,
2025-01-10,16.66,17.39,16.25,17.3,160820.0,17.0343,1736485200000,3764,
2025-01-13,17.12,17.53,16.99,17.445,100420.0,17.3652,1736744400000,3512,
2025-01-14,17.51,17.59,16.8203,17.09,90111.0,17.064,1736830800000,4305,
2025-01-15,17.4,18.88,17.18,18.85,227447.0,18.353,1736917200000,5121,
2025-01-16,18.78,18.92,18.2395,18.62,190846.0,18.687,1737003600000,3944,
2025-01-17,18.84,18.87,18.1,18.28,180582.0,18.3772,1737090000000,2651,
2025-01-21,18.45,18.86,18.2,18.73,96549.0,18.6443,1737435600000,2695,
2025-01-22,18.67,18.77,18.16,18.55,145737.0,18.4297,1737522000000,3199,
2025-01-23,18.24,18.793,18.16,18.75,148131.0,18.6117,1737608400000,4632,
2025-01-24,18.67,18.67,18.23,18.34,135733.0,18.3841,1737694800000,2676,
2025-01-27,18.11,19.305,18.09,18.16,189759.0,18.5524,1737954000000,3994,
2025-01-28,17.87,17.97,16.4446,17.74,150141.0,17.5193,1738040400000,3838,
2025-01-29,17.79,17.98,17.31,17.64,110957.0,17.5322,1738126800000,2730,
2025-01-30,17.8,17.98,17.52,17.64,83245.0,17.7426,1738213200000,2792,
2025-01-31,17.6,17.815,17.3425,17.75,127546.0,17.667,1738299600000,3314,
2025-02-03,17.34,17.5425,16.8,16.82,104026.0,17.0716,1738558800000,2502,
2025-02-04,16.75,17.33,16.75,17.28,83115.0,17.1403,1738645200000,2175,
2025-02-05,17.28,17.48,17.05,17.11,63763.0,17.1902,1738731600000,1597,
2025-02-06,17.22,17.78,17.05,17.58,120887.0,17.5801,1738818000000,2596,
2025-02-07,17.57,17.64,16.9719,17.53,141754.0,17.3682,1738904400000,2920,
2025-02-10,17.7,18.03,17.66,17.77,63003.0,17.8679,1739163600000,2180,
2025-02-11,17.52,17.95,17.41,17.75,98410.0,17.7471,1739250000000,2601,
2025-02-12,17.42,17.56,17.0,17.37,119170.0,17.3796,1739336400000,2793,
2025-02-13,17.58,18.46,17.265,18.46,170136.0,18.077,1739422800000,3540,
2025-02-14,18.46,19.13,18.44,18.82,140841.0,18.8643,1739509200000,3175,
2025-02-18,19.23,19.5,18.61,19.03,102326.0,18.9631,1739854800000,2703,
2025-02-19,18.73,19.295,18.73,19.26,91274.0,19.0916,1739941200000,2161,
2025-02-20,19.23,19.23,18.56,18.88,80447.0,18.8048,1740027600000,1949,
2025-02-21,18.98,18.99,18.0,18.08,152365.0,18.3226,1740114000000,2711,
2025-02-24,18.29,18.435,17.51,17.6,125700.0,17.7603,1740373200000,3302,
2025-02-25,17.52,17.71,17.1,17.3,115954.0,17.3552,1740459600000,3282,
2025-02-26,17.29,17.65,17.01,17.17,104191.0,17.2229,1740546000000,2503,
2025-02-27,17.8,17.8,16.67,16.8,178879.0,16.8291,1740632400000,3490,
2025-02-28,16.69,17.14,16.48,17.14,129867.0,16.89,1740718800000,2783,
2025-03-03,17.15,17.85,15.34,15.57,175082.0,16.008,1740978000000,4851,
2025-03-04,15.29,15.85,14.48,15.25,287752.0,15.1569,1741064400000,5179,
2025-03-05,15.22,15.66,14.9724,15.41,164071.0,15.3849,1741150800000,4176,
2025-03-06,15.24,15.495,14.9409,14.99,150807.0,15.0999,1741237200000,3240,
2025-03-07,14.99,15.59,14.66,15.48,228655.0,15.2341,1741323600000,4207,
2025-03-10,15.13,15.15,14.6,14.71,246149.0,14.7573,1741579200000,6685,
2025-03-11,14.69,14.81,14.08,14.1,249436.0,14.357,1741665600000,4981,
2025-03-12,15.64,15.64,14.09,14.41,477090.0,14.5017,1741752000000,7978,
2025-03-13,14.35,14.465,14.07,14.29,417601.0,14.2357,1741838400000,6344,
2025-03-14,13.01,13.79,12.7801,13.56,831442.0,13.3739,1741924800000,10824,
2025-03-17,13.53,13.865,13.28,13.66,351713.0,13.6578,1742184000000,7296,
2025-03-18,13.61,13.9,13.32,13.58,498419.0,13.6728,1742270400000,6316,
2025-03-19,13.65,14.23,13.48,14.19,307702.0,13.9335,1742356800000,6062,
2025-03-20,14.388,14.54,13.95,14.2,464065.0,14.2247,1742443200000,6388,
2025-03-21,13.98,14.57,13.63,14.56,448665.0,14.2179,1742529600000,5640,
2025-03-24,14.64,14.97,14.37,14.61,362080.0,14.5654,1742788800000,6781,
2025-03-25,14.6,14.945,14.39,14.68,334797.0,14.7279,1742875200000,6096,
2025-03-26,14.8,14.8,14.37,14.48,194576.0,14.5176,1742961600000,5034,
2025-03-27,14.38,14.76,14.36,14.57,189154.0,14.6149,1743048000000,3801,
2025-03-28,14.79,14.79,13.9249,14.12,344199.0,14.1071,1743134400000,5890,
2025-03-31,13.96,14.42,13.96,14.27,449111.0,14.2243,1743393600000,6811,
2025-04-01,14.11,14.64,13.9327,14.63,543868.0,14.333,1743480000000,6064,
2025-04-02,14.23,15.075,14.145,15.06,355188.0,14.6839,1743566400000,6078,
2025-04-03,13.07,13.47,11.89,12.22,795458.0,12.2285,1743652800000,9425,
2025-04-04,11.3,11.53,10.34,10.51,704618.0,10.9633,1743739200000,10244,
2025-04-07,9.75,11.38,9.62,10.53,549186.0,10.4124,1743998400000,8804,
2025-04-08,11.1,11.1,10.07,10.33,638671.0,10.5517,1744084800000,8630,
2025-04-09,10.26,12.13,10.15,12.1,752672.0,11.5812,1744171200000,8148,
2025-04-10,11.69,11.8899,10.875,11.03,358726.0,11.2272,1744257600000,6117,
2025-04-11,10.95,11.56,10.12,11.545,449260.0,10.961,1744344000000,7153,
2025-04-14,11.8,12.011,11.12,11.21,311624.0,11.4205,1744603200000,4979,
2025-04-15,11.12,11.3192,10.9,11.15,185249.0,11.1031,1744689600000,3388,
2025-04-16,10.88,11.038,10.49,10.96,269148.0,10.7959,1744776000000,3902,
2025-04-17,10.99,11.02,10.725,10.91,235096.0,10.8913,1744862400000,3746,
2025-04-21,10.66,10.79,10.26,10.63,380312.0,10.4584,1745208000000,5710,
2025-04-22,10.86,10.96,10.45,10.77,237087.0,10.7559,1745294400000,3852,
2025-04-23,11.25,11.95,10.995,11.02,444508.0,11.3423,1745380800000,6623,
2025-04-24,11.03,11.42,10.98,11.38,144135.0,11.3315,1745467200000,3066,
2025-04-25,11.4,11.645,11.16,11.5,182074.0,11.4526,1745553600000,4573,
2025-04-28,11.5,11.635,10.98,11.12,201740.0,11.1614,1745812800000,4939,
2025-04-29,11.0,11.32,10.875,11.3,219990.0,11.1366,1745899200000,5215,
2025-04-30,11.0,11.65,10.84,11.55,348156.0,11.3421,1745985600000,5695,
2025-05-01,11.61,11.82,11.24,11.3,326636.0,11.4276,1746072000000,4036,
