Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2023-10-10,8.23,8.52,8.18,8.31,38411,8.3326,1696910400000,978,
2023-10-11,8.235,8.31,8.155,8.25,29588,8.2459,1696996800000,503,
2023-10-12,8.35,8.35,7.87,7.99,55508,7.9959,1697083200000,1105,
2023-10-13,7.835,7.87,7.7,7.81,60075,7.805,1697169600000,1470,
2023-10-16,8.0,8.5,7.9621,8.23,78539,8.2561,1697428800000,1873,
2023-10-17,8.19,8.83,8.19,8.51,50889,8.5021,1697515200000,822,
2023-10-18,8.39,8.45,8.35,8.37,30776,8.3719,1697601600000,574,
2023-10-19,8.215,8.69,8.2,8.61,48581,8.4992,1697688000000,954,
2023-10-20,8.45,8.68,8.32,8.52,53037,8.529,1697774400000,1036,
2023-10-23,8.55,8.85,8.24,8.24,64460,8.5868,1698033600000,1056,
2023-10-24,8.28,8.38,8.04,8.16,60012,8.2066,1698120000000,1308,
2023-10-25,8.2,8.2034,7.8,7.86,55899,7.9972,1698206400000,1416,
2023-10-26,7.8,8.37,7.55,7.62,42028,7.6846,1698292800000,919,
2023-10-27,7.55,7.76,7.02,7.54,125705,7.2871,1698379200000,2063,
2023-10-30,7.65,7.67,7.3301,7.64,37042,7.4879,1698638400000,1087,
2023-10-31,7.74,7.91,7.51,7.85,35016,7.7848,1698724800000,756,
2023-11-01,7.79,8.06,7.6878,7.86,41275,7.8862,1698811200000,1055,
2023-11-02,7.84,8.2,7.75,7.85,26010,7.8816,1698897600000,655,
2023-11-03,7.56,8.85,7.56,8.68,83300,8.294,1698984000000,1995,
2023-11-06,8.68,8.68,7.84,8.05,56593,8.0881,1699246800000,921,
2023-11-07,7.95,8.4499,7.83,8.27,87120,8.1307,1699333200000,948,
2023-11-08,8.31,8.68,8.14,8.47,97965,8.447,1699419600000,984,
2023-11-09,8.63,8.63,8.18,8.47,47692,8.3276,1699506000000,778,
2023-11-10,8.56,8.56,8.23,8.41,33768,8.3746,1699592400000,627,
2023-11-13,8.28,8.5728,8.04,8.36,44198,8.4474,1699851600000,1152,
2023-11-14,8.41,8.995,8.4,8.97,91003,8.8186,1699938000000,1627,
2023-11-15,8.95,9.12,8.81,8.91,81561,8.9767,1700024400000,1244,
2023-11-16,8.81,8.81,8.45,8.49,43626,8.574,1700110800000,689,
2023-11-17,8.46,8.53,8.34,8.5,34868,8.4597,1700197200000,535,
2023-11-20,8.42,8.77,8.13,8.13,28633,8.2342,1700456400000,541,
2023-11-21,8.07,8.3075,7.89,7.96,32358,7.9808,1700542800000,664,
2023-11-22,7.89,8.03,7.37,7.48,45657,7.6287,1700629200000,616,
2023-11-24,7.54,7.63,7.21,7.49,29638,7.4264,1700802000000,716,
2023-11-27,7.56,7.58,7.329,7.47,100691,7.5148,1701061200000,1311,
2023-11-28,7.55,7.56,7.38,7.5,101873,7.4803,1701147600000,970,
2023-11-29,7.93,8.1275,7.78,7.89,68714,7.9408,1701234000000,1025,
2023-11-30,8.01,8.38,7.76,7.79,36587,8.0432,1701320400000,1078,
2023-12-01,7.79,8.06,7.64,7.77,50328,7.812,1701406800000,912,
2023-12-04,7.83,8.0899,7.565,7.77,115282,7.7581,1701666000000,1555,
2023-12-05,7.6203,7.825,7.6203,7.72,37631,7.7384,1701752400000,1422,
