Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2023-10-10,32.85,34.19,32.33,33.25,6349637.0,33.2949,1696910400000,62247,
2023-10-11,33.46,34.23,33.1121,33.7,3814649.0,33.622,1696996800000,40035,
2023-10-12,33.62,33.71,32.595,33.28,2816976.0,33.2026,1697083200000,33342,
2023-10-13,34.13,34.13,32.29,32.53,2194080.0,32.9548,1697169600000,28891,
2023-10-16,32.5,35.14,32.33,34.76,3747509.0,34.5024,1697428800000,44816,
2023-10-17,33.77,35.79,33.76,35.58,3164432.0,35.3345,1697515200000,37458,
2023-10-18,34.78,35.05,33.92,34.28,2619653.0,34.3529,1697601600000,37577,
2023-10-19,34.75,35.09,33.66,34.0,3892658.0,34.1986,1697688000000,40929,
2023-10-20,33.58,34.04,31.82,31.88,3425757.0,32.4234,1697774400000,43888,
2023-10-23,31.32,32.53,30.89,31.19,2908212.0,31.5602,1698033600000,40758,
2023-10-24,31.4,32.93,31.28,32.0,2824829.0,31.9764,1698120000000,39002,
2023-10-25,31.28,31.64,30.53,30.58,3258665.0,30.7814,1698206400000,38360,
2023-10-26,30.93,31.575,30.06,30.64,2900200.0,30.7264,1698292800000,41540,
2023-10-27,31.01,31.0299,28.371,28.7,4163773.0,29.1185,1698379200000,54769,
2023-10-30,27.86,28.692,27.35,27.72,7398904.0,28.1906,1698638400000,70613,
2023-10-31,32.9,35.5,32.07,33.84,13572167.0,33.9437,1698724800000,123929,
2023-11-01,33.27,33.6,31.334,33.14,6309386.0,32.8931,1698811200000,60393,
2023-11-02,34.71,35.26,33.01,34.35,3513203.0,34.2383,1698897600000,44184,
2023-11-03,35.43,35.94,34.36,34.82,3066702.0,34.9796,1698984000000,38229,
2023-11-06,35.04,35.0604,33.09,33.57,3030777.0,33.6247,1699246800000,32682,
2023-11-07,33.19,33.7892,32.7116,33.66,1412776.0,33.4433,1699333200000,23922,
2023-11-08,33.4,34.57,33.21,34.42,2161480.0,34.2129,1699419600000,29474,
2023-11-09,34.35,34.4936,31.45,31.55,2777386.0,32.4512,1699506000000,33713,
2023-11-10,31.64,32.43,30.86,32.38,2274785.0,31.816,1699592400000,32974,
2023-11-13,32.08,32.53,31.27,32.28,1426639.0,32.1134,1699851600000,23040,
2023-11-14,33.95,34.8,31.97,32.63,8540503.0,32.9558,1699938000000,88368,
2023-11-15,33.3,38.07,33.1,36.35,5743932.0,36.3933,1700024400000,73413,
2023-11-16,35.41,35.9,33.8,34.87,3732879.0,34.7879,1700110800000,43190,
2023-11-17,35.3,36.97,35.11,36.71,3833581.0,36.1604,1700197200000,53767,
2023-11-20,36.6,37.64,35.9414,36.82,2352523.0,37.0244,1700456400000,28538,
2023-11-21,36.06,36.06,33.59,33.6,3416244.0,34.0536,1700542800000,40320,
2023-11-22,34.01,34.76,33.42,33.54,2681439.0,33.9582,1700629200000,32731,
2023-11-24,33.08,34.32,33.04,34.32,870282.0,33.9887,1700802000000,11756,
2023-11-27,34.065,34.155,32.75,33.61,2067843.0,33.6684,1701061200000,29401,
2023-11-28,33.35,35.78,33.0,35.01,3265686.0,34.7461,1701147600000,37340,
2023-11-29,36.21,37.935,35.9401,36.25,3106327.0,36.5856,1701234000000,38969,
2023-11-30,36.43,37.41,35.51,36.86,10557403.0,36.7852,1701320400000,58894,
2023-12-01,36.61,39.7825,35.33,39.68,4862504.0,38.8527,1701406800000,49838,
2023-12-04,39.03,41.11,39.0,40.45,5117278.0,40.2368,1701666000000,50344,
2023-12-05,39.58,39.8699,37.95,38.51,2813854.0,38.664,1701752400000,36477,
2023-12-06,39.3,40.16,37.855,38.25,3440966.0,39.0373,1701838800000,36550,
2023-12-07,38.18,39.98,38.0601,39.89,3352334.0,39.3667,1701925200000,38403,
2023-12-08,39.67,40.98,39.16,39.68,2747392.0,39.9087,1702011600000,37491,
2023-12-11,39.26,39.96,38.3,39.54,2895350.0,39.3174,1702270800000,39141,
2023-12-12,38.88,39.095,36.93,37.59,2795954.0,37.573,1702357200000,33152,
2023-12-13,37.65,40.6,36.99,40.33,6862995.0,39.755,1702443600000,42356,
2023-12-14,41.41,44.54,41.4,44.25,5935194.0,43.7438,1702530000000,65298,
2023-12-15,44.33,44.75,42.19,43.32,6164747.0,43.1736,1702616400000,47316,
2023-12-18,43.18,43.97,42.56,43.33,2294643.0,43.4491,1702875600000,27399,
2023-12-19,43.93,45.27,43.77,44.89,2018078.0,44.721,1702962000000,24921,
2023-12-20,44.15,44.28,41.72,41.91,2723893.0,42.7028,1703048400000,32979,
2023-12-21,43.2,45.13,42.89,44.88,2423597.0,44.5204,1703134800000,27630,
2023-12-22,44.69,45.23,44.08,44.43,1615900.0,44.5779,1703221200000,22085,
2023-12-26,44.77,47.34,44.51,46.84,2004258.0,46.4343,1703566800000,22541,
2023-12-27,47.14,47.43,45.535,46.51,2501375.0,46.1939,1703653200000,29270,
2023-12-28,46.0,46.18,44.88,45.47,2326359.0,45.346,1703739600000,26666,
2023-12-29,45.33,45.68,43.5,43.51,2417911.0,43.9128,1703826000000,29799,
2024-01-02,43.16,44.77,42.5855,43.24,3147718.0,43.4534,1704171600000,36609,
2024-01-03,42.12,42.41,39.94,40.56,3278488.0,40.7494,1704258000000,45074,
2024-01-04,38.64,40.81,38.35,39.58,6869601.0,39.6809,1704344400000,40065,
2024-01-05,39.78,41.47,38.81,40.82,5473911.0,40.5886,1704430800000,34533,
2024-01-08,40.42,42.23,40.02,41.71,3270329.0,41.6015,1704690000000,31011,
2024-01-09,40.9,41.89,39.965,40.03,3635572.0,40.5409,1704776400000,39994,
2024-01-10,39.68,39.69,36.05,36.19,6067221.0,37.1224,1704862800000,67911,
2024-01-11,36.0,36.92,34.3901,34.52,3954856.0,35.0279,1704949200000,46007,
2024-01-12,34.59,35.43,33.38,33.86,3065688.0,33.9106,1705035600000,36911,
2024-01-16,33.17,33.6359,32.25,32.73,4457559.0,32.7496,1705381200000,42010,
2024-01-17,31.76,31.865,30.325,31.49,6468297.0,31.2124,1705467600000,46936,
2024-01-18,32.52,32.52,31.0,31.9,4940774.0,31.6918,1705554000000,46420,
2024-01-19,32.33,32.46,30.69,32.39,3559937.0,31.7548,1705640400000,39399,
2024-01-22,33.59,35.22,33.32,34.67,4741239.0,34.2524,1705899600000,52827,
2024-01-23,36.37,37.29,35.45,36.59,5352485.0,36.5202,1705986000000,60500,
