Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2023-10-10,5.0,5.0,4.68,4.84,13979.75,4.7901,1696910400000,367,
2023-10-11,4.84,4.84,4.64,4.68,7072.0,4.7314,1696996800000,210,
2023-10-12,4.6772,4.76,4.52,4.64,8135.0,4.6213,1697083200000,131,
2023-10-13,4.64,4.64,4.52,4.6,6077.0,4.5668,1697169600000,102,
2023-10-16,4.6,4.68,4.4404,4.6,11122.75,4.6024,1697428800000,133,
2023-10-17,4.44,4.64,4.4,4.44,6182.5,4.4854,1697515200000,82,
2023-10-18,4.48,4.56,4.28,4.28,9446.5,4.4382,1697601600000,158,
2023-10-19,4.28,4.48,4.16,4.28,11594.5,4.2341,1697688000000,274,
2023-10-20,4.2,4.4,4.2,4.2,5764.0,4.2717,1697774400000,178,
2023-10-23,4.12,4.28,4.0,4.0,17180.5,4.1388,1698033600000,257,
2023-10-24,4.32,4.36,4.08,4.12,9067.25,4.1495,1698120000000,215,
2023-10-25,4.12,4.12,4.04,4.12,6029.75,4.1027,1698206400000,129,
2023-10-26,4.12,4.12,3.92,3.9792,17197.25,4.0214,1698292800000,200,
2023-10-27,4.12,4.12,3.8576,4.0128,2603.25,3.9635,1698379200000,64,
2023-10-30,4.12,4.12,3.96,4.0,7104.5,4.0572,1698638400000,139,
2023-10-31,4.12,4.2,4.04,4.12,5838.75,4.0973,1698724800000,95,
2023-11-01,4.04,4.24,4.0,4.12,4038.0,4.0928,1698811200000,107,
2023-11-02,4.08,4.4,4.08,4.36,9528.75,4.3166,1698897600000,249,
2023-11-03,4.56,5.32,4.36,4.72,86950.0,4.8809,1698984000000,816,
2023-11-06,4.68,4.92,4.48,4.6,5625.0,4.6721,1699246800000,163,
2023-11-07,4.52,4.72,4.3204,4.596,6863.5,4.5068,1699333200000,156,
2023-11-08,4.6,4.72,4.36,4.676,5295.5,4.6076,1699419600000,118,
2023-11-09,4.72,4.72,4.52,4.64,4035.25,4.64,1699506000000,125,
2023-11-10,4.64,4.716,4.52,4.64,6458.5,4.6187,1699592400000,156,
2023-11-13,4.64,4.68,4.56,4.68,9630.75,4.6322,1699851600000,217,
2023-11-14,4.76,4.76,4.52,4.52,6132.25,4.7236,1699938000000,127,
2023-11-15,4.56,4.84,4.56,4.8,10369.25,4.7536,1700024400000,231,
2023-11-16,4.72,4.924,4.72,4.8,4877.5,4.8536,1700110800000,154,
2023-11-17,4.8,4.92,4.6,4.92,9996.25,4.8255,1700197200000,190,
2023-11-20,4.92,5.4,4.92,5.4,65055.75,5.2656,1700456400000,696,
2023-11-21,5.4,5.52,5.32,5.4,26609.0,5.4281,1700542800000,386,
2023-11-22,5.28,5.4,4.44,4.44,21167.5,5.1949,1700629200000,423,
2023-11-24,4.68,4.88,4.632,4.64,11903.5,4.7475,1700802000000,219,
2023-11-27,4.72,5.32,4.6,5.12,12659.25,5.0426,1701061200000,399,
2023-11-28,5.0,5.4,4.84,5.04,8100.0,5.2871,1701147600000,324,
2023-11-29,5.08,5.4,5.08,5.32,15822.25,5.3366,1701234000000,305,
2023-11-30,5.32,5.6,5.28,5.52,9636.5,5.4567,1701320400000,309,
2023-12-01,5.48,6.64,5.4,6.52,26735.75,5.894,1701406800000,302,
2023-12-04,6.72,7.64,6.4404,7.12,38445.25,7.0375,1701666000000,654,
2023-12-05,7.12,7.4,6.12,6.52,35886.25,6.9906,1701752400000,697,
2023-12-06,6.4,6.52,5.8,6.08,19805.75,6.1967,1701838800000,383,
2023-12-07,5.88,6.08,5.28,5.92,32676.0,5.8164,1701925200000,493,
2023-12-08,5.84,6.08,5.84,6.04,14375.25,6.0514,1702011600000,204,
2023-12-11,5.84,6.08,5.84,5.88,7472.25,5.9535,1702270800000,123,
2023-12-12,5.88,6.0,5.84,6.0,6702.25,5.8804,1702357200000,151,
2023-12-13,6.0,6.0,5.64,5.96,11594.75,5.7943,1702443600000,141,
2023-12-14,5.96,6.04,5.72,5.84,5812.0,5.9748,1702530000000,118,
2023-12-15,5.84,6.04,5.84,5.92,5106.75,5.9551,1702616400000,112,
2023-12-18,5.96,6.0,5.4,5.96,13234.25,5.7502,1702875600000,256,
2023-12-19,5.88,5.948,5.64,5.64,13247.5,5.7384,1702962000000,237,
2023-12-20,5.72,5.8784,5.44,5.52,28350.75,5.5536,1703048400000,257,
2023-12-21,5.52,5.8676,5.52,5.64,7209.0,5.6408,1703134800000,155,
2023-12-22,5.64,5.76,5.64,5.76,5948.5,5.7039,1703221200000,163,
2023-12-26,5.68,6.08,5.68,5.96,23957.75,5.9315,1703566800000,268,
2023-12-27,6.0,6.08,5.9624,6.04,8118.0,6.0567,1703653200000,149,
2023-12-28,6.08,6.08,5.8,6.0,19916.25,6.0374,1703739600000,321,
2023-12-29,6.08,6.08,5.6,5.68,16753.0,5.8034,1703826000000,340,
2024-01-02,5.68,5.96,5.6,5.76,9383.75,5.8419,1704171600000,263,
2024-01-03,5.68,5.72,5.56,5.56,6818.5,5.6123,1704258000000,211,
2024-01-04,5.68,6.08,5.56,5.76,9325.25,5.7883,1704344400000,234,
2024-01-05,5.72,5.9596,5.72,5.88,2534.5,5.8626,1704430800000,84,
2024-01-08,5.76,6.32,5.76,6.24,39054.75,6.0952,1704690000000,462,
2024-01-09,6.2,6.6,6.08,6.32,13960.25,6.2421,1704776400000,268,
2024-01-10,6.64,7.96,6.32,7.84,56330.5,7.3683,1704862800000,1529,
2024-01-11,8.4,8.4,6.92,7.2,60686.25,7.7895,1704949200000,997,
2024-01-12,7.12,7.2,6.4,6.4,11175.0,6.8424,1705035600000,445,
2024-01-16,6.76,7.004,6.4,6.4,13936.0,6.737,1705381200000,463,
2024-01-17,6.4,6.4,6.0,6.08,10591.25,6.2529,1705467600000,347,
