Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2023-09-29 09:25:00-04:00,62.75,62.75,62.58,62.58,7685.0,62.5986,1695993900000,24,
2023-09-29 09:30:00-04:00,63.2,63.2,62.47,62.6,108210.0,62.6327,1695994200000,422,
2023-09-29 09:35:00-04:00,62.6,62.68,62.48,62.6368,60783.0,62.5933,1695994500000,765,
2023-09-29 09:40:00-04:00,62.65,62.65,62.3703,62.615,27657.0,62.5172,1695994800000,494,
2023-09-29 09:45:00-04:00,62.615,62.785,62.59,62.71,40269.0,62.6633,1695995100000,549,
2023-09-29 09:50:00-04:00,62.7,62.85,62.69,62.85,26962.0,62.7681,1695995400000,475,
2023-09-29 09:55:00-04:00,62.83,62.94,62.77,62.925,26363.0,62.8592,1695995700000,406,
2023-09-29 10:00:00-04:00,62.925,63.08,62.81,62.91,33515.0,62.9152,1695996000000,619,
2023-09-29 10:05:00-04:00,62.92,63.04,62.9,62.99,83683.0,62.9792,1695996300000,1201,
2023-09-29 10:10:00-04:00,62.98,62.99,62.61,62.745,33805.0,62.7988,1695996600000,563,
2023-09-29 10:15:00-04:00,62.745,62.83,62.6,62.67,37494.0,62.7282,1695996900000,511,
2023-09-29 10:20:00-04:00,62.65,62.7,62.545,62.57,22114.0,62.6143,1695997200000,424,
2023-09-29 10:25:00-04:00,62.57,62.68,62.56,62.67,17540.0,62.6233,1695997500000,338,
2023-09-29 10:30:00-04:00,62.66,62.77,62.65,62.76,19468.0,62.7033,1695997800000,362,
2023-09-29 10:35:00-04:00,62.77,62.79,62.68,62.72,20832.0,62.7287,1695998100000,458,
2023-09-29 10:40:00-04:00,62.72,62.76,62.65,62.725,20472.0,62.7063,1695998400000,388,
2023-09-29 10:45:00-04:00,62.71,62.855,62.71,62.835,9272.0,62.8007,1695998700000,187,
2023-09-29 10:50:00-04:00,62.85,62.86,62.68,62.81,21186.0,62.7736,1695999000000,410,
2023-09-29 10:55:00-04:00,62.83,62.83,62.55,62.575,16823.0,62.6505,1695999300000,427,
2023-09-29 11:00:00-04:00,62.58,62.6,62.49,62.5,16314.0,62.5416,1695999600000,356,
2023-09-29 11:05:00-04:00,62.49,62.55,62.45,62.49,20762.0,62.493,1695999900000,389,
2023-09-29 11:10:00-04:00,62.5,62.61,62.48,62.54,15131.0,62.5513,1696000200000,294,
2023-09-29 11:15:00-04:00,62.51,62.6,62.49,62.57,16710.0,62.5404,1696000500000,338,
2023-09-29 11:20:00-04:00,62.585,62.72,62.56,62.67,67650.0,62.618,1696000800000,489,
2023-09-29 11:25:00-04:00,62.63,62.68,62.535,62.535,79156.0,62.6219,1696001100000,1086,
2023-09-29 11:30:00-04:00,62.53,62.56,62.4,62.425,32167.0,62.4876,1696001400000,527,
2023-09-29 11:35:00-04:00,62.435,62.49,62.32,62.34,45375.0,62.4155,1696001700000,668,
2023-09-29 11:40:00-04:00,62.34,62.39,62.25,62.28,16408.0,62.3163,1696002000000,331,
2023-09-29 11:45:00-04:00,62.28,62.305,62.2,62.24,17057.0,62.2515,1696002300000,335,
2023-09-29 11:50:00-04:00,62.22,62.26,62.06,62.11,25681.0,62.1527,1696002600000,445,
2023-09-29 11:55:00-04:00,62.11,62.23,62.1,62.165,17759.0,62.1717,1696002900000,320,
2023-09-29 12:00:00-04:00,62.16,62.19,62.09,62.13,70985.0,62.1281,1696003200000,978,
2023-09-29 12:05:00-04:00,62.16,62.25,62.13,62.145,19914.0,62.197,1696003500000,383,
2023-09-29 12:10:00-04:00,62.135,62.18,61.97,61.98,26038.0,62.1093,1696003800000,411,
2023-09-29 12:15:00-04:00,61.99,62.12,61.95,62.11,12979.0,62.0266,1696004100000,294,
2023-09-29 12:20:00-04:00,62.105,62.2,62.09,62.17,14416.0,62.1527,1696004400000,312,
2023-09-29 12:25:00-04:00,62.14,62.2,62.14,62.165,12595.0,62.177,1696004700000,357,
2023-09-29 12:30:00-04:00,62.17,62.21,62.1,62.15,18458.0,62.1519,1696005000000,358,
2023-09-29 12:35:00-04:00,62.17,62.18,62.06,62.09,14469.0,62.1373,1696005300000,295,
2023-09-29 12:40:00-04:00,62.08,62.14,61.97,61.99,20311.0,62.0801,1696005600000,422,
2023-09-29 12:45:00-04:00,62.0,62.05,61.895,61.91,32960.0,61.9936,1696005900000,608,
2023-09-29 12:50:00-04:00,61.92,61.93,61.82,61.82,22641.0,61.8617,1696006200000,383,
