Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2023-09-29 09:15:00-04:00,468.48,468.5,468.46,468.5,2703,468.5135,1695993300000,88,
2023-09-29 09:25:00-04:00,466.22,466.22,466.22,466.22,208,466.1606,1695993900000,4,
2023-09-29 09:30:00-04:00,466.65,468.285,465.89,467.55,17586,467.0851,1695994200000,350,
2023-09-29 09:35:00-04:00,466.99,467.35,464.63,465.81,9627,465.5275,1695994500000,330,
2023-09-29 09:40:00-04:00,465.8,467.85,465.72,466.51,14460,466.8481,1695994800000,454,
2023-09-29 09:45:00-04:00,466.7025,468.05,466.02,467.605,5914,467.2198,1695995100000,293,
2023-09-29 09:50:00-04:00,467.81,468.31,467.4001,468.195,8264,467.8902,1695995400000,289,
2023-09-29 09:55:00-04:00,468.64,469.05,468.0501,468.32,5192,468.5146,1695995700000,202,
2023-09-29 10:00:00-04:00,468.75,469.16,467.86,468.975,12042,468.371,1695996000000,469,
2023-09-29 10:05:00-04:00,468.97,469.23,468.05,468.32,7619,468.4766,1695996300000,312,
2023-09-29 10:10:00-04:00,468.365,468.85,468.2,468.7,7275,468.48,1695996600000,323,
2023-09-29 10:15:00-04:00,469.04,469.04,467.13,467.7,6361,467.9245,1695996900000,245,
2023-09-29 10:20:00-04:00,467.82,467.99,466.36,466.39,7820,467.0697,1695997200000,372,
2023-09-29 10:25:00-04:00,466.48,467.07,466.13,466.22,6813,466.4061,1695997500000,317,
2023-09-29 10:30:00-04:00,466.6,467.655,466.6,467.415,6795,467.2458,1695997800000,307,
2023-09-29 10:35:00-04:00,467.475,467.794,466.825,467.74,7306,467.2045,1695998100000,411,
2023-09-29 10:40:00-04:00,467.785,468.12,466.785,466.785,9631,467.3202,1695998400000,301,
2023-09-29 10:45:00-04:00,466.96,467.765,466.96,467.7625,4982,467.3849,1695998700000,278,
2023-09-29 10:50:00-04:00,467.825,468.9799,467.36,468.765,7699,467.7676,1695999000000,370,
2023-09-29 10:55:00-04:00,468.735,468.735,466.66,466.98,4766,467.6279,1695999300000,193,
2023-09-29 11:00:00-04:00,466.975,467.295,466.26,466.39,6677,466.9212,1695999600000,218,
2023-09-29 11:05:00-04:00,466.345,467.32,466.345,467.035,4062,466.7379,1695999900000,196,
2023-09-29 11:10:00-04:00,467.025,467.7,467.025,467.17,5672,467.3355,1696000200000,228,
2023-09-29 11:15:00-04:00,466.63,466.63,465.33,466.07,3858,465.8758,1696000500000,158,
2023-09-29 11:20:00-04:00,466.87,467.03,466.56,466.56,3888,466.7759,1696000800000,174,
2023-09-29 11:25:00-04:00,466.52,466.52,464.355,464.355,4074,465.0578,1696001100000,189,
2023-09-29 11:30:00-04:00,464.32,465.18,464.32,465.08,9754,464.7828,1696001400000,335,
2023-09-29 11:35:00-04:00,464.7,464.7,463.955,463.98,5279,464.3456,1696001700000,164,
2023-09-29 11:40:00-04:00,464.4,464.695,463.78,463.83,7212,464.2172,1696002000000,328,
2023-09-29 11:45:00-04:00,463.79,464.0,463.08,463.08,3663,463.7221,1696002300000,142,
2023-09-29 11:50:00-04:00,463.56,464.08,463.16,463.38,5022,463.5753,1696002600000,233,
2023-09-29 11:55:00-04:00,463.5275,464.31,463.5275,463.81,893,463.8973,1696002900000,58,
2023-09-29 12:00:00-04:00,463.85,463.88,463.215,463.62,4383,463.6661,1696003200000,198,
2023-09-29 12:05:00-04:00,464.13,464.13,463.94,463.94,1018,464.0463,1696003500000,58,
2023-09-29 12:10:00-04:00,463.99,464.11,462.23,462.39,3907,463.2414,1696003800000,162,
2023-09-29 12:15:00-04:00,462.155,463.14,462.15,463.14,4648,462.7751,1696004100000,170,
2023-09-29 12:20:00-04:00,463.185,463.98,463.185,463.69,6239,463.4395,1696004400000,200,
2023-09-29 12:25:00-04:00,463.86,463.86,463.0,463.0,1698,463.4968,1696004700000,74,
2023-09-29 12:30:00-04:00,463.26,463.33,462.5337,462.5337,1851,462.8909,1696005000000,114,
2023-09-29 12:35:00-04:00,462.615,463.14,462.19,462.19,2083,462.7575,1696005300000,102,
2023-09-29 12:40:00-04:00,462.31,462.75,462.24,462.24,2673,462.488,1696005600000,112,
2023-09-29 12:45:00-04:00,462.45,462.45,460.805,460.805,6054,461.9324,1696005900000,220,
2023-09-29 12:50:00-04:00,461.02,461.02,460.1901,460.45,2272,460.6832,1696006200000,132,
2023-09-29 12:55:00-04:00,460.55,460.98,460.42,460.434,4742,460.5903,1696006500000,182,
2023-09-29 13:00:00-04:00,460.02,460.495,459.4901,460.03,6097,460.0781,1696006800000,299,
2023-09-29 13:05:00-04:00,460.0068,460.1,459.1,459.6272,4207,459.6649,1696007100000,182,
2023-09-29 13:10:00-04:00,459.73,459.88,459.14,459.43,9198,459.5346,1696007400000,369,
2023-09-29 13:15:00-04:00,459.485,459.485,458.72,459.115,4772,459.0272,1696007700000,238,
2023-09-29 13:20:00-04:00,459.19,459.6,459.18,459.28,5087,459.3523,1696008000000,191,
2023-09-29 13:25:00-04:00,459.23,459.795,459.23,459.36,6360,459.5493,1696008300000,273,
2023-09-29 13:30:00-04:00,459.59,459.76,459.28,459.28,5073,459.5978,1696008600000,180,
2023-09-29 13:35:00-04:00,459.64,459.66,459.28,459.46,2311,459.4461,1696008900000,124,
2023-09-29 13:40:00-04:00,459.475,460.05,459.19,459.9894,5680,459.4899,1696009200000,222,
2023-09-29 13:45:00-04:00,459.64,459.72,459.44,459.49,4125,459.5548,1696009500000,172,
2023-09-29 13:50:00-04:00,458.64,458.935,458.34,458.89,4926,458.6308,1696009800000,211,
2023-09-29 13:55:00-04:00,458.485,458.555,457.8,457.985,3180,458.2986,1696010100000,146,
2023-09-29 14:00:00-04:00,457.8,458.91,457.8,458.89,5164,458.4025,1696010400000,236,
2023-09-29 14:05:00-04:00,459.08,459.08,458.3,458.7,6700,458.6833,1696010700000,245,
2023-09-29 14:10:00-04:00,458.89,459.37,458.76,458.975,3703,458.9516,1696011000000,181,
2023-09-29 14:15:00-04:00,459.17,459.2,458.41,458.695,2727,458.8323,1696011300000,105,
2023-09-29 14:20:00-04:00,458.67,459.03,458.54,459.03,5538,458.7918,1696011600000,220,
2023-09-29 14:25:00-04:00,459.66,459.8599,458.2,458.2,4296,459.2652,1696011900000,146,
