Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2023-09-29 07:40:00-04:00,559.22,560.18,559.22,560.18,547,559.2273,1695987600000,28,
2023-09-29 09:20:00-04:00,560.0,560.0,560.0,560.0,535,560.1251,1695993600000,11,
2023-09-29 09:30:00-04:00,560.87,562.39,560.0,561.27,23538,560.9254,1695994200000,528,
2023-09-29 09:35:00-04:00,561.0,561.455,559.5,559.5,6702,560.6521,1695994500000,213,
2023-09-29 09:40:00-04:00,559.09,562.67,559.0,562.67,15341,560.6981,1695994800000,482,
2023-09-29 09:45:00-04:00,562.57,563.8974,561.72,562.57,16493,562.847,1695995100000,536,
2023-09-29 09:50:00-04:00,562.7,563.18,562.33,563.09,8410,562.8046,1695995400000,270,
2023-09-29 09:55:00-04:00,563.09,564.0,562.27,563.945,12794,563.0499,1695995700000,375,
2023-09-29 10:00:00-04:00,564.18,565.1955,563.4901,565.12,12297,564.5743,1695996000000,442,
2023-09-29 10:05:00-04:00,565.56,566.1746,564.94,565.32,16155,565.3564,1695996300000,665,
2023-09-29 10:10:00-04:00,565.44,565.85,564.68,564.8568,9867,565.1779,1695996600000,383,
2023-09-29 10:15:00-04:00,565.23,566.11,565.23,565.615,12103,565.712,1695996900000,502,
2023-09-29 10:20:00-04:00,565.6,565.71,563.545,563.5557,13973,564.8868,1695997200000,481,
2023-09-29 10:25:00-04:00,563.4,564.08,563.335,564.02,6975,563.6147,1695997500000,301,
2023-09-29 10:30:00-04:00,563.765,564.88,563.765,564.7,8208,564.532,1695997800000,313,
2023-09-29 10:35:00-04:00,564.88,565.01,563.095,563.11,21851,564.5354,1695998100000,368,
2023-09-29 10:40:00-04:00,562.87,564.66,562.83,564.365,17114,563.9502,1695998400000,400,
2023-09-29 10:45:00-04:00,564.5,565.0099,564.32,564.82,7488,564.6533,1695998700000,284,
2023-09-29 10:50:00-04:00,564.7,565.7,564.23,565.655,10003,564.8697,1695999000000,476,
2023-09-29 10:55:00-04:00,565.32,565.38,564.16,564.79,7576,564.5828,1695999300000,345,
2023-09-29 11:00:00-04:00,564.87,565.24,564.105,564.105,7885,564.6366,1695999600000,285,
2023-09-29 11:05:00-04:00,563.69,564.75,563.265,564.41,11037,563.9785,1695999900000,340,
2023-09-29 11:10:00-04:00,564.53,564.54,563.56,563.56,6463,564.1158,1696000200000,262,
2023-09-29 11:15:00-04:00,563.33,564.68,563.12,564.68,5333,563.8034,1696000500000,257,
2023-09-29 11:20:00-04:00,564.82,565.595,564.69,565.44,11322,565.1394,1696000800000,353,
2023-09-29 11:25:00-04:00,565.19,565.19,563.6125,563.6125,10143,564.4109,1696001100000,303,
2023-09-29 11:30:00-04:00,563.17,564.08,563.17,563.605,8609,563.6478,1696001400000,354,
2023-09-29 11:35:00-04:00,563.93,563.93,562.81,563.085,7955,563.3413,1696001700000,328,
2023-09-29 11:40:00-04:00,563.71,563.79,562.825,563.185,8507,563.2763,1696002000000,446,
2023-09-29 11:45:00-04:00,563.35,563.59,562.71,563.425,7971,563.2295,1696002300000,316,
2023-09-29 11:50:00-04:00,563.435,563.435,562.05,562.7,10856,562.7668,1696002600000,414,
2023-09-29 11:55:00-04:00,562.62,563.49,562.595,563.0605,4609,563.1488,1696002900000,210,
