Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2023-09-29 09:30:00-04:00,140.09,140.357,139.96,139.98,17990,140.0952,1695994200000,139,
2023-09-29 09:35:00-04:00,139.91,140.11,139.84,140.06,15268,139.9358,1695994500000,311,
2023-09-29 09:40:00-04:00,140.2,140.21,139.98,140.09,13452,140.099,1695994800000,255,
2023-09-29 09:45:00-04:00,140.095,140.1162,139.37,139.43,18749,139.6672,1695995100000,432,
2023-09-29 09:50:00-04:00,139.4,139.47,139.065,139.065,24635,139.3169,1695995400000,460,
2023-09-29 09:55:00-04:00,139.1,139.4,138.94,139.33,48320,139.1631,1695995700000,690,
2023-09-29 10:00:00-04:00,139.37,139.61,139.2,139.56,27505,139.3954,1695996000000,530,
2023-09-29 10:05:00-04:00,139.56,140.12,139.52,140.12,24268,139.6992,1695996300000,473,
2023-09-29 10:10:00-04:00,140.05,140.15,139.46,139.505,15731,139.7732,1695996600000,394,
2023-09-29 10:15:00-04:00,139.49,139.5275,139.34,139.48,21635,139.4346,1695996900000,481,
2023-09-29 10:20:00-04:00,139.5,139.595,139.26,139.26,26818,139.4765,1695997200000,563,
2023-09-29 10:25:00-04:00,139.235,139.3,139.09,139.19,15005,139.1914,1695997500000,400,
2023-09-29 10:30:00-04:00,139.2,139.525,139.16,139.41,22649,139.3257,1695997800000,458,
2023-09-29 10:35:00-04:00,139.46,139.64,139.43,139.605,24052,139.528,1695998100000,472,
2023-09-29 10:40:00-04:00,139.62,139.6423,139.44,139.46,19408,139.5286,1695998400000,360,
2023-09-29 10:45:00-04:00,139.46,139.56,139.46,139.49,13927,139.5307,1695998700000,278,
2023-09-29 10:50:00-04:00,139.52,139.74,139.49,139.63,18658,139.6236,1695999000000,404,
2023-09-29 10:55:00-04:00,139.62,139.63,139.335,139.335,15305,139.4742,1695999300000,473,
2023-09-29 11:00:00-04:00,139.36,139.4,139.11,139.26,43561,139.1996,1695999600000,555,
2023-09-29 11:05:00-04:00,139.2,139.31,139.18,139.185,25068,139.2263,1695999900000,476,
2023-09-29 11:10:00-04:00,139.22,139.46,139.19,139.445,19713,139.3415,1696000200000,386,
2023-09-29 11:15:00-04:00,139.39,139.91,139.39,139.8,70513,139.578,1696000500000,375,
2023-09-29 11:20:00-04:00,139.76,140.2,139.735,140.2,15986,139.8739,1696000800000,306,
2023-09-29 11:25:00-04:00,140.17,140.22,140.05,140.08,13201,140.1259,1696001100000,350,
2023-09-29 11:30:00-04:00,140.085,140.31,140.07,140.205,9663,140.2148,1696001400000,299,
2023-09-29 11:35:00-04:00,140.22,140.39,140.22,140.32,9439,140.317,1696001700000,242,
2023-09-29 11:40:00-04:00,140.34,140.5,140.31,140.39,7425,140.3753,1696002000000,233,
2023-09-29 11:45:00-04:00,140.4,140.41,140.13,140.16,10149,140.2875,1696002300000,268,
2023-09-29 11:50:00-04:00,140.135,140.2,139.95,139.95,6187,140.0947,1696002600000,230,
2023-09-29 11:55:00-04:00,139.94,140.05,139.88,139.92,5914,139.9708,1696002900000,239,
2023-09-29 12:00:00-04:00,139.9,139.94,139.79,139.94,6745,139.862,1696003200000,215,
2023-09-29 12:05:00-04:00,139.965,140.23,139.95,140.23,6355,140.0739,1696003500000,193,
2023-09-29 12:10:00-04:00,140.19,140.325,140.17,140.21,9642,140.2532,1696003800000,294,
2023-09-29 12:15:00-04:00,140.17,140.2505,140.05,140.11,36839,140.1087,1696004100000,536,
2023-09-29 12:20:00-04:00,140.14,140.275,140.1,140.14,11081,140.1543,1696004400000,227,
2023-09-29 12:25:00-04:00,140.09,140.37,140.09,140.37,7458,140.2233,1696004700000,202,
2023-09-29 12:30:00-04:00,140.3,140.34,140.2,140.2,7809,140.2668,1696005000000,207,
2023-09-29 12:35:00-04:00,140.18,140.31,140.13,140.155,11865,140.2361,1696005300000,378,
2023-09-29 12:40:00-04:00,140.175,140.245,140.02,140.07,10090,140.1609,1696005600000,288,
2023-09-29 12:45:00-04:00,140.11,140.11,139.9,139.9,4765,140.0288,1696005900000,180,
2023-09-29 12:50:00-04:00,139.91,139.93,139.66,139.66,12129,139.8277,1696006200000,254,
2023-09-29 12:55:00-04:00,139.62,139.655,139.59,139.6,7293,139.6332,1696006500000,201,
2023-09-29 13:00:00-04:00,139.595,139.67,139.395,139.48,31228,139.5176,1696006800000,402,
2023-09-29 13:05:00-04:00,139.43,139.43,139.33,139.35,8707,139.4001,1696007100000,274,
2023-09-29 13:10:00-04:00,139.345,139.44,139.32,139.43,11051,139.3736,1696007400000,348,
2023-09-29 13:15:00-04:00,139.47,139.51,139.365,139.48,9889,139.4362,1696007700000,285,
2023-09-29 13:20:00-04:00,139.495,139.54,139.35,139.41,32664,139.4633,1696008000000,311,
2023-09-29 13:25:00-04:00,139.375,139.515,139.34,139.47,13351,139.425,1696008300000,310,
2023-09-29 13:30:00-04:00,139.46,139.655,139.44,139.595,13800,139.6061,1696008600000,280,
2023-09-29 13:35:00-04:00,139.595,139.595,139.47,139.49,17037,139.5364,1696008900000,374,
